City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Alamo,Nevada,1019,160,None,N/A,$65083,7.13%,31,N/A,N/A,N/A,46,72.59%,$693,55.01%,N/A,N/A,0.0%,0.0%,61.07%,Lincoln County,13.40%,78.40%,0.0%,0.0%,82.34%,16.39%,0.0%,N/A,95,51,44,62,25,20%,14%,29,39,91,84%,90%,77%,6.97,1.36,2.3,8.66%,7.69%,11.56%,1.9,0,N/A,13.4,89,3567,5.9,6.35,NV-00500,37.3770241,-115.1678259
Austin,Nevada,16,14,None,N/A,N/A,0.0%,N/A,N/A,N/A,N/A,82,63.37%,N/A,100.0%,N/A,N/A,0.0%,0.0%,100.0%,Lander County,16.70%,75.80%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,87,42,45,58,24,34%,17%,27,35,83,65%,81%,50%,12.21,1.61,3.58,24.71%,13.19%,34.78%,14.2,5,7.6,16.6,90,6201,5.2,1.15,NV-03700,39.4975355,-117.0740106
Baker,Nevada,21,23,None,N/A,N/A,0.0%,N/A,N/A,N/A,N/A,N/A,72.22%,N/A,0.0%,N/A,N/A,0.0%,0.0%,47.62%,White Pine County,18.70%,72.20%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,86,38,48,61,19,36%,22%,24,34,83,73%,80%,67%,12.69,2.21,3.91,21.42%,17.69%,26.11%,23.1,6,N/A,34.6,98,6051,4.5,0.9,NV-04100,39.0149808,-114.1232974
Battle Mountain,Nevada,4187,685,None,N/A,$99962,12.02%,41,N/A,N/A,N/A,34,78.17%,$867,52.23%,N/A,N/A,11.21%,15.22%,60.68%,Lander County,16.70%,75.80%,0.55%,4.73%,63.1%,26.53%,7.93%,N/A,100,46,54,57,23,34%,17%,27,35,96,65%,81%,50%,8.11,0.83,2.34,16.0%,7.58%,20.44%,17.7,8,7.6,16.6,90,4119,5.2,6.11,NV-04900,40.6299158,-116.951704
Beatty,Nevada,596,34,Pahrump,50096,N/A,13.54%,61,N/A,N/A,N/A,39,40.5%,$779,60.4%,N/A,N/A,10.4%,0.0%,43.96%,Nye County,26.00%,68.00%,0.0%,6.71%,73.15%,20.13%,18.96%,N/A,116,62,54,90,42,20%,14%,29,39,116,84%,90%,77%,1.56,0.3,0.8,4.0%,2.97%,6.67%,0.0,0,N/A,13.4,86,78,5.8,17.68,NV-05100,36.918933,-116.748064
Beaverdam,Nevada,18,26,None,N/A,N/A,0.0%,71,N/A,N/A,N/A,N/A,100.0%,N/A,55.56%,N/A,N/A,55.56%,0.0%,44.44%,Lincoln County,13.40%,78.40%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,98,47,51,59,18,20%,14%,29,39,94,84%,90%,77%,11.54,2.39,3.7,12.96%,12.97%,14.56%,12.4,5,N/A,13.4,94,4005,5.9,0.69,NV-05125,37.6898042,-114.4490367
Bennett Springs,Nevada,85,25,None,N/A,N/A,0.0%,36,N/A,N/A,N/A,16,70.49%,N/A,56.1%,N/A,N/A,0.0%,0.0%,85.33%,Lincoln County,13.40%,78.40%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,94,45,49,56,16,36%,22%,24,34,91,73%,80%,67%,10.56,2.5,3.3,12.96%,12.97%,14.56%,12.4,5,N/A,34.6,94,4416,5.9,3.39,NV-05275,37.7141169,-114.4667112
Blue Diamond,Nevada,247,34,Las Vegas-Henderson-Paradise,2231147,$81023,58.59%,51,N/A,N/A,N/A,43,80.0%,N/A,59.51%,N/A,N/A,10.93%,14.79%,68.42%,Clark County,52.40%,41.70%,0.0%,0.0%,95.55%,0.0%,27.53%,Pacific Standard Time,107,57,50,82,37,20%,14%,29,39,104,84%,90%,77%,5.68,1.2,1.91,7.53%,6.92%,11.11%,0.3,0,N/A,13.4,89,2235,5.8,7.22,NV-05700,36.0399487,-115.4127995
Boulder City,Nevada,14868,71,Las Vegas-Henderson-Paradise,2231147,$76402,31.9%,51,$457000,1778,$257,40,68.13%,$1262,45.07%,117,707,10.62%,6.55%,50.95%,Clark County,52.40%,41.70%,1.08%,1.4%,83.88%,9.11%,4.28%,Pacific Standard Time,107,57,50,85,41,20%,14%,29,39,104,84%,90%,77%,6.55,2.06,1.99,7.53%,6.92%,11.11%,0.3,0,N/A,13.4,67,2460,5.8,208.27,NV-06500,35.8407284,-114.9256805
Bunkerville,Nevada,1008,98,Las Vegas-Henderson-Paradise,2231147,$142500,9.04%,32,N/A,N/A,N/A,27,89.3%,N/A,46.31%,N/A,N/A,0.0%,0.0%,42.41%,Clark County,52.40%,41.70%,0.0%,0.0%,95.14%,1.59%,0.0%,Pacific Standard Time,110,60,50,75,33,20%,14%,29,39,108,84%,90%,77%,8.05,1.9,2.69,9.53%,6.04%,16.22%,0.0,0,N/A,13.4,78,1464,5.8,10.33,NV-08100,36.7594102,-114.1411758
Caliente,Nevada,840,16,None,N/A,$36400,21.93%,44,N/A,N/A,N/A,52,71.14%,$629,68.48%,N/A,N/A,11.44%,4.16%,49.32%,Lincoln County,13.40%,78.40%,0.0%,2.62%,88.33%,2.02%,0.24%,N/A,98,47,51,59,18,20%,14%,29,39,94,84%,90%,77%,11.54,2.39,3.7,12.96%,12.97%,14.56%,12.4,5,N/A,13.4,89,4005,5.9,53.02,NV-08500,37.6457606,-114.4929187
Cal-Nev-Ari,Nevada,254,111,Las Vegas-Henderson-Paradise,2231147,$38929,12.56%,69,N/A,N/A,N/A,40,68.31%,$788,72.84%,N/A,N/A,38.98%,44.0%,10.29%,Clark County,52.40%,41.70%,0.0%,0.0%,81.5%,0.0%,0.0%,Pacific Standard Time,98,53,45,73,37,20%,14%,29,39,94,84%,90%,77%,7.77,2.3,2.93,5.64%,4.84%,8.33%,0.0,0,N/A,13.4,85,3237,5.8,2.28,NV-08600,35.2995819,-114.8777306
Carlin,Nevada,2366,227,Elko,55023,$68207,13.94%,36,$190000,1173,$162,37,73.31%,$1174,45.53%,664,1283,5.8%,5.05%,65.62%,Elko County,18.30%,73.00%,5.49%,0.76%,56.04%,28.32%,3.17%,N/A,94,37,57,54,15,37%,20%,27,36,90,65%,81%,50%,9.85,1.11,3.18,21.59%,11.32%,29.89%,40.4,31,5.7,20.7,88,4599,4.1,10.44,NV-08900,40.7190134,-116.1080429
Carson City,Nevada,54219,375,None,N/A,N/A,N/A,N/A,$470000,1567,$300,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Carson City County,38.40%,52.50%,N/A,N/A,N/A,N/A,N/A,Pacific Standard Time,90,45,45,56,23,31%,19%,29,38,86,81%,92%,65%,14.02,1.23,7.11,13.62%,7.36%,20.0%,22.9,7,6.4,15.0,72,4329,5.2,144.53,NV-94140,39.1511204,-119.7475563
Carter Springs,Nevada,450,161,Gardnerville Ranchos,49158,$98750,18.71%,47,$396000,1380,$287,17,76.27%,$1418,46.84%,N/A,N/A,6.89%,3.56%,61.46%,Douglas County,30.30%,62.50%,4.67%,0.89%,74.44%,14.44%,9.78%,N/A,92,46,46,50,18,31%,19%,29,38,88,81%,92%,65%,9.06,0.6,4.38,11.67%,5.38%,19.33%,22.9,7,6.4,15.0,89,4305,4.9,2.8,NV-10200,38.8619396,-119.6411238
Cold Springs,Nevada,11029,1259,Reno,483805,$85851,17.67%,34,$438000,1628,$269,17,89.78%,$1838,40.25%,N/A,N/A,6.24%,3.31%,65.4%,Washoe County,46.40%,45.10%,2.37%,1.12%,65.68%,24.14%,7.41%,Pacific Standard Time,91,44,47,57,22,31%,19%,29,38,87,81%,92%,65%,11.32,1.24,5.33,16.16%,8.24%,23.11%,33.3,17,6.4,15.0,86,4665,5.1,8.76,NV-14090,39.6926434,-119.977299
Crescent Valley,Nevada,456,204,Elko,55023,$73393,4.53%,61,N/A,N/A,N/A,35,90.48%,N/A,28.21%,N/A,N/A,8.99%,0.0%,36.13%,Eureka County,8.70%,84.70%,0.0%,0.0%,61.84%,23.46%,5.48%,N/A,95,39,56,53,14,37%,20%,27,36,91,65%,81%,50%,8.26,0.87,2.51,12.38%,3.74%,17.22%,27.6,12,5.7,20.7,97,4299,5.1,2.23,NV-16300,40.4197774,-116.5753128
Crystal Bay,Nevada,184,409,Reno,483805,$201094,83.7%,72,N/A,N/A,N/A,42,70.95%,N/A,7.07%,N/A,N/A,0.0%,0.0%,7.07%,Washoe County,46.40%,45.10%,0.0%,0.0%,100.0%,0.0%,11.41%,Pacific Standard Time,77,41,36,51,24,31%,19%,29,38,75,81%,92%,65%,32.47,0.98,15.49,22.96%,4.29%,35.0%,160.1,34,6.4,15.0,83,5811,5.1,0.45,NV-16700,39.2315143,-120.001637
Dayton,Nevada,15415,442,Fernley,58029,$85375,18.64%,44,$435000,1805,$241,20,77.62%,$1298,42.27%,N/A,N/A,4.15%,8.38%,67.79%,Lyon County,25.90%,67.40%,2.33%,0.11%,68.76%,24.63%,9.03%,N/A,85,41,44,62,26,31%,19%,29,38,82,81%,92%,65%,11.5,0.88,5.89,13.62%,7.36%,20.0%,19.8,12,6.4,15.0,87,5796,5.3,34.9,NV-17500,39.2592428,-119.5652908
Double Spring,Nevada,276,31,Gardnerville Ranchos,49158,$100417,9.33%,30,$1050000,3043,$345,29,89.1%,N/A,31.18%,N/A,N/A,2.95%,13.79%,51.18%,Douglas County,30.30%,62.50%,0.36%,0.0%,75.0%,0.0%,1.45%,N/A,93,46,47,57,22,31%,19%,29,38,89,81%,92%,65%,8.93,1.27,3.2,18.08%,7.14%,27.22%,22.9,7,6.4,15.0,89,4839,4.9,8.77,NV-19150,38.7787701,-119.6154069
Dyer,Nevada,343,10,None,N/A,$39837,26.34%,45,N/A,N/A,N/A,39,54.43%,$565,35.29%,N/A,N/A,0.0%,0.0%,52.94%,Esmeralda County,15.40%,77.80%,0.0%,0.0%,48.98%,47.81%,24.78%,N/A,95,46,49,57,16,21%,14%,30,37,91,76%,95%,49%,4.66,0.41,2.68,6.79%,4.51%,10.56%,14.2,5,6.0,5.8,97,4482,5.5,35.14,NV-20700,37.6468767,-118.0345241
East Valley,Nevada,1294,132,Gardnerville Ranchos,49158,$123445,44.7%,68,N/A,N/A,N/A,26,94.16%,N/A,22.1%,N/A,N/A,4.02%,7.96%,34.69%,Douglas County,30.30%,62.50%,0.0%,0.0%,91.89%,4.4%,0.54%,N/A,92,46,46,50,18,31%,19%,29,38,88,81%,92%,65%,9.06,0.6,4.38,11.67%,5.38%,19.33%,22.9,7,6.4,15.0,88,4305,4.9,9.84,NV-21520,38.9451968,-119.6993463
Elko,Nevada,20513,1149,Elko,55023,$85000,17.95%,34,$370000,1841,$201,35,63.86%,$1142,50.08%,334,2572,11.44%,4.5%,68.4%,Elko County,18.30%,73.00%,1.62%,0.99%,60.65%,29.05%,6.55%,N/A,94,37,57,54,15,37%,20%,27,36,90,65%,81%,50%,9.85,1.11,3.18,21.59%,11.32%,29.89%,40.4,31,5.7,20.7,77,4599,4.1,17.85,NV-22500,40.8381097,-115.7678034
Ely,Nevada,3957,519,None,N/A,$77076,16.3%,39,N/A,N/A,N/A,57,65.97%,$982,49.54%,N/A,N/A,9.45%,3.94%,69.31%,White Pine County,18.70%,72.20%,0.91%,1.82%,74.07%,21.0%,1.84%,N/A,89,40,49,50,11,36%,22%,24,34,85,73%,80%,67%,9.54,1.81,2.56,19.45%,15.82%,23.89%,62.0,29,5.7,34.6,96,5727,4.5,7.63,NV-23500,39.2649336,-114.8708635
Empire,Nevada,162,32,Reno,483805,N/A,0.0%,49,N/A,N/A,N/A,61,0.0%,N/A,46.43%,N/A,N/A,0.0%,0.0%,57.86%,Washoe County,46.40%,45.10%,0.0%,0.0%,100.0%,0.0%,0.0%,Pacific Standard Time,96,42,54,63,22,31%,19%,29,38,92,81%,92%,65%,9.06,1.07,3.47,11.07%,4.84%,15.0%,3.0,0,6.4,15.0,90,3615,5.1,5.13,NV-23700,40.5759168,-119.3430733
Enterprise,Nevada,225461,3416,Las Vegas-Henderson-Paradise,2231147,$91165,33.7%,36,$435000,1843,$236,14,60.66%,$1700,50.94%,N/A,N/A,8.87%,6.62%,73.32%,Clark County,52.40%,41.70%,22.34%,11.23%,38.78%,19.57%,23.7%,Pacific Standard Time,107,57,50,82,37,20%,14%,29,39,104,84%,90%,77%,3.99,0.82,1.53,7.53%,6.92%,11.11%,0.3,0,N/A,13.4,63,2079,5.8,66.0,NV-23770,36.0091451,-115.2278171
