City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Aberdeen,North Carolina,8674,855,Pinehurst-Southern Pines,98618,$69758,31.56%,36,$450000,2514,$179,19,76.66%,$952,44.44%,519,3813,8.12%,3.71%,68.77%,Moore County,33.50%,62.60%,2.37%,15.67%,72.46%,5.33%,5.31%,N/A,91,53,38,69,31,53%,56%,47,66,100,59%,61%,55%,50.86,16.44,10.66,31.26%,35.49%,32.67%,2.1,0,6.5,42.5,62,363,4.9,10.15,NC-00160,35.1350178,-79.4325282
Advance,North Carolina,1605,224,Winston-Salem,672914,$91528,26.69%,39,$229000,1748,$131,25,93.83%,$843,38.37%,N/A,N/A,12.4%,0.0%,62.26%,Davie County,24.20%,71.70%,1.99%,4.11%,87.35%,1.31%,5.36%,Eastern Standard Time,88,50,38,66,25,52%,55%,46,65,93,64%,68%,58%,49.83,14.14,11.65,33.37%,36.37%,34.67%,6.4,0,6.4,41.5,63,765,4.4,7.16,NC-00440,35.946812,-80.4044394
Ahoskie,North Carolina,4841,1100,None,N/A,$38063,21.28%,39,N/A,N/A,N/A,53,46.54%,$820,63.57%,1173,5301,23.87%,11.94%,52.6%,Hertford County,67.80%,30.40%,3.24%,60.36%,24.66%,5.52%,5.99%,N/A,88,50,38,69,28,57%,59%,48,66,95,61%,65%,57%,51.93,16.67,10.27,31.56%,31.65%,33.33%,7.2,1,7.7,34.9,72,93,4.5,4.4,NC-00500,36.2841269,-76.990105
Alamance,North Carolina,1287,1609,Burlington,169185,$93309,41.09%,40,N/A,N/A,N/A,18,96.8%,$1095,33.26%,N/A,N/A,8.68%,0.18%,63.33%,Alamance County,41.90%,54.50%,0.31%,3.19%,81.66%,12.98%,3.34%,Eastern Standard Time,91,52,39,70,30,53%,56%,46,65,100,59%,61%,55%,42.27,11.66,8.98,34.63%,38.02%,33.22%,7.5,2,6.5,41.5,64,564,4.8,0.8,NC-00640,36.0284844,-79.4890172
Albemarle,North Carolina,16444,942,Albemarle,62148,$51673,21.07%,40,$242000,1407,$172,57,57.32%,$863,58.77%,904,5466,21.59%,6.59%,58.18%,Stanly County,23.70%,73.40%,3.25%,24.54%,63.33%,6.53%,4.85%,N/A,89,51,38,69,31,52%,55%,47,66,95,64%,68%,58%,47.29,14.49,10.86,23.01%,24.51%,24.78%,3.9,0,6.4,38.3,55,558,4.9,17.46,NC-00680,35.3592851,-80.1914618
Alliance,North Carolina,842,403,New Bern,123024,$39432,9.91%,64,N/A,N/A,N/A,30,80.02%,$295,44.37%,N/A,N/A,20.54%,6.95%,33.51%,Pamlico County,35.60%,62.00%,0.0%,17.58%,76.48%,4.16%,3.44%,Eastern Standard Time,88,56,32,70,35,53%,56%,47,66,93,59%,61%,55%,60.13,20.41,12.2,32.19%,38.24%,34.44%,1.0,0,6.5,42.5,85,6,4.5,2.09,NC-01000,35.1435081,-76.8084609
Altamahaw,North Carolina,424,312,Burlington,169185,$72083,26.78%,45,N/A,N/A,N/A,45,95.66%,N/A,44.05%,N/A,N/A,6.37%,9.71%,82.74%,Alamance County,41.90%,54.50%,0.0%,1.89%,98.11%,0.0%,0.0%,Eastern Standard Time,90,52,38,69,32,53%,56%,46,65,98,59%,61%,55%,42.27,11.66,8.98,34.63%,38.02%,33.22%,8.5,0,6.5,41.5,66,603,4.8,1.36,NC-01140,36.1867713,-79.5050833
Andrews,North Carolina,2086,1213,None,N/A,$34939,13.36%,46,N/A,N/A,N/A,36,50.81%,$744,56.1%,N/A,N/A,26.59%,12.93%,58.78%,Cherokee County,20.20%,76.50%,0.0%,3.31%,73.78%,19.51%,9.44%,N/A,84,49,35,63,24,57%,58%,48,66,87,57%,66%,44%,65.42,16.85,18.47,39.53%,45.05%,43.22%,4.3,1,6.0,46.1,82,1638,4.8,1.72,NC-01380,35.1993656,-83.8258143
Angier,North Carolina,5348,1671,Dunn,137058,$54936,26.11%,41,$330000,1765,$187,25,64.9%,$797,52.1%,N/A,N/A,9.26%,3.37%,59.37%,Harnett County,36.30%,59.90%,1.65%,12.55%,59.09%,22.21%,11.71%,N/A,90,53,37,70,30,53%,56%,47,66,98,59%,61%,55%,50.12,15.49,10.19,30.47%,34.73%,31.0%,4.5,2,6.5,42.5,63,408,4.9,3.2,NC-01400,35.5117618,-78.7403746
Ansonville,North Carolina,671,456,None,N/A,$48500,5.54%,46,N/A,N/A,N/A,44,72.96%,$942,67.56%,N/A,N/A,27.57%,2.51%,64.39%,Anson County,55.60%,42.70%,0.0%,85.39%,13.71%,0.89%,0.75%,N/A,89,51,38,69,31,52%,55%,47,66,95,64%,68%,58%,49.64,15.13,11.13,23.01%,24.51%,24.78%,3.9,0,6.4,38.3,66,438,5,1.47,NC-01420,35.1041818,-80.1096921
