City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931
Alpine,Utah,10197,1282,Provo-Orem,663181,90,38,52,22,93,222,70,38.8,29.5,5,6,19,29,57.97%,$98589,3.1%,N/A,N/A,$869000,4218,$206,23,84.80%,8%,44%,17%,83,26 mins,2.90%,N/A,12.50%,Utah County,14.00%,50.20%,N/A,N/A,96.35%,1.70%,2.8%,Mountain Standard Time,4227,4.5,31.00%,33,N/A,49,16.3%,9.45,0,1,417
Alta,Utah,351,77,Salt Lake City,1240029,90,38,52,22,93,225,71,42.2,32.6,5,11,30,29,34.25%,$77500,0%,$1665,1056,$1250400,N/A,N/A,32,11.90%,10%,52%,43%,85,22 mins,2.90%,1.50%,1153.60%,Salt Lake County,41.50%,32.60%,N/A,N/A,74.12%,N/A,2.1%,Mountain Standard Time,4260,4.7,86.70%,19,N/A,8,11.9%,0.00,0,0,430
Altamont,Utah,186,989,None,0,85,33,52,11,62,230,40,36.5,23.8,6,9,24,27,19.09%,$73750,4%,N/A,N/A,$204500,N/A,N/A,37,70.40%,9%,25%,21%,89,20 mins,4.60%,-0.70%,-21.90%,Duchesne County,7.20%,78.80%,N/A,N/A,97.04%,8.10%,0%,N/A,N/A,4.7,41.90%,9,N/A,29,15.9%,123.84,0,0,10
Alton,Utah,143,63,None,0,82,38,44,15,72,259,80,35.6,23.2,7,8,22,31,20.40%,$33750,11.5%,N/A,N/A,$300700,N/A,N/A,22,39.80%,16%,32%,17%,94,12 mins,2.60%,1.70%,-35.90%,Kane County,20.90%,64.00%,N/A,N/A,94.50%,N/A,0%,N/A,N/A,6,27.50%,0,N/A,17,12.5%,55.87,0,0,136
Amalga,Utah,577,166,Logan,144219,89,31,58,17,101,219,56,39.7,29.6,5,8,22,27,24.11%,$65441,9.5%,$1125,1298,$263500,N/A,N/A,41,81.30%,12%,37%,36%,89,17 mins,2.70%,1.00%,3.20%,Cache County,18.30%,45.20%,N/A,N/A,96.23%,20.30%,10.3%,Mountain Standard Time,4507,4.7,31.00%,0,N/A,21,14.8%,0.00,0,0,278
American Fork,Utah,28507,2673,Provo-Orem,663181,91,38,53,15,80,230,34,40.2,30.7,5,7,32,27,39.65%,$66687,5.4%,$1368,966,$415000,2243,$185,27,73.50%,12%,50%,45%,77,20 mins,3.20%,N/A,12.40%,Utah County,14.00%,50.20%,N/A,N/A,92.36%,8.50%,4.7%,Mountain Standard Time,4227,4.5,39.40%,34,19,45,18.6%,25.77,0,1,360
Aneth,Utah,490,44,None,0,95,43,52,9,48,246,9,45.9,31.7,7,16,41,26,3.20%,$34250,41.7%,N/A,N/A,$92500,N/A,N/A,33,59.20%,4%,22%,21%,89,20 mins,5.20%,1.30%,42.00%,San Juan County,36.90%,47.80%,N/A,N/A,N/A,N/A,0%,N/A,N/A,6,72.20%,0,N/A,15,10.2%,21.37,0,0,3
Annabella,Utah,922,1312,None,0,91,40,51,9,73,254,36,37.9,27,6,7,18,30,26.14%,$60865,3.6%,N/A,N/A,$248000,N/A,N/A,40,85.90%,10%,35%,30%,93,16 mins,3.50%,-0.10%,38.90%,Sevier County,8.00%,77.90%,N/A,N/A,98.84%,3.40%,0.8%,N/A,N/A,4.9,27.30%,0,N/A,25,16.6%,27.82,0,0,236
Antimony,Utah,125,13,None,0,83,38,45,13,69,256,71,37.9,24.8,N/A,9,23,60,N/A,$50313,0%,N/A,N/A,$151800,N/A,N/A,43,48.30%,5%,26%,20%,97,14 mins,4.00%,-1.80%,58.20%,Garfield County,15.30%,68.50%,N/A,N/A,100.00%,3.20%,0%,N/A,N/A,4.9,32.10%,12,N/A,23,13.5%,100.00,0,0,145
Apple Valley,Utah,946,24,St. George,184913,99,52,47,14,57,257,3,38.5,27.6,N/A,9,23,37,N/A,$50156,4.1%,N/A,N/A,$299300,N/A,N/A,18,65.00%,13%,48%,27%,92,18 mins,3.40%,3.50%,51.90%,Washington County,16.50%,68.40%,N/A,N/A,98.81%,N/A,0%,Mountain Standard Time,2880,6,31.90%,4,N/A,5,19.0%,14.53,1,0,181
Aurora,Utah,903,869,None,0,91,40,51,10,73,259,39,37.7,27.3,6,7,19,41,14.60%,$58333,6.5%,N/A,N/A,$225200,N/A,N/A,43,88.60%,10%,34%,30%,94,16 mins,3.50%,-0.10%,-17.70%,Sevier County,8.00%,77.90%,N/A,N/A,95.81%,N/A,0%,N/A,N/A,4.9,23.30%,0,N/A,N/A,13.6%,52.03,0,0,405
Avon,Utah,199,28,Logan,144219,87,32,55,23,103,222,80,39.7,29.6,5,6,15,55,N/A,$63125,4.2%,N/A,N/A,$371100,N/A,N/A,29,79.30%,12%,36%,34%,94,17 mins,2.70%,1.00%,-46.80%,Cache County,18.30%,45.20%,N/A,N/A,100.00%,N/A,0%,Mountain Standard Time,4507,4.7,14.60%,0,N/A,N/A,13.9%,0.00,0,0,163
Ballard,Utah,915,65,Vernal,35970,92,30,62,7,52,238,15,37.9,25.2,4,10,25,34,10.67%,$70208,12.5%,N/A,N/A,$203800,N/A,N/A,28,77.20%,9%,43%,36%,78,19 mins,4.80%,0.80%,63.70%,Uintah County,7.70%,76.30%,N/A,1.42%,89.55%,11.80%,2.9%,N/A,N/A,4.6,47.80%,39,N/A,N/A,16.4%,15.82,0,0,4
Bear River City,Utah,839,467,Ogden-Clearfield,691359,92,36,56,17,83,223,41,41.7,31.5,5,8,20,34,N/A,$61458,5.5%,N/A,N/A,$231500,N/A,N/A,39,89.30%,13%,48%,45%,90,26 mins,3.00%,0.40%,-13.60%,Box Elder County,11.50%,61.50%,2.68%,N/A,97.32%,1.80%,0.3%,Mountain Standard Time,4300,4.7,32.20%,9,N/A,30,16.8%,11.51,0,0,306
Beaver,Utah,3020,452,None,0,89,42,47,10,66,257,34,38.6,26.6,6,10,31,31,21.57%,$47782,5.7%,N/A,N/A,$215000,N/A,N/A,45,63.30%,10%,36%,21%,93,16 mins,3.50%,-1.40%,1.20%,Beaver County,10.50%,73.40%,N/A,N/A,97.36%,4.20%,2.4%,N/A,N/A,4.7,32.80%,55,N/A,44,15.3%,49.04,0,0,338
Benjamin,Utah,1213,99,Provo-Orem,663181,93,38,55,20,94,226,51,40.7,30.7,5,8,20,39,36.02%,$68424,2.8%,N/A,N/A,$498100,N/A,N/A,35,86.20%,11%,49%,37%,87,21 mins,2.90%,N/A,22.90%,Utah County,14.00%,50.20%,N/A,N/A,100.00%,4.40%,2.5%,Mountain Standard Time,4227,4.5,33.40%,0,N/A,25,16.7%,0.00,0,0,104
Benson,Utah,1274,42,Logan,144219,89,31,58,18,99,222,54,39.7,29.6,5,8,21,33,37.61%,$61800,3.4%,$1729,1117,$259100,N/A,N/A,47,87.10%,12%,37%,34%,89,17 mins,2.70%,1.00%,-11.80%,Cache County,18.30%,45.20%,N/A,N/A,98.84%,2.00%,0.9%,Mountain Standard Time,4507,4.7,40.00%,0,N/A,26,9.0%,0.00,0,0,315
