City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Albany village,Vermont,176,114,None,8027993,$64000,9.82%,41,N/A,N/A,N/A,78,92.05%,N/A,20.16%,N/A,N/A,2.27%,0.0%,53.23%,Orleans County,43.00%,42.80%,0.0%,0.0%,84.66%,13.07%,0.0%,N/A,76,26,50,49.1,141.7,8.2,92,1863,3,1.54,VT-00400,44.7301426,-72.3809891,49%,60%,42%,58%,54%,23.6,35,57,57,7,14.74,10.47,43.29%,48.24%,39.78%,84
Alburgh,Vermont,1648,2575,Burlington-South Burlington,231329,$55733,19.72%,N/A,$329000,1828,$180,40,40.80%,N/A,N/A,N/A,N/A,10.8%,2.20%,N/A,Grand Isle County,51.00%,36.20%,N/A,N/A,N/A,N/A,0%,Eastern Standard Time,81,30,51,36.36,48.8,8.2,84,162,3.1,0.64,VT-00625,44.9767282,-73.3025697,49%,60%,42%,58%,54%,23.6,35,57,59,12,11.7,6.61,39.67%,46.15%,33.89%,30
Alburgh village,Vermont,545,852,Burlington-South Burlington,231329,$42125,N/A,N/A,$329000,1828,$180,39,42.90%,N/A,N/A,N/A,N/A,N/A,2.20%,N/A,Grand Isle County,51.00%,36.20%,N/A,N/A,N/A,2.20%,N/A,Eastern Standard Time,81,30,51,36.36,48.8,8.2,84,162,3.1,0.64,VT-00625,44.9767282,-73.3025697,49%,60%,42%,58%,54%,23.6,35,57,59,12,11.7,6.61,39.67%,46.15%,33.89%,30
Andover,Vermont,534,19,Claremont-Lebanon,228819,$46304,40.81%,N/A,N/A,N/A,N/A,37,38.70%,N/A,41.40%,N/A,N/A,N/A,2.00%,N/A,Windsor County,58.70%,28.80%,N/A,N/A,N/A,N/A,N/A,N/A,76,28,48,50.64,73.4,6.0,89,1578,3.3,28.11,VT-01300,43.2863686,-72.7228999,55%,62%,53%,53%,51%,17.7,35,57,58,9,14.35,12.54,40.44%,49.23%,37.11%,33
Arlington,Vermont,1483,386,Bennington,39057,$62564,30.35%,36,$335000,1948,$172,67,80.45%,$982,45.91%,N/A,N/A,7.22%,7.09%,67.0%,Bennington County,54.90%,34.10%,3.78%,0.0%,88.13%,6.27%,7.28%,N/A,82,33,49,39.98,73.4,7.9,91,756,3.4,3.84,VT-01375,43.0685084,-73.1467799,50%,58%,45%,57%,55%,22.7,37,58,58,15,13.3,7.55,41.04%,45.16%,40.44%,33
Ascutney,Vermont,380,225,Claremont-Lebanon,228819,$53056,15.73%,58,$175000,2397,$73,54,97.89%,N/A,61.49%,N/A,N/A,15.58%,10.37%,45.0%,Windsor County,58.70%,28.80%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,84,31,53,44.81,68.9,6.0,84,513,3.3,1.69,VT-01750,43.4080052,-72.4068432,55%,62%,53%,53%,51%,17.7,35,57,58,11,12.86,9.84,33.51%,36.48%,31.89%,27
Bakersfield,Vermont,431,414,Burlington-South Burlington,231329,$65104,34.64%,52,N/A,N/A,N/A,73,94.66%,N/A,44.02%,N/A,N/A,0.0%,0.0%,55.98%,Franklin County,43.70%,40.90%,0.0%,0.0%,85.61%,9.05%,1.62%,Eastern Standard Time,82,28,54,42.23,48.8,8.2,90,390,2.9,1.04,VT-02425,44.7820218,-72.8032772,49%,60%,42%,58%,54%,23.6,35,57,56,5,12.67,8.08,52.96%,50.99%,60.78%,30
Baltimore,Vermont,282,61,Claremont-Lebanon,228819,$75625,15.76%,N/A,N/A,N/A,N/A,42,85.70%,N/A,41.80%,N/A,N/A,N/A,2.00%,N/A,Windsor County,58.70%,28.80%,N/A,N/A,N/A,N/A,N/A,N/A,83,31,52,41.18,68.9,6.0,90,528,3.3,4.62,VT-02575,43.3596264,-72.5659379,55%,62%,53%,53%,51%,17.7,35,57,59,12,11.99,8.8,40.44%,49.23%,37.11%,27
Barnard,Vermont,760,16,Claremont-Lebanon,228819,$59476,41.63%,N/A,N/A,N/A,N/A,35,44.40%,N/A,34.10%,N/A,N/A,N/A,2.00%,N/A,Windsor County,58.70%,28.80%,N/A,N/A,N/A,N/A,N/A,N/A,82,31,51,46.7,84.9,8.2,89,1449,3.3,47.5,VT-02725,43.7294189,-72.6246918,49%,60%,42%,58%,54%,23.6,35,57,58,9,13.98,10.04,41.32%,44.18%,43.11%,34
Barre,Vermont,8778,2200,Barre,66247,$40679,23.66%,N/A,$240000,1538,$156,71,43.10%,N/A,65.40%,103,571,21.3%,2.00%,N/A,Washington County,59.80%,25.70%,N/A,1.15%,N/A,2.50%,2.3%,N/A,79,27,52,42.14,118.2,8.2,66,1029,2.9,3.99,VT-03250,44.1858459,-72.4818107,49%,60%,42%,58%,54%,23.6,35,57,57,9,14.03,7.66,45.53%,46.92%,47.22%,69
