City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year,Hottest month's avg heat index high (F)
Albany,Ohio,955,718,Athens,154428,$51719,21.3%,36,N/A,N/A,N/A,45,78.39%,$681,50.21%,N/A,N/A,8.49%,0.24%,59.54%,Athens County,55.10%,38.20%,0.0%,1.36%,96.75%,1.88%,0.73%,N/A,83,38,45,47.37,11.2,5.7,73,867,5.4,1.33,OH-01042,39.2244774,-82.197478,45%,54%,35%,57%,58%,42.0,44,64,64,21,14.48,10.56,39.37%,37.03%,44.33%,3,85
Alexander,Ohio,2826,76,Athens,154428,$50275,28.73%,N/A,N/A,N/A,N/A,38,73.20%,N/A,46.60%,N/A,N/A,N/A,7.10%,N/A,Athens County,55.10%,38.20%,N/A,1.87%,N/A,2.40%,N/A,N/A,83,38,45,47.37,11.2,5.7,73,867,5.4,37.18,OH-01112,39.2412364,-82.1314825,45%,54%,35%,57%,58%,42.0,44,64,64,21,14.48,10.56,39.37%,37.03%,44.33%,3,85
Ames,Ohio,1211,32,Athens,154428,$52462,25.98%,N/A,N/A,N/A,N/A,35,63.80%,N/A,44.50%,N/A,N/A,N/A,7.10%,N/A,Athens County,55.10%,38.20%,N/A,N/A,N/A,N/A,N/A,N/A,83,38,45,45.9,11.2,7.6,75,702,5.4,37.84,OH-01770,39.4131317,-82.0019916,45%,54%,35%,58%,55%,42.0,44,64,64,21,13.23,10.72,39.37%,37.03%,44.33%,3,85
Amesville,Ohio,135,587,Athens,154428,$54167,28.7%,57,N/A,N/A,N/A,60,91.11%,N/A,32.8%,N/A,N/A,8.89%,7.04%,58.68%,Athens County,55.10%,38.20%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,83,38,45,45.9,11.2,7.6,75,702,5.4,0.23,OH-01784,39.4013934,-81.9548674,45%,54%,35%,58%,55%,42.0,44,64,64,21,13.23,10.72,39.37%,37.03%,44.33%,3,85
Athens,Ohio,24978,2520,Athens,154428,$31656,63.76%,22,$260000,1595,$163,49,31.06%,$873,85.7%,64,1608,48.58%,6.4%,52.85%,Athens County,55.10%,38.20%,5.15%,5.71%,81.59%,3.0%,8.28%,N/A,83,38,45,43.09,11.2,7.6,44,627,5.4,9.91,OH-02736,39.3270073,-82.0988169,45%,54%,35%,58%,55%,42.0,44,64,64,21,12.14,10.15,39.37%,37.03%,44.33%,3,85
Athens township (Athens Cnty),Ohio,24978,2520,Athens,154428,$31656,63.76%,22,$260000,1595,$163,49,31.06%,$873,85.7%,64,1608,48.58%,6.4%,52.85%,Athens County,55.10%,38.20%,5.15%,5.71%,81.59%,3.0%,8.28%,N/A,83,38,45,43.09,11.2,7.6,50,627,5.4,9.91,OH-02736,39.3270073,-82.0988169,45%,54%,35%,58%,55%,42.0,44,64,64,21,12.14,10.15,39.37%,37.03%,44.33%,3,85
Bern,Ohio,791,25,Athens,154428,$44449,N/A,N/A,N/A,N/A,N/A,40,58.10%,N/A,38.20%,N/A,N/A,N/A,7.10%,N/A,Athens County,55.10%,38.20%,N/A,12.48%,N/A,1.90%,N/A,N/A,83,38,45,45.9,11.2,7.6,75,702,5.4,31.64,OH-05942,39.4081169,-81.895748,45%,54%,35%,58%,55%,43.8,44,63,64,21,13.23,10.72,39.37%,37.03%,44.33%,3,85
Buchtel,Ohio,499,1062,Athens,154428,$39375,13.17%,47,N/A,N/A,N/A,60,66.53%,$775,43.11%,N/A,N/A,10.42%,6.55%,59.95%,Athens County,55.10%,38.20%,0.0%,0.2%,78.16%,2.0%,0.0%,N/A,83,38,45,41.59,11.2,7.6,74,639,5.4,0.47,OH-09834,39.4632799,-82.1809727,45%,54%,35%,58%,55%,42.0,44,64,64,21,12.31,9.19,29.29%,26.37%,35.11%,3,85
Canaan township (Athens Cnty),Ohio,1697,45,Athens,154428,$29771,N/A,N/A,N/A,N/A,N/A,34,49.30%,N/A,52.00%,N/A,N/A,N/A,7.10%,N/A,Athens County,55.10%,38.20%,N/A,N/A,N/A,2.60%,N/A,N/A,83,38,45,47.37,11.2,5.7,72,867,5.4,37.71,OH-11220,39.3247441,-82.009065,45%,54%,35%,57%,58%,42.0,44,64,64,21,14.48,10.56,39.37%,37.03%,44.33%,3,85
Carthage,Ohio,1363,35,Athens,154428,$45074,18.93%,N/A,N/A,N/A,N/A,34,65.90%,N/A,40.30%,N/A,N/A,N/A,7.10%,N/A,Athens County,55.10%,38.20%,N/A,1.57%,N/A,N/A,N/A,N/A,83,38,45,45.9,11.2,4.6,73,702,5.4,38.94,OH-12336,39.2307375,-81.8987687,45%,54%,35%,56%,57%,43.8,44,63,64,21,13.23,10.72,39.37%,37.03%,44.33%,3,85
