City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Bonneau,South Carolina,1801,596,Charleston-North Charleston,514821,N/A,18.47%,38,$500000,2092,$239,44,95.56%,$1269,58.71%,N/A,N/A,53.36%,3.45%,31.91%,Berkeley County,38.60%,56.10%,0.0%,74.24%,25.26%,0.06%,0.0%,Eastern Standard Time,94,59,35,74,39,50%,52%,54,70,104,64%,67%,57%,52.05,17.78,10.81,30.74%,38.02%,31.67%,0.6,0,7.9,54.4,63,45,4.7,3.02,SC-07525,33.3080922,-79.9573425
Bonneau Beach,South Carolina,1294,551,Charleston-North Charleston,514821,$44609,19.61%,57,N/A,N/A,N/A,29,68.55%,$720,23.86%,N/A,N/A,5.33%,0.0%,38.07%,Berkeley County,38.60%,56.10%,0.0%,0.0%,95.13%,0.0%,0.0%,Eastern Standard Time,94,59,35,74,39,50%,52%,54,70,104,64%,67%,57%,52.05,17.78,10.81,30.74%,38.02%,31.67%,0.6,0,7.9,54.4,63,45,4.7,2.35,SC-07535,33.3228658,-79.9899813
Goose Creek,South Carolina,42944,1041,Charleston-North Charleston,514821,$74730,27.3%,32,$315000,1658,$190,24,71.4%,$1353,47.32%,N/A,N/A,8.75%,4.39%,71.98%,Berkeley County,38.60%,56.10%,4.38%,19.51%,61.4%,9.96%,6.71%,Eastern Standard Time,91,61,30,74,39,50%,52%,54,70,98,64%,67%,57%,53.9,20.2,10.31,29.59%,39.34%,28.67%,0.6,0,7.9,54.4,54,48,4.7,41.26,SC-29815,32.9926775,-80.0054591
Hanahan,South Carolina,25743,2445,Charleston-North Charleston,514821,$71291,34.92%,36,$382000,1721,$222,31,67.2%,$1108,45.82%,204,1280,12.47%,3.59%,68.97%,Berkeley County,38.60%,56.10%,5.02%,12.78%,69.81%,10.19%,9.27%,Eastern Standard Time,91,61,30,74,39,50%,52%,54,70,98,64%,67%,57%,55.33,19.98,11.03,29.59%,39.34%,28.67%,0.6,0,7.9,54.4,51,48,4.7,10.53,SC-32065,32.9302195,-80.0026834
Jamestown,South Carolina,114,187,Charleston-North Charleston,514821,N/A,13.89%,56,N/A,N/A,N/A,42,75.44%,$1271,41.23%,1204,4819,4.39%,0.0%,63.16%,Berkeley County,38.60%,56.10%,0.0%,31.58%,63.16%,0.0%,3.51%,Eastern Standard Time,93,60,33,71,35,50%,52%,54,70,102,64%,67%,57%,51.07,17.18,10.26,30.74%,38.02%,31.67%,0.6,0,7.9,54.4,64,33,4.7,0.61,SC-36475,33.285876,-79.6945919
Ladson,South Carolina,15252,2170,Charleston-North Charleston,514821,$63820,17.41%,34,$275000,1486,$185,36,70.43%,$1190,54.76%,N/A,N/A,11.15%,6.65%,59.82%,Berkeley County,38.60%,56.10%,1.17%,17.43%,62.84%,5.32%,3.04%,Eastern Standard Time,91,59,32,71,35,50%,52%,54,70,99,64%,67%,57%,53.9,20.2,10.31,29.59%,39.34%,28.67%,0.6,0,7.9,54.4,53,48,4.7,7.03,SC-39220,33.0092457,-80.1077514
Moncks Corner,South Carolina,11370,1059,Charleston-North Charleston,514821,$67151,20.77%,35,$345000,2054,$168,18,71.02%,$924,45.99%,458,3470,13.19%,3.56%,64.06%,Berkeley County,38.60%,56.10%,0.28%,30.91%,63.47%,2.66%,2.74%,Eastern Standard Time,94,59,35,74,39,50%,52%,54,70,104,64%,67%,57%,52.05,17.78,10.81,30.74%,38.02%,31.67%,0.6,0,7.9,54.4,59,45,4.7,10.74,SC-47275,33.1732458,-80.0106421
Pinopolis,South Carolina,1130,790,Charleston-North Charleston,514821,$105270,35.17%,58,N/A,N/A,N/A,45,98.32%,N/A,17.82%,N/A,N/A,1.59%,0.0%,51.01%,Berkeley County,38.60%,56.10%,0.0%,3.72%,94.69%,0.0%,4.42%,Eastern Standard Time,94,59,35,74,39,50%,52%,54,70,104,64%,67%,57%,52.05,17.78,10.81,30.74%,38.02%,31.67%,0.6,0,7.9,54.4,65,45,4.7,1.43,SC-57175,33.2286179,-80.0386018
Russellville,South Carolina,173,46,Charleston-North Charleston,514821,N/A,0.0%,61,N/A,N/A,N/A,28,100.0%,N/A,64.16%,N/A,N/A,36.99%,0.0%,21.39%,Berkeley County,38.60%,56.10%,0.0%,63.58%,36.42%,0.0%,0.0%,Eastern Standard Time,94,59,35,74,39,50%,52%,54,70,104,64%,67%,57%,52.05,17.78,10.81,30.74%,38.02%,31.67%,0.6,0,7.9,54.4,64,45,4.7,3.74,SC-62305,33.3970224,-79.9637398
Sangaree,South Carolina,9249,4556,Charleston-North Charleston,514821,$64861,12.19%,40,$261000,1366,$191,35,76.55%,$1264,52.5%,N/A,N/A,12.36%,4.21%,69.45%,Berkeley County,38.60%,56.10%,0.49%,21.66%,70.01%,3.91%,2.88%,Eastern Standard Time,91,59,32,71,35,50%,52%,54,70,99,64%,67%,57%,53.9,20.2,10.31,29.59%,39.34%,28.67%,0.6,0,7.9,54.4,53,48,4.7,2.03,SC-63665,33.0327317,-80.1252925
