City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Bear River City,Utah,863,479,Ogden-Clearfield,687274,$87917,21.97%,37,N/A,N/A,N/A,40,88.38%,$1579,34.51%,N/A,N/A,5.45%,2.38%,68.14%,Box Elder County,11.50%,61.50%,1.74%,0.46%,82.5%,10.78%,6.49%,Mountain Standard Time,92,36,56,59,17,43%,23%,33,44,88,66%,83%,47%,14.92,1.57,4.19,20.08%,8.68%,26.33%,52.3,28,8.4,39.0,90,3876,4.7,1.8,UT-03950,41.6123775,-112.1249529
Brigham City,Utah,19796,805,Ogden-Clearfield,687274,$66435,29.25%,33,$399000,2361,$169,49,67.67%,$949,42.79%,209,1725,10.43%,3.96%,62.92%,Box Elder County,11.50%,61.50%,1.05%,0.76%,82.6%,10.6%,3.01%,Mountain Standard Time,92,36,56,59,17,43%,23%,33,44,88,66%,83%,47%,19.23,2.38,5.82,20.08%,8.68%,26.33%,52.3,28,8.4,39.0,78,4041,4.7,24.58,UT-08460,41.5034851,-112.0453322
Corinne,Utah,836,221,Ogden-Clearfield,687274,$74844,22.29%,32,N/A,N/A,N/A,42,83.19%,$1000,39.4%,N/A,N/A,16.75%,2.59%,67.35%,Box Elder County,11.50%,61.50%,0.84%,0.0%,86.6%,6.58%,1.67%,Mountain Standard Time,92,36,56,59,17,43%,23%,33,44,88,66%,83%,47%,14.92,1.57,4.19,20.08%,8.68%,26.33%,52.3,28,8.4,39.0,90,3876,4.7,3.78,UT-15830,41.5497133,-112.122757
Deweyville,Utah,345,54,Ogden-Clearfield,687274,$87500,34.33%,43,N/A,N/A,N/A,43,90.81%,N/A,27.68%,N/A,N/A,2.92%,1.18%,64.39%,Box Elder County,11.50%,61.50%,0.0%,0.0%,87.83%,9.57%,2.32%,Mountain Standard Time,90,31,59,61,16,43%,23%,33,44,86,66%,83%,47%,17.14,2.02,5.07,24.16%,12.09%,32.0%,52.3,28,8.4,39.0,89,3957,4.7,6.38,UT-19680,41.6930163,-112.0883465
Elwood,Utah,1643,204,Ogden-Clearfield,687274,$99375,22.44%,32,N/A,N/A,N/A,24,88.7%,$1375,33.86%,N/A,N/A,3.29%,5.37%,72.4%,Box Elder County,11.50%,61.50%,1.28%,0.0%,92.94%,5.78%,0.97%,Mountain Standard Time,92,36,56,59,17,43%,23%,33,44,88,66%,83%,47%,17.14,2.02,5.07,20.08%,8.68%,26.33%,52.3,28,8.4,39.0,85,3957,4.7,8.06,UT-22760,41.6758009,-112.137633
Fielding,Utah,643,1261,Ogden-Clearfield,687274,$75000,15.07%,27,N/A,N/A,N/A,40,72.47%,$914,40.05%,N/A,N/A,5.14%,6.25%,67.29%,Box Elder County,11.50%,61.50%,0.0%,0.47%,94.87%,4.35%,0.0%,Mountain Standard Time,90,31,59,61,16,43%,23%,33,44,86,66%,83%,47%,16.63,2.11,4.91,24.16%,12.09%,32.0%,52.3,28,8.4,39.0,89,3924,4.7,0.51,UT-25290,41.8126566,-112.1173902
Garland,Utah,2609,1441,Ogden-Clearfield,687274,$65369,17.56%,31,$332000,2000,$166,31,71.77%,$794,42.59%,N/A,N/A,13.37%,3.45%,63.96%,Box Elder County,11.50%,61.50%,0.96%,0.0%,75.32%,24.15%,6.21%,Mountain Standard Time,90,31,59,61,16,43%,23%,33,44,86,66%,83%,47%,17.14,2.02,5.07,24.16%,12.09%,32.0%,52.3,28,8.4,39.0,89,3957,4.7,1.81,UT-28150,41.736198,-112.1626882
Honeyville,Utah,1383,118,Ogden-Clearfield,687274,$80347,26.57%,40,N/A,N/A,N/A,33,85.77%,$1036,32.05%,N/A,N/A,6.76%,3.11%,61.06%,Box Elder County,11.50%,61.50%,1.3%,0.0%,93.42%,4.34%,2.39%,Mountain Standard Time,92,36,56,59,17,43%,23%,33,44,88,66%,83%,47%,17.14,2.02,5.07,20.08%,8.68%,26.33%,52.3,28,8.4,39.0,89,3957,4.7,11.74,UT-36290,41.6361308,-112.0856734
Howell,Utah,323,9,Ogden-Clearfield,687274,$86176,3.78%,38,$449000,2467,$182,38,88.76%,N/A,30.12%,N/A,N/A,5.26%,1.14%,67.95%,Box Elder County,11.50%,61.50%,0.0%,0.0%,95.05%,3.41%,0.0%,Mountain Standard Time,90,32,58,59,14,43%,23%,33,44,86,66%,83%,47%,17.05,2.1,4.57,23.04%,12.2%,32.44%,52.3,28,8.4,39.0,93,4380,4.7,35.28,UT-36620,41.7732737,-112.4450459
Mantua,Utah,1642,334,Ogden-Clearfield,687274,$134239,41.37%,29,N/A,N/A,N/A,24,96.46%,$1200,37.92%,N/A,N/A,2.38%,1.22%,59.67%,Box Elder County,11.50%,61.50%,0.06%,1.64%,93.61%,4.02%,0.91%,Mountain Standard Time,92,36,56,59,17,43%,23%,33,44,88,66%,83%,47%,22.53,2.48,7.13,20.08%,8.68%,26.33%,52.3,28,8.4,39.0,90,3990,4.7,4.91,UT-47840,41.5005957,-111.9343456
