City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi),Labor Force Participation rate
Arispie,Illinois,798,22,Ottawa-Peru,145590,86,32,54,37,95,193,22,N/A,N/A,N/A,12,20,N/A,16.83%,$61875,N/A,N/A,N/A,$73100,N/A,N/A,69,73.40%,1%,10%,2%,83,20 mins,4.00%,2.30%,-8.20%,Bureau County,36.40%,56.00%,0.0%,0.0%,89.7%,7.6%,N/A,N/A,N/A,3.7,40.90%,0,N/A,25,N/A,N/A,N/A,2,N/A,N/A,N/A,IL-02076,36.27,N/A
Arlington,Illinois,211,528,Ottawa-Peru,145590,85,30,55,38,101,190,28,60.6,40.9,8,11,19,47,10.0%,$73750,7.58%,$950,N/A,$58400,N/A,N/A,64,80.09%,1%,10%,2%,83,20 mins,9.4%,2.30%,12.00%,Bureau County,36.40%,56.00%,0.0%,0.0%,90.52%,9.48%,2.37%,N/A,N/A,3.7,41.40%,13,N/A,21,14.8%,0.00,3,2,2,N/A,N/A,IL-02102,0.4,64.64%
Berlin township,Illinois,570,640,Ottawa-Peru,145590,85,30,55,38,99,193,27,N/A,N/A,N/A,11,18,N/A,N/A,$51591,N/A,N/A,N/A,$75700,N/A,N/A,67,68.70%,1%,10%,2%,80,21 mins,4.00%,2.30%,-34.10%,Bureau County,36.40%,56.00%,0.0%,0.0%,99.5%,0.5%,N/A,N/A,N/A,3.7,40.90%,0,N/A,25,N/A,0.00,3,2,2,N/A,N/A,IL-05430,0.89,N/A
Buda,Illinois,606,600,Ottawa-Peru,145590,84,30,54,38,105,192,25,60.6,40.9,9,10,5,40,9.77%,$42250,12.87%,$805,N/A,$49300,N/A,N/A,78,79.37%,1%,10%,2%,84,24 mins,10.2%,2.30%,16.80%,Bureau County,36.40%,56.00%,5.12%,0.0%,93.56%,1.82%,3.14%,N/A,N/A,3.7,49.70%,7,N/A,N/A,15.0%,0.00,4,2,1,N/A,N/A,IL-09356,1.01,64.14%
Bureau,Illinois,84,2,Ottawa-Peru,145590,85,30,55,37,93,193,26,N/A,N/A,8,5,10,N/A,N/A,$53375,N/A,N/A,N/A,$102000,N/A,N/A,65,30.50%,1%,11%,2%,82,20 mins,4.00%,2.30%,-77.50%,Bureau County,36.40%,56.00%,0.0%,0.0%,100.0%,0.0%,N/A,N/A,N/A,3.7,36.80%,10,N/A,32,N/A,N/A,N/A,2,N/A,N/A,N/A,IL-09668,42.0,N/A
Bureau Junction,Illinois,220,152,Ottawa-Peru,145590,86,31,55,38,102,190,22,60.8,41.3,8,5,14,41,3.36%,$67500,6.02%,$750,N/A,$34300,N/A,N/A,78,62.73%,1%,10%,2%,83,20 mins,13.7%,2.30%,7.90%,Bureau County,36.40%,56.00%,0.0%,0.0%,96.82%,0.91%,0.0%,N/A,N/A,3.7,60.70%,3,N/A,N/A,11.2%,0.00,4,2,1,N/A,N/A,IL-09681,1.45,76.84%
Cherry,Illinois,479,939,Ottawa-Peru,145590,85,31,54,38,104,192,23,60.6,40.9,8,6,5,50,10.71%,$49583,3.77%,$758,N/A,$67900,N/A,N/A,78,80.79%,1%,10%,2%,84,20 mins,2.58%,2.30%,20.60%,Bureau County,36.40%,56.00%,0.0%,0.0%,93.32%,3.55%,0.42%,N/A,N/A,3.7,41.70%,20,N/A,29,18.6%,0.00,3,2,2,N/A,N/A,IL-12970,0.51,51.87%
Clarion,Illinois,372,11,Ottawa-Peru,145590,84,29,55,38,101,193,28,N/A,N/A,N/A,10,17,N/A,N/A,$63750,N/A,N/A,N/A,$142300,N/A,N/A,78,76.50%,1%,10%,2%,84,20 mins,4.00%,2.30%,-5.80%,Bureau County,36.40%,56.00%,0.0%,0.0%,98.1%,0.8%,N/A,N/A,N/A,3.7,42.20%,0,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,IL-14598,33.82,N/A
Concord township (Bureau Cnty),Illinois,1457,5828,Ottawa-Peru,145590,84,30,54,38,102,193,27,N/A,N/A,N/A,13,22,N/A,N/A,$43661,N/A,N/A,N/A,$54300,N/A,N/A,78,71.30%,1%,10%,2%,84,26 mins,4.00%,2.30%,-12.30%,Bureau County,36.40%,56.00%,1.8%,0.0%,95.1%,2.5%,N/A,N/A,N/A,3.7,43.50%,4,N/A,38,N/A,N/A,N/A,2,N/A,N/A,N/A,IL-16028,0.25,N/A
Dalzell,Illinois,628,766,Ottawa-Peru,145590,85,31,54,37,109,196,21,60.6,40.9,8,11,19,47,22.64%,$63750,4.81%,$800,N/A,$94100,N/A,N/A,54,84.24%,1%,10%,2%,80,20 mins,7.59%,2.30%,5.50%,Bureau County,36.40%,56.00%,0.8%,1.43%,90.61%,5.89%,2.23%,N/A,N/A,3.7,36.70%,13,N/A,16,14.4%,N/A,N/A,2,N/A,N/A,N/A,IL-18459,0.82,71.3%
