City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F)
Bolton,Vermont,50,714,Burlington-South Burlington,221160,$75568,11.43%,55,N/A,N/A,N/A,40,80.0%,N/A,72.0%,N/A,N/A,0.0%,27.91%,86.0%,Chittenden County,65.70%,22.30%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,80,27,53,42,153,88,8.2,91,200,3,0.07,VT-06475,44.374215,-72.8860101,49%,60%,42%,58%,54%,23.6,35,57
Burlington,Vermont,42645,4136,Burlington-South Burlington,221160,$55461,53.97%,27,$494000,1583,$312,63,39.78%,$1279,74.83%,272,1982,24.95%,4.21%,64.45%,Chittenden County,65.70%,22.30%,4.77%,5.14%,82.63%,3.76%,10.66%,Eastern Standard Time,81,28,53,36,149,72,8.2,64,200,3,10.31,VT-10675,44.4876126,-73.2315393,49%,60%,42%,58%,54%,23.6,35,57
Charlotte,Vermont,3818,93,Burlington-South Burlington,221160,$111667,69.85%,N/A,N/A,N/A,N/A,36,74.70%,N/A,31.00%,N/A,N/A,N/A,1.80%,N/A,Chittenden County,65.70%,22.30%,0.3%,0.9%,98.0%,0.3%,N/A,Eastern Standard Time,81,28,53,36,155,79,8.2,86,200,3,41.05,VT-13300,44.3089404,-73.2359132,49%,60%,42%,58%,54%,23.6,35,57
Colchester,Vermont,17309,476,Burlington-South Burlington,221160,$68440,43.05%,N/A,N/A,N/A,N/A,36,62.50%,N/A,56.70%,92,1132,N/A,1.90%,N/A,Chittenden County,65.70%,22.30%,1.9%,1.3%,93.3%,1.7%,N/A,Eastern Standard Time,81,27,54,37,149,72,8.2,80,200,3,36.36,VT-14875,44.5545173,-73.2168443,49%,60%,42%,58%,54%,23.6,35,57
Essex,Vermont,20901,538,Burlington-South Burlington,221160,$73530,52.20%,N/A,N/A,N/A,N/A,36,68.70%,N/A,42.20%,59,1362,N/A,1.90%,N/A,Chittenden County,65.70%,22.30%,5.0%,2.0%,89.1%,2.1%,N/A,Eastern Standard Time,81,27,54,40,156,80,8.2,82,200,3,38.85,VT-24175,44.5195976,-73.0655871,49%,60%,42%,58%,54%,23.6,35,57
Essex Junction,Vermont,10761,2355,Burlington-South Burlington,221160,$76845,47.99%,38,$422000,1991,$212,40,72.45%,$1301,50.02%,N/A,N/A,8.16%,3.64%,75.2%,Chittenden County,65.70%,22.30%,10.25%,1.17%,81.41%,2.36%,15.44%,Eastern Standard Time,81,27,54,40,156,80,8.2,77,200,3,4.57,VT-24400,44.4902189,-73.1140064,49%,60%,42%,58%,54%,23.6,35,57
Hinesburg,Vermont,595,480,Burlington-South Burlington,221160,$52313,63.32%,32,$380000,1532,$248,30,54.07%,$1194,75.05%,65,393,0.5%,4.62%,84.39%,Chittenden County,65.70%,22.30%,0.0%,0.0%,100.0%,0.0%,2.69%,Eastern Standard Time,79,27,52,41,157,87,8.2,88,200,3,1.24,VT-33400,44.3336413,-73.1085505,49%,60%,42%,58%,54%,23.6,35,57
Huntington,Vermont,584,712,Burlington-South Burlington,221160,$87813,34.33%,44,N/A,N/A,N/A,41,94.01%,$1643,47.27%,N/A,N/A,7.19%,2.45%,69.94%,Chittenden County,65.70%,22.30%,0.51%,0.0%,88.87%,3.77%,3.6%,Eastern Standard Time,79,27,52,44,158,98,8.2,91,200,3,0.82,VT-34525,44.3275514,-72.9893609,49%,60%,42%,58%,54%,23.6,35,57
Jericho,Vermont,1077,775,Burlington-South Burlington,221160,$92188,63.02%,34,N/A,N/A,N/A,46,95.36%,N/A,37.5%,N/A,N/A,3.62%,0.0%,72.3%,Chittenden County,65.70%,22.30%,0.0%,0.74%,95.45%,0.84%,1.58%,Eastern Standard Time,79,26,53,41,157,95,8.2,90,200,3,1.39,VT-36625,44.5048644,-72.9878497,49%,60%,42%,58%,54%,23.6,35,57
Milton,Vermont,3913,1254,Burlington-South Burlington,221160,$62292,16.82%,40,$318000,1452,$219,32,67.83%,$1331,44.26%,145,943,9.89%,14.16%,65.15%,Chittenden County,65.70%,22.30%,0.0%,2.63%,96.37%,0.0%,2.53%,Eastern Standard Time,81,27,54,37,149,72,8.2,85,200,3,3.12,VT-45175,44.6309973,-73.1221034,49%,60%,42%,58%,54%,23.6,35,57
