City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Barlow,Oregon,184,3680,Portland-Vancouver-Hillsboro,2493429,N/A,13.04%,54,N/A,N/A,N/A,35,100.0%,N/A,66.87%,N/A,N/A,27.72%,0.0%,82.93%,Clackamas County,47.70%,41.30%,0.0%,0.0%,100.0%,0.0%,0.54%,Pacific Standard Time,84,47,37,57,35,59%,46%,44,52,84,50%,67%,30%,38.76,2.05,15.2,43.01%,16.37%,59.78%,1.2,0,7.4,7.0,52,180,2.8,0.05,OR-04000,45.2524012,-122.7223096
Beavercreek,Oregon,4026,200,Portland-Vancouver-Hillsboro,2493429,$108165,29.82%,50,$943000,2893,$326,42,94.84%,$1790,34.31%,N/A,N/A,3.85%,3.33%,59.72%,Clackamas County,47.70%,41.30%,3.01%,0.92%,89.82%,2.46%,2.91%,Pacific Standard Time,83,46,37,56,35,59%,46%,44,52,83,50%,67%,30%,51.29,2.95,20.2,43.15%,17.8%,59.0%,1.2,0,7.4,7.0,53,390,2.8,20.1,OR-05250,45.2755417,-122.5136125
Canby,Oregon,18078,3855,Portland-Vancouver-Hillsboro,2493429,$83948,28.66%,41,$609000,2199,$277,29,66.33%,$1230,42.97%,178,1041,9.2%,2.84%,62.93%,Clackamas County,47.70%,41.30%,1.41%,0.54%,75.91%,17.8%,9.04%,Pacific Standard Time,84,47,37,57,35,59%,46%,44,52,84,50%,67%,30%,38.76,2.05,15.2,43.01%,16.37%,59.78%,1.2,0,7.4,7.0,44,180,2.8,4.69,OR-10750,45.2653295,-122.68669
Damascus,Oregon,10878,617,Portland-Vancouver-Hillsboro,2493429,$101574,28.97%,45,$715000,2698,$265,43,92.6%,$1589,42.81%,N/A,N/A,3.5%,2.46%,61.84%,Clackamas County,47.70%,41.30%,5.33%,0.06%,84.91%,5.51%,9.48%,Pacific Standard Time,83,46,37,57,36,59%,46%,44,52,83,50%,67%,30%,47.67,3.35,17.91,49.4%,23.3%,65.67%,5.1,2,7.4,7.0,48,540,2.8,17.62,OR-17800,45.4232679,-122.4435777
Estacada,Oregon,4353,1918,Portland-Vancouver-Hillsboro,2493429,$75000,17.05%,35,$510000,1903,$268,24,87.21%,$1563,43.34%,N/A,N/A,16.75%,7.37%,59.92%,Clackamas County,47.70%,41.30%,1.56%,0.05%,92.26%,0.99%,2.39%,Pacific Standard Time,83,48,35,54,34,59%,46%,44,52,83,50%,67%,30%,58.11,3.66,21.8,43.15%,17.8%,59.0%,5.5,2,7.4,7.0,74,471,2.8,2.27,OR-23800,45.2985743,-122.3337504
Gladstone,Oregon,12017,5007,Portland-Vancouver-Hillsboro,2493429,$83214,26.06%,40,$460000,1411,$326,45,63.15%,$1479,53.39%,194,1985,16.23%,5.91%,64.19%,Clackamas County,47.70%,41.30%,1.81%,1.86%,75.92%,13.17%,6.92%,Pacific Standard Time,84,47,37,57,36,59%,46%,44,52,84,50%,67%,30%,45.13,2.5,18.03,45.1%,18.24%,61.44%,5.1,2,7.4,7.0,23,153,2.8,2.4,OR-29000,45.3863335,-122.5934481
Government Camp,Oregon,84,112,Portland-Vancouver-Hillsboro,2493429,N/A,32.14%,73,N/A,N/A,N/A,34,69.79%,N/A,34.52%,N/A,N/A,5.95%,0.0%,28.57%,Clackamas County,47.70%,41.30%,0.0%,0.0%,100.0%,0.0%,0.0%,Pacific Standard Time,70,35,35,47,25,59%,46%,44,52,69,50%,67%,30%,91.27,5.37,37.62,43.97%,16.48%,64.78%,244.6,60,7.4,7.0,82,3639,2.8,0.75,OR-30250,45.3022324,-121.7525891
Happy Valley,Oregon,23442,2024,Portland-Vancouver-Hillsboro,2493429,$131980,50.01%,39,$583000,2010,$290,16,89.12%,$1807,41.68%,N/A,N/A,3.96%,2.62%,68.15%,Clackamas County,47.70%,41.30%,19.88%,1.4%,63.57%,6.4%,16.49%,Pacific Standard Time,84,47,37,57,36,59%,46%,44,52,84,50%,67%,30%,47.67,3.35,17.91,45.1%,18.24%,61.44%,5.1,2,7.4,7.0,36,540,2.8,11.58,OR-32050,45.4359068,-122.5081443
Johnson City,Oregon,451,6443,Portland-Vancouver-Hillsboro,2493429,$41389,12.2%,55,N/A,N/A,N/A,28,97.59%,N/A,51.63%,N/A,N/A,8.02%,1.22%,61.96%,Clackamas County,47.70%,41.30%,2.0%,2.0%,78.05%,16.63%,10.86%,Pacific Standard Time,84,47,37,57,36,59%,46%,44,52,84,50%,67%,30%,45.13,2.5,18.03,45.1%,18.24%,61.44%,5.1,2,7.4,7.0,23,153,2.8,0.07,OR-37650,45.4045602,-122.5793071
Lake Oswego,Oregon,40390,3747,Portland-Vancouver-Hillsboro,2493429,$120585,72.76%,46,$1142000,2726,$419,39,75.38%,$1811,38.39%,60,1205,4.2%,5.01%,62.06%,Clackamas County,47.70%,41.30%,8.4%,0.78%,77.65%,5.47%,12.36%,Pacific Standard Time,84,47,37,57,36,59%,46%,44,52,84,50%,67%,30%,50.6,2.8,19.26,45.1%,18.24%,61.44%,1.2,0,7.4,7.0,28,618,2.8,10.78,OR-40550,45.4128471,-122.7003
Milwaukie,Oregon,21108,4239,Portland-Vancouver-Hillsboro,2493429,$73351,38.72%,40,$543000,1763,$308,53,65.41%,$1346,54.61%,N/A,N/A,9.06%,5.05%,71.31%,Clackamas County,47.70%,41.30%,2.59%,0.95%,80.63%,9.29%,4.65%,Pacific Standard Time,81,45,36,58,37,59%,46%,44,52,81,50%,67%,30%,43.09,2.63,17.35,45.1%,18.24%,61.44%,5.1,2,7.4,7.0,20,150,2.8,4.98,OR-48650,45.4444862,-122.6220748
Molalla,Oregon,10060,4157,Portland-Vancouver-Hillsboro,2493429,$74718,16.12%,35,$457000,1576,$290,25,73.3%,$1206,46.75%,96,718,8.21%,6.01%,71.9%,Clackamas County,47.70%,41.30%,0.94%,0.17%,88.76%,8.42%,4.06%,Pacific Standard Time,83,46,37,56,35,59%,42%,43,51,82,50%,67%,30%,46.21,3.07,16.8,43.15%,17.8%,59.0%,1.2,0,6.5,4.6,63,591,2.8,2.42,OR-49450,45.150159,-122.584474
Mount Hood Village,Oregon,4408,196,Portland-Vancouver-Hillsboro,2493429,$79850,32.21%,49,$580000,1726,$336,34,86.29%,$1353,46.24%,N/A,N/A,8.7%,6.44%,62.52%,Clackamas County,47.70%,41.30%,1.13%,0.0%,91.02%,3.68%,0.95%,Pacific Standard Time,77,43,34,55,35,59%,46%,44,52,76,50%,67%,30%,118.18,7.93,46.47,45.75%,18.24%,65.44%,5.5,2,7.4,7.0,81,2460,2.8,22.45,OR-50236,45.3480551,-121.9989995
Mulino,Oregon,2251,163,Portland-Vancouver-Hillsboro,2493429,$91333,27.03%,50,$1250000,1328,$941,42,79.29%,$1238,36.79%,N/A,N/A,12.17%,13.4%,54.27%,Clackamas County,47.70%,41.30%,1.33%,0.0%,92.98%,0.36%,3.11%,Pacific Standard Time,83,46,37,56,35,59%,46%,44,52,83,50%,67%,30%,44.56,2.78,17.19,43.15%,17.8%,59.0%,1.2,0,7.4,7.0,63,171,2.8,13.78,OR-50450,45.2234522,-122.5617448
Oak Grove,Oregon,17382,4457,Portland-Vancouver-Hillsboro,2493429,$68344,31.57%,43,$540000,1935,$279,50,68.36%,$1488,53.42%,N/A,N/A,10.98%,7.63%,62.63%,Clackamas County,47.70%,41.30%,1.3%,1.04%,80.34%,10.48%,8.46%,Pacific Standard Time,84,47,37,57,36,59%,46%,44,52,84,50%,67%,30%,50.6,2.8,19.26,45.1%,18.24%,61.44%,5.1,2,7.4,7.0,23,618,2.8,3.9,OR-53900,45.4156029,-122.6349163
