City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Amelia,Ohio,10308,1861,Cincinnati,2186956,$59065,24.24%,38,$253000,1632,$155,30,65.21%,$695,46.08%,N/A,N/A,6.72%,2.99%,70.71%,Clermont County,26.70%,67.50%,0.0%,1.0%,94.88%,3.32%,0.43%,Eastern Standard Time,87,41,46,66,24,59%,56%,41,61,92,53%,66%,41%,49.23,13.24,11.04,35.7%,35.93%,35.33%,23.2,19,8.3,38.6,59,807,3.8,5.54,OH-01742,39.0268333,-84.221817
Batavia,Ohio,2266,779,Cincinnati,2186956,$50804,10.02%,38,$298000,1886,$158,68,51.56%,$780,64.17%,178,2083,32.13%,14.52%,39.19%,Clermont County,26.70%,67.50%,0.04%,4.9%,87.42%,2.96%,0.04%,Eastern Standard Time,87,41,46,66,24,59%,56%,41,61,92,53%,66%,41%,49.23,13.24,11.04,35.7%,35.93%,35.33%,23.2,19,8.3,38.6,64,807,3.8,2.91,OH-04150,39.0814979,-84.1718586
Batavia township,Ohio,2266,779,Cincinnati,2186956,$50804,10.02%,38,$298000,1886,$158,68,51.56%,$780,64.17%,178,2083,32.13%,14.52%,39.19%,Clermont County,26.70%,67.50%,0.04%,4.9%,87.42%,2.96%,0.04%,Eastern Standard Time,87,41,46,66,24,59%,56%,41,61,92,53%,66%,41%,49.23,13.24,11.04,35.7%,35.93%,35.33%,23.2,19,8.3,38.6,63,807,3.8,2.91,OH-04150,39.0814979,-84.1718586
Bethel,Ohio,2797,1956,Cincinnati,2186956,$35658,10.55%,42,$242000,1391,$174,64,54.81%,$611,62.71%,N/A,N/A,19.91%,7.35%,53.16%,Clermont County,26.70%,67.50%,0.0%,0.5%,98.46%,0.36%,0.18%,Eastern Standard Time,87,41,46,66,24,59%,56%,41,61,92,53%,66%,41%,49.23,13.24,11.04,35.7%,35.93%,35.33%,23.2,19,8.3,38.6,67,807,3.8,1.43,OH-06068,38.9627131,-84.0846564
Chilo,Ohio,66,330,Cincinnati,2186956,$65625,11.11%,49,N/A,N/A,N/A,42,89.39%,N/A,18.64%,N/A,N/A,0.0%,18.18%,55.93%,Clermont County,26.70%,67.50%,0.0%,0.0%,100.0%,0.0%,1.52%,Eastern Standard Time,87,41,46,66,24,59%,56%,41,61,92,53%,66%,41%,45.1,12.24,9.68,35.7%,35.93%,35.33%,23.2,19,8.3,38.6,75,438,3.8,0.2,OH-14226,38.7934128,-84.1373206
Day Heights,Ohio,2484,2105,Cincinnati,2186956,$65167,32.15%,37,$345000,1547,$223,55,89.65%,N/A,38.39%,N/A,N/A,3.02%,0.0%,60.1%,Clermont County,26.70%,67.50%,1.77%,1.25%,91.79%,3.9%,2.94%,Eastern Standard Time,87,41,46,66,24,59%,56%,41,61,92,53%,66%,41%,47.31,13.18,10.29,35.7%,35.93%,35.33%,23.2,19,8.3,38.6,59,702,3.8,1.18,OH-20366,39.1754985,-84.2274644
Felicity,Ohio,722,2777,Cincinnati,2186956,$30000,5.79%,34,$125000,1712,$73,47,23.13%,$677,61.15%,N/A,N/A,44.77%,30.38%,43.92%,Clermont County,26.70%,67.50%,0.0%,0.0%,97.37%,0.0%,0.0%,Eastern Standard Time,87,41,46,66,24,59%,56%,41,61,92,53%,66%,41%,45.1,12.24,9.68,35.7%,35.93%,35.33%,23.2,19,8.3,38.6,75,438,3.8,0.26,OH-26880,38.8387627,-84.0984581
Franklin township (Clermont Cnty),Ohio,4293,464,Cincinnati,2186956,N/A,N/A,N/A,$215000,1680,$128,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Clermont County,26.70%,67.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,87,41,46,66,24,59%,56%,41,61,92,53%,66%,41%,45.1,12.24,9.68,35.7%,35.93%,35.33%,23.2,19,8.3,38.6,75,438,3.8,9.26,OH-28224,38.8341318,-84.0918928
Goshen township (Clermont Cnty),Ohio,652,352,Cincinnati,2186956,$75750,23.51%,34,$178000,1935,$92,62,95.25%,N/A,39.12%,N/A,N/A,3.99%,0.0%,69.44%,Clermont County,26.70%,67.50%,0.0%,0.0%,97.55%,0.0%,0.0%,Eastern Standard Time,87,41,46,66,24,59%,56%,41,61,92,53%,66%,41%,45.24,12.32,9.88,35.7%,35.93%,35.33%,25.6,22,8.3,38.6,65,696,3.8,1.85,OH-30996,39.2325264,-84.1532832
Jackson township (Clermont Cnty),Ohio,3042,336,Cincinnati,2186956,N/A,N/A,N/A,$100000,1087,$92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Clermont County,26.70%,67.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,87,41,46,66,24,59%,56%,41,61,92,53%,66%,41%,50.06,13.24,10.69,35.7%,35.93%,35.33%,25.6,22,8.3,38.6,73,834,3.8,9.05,OH-37716,39.1313364,-84.0499382
