City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible
Cache,Oklahoma,2843,779,Lawton,126775,$57188,20.48%,35,N/A,N/A,N/A,34,71.19%,$719,41.26%,639,1279,6.83%,6.11%,62.67%,Comanche County,35.20%,58.90%,1.06%,3.76%,60.92%,14.18%,1.97%,Central Standard Time,96,52,44,32,64,246,2,63.1,47.4,10,72,994,5.4,3.65,OK-10700,34.6294254,-98.6183117,66%,76%,60%
Chattanooga,Oklahoma,460,885,Lawton,126775,$46389,22.03%,31,N/A,N/A,N/A,47,58.48%,$1000,45.18%,0,226,18.36%,18.27%,64.69%,Comanche County,35.20%,58.90%,0.65%,0.0%,66.74%,8.26%,1.3%,Central Standard Time,97,52,45,32,62,246,2,63.1,47.5,10,72,994,5.4,0.52,OK-13600,34.4238599,-98.6540173,66%,76%,60%
Elgin,Oklahoma,3137,821,Lawton,126775,$70577,33.45%,31,$210000,1591,$132,14,64.84%,$1414,35.58%,0,212,8.71%,3.97%,67.87%,Comanche County,35.20%,58.90%,1.91%,7.27%,69.91%,9.47%,3.51%,Central Standard Time,95,52,43,35,69,244,4,63.5,47.7,10,69,994,5.4,3.82,OK-23450,34.7848898,-98.3010829,66%,76%,60%
Faxon,Oklahoma,63,242,Lawton,126775,$67083,8.51%,42,N/A,N/A,N/A,48,61.9%,N/A,12.77%,N/A,N/A,0.0%,0.0%,76.6%,Comanche County,35.20%,58.90%,0.0%,0.0%,93.65%,3.17%,0.0%,Central Standard Time,97,52,45,32,62,241,2,63.2,47.6,10,72,994,5.4,0.26,OK-25650,34.4602582,-98.5793735,66%,76%,60%
Fletcher,Oklahoma,986,573,Lawton,126775,$48929,18.37%,27,$275000,1858,$148,44,66.33%,$696,40.52%,N/A,N/A,9.33%,0.0%,62.64%,Comanche County,35.20%,58.90%,1.32%,0.3%,80.02%,4.67%,1.93%,Central Standard Time,94,50,44,35,67,243,4,63.6,47.9,10,68,994,5.4,1.72,OK-26350,34.8237811,-98.234268,66%,76%,60%
Geronimo,Oklahoma,1191,799,Lawton,126775,$48167,16.35%,31,$107000,1202,$89,37,73.8%,$936,47.86%,N/A,N/A,15.53%,5.39%,61.38%,Comanche County,35.20%,58.90%,1.26%,4.28%,65.32%,15.95%,3.02%,Central Standard Time,96,53,43,33,64,241,2,63.7,48,9,72,994,5.4,1.49,OK-29100,34.4831271,-98.3876539,66%,76%,60%
Indiahoma,Oklahoma,283,1011,Lawton,126775,$50714,20.33%,35,N/A,N/A,N/A,57,69.26%,$750,59.66%,N/A,N/A,12.81%,0.74%,57.14%,Comanche County,35.20%,58.90%,0.0%,0.0%,76.68%,4.59%,1.77%,Central Standard Time,95,51,44,33,60,243,2,62.9,47.2,10,72,994,5.4,0.28,OK-36850,34.6198945,-98.7520502,66%,76%,60%
Lawton,Oklahoma,93535,1148,Lawton,126775,$47690,22.12%,32,$280000,2090,$134,47,44.38%,$810,57.09%,925,3221,18.44%,7.52%,63.45%,Comanche County,35.20%,58.90%,2.98%,19.75%,50.34%,15.03%,6.48%,Central Standard Time,96,53,43,32,65,247,2,63.6,47.8,10,62,994,5.4,81.51,OK-41850,34.6175233,-98.420221,66%,76%,60%
Medicine Park,Oklahoma,317,143,Lawton,126775,$91875,53.96%,51,$445000,2070,$215,21,87.7%,$963,40.94%,N/A,N/A,5.05%,2.94%,62.73%,Comanche County,35.20%,58.90%,0.0%,0.63%,94.32%,1.26%,0.95%,Central Standard Time,96,52,44,33,63,240,2,63.1,47.4,10,70,994,5.4,2.21,OK-47350,34.7242302,-98.4530255,66%,76%,60%
Sterling,Oklahoma,680,829,Lawton,126775,$54792,11.6%,40,N/A,N/A,N/A,50,76.03%,$375,53.62%,N/A,N/A,11.47%,2.72%,45.17%,Comanche County,35.20%,58.90%,1.03%,0.0%,76.32%,4.12%,2.65%,Central Standard Time,94,50,44,35,70,240,4,63.9,48.1,10,68,994,5.4,0.82,OK-70150,34.7493933,-98.1725067,66%,76%,60%
