City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents
Eastover,North Carolina,3698,326,Fayetteville,529252,91,53,38,46,104,219,1,67.5,50.4,7,76,63,37,23.63%,$41709,8.6%,N/A,N/A,$248500,2322,$107,34,59.90%,3%,13%,9%,67,23 mins,5.80%,1.00%,2.80%,Cumberland County,56.20%,40.20%,1.6%,13.7%,75.7%,4.3%,4.7%,Eastern Standard Time,96,4.7,38.90%,38,N/A,34,17.2%,10.99,57,1,0,N/A,N/A
Falcon,North Carolina,223,161,Fayetteville,529252,90,53,37,46,108,215,1,67.5,50.4,7,17,48,40,26.27%,$51250,2.6%,N/A,N/A,$96700,N/A,N/A,44,59.00%,3%,14%,8%,68,20 mins,5.80%,1.00%,-15.50%,Cumberland County,56.20%,40.20%,7.2%,0.0%,85.2%,7.6%,0%,Eastern Standard Time,96,4.7,46.20%,12,N/A,25,13.3%,0.00,55,1,0,N/A,N/A
Fayetteville,North Carolina,210324,1423,Fayetteville,529252,91,53,38,45,110,219,2,67.6,50.5,7,875,69,30,27.25%,$44514,15.5%,N/A,N/A,$175000,1682,$104,35,37.70%,3%,8%,0%,60,18 mins,6.30%,1.00%,5.80%,Cumberland County,56.20%,40.20%,2.8%,40.3%,39.1%,12.0%,7.1%,Eastern Standard Time,96,4.7,53.80%,21,N/A,33,19.0%,36.12,57,2,0,0,0
Godwin,North Carolina,118,228,Fayetteville,529252,90,53,37,46,112,215,2,67.5,50.5,7,20,57,51,20.51%,$35938,16%,N/A,N/A,$127300,N/A,N/A,44,44.80%,4%,24%,21%,66,20 mins,5.80%,1.00%,-11.90%,Cumberland County,56.20%,40.20%,1.7%,29.7%,56.8%,4.2%,2.7%,Eastern Standard Time,96,4.7,30.30%,6,N/A,25,29.2%,844.16,53,1,0,N/A,N/A
Hope Mills,North Carolina,16106,2175,Fayetteville,529252,91,53,38,46,104,217,1,67.7,50.6,7,699,77,33,22.15%,$47332,14.4%,N/A,N/A,$199900,1903,$105,24,55.40%,3%,9%,5%,64,23 mins,5.80%,1.00%,11.70%,Cumberland County,56.20%,40.20%,2.3%,30.0%,53.0%,7.3%,4.9%,Eastern Standard Time,96,4.7,49.20%,54,N/A,31,21.2%,52.84,62,2,0,0,0
Linden,North Carolina,126,249,Fayetteville,529252,90,53,37,46,108,213,1,67.4,50,7,20,57,35,9.59%,$47500,9.7%,N/A,N/A,$281200,2533,$111,45,62.90%,3%,16%,10%,64,20 mins,5.80%,1.00%,5.00%,Cumberland County,56.20%,40.20%,0.0%,22.2%,72.2%,1.6%,0%,Eastern Standard Time,96,4.7,39.80%,0,N/A,25,16.9%,1,53,1,0,N/A,N/A
Spring Lake,North Carolina,12746,549,Fayetteville,529252,91,53,38,46,110,220,2,67.5,50.3,7,32,61,24,27.64%,$37154,18.1%,N/A,N/A,$249900,2231,$112,25,17.40%,3%,8%,1%,64,18 mins,5.80%,1.00%,7.80%,Cumberland County,56.20%,40.20%,2.6%,35.5%,36.5%,17.2%,5.5%,Eastern Standard Time,96,4.7,51.00%,65,N/A,48,24.2%,75.41,55,1,0,N/A,N/A
Stedman,North Carolina,1362,655,Fayetteville,529252,90,53,37,46,104,213,1,67.7,50.7,7,16,47,38,29.36%,$56250,5.8%,N/A,N/A,$165000,1556,$106,26,67.10%,2%,15%,15%,70,20 mins,5.80%,1.00%,26.50%,Cumberland County,56.20%,40.20%,2.0%,20.0%,64.6%,4.8%,2.6%,Eastern Standard Time,96,4.7,35.70%,43,N/A,48,20.5%,136.87,60,1,0,N/A,N/A
Vander,North Carolina,1227,331,Fayetteville,529252,91,53,38,46,104,221,1,67.5,50.4,7,19,55,44,23.12%,$42121,8.3%,N/A,N/A,$101000,N/A,N/A,35,40.40%,3%,14%,8%,67,20 mins,5.80%,1.00%,23.30%,Cumberland County,56.20%,40.20%,8.0%,14.8%,70.7%,6.6%,9.4%,Eastern Standard Time,96,4.7,44.80%,20,N/A,N/A,15.3%,0.00,59,1,0,N/A,N/A
Wade,North Carolina,646,362,Fayetteville,529252,90,53,37,46,108,218,1,67.7,50.5,7,21,58,37,16.23%,$32344,7.7%,N/A,N/A,$255000,2297,$111,57,51.00%,3%,13%,8%,66,20 mins,5.80%,1.00%,43.60%,Cumberland County,56.20%,40.20%,0.8%,13.0%,77.9%,0.8%,1.4%,Eastern Standard Time,96,4.7,44.60%,11,N/A,30,12.9%,57.36,53,1,0,N/A,N/A
