City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year,Hottest month's avg heat index high (F)
Boiling Springs,Pennsylvania,3107,1258,Harrisburg-Carlisle,661513,$71708,42.47%,50,$387000,2846,$136,40,79.47%,$770,44.1%,N/A,N/A,1.48%,2.34%,62.62%,Cumberland County,38.10%,55.90%,0.55%,0.0%,92.15%,1.03%,0.45%,Eastern Standard Time,87,38,49,47.73,27.7,7.2,67,393,4,2.47,PA-07472,40.1592197,-77.1390818,55%,61%,52%,53%,53%,30.2,41,62,63,21,14.25,9.33,34.27%,37.47%,31.44%,8,90
Camp Hill,Pennsylvania,7926,3721,Harrisburg-Carlisle,661513,$90085,54.71%,40,$250000,1488,$168,68,71.06%,$1132,39.62%,N/A,N/A,5.62%,2.48%,73.17%,Cumberland County,38.10%,55.90%,3.08%,3.73%,84.68%,6.12%,5.9%,Eastern Standard Time,86,37,49,46.99,22.6,7.2,45,384,4,2.13,PA-11000,40.2421924,-76.9274003,55%,61%,52%,53%,53%,30.2,41,62,65,22,14.65,9.21,35.26%,39.01%,32.89%,11,88
Carlisle,Pennsylvania,19188,3534,Harrisburg-Carlisle,661513,$49557,39.65%,33,$260000,1745,$149,65,50.18%,$878,60.24%,N/A,N/A,16.12%,3.76%,63.34%,Cumberland County,38.10%,55.90%,2.63%,9.77%,78.75%,7.08%,7.85%,Eastern Standard Time,87,38,49,47.73,27.7,7.2,47,393,4,5.43,PA-11272,40.1999232,-77.2034143,55%,61%,52%,53%,53%,30.2,41,62,63,21,14.25,9.33,34.27%,37.47%,31.44%,8,90
Cooke,Pennsylvania,207,10,Harrisburg-Carlisle,661513,$82083,N/A,N/A,N/A,N/A,N/A,61,31.60%,N/A,30.70%,N/A,N/A,N/A,3.70%,N/A,Cumberland County,38.10%,55.90%,N/A,1.85%,N/A,1.00%,N/A,Eastern Standard Time,87,38,49,49.84,29.0,7.2,79,810,4,20.7,PA-15920,40.03798,-77.3149483,55%,61%,52%,53%,53%,30.2,41,62,66,22,13.19,10.46,37.67%,39.23%,35.67%,11,90
Dickinson,Pennsylvania,5354,117,Harrisburg-Carlisle,661513,$79563,27.88%,N/A,N/A,N/A,N/A,36,86.70%,N/A,34.00%,N/A,N/A,N/A,3.70%,N/A,Cumberland County,38.10%,55.90%,N/A,N/A,N/A,1.90%,N/A,Eastern Standard Time,87,38,49,49.84,29.0,7.2,76,810,4,45.76,PA-19144,40.1005782,-77.2466534,55%,61%,52%,53%,53%,30.2,41,62,63,21,13.19,10.46,37.67%,39.23%,35.67%,11,90
East Pennsboro,Pennsylvania,21439,2044,Harrisburg-Carlisle,661513,$62909,33.69%,N/A,N/A,N/A,N/A,43,62.50%,N/A,48.60%,N/A,N/A,N/A,3.70%,N/A,Cumberland County,38.10%,55.90%,4.81%,3.59%,N/A,5.10%,N/A,Eastern Standard Time,86,37,49,48.62,22.6,6.5,52,519,4,10.49,PA-21680,40.2885819,-76.9393875,55%,61%,52%,56%,55%,30.2,41,62,65,22,14.2,9.69,35.26%,39.01%,32.89%,11,89
Enola,Pennsylvania,5980,3714,Harrisburg-Carlisle,661513,$57431,23.47%,37,$151000,1218,$124,52,59.37%,$879,57.16%,N/A,N/A,9.44%,4.09%,72.98%,Cumberland County,38.10%,55.90%,0.99%,11.79%,82.81%,2.68%,8.39%,Eastern Standard Time,86,37,49,48.62,22.6,6.5,50,519,4,1.61,PA-23744,40.2908335,-76.934847,55%,61%,52%,56%,55%,30.2,41,62,65,22,14.2,9.69,35.26%,39.01%,32.89%,11,89
Hampden,Pennsylvania,29256,1696,Harrisburg-Carlisle,661513,$80573,53.21%,N/A,N/A,N/A,N/A,33,73.60%,N/A,36.60%,N/A,N/A,N/A,2.80%,N/A,Cumberland County,38.10%,55.90%,12.36%,1.54%,N/A,2.80%,N/A,Eastern Standard Time,86,37,49,47.09,22.6,6.5,56,402,4,17.25,PA-32296,40.2601845,-76.980887,55%,61%,52%,56%,55%,30.2,41,62,65,22,13.85,9.67,35.26%,39.01%,32.89%,11,89
Hopewell township (Cumberland Cnty),Pennsylvania,3003,27300,Harrisburg-Carlisle,661513,$60833,N/A,N/A,N/A,N/A,N/A,41,79.20%,N/A,33.80%,N/A,N/A,N/A,3.70%,N/A,Cumberland County,38.10%,55.90%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,89,39,50,43.24,29.2,7.2,78,621,4,0.11,PA-35672,40.1527909,-77.5571463,55%,61%,52%,53%,53%,30.2,41,62,65,22,11.8,9.35,36.6%,39.34%,35.44%,13,94
Lemoyne,Pennsylvania,4635,2879,Harrisburg-Carlisle,661513,$63629,34.94%,39,$270000,1971,$137,66,71.03%,$829,44.41%,N/A,N/A,7.72%,0.0%,74.14%,Cumberland County,38.10%,55.90%,0.69%,3.95%,88.63%,1.49%,2.93%,Eastern Standard Time,86,37,49,46.99,22.6,7.2,44,384,4,1.61,PA-42648,40.2442174,-76.8991195,55%,61%,52%,53%,53%,30.2,41,62,65,22,14.65,9.21,35.26%,39.01%,32.89%,11,88
