City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon)
Barnett,Illinois,425,11,Bloomington,171256,$62273,N/A,N/A,N/A,N/A,N/A,64,65.40%,N/A,46.50%,N/A,N/A,N/A,4.30%,N/A,De Witt County,25.30%,67.20%,0.0%,0.0%,96.7%,0.0%,N/A,Central Standard Time,85,34,51,40,105,18,8,82,662,3.9,38.64,IL-03714,40.1807841,-89.0880736,54%,65%,46%,61%,58%
Clinton,Illinois,6982,1956,Bloomington,171256,$46741,17.45%,39,N/A,N/A,N/A,63,64.29%,$693,54.79%,174,2809,15.9%,6.2%,62.91%,De Witt County,25.30%,67.20%,0.06%,1.82%,92.24%,5.14%,2.31%,Central Standard Time,85,34,51,40,104,18,9,69,662,3.9,3.57,IL-15001,40.146872,-88.963404,54%,65%,46%,61%,58%
Clintonia,Illinois,7582,252,Bloomington,171256,$44185,16.44%,N/A,N/A,N/A,N/A,59,63.80%,N/A,49.20%,N/A,N/A,N/A,4.30%,N/A,De Witt County,25.30%,67.20%,0.3%,0.9%,86.6%,5.3%,N/A,Central Standard Time,85,34,51,40,104,18,N/A,70,662,3.9,30.09,IL-15014,40.1764555,-88.9730723,54%,65%,46%,61%,58%
Creek,Illinois,420,12,Bloomington,171256,$43393,N/A,N/A,N/A,N/A,N/A,44,75.40%,N/A,29.80%,N/A,N/A,N/A,4.30%,N/A,De Witt County,25.30%,67.20%,0.0%,0.0%,91.4%,0.0%,N/A,Central Standard Time,86,34,52,40,105,18,N/A,82,662,3.9,35.0,IL-17302,40.0980494,-88.8604033,54%,65%,46%,61%,58%
De Witt,Illinois,221,921,Bloomington,171256,$51875,8.23%,50,N/A,N/A,N/A,44,86.88%,$1025,31.52%,N/A,N/A,16.29%,9.47%,58.64%,De Witt County,25.30%,67.20%,0.0%,0.0%,95.02%,0.0%,3.62%,Central Standard Time,84,32,52,40,106,18,9,82,662,3.9,0.24,IL-19798,40.1846383,-88.7852625,54%,65%,46%,61%,58%
De Witt township,Illinois,221,921,Bloomington,171256,$51875,8.23%,50,N/A,N/A,N/A,44,86.88%,$1025,31.52%,N/A,N/A,16.29%,9.47%,58.64%,De Witt County,25.30%,67.20%,0.0%,0.0%,95.02%,0.0%,3.62%,Central Standard Time,84,33,51,40,104,18,N/A,83,662,3.9,0.24,IL-19798,40.1846383,-88.7852625,54%,65%,46%,61%,58%
Farmer City,Illinois,2063,860,Bloomington,171256,$66591,17.57%,47,N/A,N/A,N/A,57,85.27%,$880,38.53%,N/A,N/A,10.59%,3.7%,65.12%,De Witt County,25.30%,67.20%,0.0%,0.0%,97.96%,1.79%,0.0%,Central Standard Time,84,32,52,39,102,18,9,83,662,3.9,2.4,IL-25414,40.247961,-88.6423389,54%,65%,46%,61%,58%
Harp,Illinois,348,11,Bloomington,171256,$104167,N/A,N/A,N/A,N/A,N/A,23,93.30%,N/A,26.40%,N/A,N/A,N/A,4.30%,N/A,De Witt County,25.30%,67.20%,0.0%,0.0%,96.0%,0.0%,N/A,Central Standard Time,85,33,52,40,104,18,N/A,82,662,3.9,31.64,IL-33058,40.1831409,-88.8598508,54%,65%,46%,61%,58%
Kenney,Illinois,447,1596,Bloomington,171256,$60536,9.92%,61,N/A,N/A,N/A,71,88.81%,$581,60.77%,N/A,N/A,7.16%,12.37%,45.59%,De Witt County,25.30%,67.20%,0.0%,2.46%,97.09%,0.22%,1.34%,Central Standard Time,86,35,51,40,109,17,9,82,662,3.9,0.28,IL-39532,40.0979398,-89.0861372,54%,65%,46%,61%,58%
Nixon,Illinois,574,21,Bloomington,171256,$49167,6.78%,N/A,N/A,N/A,N/A,74,79.30%,N/A,49.30%,N/A,N/A,N/A,4.30%,N/A,De Witt County,25.30%,67.20%,0.0%,0.0%,87.1%,0.5%,N/A,Central Standard Time,85,34,51,40,106,16,N/A,82,662,3.9,27.33,IL-53117,40.1060238,-88.7550339,54%,65%,46%,61%,58%
