City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Albany,Indiana,2365,1194,Muncie,112480,$48483,18.21%,48,$120000,1690,$71,58,77.95%,$576,41.66%,N/A,N/A,6.68%,10.48%,51.59%,Delaware County,39.90%,53.30%,0.0%,0.51%,94.76%,2.07%,0.0%,Eastern Standard Time,84,35,49,63,18,61%,55%,40,60,86,60%,75%,47%,43.47,12.84,8.19,34.66%,33.74%,33.78%,20.8,12,8.3,36.1,80,882,3.6,1.98,IN-00802,40.3055994,-85.2330563
Center township (Delaware Cnty),Indiana,68161,1977,Muncie,112480,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Delaware County,39.90%,53.30%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,86,37,49,66,22,60%,57%,42,63,90,51%,64%,41%,42.9,12.08,8.96,35.81%,33.85%,39.22%,20.8,12,8.3,41.0,65,882,3.6,34.48,IN-11296,40.191322,-85.3861823
Daleville,Indiana,1565,735,Muncie,112480,$48333,18.63%,41,$168000,1585,$106,62,73.55%,$713,46.75%,N/A,N/A,13.31%,7.89%,63.53%,Delaware County,39.90%,53.30%,0.64%,0.83%,93.99%,3.83%,1.85%,Eastern Standard Time,84,35,49,65,21,60%,57%,42,63,87,51%,64%,41%,44.19,12.7,9.17,36.99%,39.12%,34.44%,24.9,15,8.3,41.0,77,849,3.6,2.13,IN-16642,40.1186677,-85.5567351
Delaware township (Delaware Cnty),Indiana,3541,121,Muncie,112480,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Delaware County,39.90%,53.30%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,84,35,49,63,18,61%,55%,40,60,86,60%,75%,47%,43.47,12.84,8.19,34.66%,33.74%,33.78%,20.8,12,8.3,36.1,80,882,3.6,29.26,IN-17470,40.2700895,-85.2744941
Eaton,Indiana,1959,525,Muncie,112480,$45385,10.05%,35,$50000,1613,$31,65,72.89%,$648,54.49%,N/A,N/A,10.41%,3.34%,57.94%,Delaware County,39.90%,53.30%,0.0%,0.56%,95.05%,3.11%,0.0%,Eastern Standard Time,86,37,49,66,22,61%,55%,40,60,89,60%,75%,47%,43.25,12.61,8.23,36.99%,39.12%,34.44%,31.9,29,8.3,36.1,79,813,3.6,3.73,IN-20080,40.3218067,-85.3591138
Gaston,Indiana,860,2389,Muncie,112480,$47250,15.53%,36,N/A,N/A,N/A,63,79.77%,$736,48.01%,N/A,N/A,16.9%,1.36%,60.46%,Delaware County,39.90%,53.30%,0.81%,0.0%,91.28%,4.07%,1.74%,Eastern Standard Time,86,37,49,66,22,60%,57%,42,63,90,51%,64%,41%,43.25,12.61,8.23,36.99%,39.12%,34.44%,31.9,29,8.3,41.0,78,813,3.6,0.36,IN-27072,40.3140054,-85.5010051
Hamilton township (Delaware Cnty),Indiana,7098,3380,Muncie,112480,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Delaware County,39.90%,53.30%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,86,37,49,66,22,60%,57%,42,63,90,51%,64%,41%,40.89,11.97,7.52,36.99%,39.12%,34.44%,31.9,29,8.3,41.0,80,858,3.6,2.1,IN-30600,40.2698401,-85.3869579
Harrison township (Delaware Cnty),Indiana,3323,79,Muncie,112480,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Delaware County,39.90%,53.30%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,86,37,49,66,22,60%,57%,42,63,90,51%,64%,41%,44.19,12.7,9.17,36.99%,39.12%,34.44%,31.9,29,8.3,41.0,78,849,3.6,42.06,IN-31756,40.2627687,-85.5097226
Liberty township (Delaware Cnty),Indiana,4606,5356,Muncie,112480,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Delaware County,39.90%,53.30%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,86,37,49,66,22,60%,57%,42,63,90,51%,64%,41%,42.9,12.08,8.96,35.81%,33.85%,39.22%,20.8,12,8.3,41.0,80,882,3.6,0.86,IN-43236,40.1916948,-85.2730405
Monroe township (Delaware Cnty),Indiana,3667,5393,Muncie,112480,N/A,N/A,N/A,$190000,1484,$128,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Delaware County,39.90%,53.30%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,86,37,49,66,22,60%,57%,42,63,90,51%,64%,41%,42.9,12.08,8.96,35.81%,33.85%,39.22%,24.9,15,8.3,41.0,81,882,3.6,0.68,IN-50292,40.1128431,-85.3856651
Muncie,Indiana,67739,2472,Muncie,112480,$34602,25.56%,29,$108000,1241,$87,60,49.06%,$714,68.86%,N/A,N/A,30.18%,7.68%,57.68%,Delaware County,39.90%,53.30%,1.89%,10.82%,80.64%,3.23%,2.61%,Eastern Standard Time,86,37,49,66,22,60%,57%,42,63,90,51%,64%,41%,40.89,11.97,7.52,36.99%,39.12%,34.44%,20.8,12,8.3,41.0,65,858,3.6,27.4,IN-51876,40.1988848,-85.3949895
Niles,Indiana,1113,38,Muncie,112480,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Delaware County,39.90%,53.30%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,34,49,64,19,61%,55%,40,60,85,60%,75%,47%,43.69,13.06,8.39,36.93%,34.62%,40.89%,31.9,29,8.3,36.1,80,846,3.6,29.29,IN-53928,40.3423095,-85.275527
Perry township (Delaware Cnty),Indiana,1703,60,Muncie,112480,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Delaware County,39.90%,53.30%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,86,37,49,66,22,60%,57%,42,63,90,51%,64%,41%,42.9,12.08,8.96,35.81%,33.85%,39.22%,20.8,12,8.3,41.0,80,882,3.6,28.38,IN-59022,40.1129751,-85.2718771
Salem township (Delaware Cnty),Indiana,3965,991,Muncie,112480,N/A,N/A,N/A,$156000,1458,$107,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Delaware County,39.90%,53.30%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,86,37,49,66,22,60%,57%,42,63,90,51%,64%,41%,44.19,12.7,9.17,35.81%,33.85%,39.22%,24.9,15,8.3,41.0,77,849,3.6,4.0,IN-67356,40.1130309,-85.5092974
Selma,Indiana,979,1088,Muncie,112480,$48036,10.59%,36,N/A,N/A,N/A,57,67.49%,$611,51.68%,N/A,N/A,21.62%,13.82%,68.02%,Delaware County,39.90%,53.30%,0.0%,0.1%,90.4%,7.05%,0.41%,Eastern Standard Time,86,37,49,66,22,60%,57%,42,63,90,51%,64%,41%,42.9,12.08,8.96,35.81%,33.85%,39.22%,20.8,12,8.3,41.0,80,882,3.6,0.9,IN-68706,40.1905053,-85.2703054
Union township (Delaware Cnty),Indiana,2778,1229,Muncie,112480,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Delaware County,39.90%,53.30%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,86,37,49,66,22,61%,55%,40,60,89,60%,75%,47%,43.25,12.61,8.23,36.99%,39.12%,34.44%,31.9,29,8.3,36.1,79,813,3.6,2.26,IN-77246,40.3424094,-85.3877487
Washington township (Delaware Cnty),Indiana,2009,303,Muncie,112480,N/A,N/A,N/A,$170000,1683,$101,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Delaware County,39.90%,53.30%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,86,37,49,66,22,60%,57%,42,63,90,51%,64%,41%,43.25,12.61,8.23,36.99%,39.12%,34.44%,31.9,29,8.3,41.0,78,813,3.6,6.63,IN-80576,40.3427814,-85.5109081
Yorktown,Indiana,11128,349,Muncie,112480,$66875,32.62%,40,$240000,2051,$117,51,86.9%,$755,38.99%,N/A,N/A,8.74%,3.18%,65.42%,Delaware County,39.90%,53.30%,2.91%,1.79%,92.8%,0.0%,2.73%,Eastern Standard Time,86,37,49,66,22,60%,57%,42,63,90,51%,64%,41%,44.19,12.7,9.17,36.99%,39.12%,34.44%,20.8,12,8.3,41.0,77,849,3.6,31.93,IN-86084,40.1830313,-85.5122835
