City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code
Auburn Lake Trails,California,3495,275,Sacramento--Roseville--Arden-Arcade,2374749,$105368,35.99%,51,$570000,2365,$241,29,85.84%,$2193,25.80%,N/A,N/A,7.93%,5.84%,56.26%,El Dorado County,38.30%,51.80%,0.0%,0.0%,91.59%,4.66%,4.29%,Pacific Standard Time,91,54,37,39,70,246,2,42.9,37.5,5,60,25,4.8,12.73,CA-03205
Cameron Park,California,18370,1636,Sacramento--Roseville--Arden-Arcade,2374749,$77014,31.55%,45,$503000,1587,$317,32,65.83%,$1452,50.20%,N/A,N/A,7.88%,3.06%,56.71%,El Dorado County,38.30%,51.80%,3.46%,0.75%,74.92%,17.63%,9.21%,Pacific Standard Time,92,54,38,37,70,245,0,42.9,37.5,4,56,25,4.8,11.23,CA-10256
Camino,California,2065,804,Sacramento--Roseville--Arden-Arcade,2374749,$109917,29.49%,50,$470000,1661,$283,45,70.94%,$1609,40.40%,N/A,N/A,7.22%,7.72%,56.89%,El Dorado County,38.30%,51.80%,2.57%,0.0%,87.46%,4.55%,1.16%,Pacific Standard Time,92,52,40,52,73,246,26,42.9,37.5,5,67,25,4.8,2.57,CA-10270
Coloma,California,390,116,Sacramento--Roseville--Arden-Arcade,2374749,$90250,32.55%,50,N/A,N/A,N/A,37,52.66%,N/A,23.10%,N/A,N/A,15.64%,16.87%,83.59%,El Dorado County,38.30%,51.80%,0.0%,0.0%,96.92%,0.26%,0.0%,Pacific Standard Time,92,53,39,39,70,246,1,42.9,37.5,5,63,25,4.8,3.36,CA-14764
Diamond Springs,California,11332,681,Sacramento--Roseville--Arden-Arcade,2374749,$56899,22.17%,49,$490000,1696,$289,38,72.55%,$1419,47.60%,N/A,N/A,10.39%,6.96%,52.66%,El Dorado County,38.30%,51.80%,3.16%,0.39%,79.11%,14.77%,7.28%,Pacific Standard Time,93,54,39,38,70,248,1,42.9,37.5,4,62,25,4.8,16.64,CA-19220
El Dorado Hills,California,47107,972,Sacramento--Roseville--Arden-Arcade,2374749,$132130,54.33%,45,$895000,2594,$345,19,86.64%,$1915,34.80%,N/A,N/A,4.14%,3.19%,59.26%,El Dorado County,38.30%,51.80%,11.35%,1.65%,72.17%,8.11%,12.59%,Pacific Standard Time,94,56,38,30,62,250,0,42.9,37.5,4,59,25,4.8,48.46,CA-21880
Georgetown,California,2969,196,Sacramento--Roseville--Arden-Arcade,2374749,$77389,21.93%,56,$306000,1302,$235,35,84.68%,$1514,30.70%,N/A,N/A,5.78%,20.13%,43.71%,El Dorado County,38.30%,51.80%,2.02%,0.27%,79.93%,16.1%,3.6%,Pacific Standard Time,90,51,39,53,70,238,13,42.9,37.5,5,66,25,4.8,15.13,CA-29350
Grizzly Flats,California,1382,208,Sacramento--Roseville--Arden-Arcade,2374749,$52639,22.59%,46,$368000,1658,$222,32,88.35%,N/A,37.00%,N/A,N/A,8.18%,12.52%,48.6%,El Dorado County,38.30%,51.80%,0.0%,0.0%,87.41%,0.22%,1.23%,Pacific Standard Time,91,53,38,52,79,246,46,42.9,37.5,5,72,25,4.8,6.63,CA-31302
Placerville,California,10954,1876,Sacramento--Roseville--Arden-Arcade,2374749,$60334,26.28%,44,$505000,1718,$294,44,63.05%,$1148,52.40%,350,2526,14.99%,4.36%,57.58%,El Dorado County,38.30%,51.80%,0.82%,0.81%,75.55%,19.99%,6.61%,Pacific Standard Time,93,53,40,39,70,244,2,42.9,37.5,4,61,25,4.8,5.84,CA-57540
Pollock Pines,California,6480,752,Sacramento--Roseville--Arden-Arcade,2374749,$56628,25.41%,46,$375000,1374,$273,40,75.17%,$1025,48.70%,N/A,N/A,25.46%,2.97%,49.97%,El Dorado County,38.30%,51.80%,0.88%,0.68%,87.92%,9.43%,2.9%,Pacific Standard Time,91,52,39,52,79,246,42,42.9,37.5,5,70,25,4.8,8.62,CA-58030
Shingle Springs,California,3710,452,Sacramento--Roseville--Arden-Arcade,2374749,$83700,29.93%,48,$770000,2232,$345,34,69.98%,$1120,32.30%,N/A,N/A,6.74%,0.0%,53.83%,El Dorado County,38.30%,51.80%,2.26%,0.51%,86.23%,7.76%,5.58%,Pacific Standard Time,92,54,38,37,70,251,0,42.9,37.5,4,63,25,4.8,8.2,CA-71554
South Lake Tahoe,California,22535,2211,Sacramento--Roseville--Arden-Arcade,2374749,$52871,27.39%,39,$699000,1472,$475,47,40.38%,$1092,56.10%,501,2030,11.64%,4.86%,69.68%,El Dorado County,38.30%,51.80%,6.17%,0.81%,61.72%,28.17%,19.82%,Pacific Standard Time,80,43,37,23,61,249,142,42.9,37.5,5,82,25,4.8,10.19,CA-73108
Tahoma,California,1039,401,Sacramento--Roseville--Arden-Arcade,2374749,$72222,44.77%,38,$999000,1554,$643,43,57.65%,$1364,45.00%,N/A,N/A,16.15%,3.63%,71.75%,El Dorado County,38.30%,51.80%,3.08%,0.0%,87.58%,0.0%,4.04%,Pacific Standard Time,79,42,37,24,70,251,149,42.9,37.5,5,81,25,4.8,2.59,CA-77728
