City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code
Akron,New York,2860,1423,Buffalo-Cheektowaga-Niagara Falls,1125637,$52392,23.39%,42,$393000,1965,$200,66,59.82%,$672,58.80%,35,175,7.34%,7.52%,61.67%,Erie County,50.90%,44.50%,0.42%,0.03%,94.58%,2.03%,2.59%,Eastern Standard Time,81,32,49,39,161,158,84,57.3,38.6,N/A,78,706,3.3,2.01,NY-00441
Alden,New York,2565,943,Buffalo-Cheektowaga-Niagara Falls,1125637,$59444,28.82%,40,$290000,1648,$176,55,80.89%,$763,50.70%,N/A,N/A,6.51%,4.34%,70.3%,Erie County,50.90%,44.50%,1.05%,0.04%,95.71%,0.78%,3.59%,Eastern Standard Time,80,31,49,41,156,157,91,N/A,N/A,8,85,706,3.3,2.72,NY-01088
Amherst,New York,125024,2350,Buffalo-Cheektowaga-Niagara Falls,1125637,$68106,55.85%,N/A,$325000,1816,$179,47,65.60%,N/A,50.10%,116,1522,N/A,3.50%,N/A,Erie County,50.90%,44.50%,8.9%,6.2%,78.7%,3.7%,N/A,Eastern Standard Time,81,32,49,39,162,157,84,N/A,N/A,N/A,71,706,3.3,53.2,NY-02000
Angola,New York,2787,1963,Buffalo-Cheektowaga-Niagara Falls,1125637,$64083,19.42%,40,$170000,1360,$125,76,70.24%,$769,53.20%,N/A,N/A,11.88%,2.75%,67.31%,Erie County,50.90%,44.50%,1.15%,0.39%,91.21%,4.41%,2.37%,Eastern Standard Time,81,34,47,40,145,158,72,57.3,38.6,9,84,706,3.3,1.42,NY-02198
Angola on the Lake,New York,1682,660,Buffalo-Cheektowaga-Niagara Falls,1125637,$51621,20.63%,53,$230000,1966,$117,62,71.71%,$952,53.00%,N/A,N/A,19.74%,8.1%,58.34%,Erie County,50.90%,44.50%,1.19%,0.71%,90.73%,1.72%,3.09%,Eastern Standard Time,81,34,47,40,145,154,72,57.3,38.6,N/A,84,706,3.3,2.55,NY-02220
Aurora,New York,13857,15062,Buffalo-Cheektowaga-Niagara Falls,1125637,$72787,47.10%,N/A,$659000,1673,$394,64,73.80%,N/A,42.40%,N/A,N/A,0%,4.20%,N/A,Erie County,50.90%,44.50%,0.6%,0.6%,96.4%,1.4%,10.1%,Eastern Standard Time,78,31,47,44,160,157,116,N/A,N/A,8,84,706,3.3,0.92,NY-03199
Billington Heights,New York,1503,476,Buffalo-Cheektowaga-Niagara Falls,1125637,$67400,47.72%,57,$580000,2857,$203,57,95.56%,N/A,51.40%,N/A,N/A,5.32%,14.01%,59.31%,Erie County,50.90%,44.50%,0.0%,0.6%,98.07%,0.0%,0.67%,Eastern Standard Time,79,31,48,43,160,156,116,57.3,38.6,N/A,85,706,3.3,3.16,NY-06574
Blasdell,New York,2659,2374,Buffalo-Cheektowaga-Niagara Falls,1125637,$50861,17.88%,44,$100000,1136,$88,70,66.23%,$681,64.30%,187,1463,15.19%,11.16%,71.68%,Erie County,50.90%,44.50%,0.0%,0.08%,96.13%,1.65%,0.26%,Eastern Standard Time,80,31,49,42,171,159,105,57.3,38.6,9,79,706,3.3,1.12,NY-06849
Boston,New York,8068,225,Buffalo-Cheektowaga-Niagara Falls,1125637,$67107,30.01%,N/A,$200000,1626,$123,49,81.70%,N/A,43.10%,N/A,N/A,N/A,4.20%,N/A,Erie County,50.90%,44.50%,0.0%,0.0%,98.5%,1.0%,N/A,Eastern Standard Time,79,32,47,44,166,157,113,N/A,N/A,8,85,706,3.3,35.86,NY-07454
Brant,New York,2117,87,Buffalo-Cheektowaga-Niagara Falls,1125637,$60574,21.50%,N/A,$201000,1297,$155,67,70.00%,N/A,52.20%,N/A,N/A,N/A,4.20%,N/A,Erie County,50.90%,44.50%,0.0%,0.6%,91.7%,1.5%,N/A,Eastern Standard Time,80,33,47,42,149,157,82,N/A,N/A,9,87,706,3.3,24.33,NY-07894
