City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Brent,Florida,21717,2104,Pensacola-Ferry Pass-Brent,503173,$41291,17.96%,31,$188000,1253,$150,46,45.18%,$945,67.68%,N/A,N/A,23.25%,7.33%,58.31%,Escambia County,37.30%,57.60%,3.16%,31.83%,49.37%,9.51%,8.11%,Eastern Standard Time,92,63,29,76,44,60%,63%,58,72,108,60%,60%,52%,69.05,23.17,16.26,31.75%,46.26%,32.22%,0.2,0,7.9,68.4,59,102,5.6,10.32,FL-08300,30.4726651,-87.2495245
Century,Florida,1979,615,Pensacola-Ferry Pass-Brent,503173,$25341,4.44%,41,$230000,1474,$156,34,53.27%,$635,71.57%,N/A,N/A,30.31%,8.19%,55.69%,Escambia County,37.30%,57.60%,0.35%,64.38%,27.59%,1.26%,0.76%,Eastern Standard Time,90,59,31,71,38,60%,63%,58,72,102,60%,60%,52%,65.4,18.69,17.98,30.19%,39.78%,33.44%,0.2,0,7.9,68.4,55,189,5.6,3.22,FL-11362,30.9765201,-87.2629465
Ensley,Florida,22015,1802,Pensacola-Ferry Pass-Brent,503173,$51853,21.53%,39,$257000,1577,$163,30,60.17%,$1120,55.57%,N/A,N/A,17.43%,5.99%,63.48%,Escambia County,37.30%,57.60%,5.05%,30.07%,54.52%,6.62%,10.37%,Eastern Standard Time,92,63,29,76,44,60%,63%,58,72,108,60%,60%,52%,71.99,24.62,18.01,28.22%,41.65%,29.56%,0.2,0,7.9,68.4,53,66,5.6,12.22,FL-20925,30.5258833,-87.2733591
Ferry Pass,Florida,30526,2195,Pensacola-Ferry Pass-Brent,503173,$57135,32.53%,35,$252000,1500,$168,36,48.17%,$1127,62.78%,N/A,N/A,15.71%,5.73%,63.42%,Escambia County,37.30%,57.60%,2.24%,18.82%,65.04%,7.92%,6.2%,Eastern Standard Time,92,63,29,76,44,60%,63%,58,72,108,60%,60%,52%,67.62,22.6,16.52,28.22%,41.65%,29.56%,0.2,0,7.9,68.4,60,105,5.6,13.91,FL-22275,30.5204298,-87.1899083
Gonzalez,Florida,14324,946,Pensacola-Ferry Pass-Brent,503173,$76314,31.89%,40,$287000,1678,$171,30,83.58%,$1023,48.45%,N/A,N/A,4.03%,3.23%,65.91%,Escambia County,37.30%,57.60%,3.72%,10.74%,76.26%,7.23%,4.75%,Eastern Standard Time,92,63,29,76,44,60%,63%,58,72,108,60%,60%,52%,71.99,24.62,18.01,28.22%,41.65%,29.56%,0.2,0,7.9,68.4,52,66,5.6,15.14,FL-26700,30.5821429,-87.2906259
Goulding,Florida,3427,2880,Pensacola-Ferry Pass-Brent,503173,$26646,7.33%,39,$104000,1095,$95,48,60.86%,$910,74.7%,N/A,N/A,25.57%,15.4%,31.5%,Escambia County,37.30%,57.60%,0.38%,68.92%,21.18%,3.82%,2.48%,Eastern Standard Time,92,63,29,76,44,60%,63%,58,72,108,60%,60%,52%,69.05,23.17,16.26,31.75%,46.26%,32.22%,0.2,0,7.9,68.4,63,102,5.6,1.19,FL-26925,30.4396436,-87.2299547
Molino,Florida,942,135,Pensacola-Ferry Pass-Brent,503173,$87500,18.99%,46,$435000,3152,$138,51,87.03%,N/A,39.38%,N/A,N/A,8.28%,0.0%,77.91%,Escambia County,37.30%,57.60%,0.0%,4.56%,76.01%,12.95%,0.96%,Eastern Standard Time,93,65,28,74,42,60%,63%,58,72,110,60%,60%,52%,71.99,24.62,18.01,28.22%,41.65%,29.56%,0.2,0,7.9,68.4,60,66,5.6,6.96,FL-46225,30.71228,-87.3239804
Myrtle Grove,Florida,17023,2564,Pensacola-Ferry Pass-Brent,503173,$54585,20.32%,32,$209000,1526,$137,41,55.03%,$1083,56.9%,N/A,N/A,15.05%,14.27%,66.15%,Escambia County,37.30%,57.60%,6.11%,16.77%,60.88%,6.94%,7.47%,Eastern Standard Time,90,62,28,74,42,60%,63%,58,72,102,60%,60%,52%,57.17,19.09,13.85,31.75%,46.26%,32.22%,0.2,0,7.9,68.4,59,27,5.6,6.64,FL-47550,30.415772,-87.3027576
Pensacola,Florida,53845,2375,Pensacola-Ferry Pass-Brent,503173,$59119,40.07%,38,$298000,1656,$180,49,65.34%,$1072,56.72%,590,3575,15.32%,5.77%,62.81%,Escambia County,37.30%,57.60%,2.17%,24.81%,62.56%,4.74%,4.13%,Eastern Standard Time,92,63,29,76,44,60%,63%,58,72,108,60%,60%,52%,69.03,23.69,16.65,31.75%,46.26%,32.22%,0.2,0,7.9,68.4,62,102,5.6,22.67,FL-55925,30.4412361,-87.1910984
Warrington,Florida,16140,2329,Pensacola-Ferry Pass-Brent,503173,$44216,25.65%,43,$252000,1416,$178,57,58.62%,$860,56.48%,N/A,N/A,20.6%,7.66%,61.16%,Escambia County,37.30%,57.60%,1.29%,19.3%,68.82%,4.93%,2.24%,Eastern Standard Time,90,62,28,74,42,60%,63%,58,72,102,60%,60%,52%,57.17,19.09,13.85,31.75%,46.26%,32.22%,0.2,0,7.9,68.4,65,27,5.6,6.93,FL-75200,30.3834736,-87.2946687
West Pensacola,Florida,21960,3063,Pensacola-Ferry Pass-Brent,503173,$35910,11.6%,37,$183000,1512,$121,56,47.08%,$936,61.61%,N/A,N/A,24.0%,8.68%,56.32%,Escambia County,37.30%,57.60%,2.15%,39.41%,48.99%,4.01%,4.85%,Eastern Standard Time,92,63,29,76,44,60%,63%,58,72,108,60%,60%,52%,69.05,23.17,16.26,31.75%,46.26%,32.22%,0.2,0,7.9,68.4,59,102,5.6,7.17,FL-76675,30.426311,-87.26788
