City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Belleville,New Jersey,36383,10893,New York-Newark-Jersey City,20011812,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,213,1390,N/A,N/A,N/A,Essex County,77.00%,20.20%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,88,40,48,70,25,53%,51%,41,61,91,55%,62%,50%,52.68,15.18,12.43,33.95%,34.29%,35.89%,31.3,9,7.4,25.9,37,21,3.7,3.34,NJ-04690,40.7949317,-74.161878
Bloomfield,New Jersey,48892,9208,New York-Newark-Jersey City,20011812,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63,1127,N/A,N/A,N/A,Essex County,77.00%,20.20%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,88,40,48,70,25,53%,51%,41,61,91,55%,62%,50%,54.8,16.31,12.07,33.95%,34.29%,35.89%,31.3,9,7.4,25.9,39,327,3.7,5.31,NJ-06250,40.809837,-74.186955
Brookdale,New Jersey,10134,6334,New York-Newark-Jersey City,20011812,$141953,60.19%,38,$664000,1844,$360,70,89.11%,$1602,39.54%,N/A,N/A,2.67%,4.57%,72.31%,Essex County,77.00%,20.20%,12.49%,8.55%,56.31%,19.52%,19.73%,Eastern Standard Time,86,39,47,67,23,53%,51%,41,61,88,55%,62%,50%,54.8,16.31,12.07,34.85%,39.12%,32.56%,31.3,9,7.4,25.9,39,327,3.7,1.6,NJ-08110,40.8348029,-74.1797633
Caldwell,New Jersey,8800,7458,New York-Newark-Jersey City,20011812,$107596,57.34%,38,$525000,1630,$322,66,56.87%,$1766,47.75%,88,717,7.32%,3.9%,72.38%,Essex County,77.00%,20.20%,12.97%,5.24%,66.32%,13.7%,18.06%,Eastern Standard Time,86,39,47,67,23,53%,51%,41,61,88,55%,62%,50%,54.8,16.31,12.07,34.85%,39.12%,32.56%,31.3,9,7.4,25.9,55,327,3.7,1.18,NJ-09250,40.8389354,-74.2776573
Cedar Grove,New Jersey,12638,2974,New York-Newark-Jersey City,20011812,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47,447,N/A,N/A,N/A,Essex County,77.00%,20.20%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,86,39,47,67,23,53%,51%,41,61,88,55%,62%,50%,54.8,16.31,12.07,34.85%,39.12%,32.56%,31.3,9,7.4,25.9,49,327,3.7,4.25,NJ-11230,40.8566781,-74.228657
City of Orange,New Jersey,30731,13843,New York-Newark-Jersey City,20011812,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,621,2078,N/A,N/A,N/A,Essex County,77.00%,20.20%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,88,40,48,70,25,53%,51%,41,61,91,55%,62%,50%,50.18,15.11,11.35,33.95%,34.29%,35.89%,31.3,9,7.4,25.9,39,219,3.7,2.22,NJ-55020,40.7682124,-74.234907
East Orange,New Jersey,68918,17536,New York-Newark-Jersey City,20011812,$54520,21.5%,36,$467000,2048,$228,64,29.67%,$1226,68.37%,428,1392,18.01%,11.85%,66.11%,Essex County,77.00%,20.20%,1.77%,82.57%,1.8%,11.66%,28.5%,Eastern Standard Time,88,40,48,70,25,53%,51%,41,61,91,55%,62%,50%,52.68,15.18,12.43,33.95%,34.29%,35.89%,31.3,9,7.4,25.9,31,21,3.7,3.93,NJ-19390,40.7650558,-74.211654
Essex Fells,New Jersey,2270,1610,New York-Newark-Jersey City,20011812,$250001,83.96%,44,$857000,1966,$436,70,94.89%,$3501,25.52%,0,772,1.15%,2.49%,64.69%,Essex County,77.00%,20.20%,2.6%,0.4%,80.09%,14.23%,8.63%,Eastern Standard Time,86,39,47,67,23,53%,51%,41,61,88,55%,62%,50%,54.8,16.31,12.07,34.85%,39.12%,32.56%,31.3,9,7.4,25.9,60,327,3.7,1.41,NJ-21840,40.8270307,-74.2798517
Fairfield township (Essex Cnty),New Jersey,7671,745,New York-Newark-Jersey City,20011812,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Essex County,77.00%,20.20%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,86,39,47,67,23,53%,51%,41,61,88,55%,62%,50%,45.8,14.21,9.69,34.85%,39.12%,32.56%,31.3,9,7.4,25.9,55,159,3.7,10.3,NJ-22380,40.8825463,-74.304022
Glen Ridge,New Jersey,7764,6113,New York-Newark-Jersey City,20011812,$243899,82.57%,41,$464000,1110,$418,N/A,93.32%,$1798,28.59%,52,1425,1.34%,7.03%,70.42%,Essex County,77.00%,20.20%,6.25%,2.72%,78.1%,9.25%,8.86%,Eastern Standard Time,88,40,48,70,25,53%,51%,41,61,91,55%,62%,50%,54.8,16.31,12.07,33.95%,34.29%,35.89%,31.3,9,7.4,25.9,46,327,3.7,1.27,NJ-26610,40.8040394,-74.2043025
