City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Alpharetta,Georgia,65187,2423,Atlanta-Sandy Springs-Roswell,6026734,$133920,70.53%,40,$735000,2860,$257,25,71.1%,$1589,37.54%,111,1470,4.28%,4.78%,71.83%,Fulton County,67.70%,26.80%,22.23%,12.07%,53.56%,7.6%,27.14%,Eastern Standard Time,90,52,38,70,33,55%,57%,49,66,99,60%,63%,53%,54.17,13.85,15.16,33.59%,37.8%,37.44%,3.0,0,8.3,49.0,51,936,5.1,26.9,GA-01696,34.0703768,-84.2738383
Atlanta,Georgia,492204,3638,Atlanta-Sandy Springs-Roswell,6026734,$69164,55.64%,33,$400000,1444,$277,36,47.08%,$1342,69.21%,N/A,N/A,18.52%,6.12%,66.45%,Fulton County,67.70%,26.80%,5.01%,48.19%,39.07%,5.05%,8.34%,Eastern Standard Time,90,54,36,70,33,55%,57%,49,66,99,60%,63%,53%,51.39,13.48,14.17,32.99%,37.14%,36.44%,2.0,0,8.3,49.0,32,834,5.1,135.31,GA-04000,33.7628064,-84.4220411
Chattahoochee Hills,Georgia,3048,52,Atlanta-Sandy Springs-Roswell,6026734,$69738,49.62%,51,$591000,1925,$307,31,78.67%,$1016,37.87%,N/A,N/A,8.4%,2.68%,52.04%,Fulton County,67.70%,26.80%,0.0%,19.29%,67.65%,12.8%,2.1%,Eastern Standard Time,90,54,36,68,32,55%,57%,49,66,99,60%,63%,53%,54.53,13.84,16.82,34.27%,37.58%,39.33%,2.0,0,8.3,49.0,54,861,5.1,58.18,GA-15552,33.550628,-84.760488
College Park,Georgia,14032,1265,Atlanta-Sandy Springs-Roswell,6026734,$43554,29.1%,32,$323000,1900,$170,49,24.62%,$955,68.88%,1158,6794,19.74%,11.84%,74.78%,Fulton County,67.70%,26.80%,1.45%,81.53%,10.07%,3.91%,6.14%,Eastern Standard Time,90,54,36,72,36,55%,57%,49,66,99,60%,63%,53%,51.33,13.56,15.32,31.51%,36.59%,35.89%,2.0,0,8.3,49.0,24,924,5.1,11.09,GA-17776,33.6363641,-84.4639172
East Point,Georgia,37895,2580,Atlanta-Sandy Springs-Roswell,6026734,$50371,35.23%,35,$300000,1676,$179,51,43.97%,$1156,71.55%,N/A,N/A,23.23%,7.33%,69.96%,Fulton County,67.70%,26.80%,1.56%,76.74%,12.55%,7.87%,6.17%,Eastern Standard Time,90,54,36,72,36,55%,57%,49,66,99,60%,63%,53%,51.33,13.56,15.32,31.51%,36.59%,35.89%,2.0,0,8.3,49.0,35,924,5.1,14.69,GA-25720,33.6696005,-84.4700271
Fairburn,Georgia,16215,960,Atlanta-Sandy Springs-Roswell,6026734,$58741,30.3%,30,$302000,1899,$159,19,49.99%,$1221,69.06%,473,3049,25.26%,5.05%,71.55%,Fulton County,67.70%,26.80%,0.47%,71.71%,10.34%,17.34%,10.39%,Eastern Standard Time,90,54,36,72,36,55%,57%,49,66,99,60%,63%,53%,53.82,13.84,16.25,34.27%,37.58%,39.33%,2.0,0,8.3,49.0,45,870,5.1,16.89,GA-28380,33.5496232,-84.591351
Hapeville,Georgia,6553,2719,Atlanta-Sandy Springs-Roswell,6026734,$72426,34.17%,34,$312000,1328,$235,52,48.2%,$1168,59.08%,N/A,N/A,21.78%,5.32%,79.31%,Fulton County,67.70%,26.80%,5.57%,33.36%,19.4%,33.76%,27.36%,Eastern Standard Time,90,54,36,72,36,55%,57%,49,66,99,60%,63%,53%,51.33,13.56,15.32,31.51%,36.59%,35.89%,2.0,0,8.3,49.0,17,924,5.1,2.41,GA-36472,33.6608735,-84.4093208
Johns Creek,Georgia,82068,2664,Atlanta-Sandy Springs-Roswell,6026734,$133948,69.11%,42,$736000,3315,$222,26,77.31%,$1799,35.19%,N/A,N/A,3.64%,3.61%,66.99%,Fulton County,67.70%,26.80%,26.17%,10.16%,52.66%,6.93%,31.16%,Eastern Standard Time,90,52,38,70,33,55%,57%,49,66,99,60%,63%,53%,54.17,13.85,15.16,33.59%,37.8%,37.44%,2.0,0,8.3,49.0,51,936,5.1,30.81,GA-42425,34.033332,-84.202669
Milton,Georgia,40487,1052,Atlanta-Sandy Springs-Roswell,6026734,$136020,74.86%,41,$938000,3737,$251,20,80.68%,$1475,32.3%,37,726,4.27%,4.2%,72.6%,Fulton County,67.70%,26.80%,17.43%,11.66%,61.93%,5.65%,22.75%,Eastern Standard Time,89,52,37,68,31,55%,57%,49,66,96,60%,63%,53%,54.17,13.85,15.16,33.59%,37.8%,37.44%,3.0,0,8.3,49.0,55,936,5.1,38.49,GA-51670,34.1353012,-84.3138473
Mountain Park,Georgia,1051,2285,Atlanta-Sandy Springs-Roswell,6026734,$112679,62.22%,54,$442000,2056,$215,36,91.37%,$1543,35.33%,N/A,N/A,3.9%,3.09%,73.88%,Fulton County,67.70%,26.80%,0.0%,1.52%,94.2%,1.9%,5.04%,Eastern Standard Time,90,52,38,70,33,55%,57%,49,66,99,60%,63%,53%,53.15,12.88,15.12,33.59%,37.8%,37.44%,3.0,0,8.3,49.0,53,852,5.1,0.46,GA-53172,34.0829751,-84.4132664
