City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Argentine,Michigan,2573,1086,Flint,406400,$90476,30.34%,47,$358000,1605,$223,42,88.45%,$852,45.73%,46,292,8.95%,4.16%,54.11%,Genesee County,52.00%,42.60%,0.0%,0.93%,98.29%,0.78%,0.89%,Eastern Standard Time,81,30,51,59,16,61%,55%,38,58,82,50%,66%,39%,34.82,10.08,6.56,38.63%,32.86%,45.56%,57.1,46,8.1,32.3,79,801,3.3,2.37,MI-03400,42.7905301,-83.8355942
Argentine township,Michigan,2573,1086,Flint,406400,$90476,30.34%,47,$358000,1605,$223,42,88.45%,$852,45.73%,46,292,8.95%,4.16%,54.11%,Genesee County,52.00%,42.60%,0.0%,0.93%,98.29%,0.78%,0.89%,Eastern Standard Time,81,30,51,59,16,61%,55%,38,58,82,50%,66%,39%,34.82,10.08,6.56,38.63%,32.86%,45.56%,57.1,46,8.1,32.3,79,801,3.3,2.37,MI-03400,42.7905301,-83.8355942
Atlas,Michigan,7806,222,Flint,406400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Genesee County,52.00%,42.60%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,31,52,60,16,61%,55%,38,58,85,52%,67%,39%,33.68,10.93,5.5,37.75%,34.07%,40.44%,57.1,46,8.1,32.3,78,831,3.3,35.16,MI-04000,42.918555,-83.5139053
Beecher,Michigan,9171,1560,Flint,406400,$33105,5.57%,32,$39000,929,$42,58,49.83%,$813,71.09%,N/A,N/A,32.38%,23.95%,55.6%,Genesee County,52.00%,42.60%,0.27%,62.84%,24.15%,5.53%,3.14%,Eastern Standard Time,82,31,51,61,17,61%,55%,38,58,83,50%,66%,39%,35.09,10.5,6.34,39.01%,34.51%,43.56%,57.1,46,8.1,32.3,66,621,3.3,5.88,MI-06820,43.0902696,-83.7039198
Burton,Michigan,29532,1264,Flint,406400,$51300,17.06%,43,$183000,1500,$122,58,74.45%,$819,56.75%,477,N/A,16.16%,7.65%,59.58%,Genesee County,52.00%,42.60%,1.44%,8.76%,80.89%,4.23%,2.27%,Eastern Standard Time,84,32,52,59,16,61%,55%,38,58,86,52%,67%,39%,36.28,10.6,6.72,38.63%,32.86%,45.56%,57.1,46,8.1,32.3,67,693,3.3,23.36,MI-12060,42.9994718,-83.6163424
Clayton charter township,Michigan,7301,10283,Flint,406400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,126,632,N/A,N/A,N/A,Genesee County,52.00%,42.60%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,82,31,51,61,17,61%,55%,38,58,83,50%,66%,39%,35.09,10.5,6.34,39.01%,34.51%,43.56%,57.1,46,8.1,32.3,76,621,3.3,0.71,MI-16260,43.0026894,-83.8722574
Clio,Michigan,2106,1897,Flint,406400,$34838,14.23%,51,$200000,1361,$147,51,57.26%,$667,64.85%,362,1208,26.94%,13.31%,54.08%,Genesee County,52.00%,42.60%,0.0%,2.18%,88.56%,5.13%,1.8%,Eastern Standard Time,82,31,51,61,17,61%,55%,38,58,83,50%,66%,39%,35.09,10.5,6.34,39.01%,34.51%,43.56%,57.1,46,8.1,32.3,63,621,3.3,1.11,MI-16620,43.1772767,-83.7355054
Davison,Michigan,4997,2511,Flint,406400,N/A,N/A,N/A,$217000,1307,$166,N/A,N/A,N/A,N/A,135,1082,N/A,N/A,N/A,Genesee County,52.00%,42.60%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,84,32,52,59,16,61%,55%,38,58,86,52%,67%,39%,36.28,10.6,6.72,37.75%,34.07%,40.44%,57.1,46,8.1,32.3,65,693,3.3,1.99,MI-19900,43.004195,-83.5164813
Davison township,Michigan,19117,9607,Flint,406400,N/A,N/A,N/A,$217000,1307,$166,N/A,N/A,N/A,N/A,135,1082,N/A,N/A,N/A,Genesee County,52.00%,42.60%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,84,32,52,59,16,61%,55%,38,58,86,52%,67%,39%,36.28,10.6,6.72,37.75%,34.07%,40.44%,57.1,46,8.1,32.3,74,693,3.3,1.99,MI-19900,43.004195,-83.5164813
Fenton,Michigan,11364,1709,Flint,406400,N/A,N/A,N/A,$295000,1545,$191,N/A,N/A,N/A,N/A,186,1799,N/A,N/A,N/A,Genesee County,52.00%,42.60%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,81,30,51,59,16,61%,55%,38,58,82,50%,66%,39%,36.6,10.71,6.91,38.63%,32.86%,45.56%,57.1,46,8.1,32.3,70,789,3.3,6.65,MI-27780,42.8336133,-83.7528238
Fenton charter township,Michigan,15288,2299,Flint,406400,N/A,N/A,N/A,$295000,1545,$191,N/A,N/A,N/A,N/A,186,1799,N/A,N/A,N/A,Genesee County,52.00%,42.60%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,81,30,51,59,16,61%,55%,38,58,82,50%,66%,39%,36.6,10.71,6.91,38.63%,32.86%,45.56%,57.1,46,8.1,32.3,76,789,3.3,6.65,MI-27780,42.8336133,-83.7528238
Flint,Michigan,97810,2925,Flint,406400,N/A,N/A,N/A,$72000,1180,$61,N/A,N/A,N/A,N/A,794,N/A,N/A,N/A,N/A,Genesee County,52.00%,42.60%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,82,31,51,61,17,61%,55%,38,58,83,50%,66%,39%,35.09,10.5,6.34,39.01%,34.51%,43.56%,57.1,46,8.1,32.3,63,621,3.3,33.44,MI-29020,43.0024118,-83.7666429
Flint charter township,Michigan,30905,924,Flint,406400,N/A,N/A,N/A,$72000,1180,$61,N/A,N/A,N/A,N/A,794,N/A,N/A,N/A,N/A,Genesee County,52.00%,42.60%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,82,31,51,61,17,61%,55%,38,58,83,50%,66%,39%,35.09,10.5,6.34,39.01%,34.51%,43.56%,57.1,46,8.1,32.3,68,621,3.3,33.44,MI-29020,43.0024118,-83.7666429
Flushing,Michigan,8058,2232,Flint,406400,N/A,N/A,N/A,$208000,1552,$134,N/A,N/A,N/A,N/A,108,452,N/A,N/A,N/A,Genesee County,52.00%,42.60%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,82,31,51,61,17,61%,55%,38,58,83,50%,66%,39%,35.09,10.5,6.34,39.01%,34.51%,43.56%,57.1,46,8.1,32.3,71,621,3.3,3.61,MI-29220,43.0920987,-83.8747496
Flushing charter township,Michigan,10313,2857,Flint,406400,N/A,N/A,N/A,$208000,1552,$134,N/A,N/A,N/A,N/A,108,452,N/A,N/A,N/A,Genesee County,52.00%,42.60%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,82,31,51,61,17,61%,55%,38,58,83,50%,66%,39%,35.09,10.5,6.34,39.01%,34.51%,43.56%,57.1,46,8.1,32.3,77,621,3.3,3.61,MI-29220,43.0920987,-83.8747496
Forest township (Genesee Cnty),Michigan,4554,128,Flint,406400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Genesee County,52.00%,42.60%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,84,32,52,59,16,61%,55%,38,58,86,52%,67%,39%,34.88,10.56,6.38,32.44%,27.8%,40.78%,57.1,46,8.1,32.3,79,750,3.3,35.58,MI-29420,43.1799126,-83.5202268
