City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Bath township (Greene Cnty),Ohio,40261,1075,Dayton,840980,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Greene County,34.90%,58.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,86,38,48,63,17,60%,55%,41,61,89,53%,66%,41%,42.0,11.33,9.32,36.25%,35.27%,39.11%,26.3,23,8.3,38.6,60,903,3.6,37.45,OH-04220,39.8108403,-84.0175969
Beavercreek,Ohio,47343,1780,Dayton,840980,$94632,51.84%,41,$275000,2083,$132,40,77.21%,$1229,40.23%,69,2502,7.23%,2.48%,63.58%,Greene County,34.90%,58.50%,6.13%,2.82%,82.21%,3.37%,7.12%,Eastern Standard Time,86,37,49,66,20,60%,55%,41,61,89,53%,66%,41%,42.68,11.64,9.08,35.78%,34.73%,38.33%,26.3,23,8.3,38.6,61,660,3.6,26.59,OH-04720,39.7309696,-84.0623818
Beavercreek township,Ohio,47343,1780,Dayton,840980,$94632,51.84%,41,$275000,2083,$132,40,77.21%,$1229,40.23%,69,2502,7.23%,2.48%,63.58%,Greene County,34.90%,58.50%,6.13%,2.82%,82.21%,3.37%,7.12%,Eastern Standard Time,86,37,49,66,20,60%,55%,41,61,89,53%,66%,41%,42.68,11.64,9.08,35.78%,34.73%,38.33%,26.3,23,8.3,38.6,62,660,3.6,26.59,OH-04720,39.7309696,-84.0623818
Bellbrook,Ohio,7277,2318,Dayton,840980,$87104,50.78%,41,$238000,1545,$154,50,78.08%,$984,32.69%,0,491,3.95%,0.51%,68.57%,Greene County,34.90%,58.50%,4.75%,1.62%,91.88%,1.33%,6.31%,Eastern Standard Time,86,39,47,65,22,60%,55%,41,61,89,53%,66%,41%,44.1,11.71,9.85,38.27%,36.04%,39.11%,26.3,23,8.3,38.6,60,915,3.6,3.14,OH-05102,39.638351,-84.086288
Bowersville,Ohio,376,2212,Dayton,840980,$37450,14.23%,39,N/A,N/A,N/A,N/A,57.45%,$875,43.82%,N/A,N/A,12.77%,0.0%,57.61%,Greene County,34.90%,58.50%,0.0%,1.06%,95.48%,0.0%,0.53%,Eastern Standard Time,84,37,47,63,21,60%,55%,41,61,86,53%,66%,41%,44.73,12.76,9.6,40.99%,40.0%,45.89%,25.6,22,7.6,38.6,76,945,3.6,0.17,OH-07930,39.5807868,-83.7233257
Caesarscreek,Ohio,967,35,Dayton,840980,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Greene County,34.90%,58.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,38,45,65,23,60%,55%,41,61,85,53%,66%,41%,44.25,12.12,9.75,30.55%,29.23%,32.78%,25.6,22,8.3,38.6,76,912,3.6,27.63,OH-10856,39.5931958,-83.8605119
Cedarville,Ohio,3848,2937,Dayton,840980,$45625,46.5%,20,$305000,1837,$166,60,54.96%,$633,84.83%,N/A,N/A,19.08%,11.45%,54.94%,Greene County,34.90%,58.50%,1.95%,10.19%,81.99%,3.46%,3.09%,Eastern Standard Time,83,38,45,65,23,60%,55%,41,61,85,53%,66%,41%,44.82,11.65,9.0,30.55%,29.23%,32.78%,25.6,22,7.6,38.6,76,834,3.6,1.31,OH-12784,39.7469641,-83.8108141
Cedarville township,Ohio,3848,2937,Dayton,840980,$45625,46.5%,20,$305000,1837,$166,60,54.96%,$633,84.83%,N/A,N/A,19.08%,11.45%,54.94%,Greene County,34.90%,58.50%,1.95%,10.19%,81.99%,3.46%,3.09%,Eastern Standard Time,83,38,45,65,23,60%,55%,41,61,85,53%,66%,41%,44.82,11.65,9.0,30.55%,29.23%,32.78%,25.6,22,7.6,38.6,76,834,3.6,1.31,OH-12784,39.7469641,-83.8108141
Clifton,Ohio,124,729,Springfield,733328,$62344,17.14%,39,N/A,N/A,N/A,N/A,67.74%,$722,45.22%,N/A,N/A,11.29%,2.33%,76.11%,Greene County,34.90%,58.50%,0.0%,1.61%,85.48%,7.26%,1.61%,Eastern Standard Time,84,36,48,62,19,60%,55%,41,61,86,53%,66%,41%,44.82,11.65,9.0,40.19%,38.57%,42.56%,26.3,23,7.6,38.6,75,834,3.6,0.17,OH-16056,39.7971755,-83.8257149
Fairborn,Ohio,33456,2296,Dayton,840980,$48825,29.76%,34,$234000,1708,$137,51,47.66%,$846,57.16%,260,1859,18.26%,5.43%,64.38%,Greene County,34.90%,58.50%,2.43%,8.74%,79.64%,3.87%,5.36%,Eastern Standard Time,86,38,48,63,17,60%,55%,41,61,89,53%,66%,41%,44.82,11.65,9.0,36.25%,35.27%,39.11%,26.3,23,8.3,38.6,60,834,3.6,14.57,OH-25914,39.8010689,-84.0092933
