City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Berkeley Lake,Georgia,2503,1430,Atlanta-Sandy Springs-Roswell,6026734,$138182,59.95%,58,N/A,N/A,N/A,31,97.55%,$2154,28.92%,N/A,N/A,1.76%,2.91%,62.2%,Gwinnett County,50.20%,44.40%,9.91%,1.48%,81.9%,4.63%,12.27%,Eastern Standard Time,90,52,38,70,33,55%,57%,49,66,99,60%,63%,53%,54.17,13.85,15.16,33.59%,37.8%,37.44%,2.0,0,8.3,49.0,44,936,5,1.75,GA-07248,33.9805109,-84.1839049
Buford,Georgia,16811,926,Atlanta-Sandy Springs-Roswell,6026734,$54321,27.82%,36,$480000,2449,$196,27,69.9%,$1119,47.66%,N/A,N/A,13.01%,4.38%,57.71%,Gwinnett County,50.20%,44.40%,3.37%,13.74%,45.05%,35.21%,20.84%,Eastern Standard Time,89,52,37,68,31,55%,57%,49,66,96,60%,63%,53%,57.2,16.22,16.58,34.47%,37.69%,39.56%,3.0,0,8.3,49.0,53,1053,5,18.15,GA-11784,34.1191543,-83.9903927
Dacula,Georgia,6696,1247,Atlanta-Sandy Springs-Roswell,6026734,$87666,19.59%,34,$416000,2391,$174,22,79.98%,$1387,27.06%,N/A,N/A,2.56%,8.6%,67.77%,Gwinnett County,50.20%,44.40%,0.61%,46.82%,42.08%,4.24%,15.85%,Eastern Standard Time,88,51,37,70,34,55%,57%,49,66,94,60%,63%,53%,52.73,13.56,15.2,34.47%,37.69%,39.56%,2.0,0,8.3,49.0,56,888,5,5.37,GA-21184,33.981525,-83.8951397
Duluth,Georgia,31506,3083,Atlanta-Sandy Springs-Roswell,6026734,$77516,53.24%,40,$453000,2299,$197,26,56.39%,$1511,43.95%,N/A,N/A,9.0%,4.45%,71.36%,Gwinnett County,50.20%,44.40%,23.87%,20.62%,34.78%,15.73%,33.35%,Eastern Standard Time,90,52,38,70,33,55%,57%,49,66,99,60%,63%,53%,53.8,13.87,15.09,33.59%,37.8%,37.44%,2.0,0,8.3,49.0,47,978,5,10.22,GA-24600,34.0053407,-84.1491687
Grayson,Georgia,4478,1784,Atlanta-Sandy Springs-Roswell,6026734,$113652,42.46%,31,$445000,2681,$166,10,96.49%,$2136,32.33%,N/A,N/A,1.36%,1.5%,67.46%,Gwinnett County,50.20%,44.40%,3.06%,70.84%,21.97%,4.2%,35.04%,Eastern Standard Time,90,52,38,70,33,55%,57%,49,66,99,60%,63%,53%,53.1,13.58,15.18,33.59%,37.8%,37.44%,2.0,0,8.3,49.0,52,912,5,2.51,GA-34596,33.8903531,-83.9576788
Lawrenceville,Georgia,30299,2225,Atlanta-Sandy Springs-Roswell,6026734,$51242,26.03%,33,$380000,2123,$179,33,48.4%,$1185,54.1%,N/A,N/A,17.51%,6.8%,68.43%,Gwinnett County,50.20%,44.40%,6.62%,35.41%,31.03%,23.75%,26.44%,Eastern Standard Time,90,52,38,70,33,55%,57%,49,66,99,60%,63%,53%,53.1,13.58,15.18,33.59%,37.8%,37.44%,2.0,0,8.3,49.0,48,912,5,13.62,GA-45488,33.9522363,-83.9932122
Lilburn,Georgia,14424,2121,Atlanta-Sandy Springs-Roswell,6026734,$58900,24.28%,36,$383000,2140,$179,35,55.55%,$1211,46.07%,180,2772,19.68%,4.4%,64.63%,Gwinnett County,50.20%,44.40%,16.13%,13.21%,22.3%,45.81%,34.14%,Eastern Standard Time,90,52,38,70,33,55%,57%,49,66,99,60%,63%,53%,53.1,13.58,15.18,33.59%,37.8%,37.44%,2.0,0,8.3,49.0,43,912,5,6.8,GA-46356,33.8896434,-84.1363514
Mountain Park CDP,Georgia,12680,2190,Atlanta-Sandy Springs-Roswell,6026734,$81119,44.96%,47,$442000,2056,$215,42,79.09%,$1587,41.44%,N/A,N/A,8.71%,2.7%,59.87%,Gwinnett County,50.20%,44.40%,21.97%,21.08%,44.44%,9.57%,27.83%,Eastern Standard Time,90,52,38,70,33,55%,57%,49,66,99,60%,63%,53%,53.1,13.58,15.18,33.59%,37.8%,37.44%,2.0,0,8.3,49.0,45,912,5,5.79,GA-53186,33.8457769,-84.1313366
Norcross,Georgia,17413,2831,Atlanta-Sandy Springs-Roswell,6026734,$70403,37.15%,33,$406000,2020,$201,29,54.54%,$1354,43.31%,N/A,N/A,14.99%,3.21%,74.3%,Gwinnett County,50.20%,44.40%,13.35%,25.48%,20.39%,39.79%,31.34%,Eastern Standard Time,90,52,38,70,33,55%,57%,49,66,99,60%,63%,53%,54.66,14.22,15.08,33.59%,37.8%,37.44%,2.0,0,8.3,49.0,36,942,5,6.15,GA-55776,33.9378701,-84.2064276
Peachtree Corners,Georgia,42065,2611,Atlanta-Sandy Springs-Roswell,6026734,$68738,51.8%,36,$555000,2748,$202,33,56.86%,$1320,45.51%,N/A,N/A,8.12%,2.79%,70.02%,Gwinnett County,50.20%,44.40%,9.26%,24.38%,46.42%,16.17%,18.78%,Eastern Standard Time,90,52,38,70,33,55%,57%,49,66,99,60%,63%,53%,54.66,14.22,15.08,33.59%,37.8%,37.44%,2.0,0,8.3,49.0,42,942,5,16.11,GA-59735,33.9670123,-84.2319611
