City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code
Avon,Connecticut,18381,794,Hartford-West Hartford-East Hartford,1201483,$116565,66.16%,N/A,N/A,N/A,N/A,40,78.70%,$1608,34.60%,21,1140,N/A,2.30%,N/A,Hartford County,59.10%,36.40%,12.6%,0.3%,82.6%,3.2%,N/A,Eastern Standard Time,83,35,48,55,108,190,35,N/A,N/A,6,74,179,3.3,23.15,CT-02060
Berlin,Connecticut,20584,782,Hartford-West Hartford-East Hartford,1201483,$87518,40.97%,N/A,N/A,N/A,N/A,47,80.50%,$1611,43.10%,92,1224,N/A,3.00%,N/A,Hartford County,59.10%,36.40%,1.7%,0.9%,91.2%,5.0%,N/A,Eastern Standard Time,84,36,48,50,112,190,35,N/A,N/A,7,67,179,3.3,26.32,CT-04300
Bloomfield,Connecticut,20848,799,Hartford-West Hartford-East Hartford,1201483,$73519,34.81%,N/A,N/A,N/A,N/A,48,67.10%,$1734,54.40%,126,2335,N/A,3.70%,N/A,Hartford County,59.10%,36.40%,1.6%,58.5%,30.9%,5.1%,N/A,Eastern Standard Time,84,36,48,49,120,190,37,N/A,N/A,N/A,64,179,3.3,26.09,CT-05910
Blue Hills,Connecticut,2600,2222,Hartford-West Hartford-East Hartford,1201483,$58211,11.85%,41,$245000,2112,$116,63,76.54%,$954,67.80%,N/A,N/A,6.62%,6.44%,69.05%,Hartford County,59.10%,36.40%,0.0%,82.35%,6.08%,3.35%,32.77%,Eastern Standard Time,84,36,48,49,120,191,37,59,39,6,59,179,3.3,1.17,CT-06050
Bristol,Connecticut,60039,2273,Hartford-West Hartford-East Hartford,1201483,$68485,26.53%,41,$250000,1667,$150,54,67.89%,$1093,53.40%,88,1370,10.23%,5.42%,68.53%,Hartford County,59.10%,36.40%,1.71%,5.96%,72.89%,16.48%,8.63%,Eastern Standard Time,84,36,48,55,107,188,35,59,39,7,69,179,3.3,26.41,CT-08420
Broad Brook,Connecticut,4118,694,Hartford-West Hartford-East Hartford,1201483,$84663,35.93%,40,$246000,1952,$126,40,71.26%,$1320,49.20%,N/A,N/A,20.18%,6.94%,65.59%,Hartford County,59.10%,36.40%,6.34%,17.68%,60.32%,13.38%,13.28%,Eastern Standard Time,84,34,50,49,121,188,37,59,39,6,68,179,3.3,5.93,CT-08770
Burlington,Connecticut,9598,323,Hartford-West Hartford-East Hartford,1201483,$109037,51.06%,N/A,N/A,N/A,N/A,37,87.60%,N/A,34.30%,N/A,N/A,N/A,3.80%,N/A,Hartford County,59.10%,36.40%,2.5%,0.6%,93.2%,2.9%,N/A,Eastern Standard Time,83,34,49,53,128,190,46,N/A,N/A,6,78,179,3.3,29.72,CT-10100
Canton,Connecticut,10339,421,Hartford-West Hartford-East Hartford,1201483,$89452,55.38%,N/A,N/A,N/A,N/A,44,75.20%,$1465,37.30%,48,545,N/A,2.40%,N/A,Hartford County,59.10%,36.40%,4.3%,2.0%,85.9%,6.1%,N/A,Eastern Standard Time,83,34,49,53,128,190,46,N/A,N/A,6,78,179,3.3,24.56,CT-12270
Collinsville,Connecticut,3729,1191,Hartford-West Hartford-East Hartford,1201483,$89444,59.69%,49,$280000,1958,$143,37,83.47%,$1505,37.90%,N/A,N/A,3.39%,3.01%,64.86%,Hartford County,59.10%,36.40%,2.36%,3.3%,88.82%,3.89%,9.6%,Eastern Standard Time,83,34,49,53,128,191,46,59,39,6,75,179,3.3,3.13,CT-16120
East Granby,Connecticut,5220,297,Hartford-West Hartford-East Hartford,1201483,$71272,47.00%,N/A,N/A,N/A,N/A,41,75.90%,$947,40.00%,N/A,N/A,N/A,3.80%,N/A,Hartford County,59.10%,36.40%,2.7%,2.1%,85.2%,6.0%,N/A,Eastern Standard Time,83,33,50,51,120,190,37,N/A,N/A,6,71,179,3.3,17.58,CT-22070
Enfield,Connecticut,44608,1341,Hartford-West Hartford-East Hartford,1201483,$68162,27.03%,N/A,N/A,N/A,N/A,56,71.60%,$1562,52.70%,110,1363,N/A,3.60%,N/A,Hartford County,59.10%,36.40%,2.5%,5.6%,80.0%,8.6%,N/A,Eastern Standard Time,83,33,50,46,117,190,37,N/A,N/A,6,60,179,3.3,33.26,CT-25990
Farmington,Connecticut,25596,912,Hartford-West Hartford-East Hartford,1201483,$92933,59.73%,N/A,N/A,N/A,N/A,39,69.60%,$1604,41.80%,23,2346,N/A,2.70%,N/A,Hartford County,59.10%,36.40%,11.2%,2.0%,79.9%,5.0%,N/A,Eastern Standard Time,84,35,49,53,108,190,36,N/A,N/A,7,70,179,3.3,28.07,CT-27600
Hartford,Connecticut,122549,7051,Hartford-West Hartford-East Hartford,1201483,$36154,16.95%,33,$240000,1967,$122,69,28.23%,$1004,72.40%,858,2800,28.01%,11.34%,60.2%,Hartford County,59.10%,36.40%,2.53%,37.19%,14.94%,44.69%,21.06%,Eastern Standard Time,84,36,48,49,120,189,38,59,39,6,51,179,3.3,17.38,CT-37000
Hartland,Connecticut,2083,63,Hartford-West Hartford-East Hartford,1201483,$91550,29.12%,N/A,N/A,N/A,N/A,50,82.20%,N/A,41.00%,N/A,N/A,N/A,3.80%,N/A,Hartford County,59.10%,36.40%,0.9%,0.3%,91.8%,2.1%,N/A,Eastern Standard Time,79,30,49,52,136,190,60,N/A,N/A,N/A,84,179,3.3,33.06,CT-37140
Hazardville,Connecticut,6216,1096,Hartford-West Hartford-East Hartford,1201483,$92238,34.74%,46,$251000,1207,$208,61,83.65%,$1107,52.00%,N/A,N/A,3.94%,2.26%,67.81%,Hartford County,59.10%,36.40%,2.22%,3.51%,85.25%,7.08%,5.76%,Eastern Standard Time,83,33,50,46,117,189,37,59,39,6,62,179,3.3,5.67,CT-37770
Manchester,Connecticut,35946,3899,Hartford-West Hartford-East Hartford,1201483,$61631,28.6%,35,$235000,1487,$158,68,55.03%,$1147,52.80%,173,2387,13.32%,5.51%,68.13%,Hartford County,59.10%,36.40%,4.46%,20.58%,54.83%,18.58%,9.86%,Eastern Standard Time,84,35,49,49,120,190,36,N/A,N/A,6,64,179,3.3,9.22,CT-44690
Marlborough,Connecticut,6420,275,Hartford-West Hartford-East Hartford,1201483,$112714,50.78%,N/A,N/A,N/A,N/A,35,85.80%,N/A,35.50%,N/A,N/A,N/A,3.80%,N/A,Hartford County,59.10%,36.40%,0.8%,1.1%,93.7%,4.0%,N/A,Eastern Standard Time,81,35,46,51,112,190,35,N/A,N/A,7,77,179,3.3,23.35,CT-45820
New Britain,Connecticut,72543,5414,Hartford-West Hartford-East Hartford,1201483,$47393,18.49%,33,$268000,2078,$129,66,42.54%,$1030,61.70%,422,1651,20.89%,9.55%,63.16%,Hartford County,59.10%,36.40%,2.77%,13.64%,38.8%,42.7%,18.47%,Eastern Standard Time,84,36,48,53,108,192,35,59,39,7,60,179,3.3,13.4,CT-50370
Newington,Connecticut,30114,2292,Hartford-West Hartford-East Hartford,1201483,$82721,38.84%,46,$275000,1503,$183,52,80.55%,$1217,48.40%,79,2149,8.4%,4.07%,67.11%,Hartford County,59.10%,36.40%,6.64%,3.8%,74.87%,9.74%,19.92%,Eastern Standard Time,84,36,48,50,109,190,38,N/A,N/A,7,59,179,3.3,13.14,CT-52210
North Granby,Connecticut,1425,171,Hartford-West Hartford-East Hartford,1201483,$137250,62.77%,53,$428000,2474,$173,38,92.41%,N/A,34.60%,N/A,N/A,0.14%,6.41%,77.15%,Hartford County,59.10%,36.40%,1.19%,0.14%,94.18%,4.49%,3.58%,Eastern Standard Time,83,33,50,51,125,192,40,59,39,6,80,179,3.3,8.34,CT-54660
Plainville,Connecticut,17805,1834,Hartford-West Hartford-East Hartford,1201483,$55506,28.37%,N/A,N/A,N/A,N/A,53,65.60%,$1262,49.10%,187,1976,N/A,3.20%,N/A,Hartford County,59.10%,36.40%,2.1%,3.6%,83.5%,9.5%,N/A,Eastern Standard Time,84,36,48,53,108,191,35,N/A,N/A,7,65,179,3.3,9.71,CT-60120
Rocky Hill,Connecticut,20015,1487,Hartford-West Hartford-East Hartford,1201483,$75442,50.46%,N/A,N/A,N/A,N/A,39,59.20%,$1489,49.20%,59,1049,N/A,2.60%,N/A,Hartford County,59.10%,36.40%,16.4%,4.3%,69.5%,6.2%,N/A,Eastern Standard Time,84,36,48,51,117,190,38,N/A,N/A,7,62,179,3.3,13.46,CT-65370
Salmon Brook,Connecticut,2348,718,Hartford-West Hartford-East Hartford,1201483,$69180,47.67%,53,$392000,1840,$213,46,89.48%,$1250,43.40%,N/A,N/A,4.7%,4.51%,64.58%,Hartford County,59.10%,36.40%,0.0%,0.34%,97.06%,0.17%,3.53%,Eastern Standard Time,83,33,50,48,115,189,40,59,39,N/A,71,179,3.3,3.27,CT-66455
Sherwood Manor,Connecticut,5901,1565,Hartford-West Hartford-East Hartford,1201483,$84792,27.97%,44,$263000,1511,$174,54,87.49%,$1383,46.70%,N/A,N/A,6.14%,5.26%,67.94%,Hartford County,59.10%,36.40%,6.93%,2.81%,81.07%,7.68%,6.98%,Eastern Standard Time,83,33,50,46,117,193,37,59,39,N/A,57,179,3.3,3.77,CT-68450
Simsbury,Connecticut,24307,716,Hartford-West Hartford-East Hartford,1201483,$109823,65.27%,N/A,N/A,N/A,N/A,47,76.10%,$1720,34.50%,11,580,N/A,2.40%,N/A,Hartford County,59.10%,36.40%,3.8%,2.0%,87.4%,4.8%,N/A,Eastern Standard Time,84,35,49,53,120,190,37,N/A,N/A,6,73,179,3.3,33.95,CT-68940
South Windsor,Connecticut,25802,919,Hartford-West Hartford-East Hartford,1201483,$94217,49.38%,N/A,N/A,N/A,N/A,37,79.70%,$1620,40.90%,49,1272,N/A,3.10%,N/A,Hartford County,59.10%,36.40%,10.2%,2.7%,80.4%,5.4%,N/A,Eastern Standard Time,84,35,49,49,120,190,36,N/A,N/A,6,67,179,3.3,28.08,CT-71390
Southington,Connecticut,43817,1220,Hartford-West Hartford-East Hartford,1201483,$81285,39.51%,N/A,N/A,N/A,N/A,44,78.00%,$1273,42.80%,59,1235,N/A,2.80%,N/A,Hartford County,59.10%,36.40%,2.7%,1.2%,91.9%,3.6%,N/A,Eastern Standard Time,85,37,48,51,108,191,35,N/A,N/A,7,60,179,3.3,35.92,CT-70550
Southwood Acres,Connecticut,8352,1573,Hartford-West Hartford-East Hartford,1201483,$96932,38.17%,45,$238000,1392,$171,56,90.85%,$1447,42.40%,N/A,N/A,6.49%,2.31%,67.07%,Hartford County,59.10%,36.40%,2.59%,3.74%,79.99%,11.12%,5.21%,Eastern Standard Time,83,33,50,46,117,190,37,59,39,N/A,61,179,3.3,5.31,CT-71460
