City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code
Alta,Kansas,138,4,Wichita,643768,$110074,N/A,N/A,N/A,N/A,N/A,44,100.00%,N/A,9.80%,N/A,N/A,N/A,3.50%,N/A,Harvey County,34.00%,58.10%,0.0%,0.0%,92.8%,7.2%,N/A,Central Standard Time,92,42,50,32,79,225,14,N/A,N/A,N/A,72,1340,5,34.5,KS-01500
Burrton,Kansas,1016,1142,Wichita,643768,$57813,15.53%,35,$12000,800,$15,63,75.98%,$658,42.76%,N/A,N/A,19.98%,2.13%,68.71%,Harvey County,34.00%,58.10%,0.0%,0.1%,95.28%,0.79%,0.2%,Central Standard Time,92,42,50,32,75,226,13,61.6,43.6,11,74,1340,5,0.89,KS-09575
Burrton township,Kansas,1016,1142,Wichita,643768,$57813,15.53%,35,$12000,800,$15,63,75.98%,$658,42.76%,N/A,N/A,19.98%,2.13%,68.71%,Harvey County,34.00%,58.10%,0.0%,0.1%,95.28%,0.79%,0.2%,Central Standard Time,92,42,50,32,75,225,13,N/A,N/A,N/A,74,1340,5,0.89,KS-09575
Darlington,Kansas,533,15,Wichita,643768,$66855,N/A,N/A,N/A,N/A,N/A,64,83.10%,N/A,19.30%,N/A,N/A,N/A,3.50%,N/A,Harvey County,34.00%,58.10%,0.0%,0.0%,100.0%,0.0%,N/A,Central Standard Time,92,42,50,34,75,225,12,N/A,N/A,N/A,74,1340,5,35.53,KS-17025
Emma,Kansas,4335,120,Wichita,643768,$65402,52.74%,N/A,N/A,N/A,N/A,40,69.10%,N/A,39.00%,N/A,N/A,N/A,3.50%,N/A,Harvey County,34.00%,58.10%,1.7%,1.1%,86.9%,7.8%,N/A,Central Standard Time,92,42,50,33,75,225,12,N/A,N/A,N/A,72,1340,5,36.13,KS-21025
Garden township (Harvey Cnty),Kansas,475,44,Wichita,643768,$66477,N/A,N/A,$274000,1391,$197,43,100.00%,N/A,16.50%,N/A,N/A,N/A,3.50%,N/A,Harvey County,34.00%,58.10%,0.0%,0.0%,91.8%,8.2%,N/A,Central Standard Time,92,42,50,33,78,225,14,N/A,N/A,N/A,72,1340,5,10.91,KS-25300
Halstead,Kansas,2197,1627,Wichita,643768,$51944,19.61%,36,$93000,1177,$79,56,66.64%,$733,42.1%,49,545,15.44%,1.47%,62.72%,Harvey County,34.00%,58.10%,0.0%,2.0%,90.85%,4.05%,0.41%,Central Standard Time,92,42,50,33,76,225,12,62.1,44.1,11,74,1340,5,1.35,KS-29600
Halstead township,Kansas,2197,1627,Wichita,643768,$51944,19.61%,36,$93000,1177,$79,56,66.64%,$733,42.1%,49,545,15.44%,1.47%,62.72%,Harvey County,34.00%,58.10%,0.0%,2.0%,90.85%,4.05%,0.41%,Central Standard Time,92,42,50,33,76,225,12,N/A,N/A,N/A,73,1340,5,1.35,KS-29600
Hesston,Kansas,4046,1133,Wichita,643768,$50644,48.86%,31,N/A,N/A,N/A,41,55.48%,$667,48.44%,160,802,10.76%,8.93%,69.38%,Harvey County,34.00%,58.10%,0.37%,0.64%,80.8%,17.84%,10.95%,Central Standard Time,92,42,50,33,75,225,12,61.6,43.6,11,72,1340,5,3.57,KS-31600
Highland township (Harvey Cnty),Kansas,572,1079,Wichita,643768,$97143,N/A,N/A,N/A,N/A,N/A,78,77.10%,N/A,20.00%,400,400,N/A,3.50%,N/A,Harvey County,34.00%,58.10%,0.0%,0.0%,100.0%,0.0%,N/A,Central Standard Time,92,42,50,34,75,225,12,N/A,N/A,N/A,72,1340,5,0.53,KS-31875
Lake,Kansas,145,60,Wichita,643768,$75833,N/A,N/A,N/A,N/A,N/A,55,92.90%,N/A,36.70%,N/A,N/A,N/A,3.50%,N/A,Harvey County,34.00%,58.10%,0.0%,0.0%,94.5%,5.5%,N/A,Central Standard Time,92,42,50,32,75,225,13,N/A,N/A,N/A,74,1340,5,2.4,KS-37825
Lakin township (Harvey Cnty),Kansas,244,257,Wichita,643768,$72500,N/A,N/A,$157000,1869,$84,47,100.00%,N/A,0.00%,N/A,N/A,N/A,3.50%,N/A,Harvey County,34.00%,58.10%,0.0%,0.0%,100.0%,0.0%,N/A,Central Standard Time,92,42,50,33,76,225,12,N/A,N/A,N/A,74,1340,5,0.95,KS-38150
Macon,Kansas,478,14,Wichita,643768,$70809,N/A,N/A,N/A,N/A,N/A,62,79.70%,N/A,34.50%,N/A,N/A,N/A,3.50%,N/A,Harvey County,34.00%,58.10%,0.0%,0.0%,90.2%,9.8%,N/A,Central Standard Time,92,42,50,34,75,225,12,N/A,N/A,N/A,72,1340,5,34.14,KS-43925
Newton,Kansas,18846,1293,Wichita,643768,$56729,30.04%,41,$146000,1718,$85,57,72.41%,$735,43.98%,486,2219,10.79%,2.71%,65.46%,Harvey County,34.00%,58.10%,1.15%,2.02%,75.5%,16.76%,4.02%,Central Standard Time,92,42,50,34,75,225,12,61.5,43.4,11,69,1340,5,14.57,KS-50475
Newton township,Kansas,18846,1293,Wichita,643768,$56729,30.04%,41,$146000,1718,$85,57,72.41%,$735,43.98%,486,2219,10.79%,2.71%,65.46%,Harvey County,34.00%,58.10%,1.15%,2.02%,75.5%,16.76%,4.02%,Central Standard Time,92,42,50,34,75,225,12,N/A,N/A,N/A,70,1340,5,14.57,KS-50475
North Newton,Kansas,1981,2177,Wichita,643768,$71298,54.22%,40,$230000,1513,$152,36,70.3%,$528,52.08%,0,399,5.13%,5.17%,58.84%,Harvey County,34.00%,58.10%,0.0%,4.39%,89.1%,3.43%,1.36%,Central Standard Time,92,42,50,34,75,221,12,61.6,43.6,11,69,1340,5,0.91,KS-51225
