City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in)
Ashford,Alabama,2431,392,Dothan,150214,$47898,17.96%,36,$196000,1474,$133,38,65.45%,$674,52.7%,N/A,N/A,14.11%,4.69%,53.32%,Houston County,25.00%,72.10%,0.12%,28.84%,68.45%,2.3%,0.49%,Central Standard Time,N/A,N/A,N/A,55.73,105,0,5.5,56,370,5.4,6.2,AL-02836,31.185763,-85.2359106,58%,62%,50%,54%,59%,82.5,57,71,N/A,N/A,16.62,16.38
Avon,Alabama,543,230,Dothan,150214,$48750,16.75%,41,N/A,N/A,N/A,40,71.64%,$588,44.92%,N/A,N/A,23.02%,6.07%,53.81%,Houston County,25.00%,72.10%,0.0%,1.47%,83.98%,14.18%,0.37%,Central Standard Time,N/A,N/A,N/A,55.73,105,0,5.5,56,370,5.4,2.36,AL-03364,31.1797218,-85.2790126,58%,62%,50%,54%,59%,82.5,57,71,N/A,N/A,16.62,16.38
Columbia,Alabama,832,212,Dothan,150214,$51563,12.5%,37,N/A,N/A,N/A,52,77.4%,$768,37.38%,N/A,N/A,13.22%,4.09%,56.25%,Houston County,25.00%,72.10%,0.0%,10.22%,86.06%,0.84%,1.56%,Central Standard Time,N/A,N/A,N/A,54.95,100,0,5.5,56,370,5.4,3.93,AL-16744,31.2967675,-85.1103088,58%,62%,50%,54%,59%,82.5,57,71,N/A,N/A,16.06,16.29
Cottonwood,Alabama,1133,196,Dothan,150214,$27125,15.45%,45,$163000,1405,$116,48,69.9%,$508,57.56%,N/A,N/A,27.71%,3.43%,45.13%,Houston County,25.00%,72.10%,0.35%,19.59%,77.32%,0.79%,1.41%,Central Standard Time,N/A,N/A,N/A,55.73,111,0,5.5,56,370,5.4,5.78,AL-17824,31.0552605,-85.3007622,58%,62%,50%,54%,59%,82.5,57,71,N/A,N/A,16.62,16.38
Cowarts,Alabama,2153,281,Dothan,150214,$49414,13.39%,37,$123000,1447,$85,27,78.68%,$723,43.56%,N/A,N/A,14.42%,4.29%,57.04%,Houston County,25.00%,72.10%,0.0%,9.85%,79.75%,4.32%,1.25%,Central Standard Time,N/A,N/A,N/A,55.73,104,0,5.5,55,370,5.4,7.65,AL-18088,31.2034289,-85.3057657,58%,62%,50%,54%,59%,82.5,57,71,N/A,N/A,16.62,16.38
Gordon,Alabama,258,88,Dothan,150214,$40625,1.73%,55,N/A,N/A,N/A,39,46.12%,$858,76.59%,N/A,N/A,26.36%,27.83%,46.0%,Houston County,25.00%,72.10%,0.0%,71.71%,28.29%,0.0%,0.0%,Central Standard Time,N/A,N/A,N/A,54.65,109,0,5.5,55,370,5.4,2.92,AL-30760,31.1436055,-85.0925036,58%,62%,50%,54%,59%,82.5,57,71,N/A,N/A,17.06,15.59
Kinsey,Alabama,2458,203,Dothan,150214,$47250,10.53%,33,N/A,N/A,N/A,35,70.55%,$852,54.73%,N/A,N/A,18.37%,4.64%,63.78%,Houston County,25.00%,72.10%,0.24%,47.88%,43.45%,2.52%,1.14%,Central Standard Time,N/A,N/A,N/A,54.95,99,0,5.5,55,370,5.4,12.11,AL-40072,31.2926131,-85.3352802,58%,62%,50%,54%,59%,82.5,57,71,N/A,N/A,16.06,16.29
Madrid,Alabama,281,161,Dothan,150214,$57500,11.79%,39,N/A,N/A,N/A,33,87.19%,$763,46.43%,N/A,N/A,10.66%,0.0%,63.81%,Houston County,25.00%,72.10%,0.0%,13.88%,82.21%,2.49%,2.49%,Central Standard Time,N/A,N/A,N/A,55.73,110,0,5.5,55,370,5.4,1.75,AL-45904,31.0356353,-85.3992045,58%,62%,50%,54%,59%,82.5,57,71,N/A,N/A,16.62,16.38
Rehobeth,Alabama,1917,256,Dothan,150214,$59000,17.58%,33,$316000,2412,$131,27,79.24%,$900,47.75%,N/A,N/A,14.28%,4.25%,65.58%,Houston County,25.00%,72.10%,0.0%,6.83%,86.02%,5.43%,0.94%,Central Standard Time,N/A,N/A,N/A,55.73,99,0,5.5,54,370,5.4,7.49,AL-64152,31.1241665,-85.438277,58%,62%,50%,54%,59%,82.5,57,71,N/A,N/A,16.62,16.38
Taylor,Alabama,2742,379,Dothan,150214,$46729,10.93%,31,$295000,1993,$148,34,66.96%,$959,43.19%,N/A,N/A,21.98%,5.09%,61.59%,Houston County,25.00%,72.10%,0.4%,9.48%,80.89%,4.27%,1.35%,Central Standard Time,N/A,N/A,N/A,55.73,100,0,5.5,55,370,5.4,7.23,AL-75096,31.1658625,-85.4697438,58%,62%,50%,54%,59%,82.5,57,71,N/A,N/A,16.62,16.38
Webb,Alabama,1437,128,Dothan,150214,$38309,4.92%,38,N/A,N/A,N/A,35,78.8%,$758,47.77%,N/A,N/A,24.6%,11.09%,49.73%,Houston County,25.00%,72.10%,0.07%,19.28%,73.49%,5.92%,2.71%,Central Standard Time,N/A,N/A,N/A,55.73,99,0,5.5,55,370,5.4,11.26,AL-80376,31.2572384,-85.2896211,58%,62%,50%,54%,59%,82.5,57,71,N/A,N/A,16.62,16.38
