City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Arcata,California,18578,1972,Eureka-Arcata-Fortuna,137014,$48731,45.05%,28,$598000,1759,$340,44,32.79%,$1287,77.25%,392,3300,29.58%,13.22%,64.54%,Humboldt County,55.30%,30.60%,2.22%,2.41%,70.92%,15.41%,6.17%,N/A,65,55,10,51,40,38%,20%,40,48,62,N/A,N/A,N/A,43.89,1.4,19.95,41.32%,21.98%,56.0%,0.0,0,6.1,7.8,77,15,5,9.42,CA-02476,40.8615353,-124.0757494
Bayview (Humboldt Cnty),California,2708,3710,Eureka-Arcata-Fortuna,137014,$44239,21.34%,42,$735000,1387,$530,44,71.48%,$1168,53.93%,N/A,N/A,31.83%,9.48%,57.14%,Humboldt County,55.30%,30.60%,7.35%,0.0%,68.91%,13.59%,6.24%,N/A,65,55,10,51,40,38%,20%,40,48,62,N/A,N/A,N/A,45.61,1.33,21.1,34.3%,13.3%,52.11%,0.0,0,6.1,7.8,73,177,5,0.73,CA-04478,40.765335,-124.1786052
Benbow,California,401,82,Eureka-Arcata-Fortuna,137014,N/A,3.88%,39,N/A,N/A,N/A,43,90.0%,N/A,43.21%,N/A,N/A,1.75%,15.2%,47.37%,Humboldt County,55.30%,30.60%,0.0%,0.0%,95.26%,0.0%,7.23%,N/A,73,54,19,52,41,38%,20%,N/A,N/A,71,N/A,N/A,N/A,53.72,0.94,27.06,33.34%,9.78%,50.22%,0.0,0,6.1,N/A,91,381,5,4.88,CA-05262,40.0602684,-123.7653846
Big Lagoon,California,115,189,Eureka-Arcata-Fortuna,137014,$56875,53.91%,62,N/A,N/A,N/A,73,84.78%,N/A,71.3%,N/A,N/A,5.22%,0.0%,41.74%,Humboldt County,55.30%,30.60%,0.0%,0.0%,73.91%,14.78%,1.74%,N/A,66,56,10,49,40,38%,20%,40,48,63,N/A,N/A,N/A,59.14,1.58,28.1,41.51%,18.46%,59.89%,0.0,0,6.1,7.8,91,264,5,0.61,CA-06567,41.1594268,-124.1297461
Blue Lake,California,997,1690,Eureka-Arcata-Fortuna,137014,$52813,37.94%,52,N/A,N/A,N/A,67,57.82%,$1247,56.39%,N/A,N/A,25.42%,10.71%,58.0%,Humboldt County,55.30%,30.60%,0.0%,0.0%,85.46%,2.91%,0.0%,N/A,66,56,10,49,40,38%,20%,40,48,63,N/A,N/A,N/A,51.19,1.55,24.4,41.32%,21.98%,56.0%,0.0,0,6.1,7.8,84,336,5,0.59,CA-07162,40.8813517,-123.9928744
Cutten,California,3214,2511,Eureka-Arcata-Fortuna,137014,$93500,35.5%,39,$565000,2287,$247,54,70.76%,$1536,42.07%,N/A,N/A,6.46%,2.58%,54.28%,Humboldt County,55.30%,30.60%,5.26%,3.55%,75.98%,12.04%,6.47%,N/A,65,55,10,51,40,38%,20%,40,48,62,N/A,N/A,N/A,45.61,1.33,21.1,34.3%,13.3%,52.11%,0.0,0,6.1,7.8,77,177,5,1.28,CA-17722,40.7656975,-124.1444543
Eureka,California,26302,2757,Eureka-Arcata-Fortuna,137014,$60253,31.26%,39,$353000,1209,$292,65,46.96%,$1157,62.53%,722,5005,17.55%,7.72%,62.31%,Humboldt County,55.30%,30.60%,5.74%,2.31%,65.52%,14.15%,7.73%,N/A,65,55,10,51,40,38%,20%,40,48,62,N/A,N/A,N/A,38.96,0.92,18.51,34.3%,13.3%,52.11%,0.0,0,6.1,7.8,64,18,5,9.54,CA-23042,40.7942677,-124.1564395
Ferndale,California,1525,1271,Eureka-Arcata-Fortuna,137014,$62090,26.4%,59,N/A,N/A,N/A,68,58.33%,$1150,53.08%,293,1760,13.18%,11.04%,44.23%,Humboldt County,55.30%,30.60%,3.08%,0.0%,71.8%,16.07%,6.03%,N/A,73,54,19,52,41,38%,20%,40,48,71,N/A,N/A,N/A,41.96,1.17,19.55,34.3%,13.3%,52.11%,0.0,0,6.1,7.8,94,60,5,1.2,CA-23910,40.5781032,-124.2612386
Fieldbrook,California,771,74,Eureka-Arcata-Fortuna,137014,$85833,49.51%,51,$472000,819,$576,41,89.16%,$1526,42.9%,N/A,N/A,7.48%,4.28%,58.99%,Humboldt County,55.30%,30.60%,0.13%,0.26%,92.61%,4.02%,1.17%,N/A,66,56,10,49,40,38%,20%,40,48,63,N/A,N/A,N/A,52.94,1.45,25.51,43.62%,25.16%,58.22%,0.0,0,6.1,7.8,84,246,5,10.47,CA-24008,40.9722434,-124.0250031
Fields Landing,California,512,1829,Eureka-Arcata-Fortuna,137014,$76116,17.47%,26,N/A,N/A,N/A,37,22.53%,N/A,91.99%,N/A,N/A,52.54%,28.43%,58.4%,Humboldt County,55.30%,30.60%,0.0%,13.67%,86.33%,0.0%,0.0%,N/A,65,55,10,51,40,38%,20%,40,48,62,N/A,N/A,N/A,45.61,1.33,21.1,34.3%,13.3%,52.11%,0.0,0,6.1,7.8,87,177,5,0.28,CA-24022,40.7248335,-124.2176344
