City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in)
Alaiedon,Michigan,2914,82,Lansing-East Lansing,548248,$82708,45.53%,N/A,N/A,N/A,N/A,46,81.00%,$1093,32.00%,N/A,N/A,N/A,4.90%,N/A,Ingham County,59.90%,33.20%,0.6%,1.0%,91.0%,5.4%,N/A,Eastern Standard Time,N/A,N/A,N/A,N/A,131,46.8,8.1,77,841,3.2,35.54,MI-00800,42.6394997,-84.4233121,50%,66%,39%,62%,56%,33.6,38,58,N/A,N/A,N/A,N/A
Aurelius,Michigan,4241,116,Lansing-East Lansing,548248,$81563,29.19%,N/A,N/A,N/A,N/A,31,91.20%,$1143,33.70%,N/A,N/A,N/A,4.90%,N/A,Ingham County,59.90%,33.20%,2.7%,2.5%,92.4%,2.2%,N/A,Eastern Standard Time,N/A,N/A,N/A,N/A,131,46.8,8.1,80,841,3.2,36.56,MI-04240,42.5531382,-84.5426049,50%,66%,39%,62%,56%,33.6,38,58,N/A,N/A,N/A,N/A
Bunker Hill,Michigan,1824,55,Lansing-East Lansing,548248,$60139,17.50%,N/A,N/A,N/A,N/A,41,86.00%,N/A,45.10%,N/A,N/A,N/A,4.90%,N/A,Ingham County,59.90%,33.20%,0.0%,0.0%,94.8%,3.7%,N/A,Eastern Standard Time,N/A,N/A,N/A,N/A,125,46.8,8.1,78,841,3.2,33.16,MI-11640,42.4686007,-84.3114542,50%,66%,39%,62%,56%,33.6,38,58,N/A,N/A,N/A,N/A
Dansville,Michigan,609,609,Lansing-East Lansing,548248,$80278,18.32%,35,$168000,1254,$134,40,87.19%,$1000,39.4%,N/A,N/A,4.6%,2.74%,74.38%,Ingham County,59.90%,33.20%,1.31%,0.0%,84.89%,5.58%,1.15%,Eastern Standard Time,N/A,N/A,N/A,N/A,123,46.8,8.1,78,841,3.2,1.0,MI-19780,42.5557647,-84.3029794,50%,66%,39%,62%,56%,33.6,38,58,N/A,N/A,N/A,N/A
Delhi charter township,Michigan,26777,936,Lansing-East Lansing,548248,$59263,N/A,N/A,N/A,N/A,N/A,33,68.90%,N/A,49.80%,N/A,N/A,N/A,3.70%,N/A,Ingham County,59.90%,33.20%,3.5%,6.5%,82.1%,3.8%,N/A,Eastern Standard Time,N/A,N/A,N/A,N/A,131,46.8,8.1,77,841,3.2,28.61,MI-21420,42.6323811,-84.5397586,50%,66%,39%,62%,56%,33.6,38,58,N/A,N/A,N/A,N/A
East Lansing,Michigan,48437,3607,Lansing-East Lansing,548248,$40800,69.4%,21,$253000,1794,$141,46,39.78%,$969,80.65%,183,1753,37.89%,7.15%,54.98%,Ingham County,59.90%,33.20%,10.84%,7.21%,73.46%,4.45%,13.12%,Eastern Standard Time,N/A,N/A,N/A,N/A,132,46.8,8.1,65,841,3.2,13.43,MI-24120,42.7479752,-84.4835689,50%,66%,39%,62%,56%,33.6,38,58,N/A,N/A,N/A,N/A
Edgemont Park,Michigan,2413,2907,Lansing-East Lansing,548248,$55132,27.66%,39,$180000,1538,$117,58,75.45%,$663,60.99%,N/A,N/A,15.35%,2.7%,63.18%,Ingham County,59.90%,33.20%,0.0%,31.79%,56.4%,7.29%,3.03%,Eastern Standard Time,N/A,N/A,N/A,N/A,133,46.8,8.1,66,841,3.2,0.83,MI-24880,42.7467357,-84.5926096,50%,66%,39%,62%,56%,33.6,38,58,N/A,N/A,N/A,N/A
Haslett,Michigan,19223,1249,Lansing-East Lansing,548248,$66663,56.77%,42,$180000,1250,$144,39,65.51%,$913,50.43%,N/A,N/A,8.75%,1.7%,64.78%,Ingham County,59.90%,33.20%,9.84%,3.46%,77.59%,4.9%,12.44%,Eastern Standard Time,N/A,N/A,N/A,N/A,129,46.8,8.1,73,841,3.2,15.39,MI-37100,42.7524552,-84.4019528,50%,66%,39%,62%,56%,33.6,38,58,N/A,N/A,N/A,N/A
Holt,Michigan,25888,1653,Lansing-East Lansing,548248,$70851,41.17%,38,$240000,1890,$127,34,73.88%,$1016,50.63%,N/A,N/A,10.55%,4.95%,69.43%,Ingham County,59.90%,33.20%,4.49%,6.74%,78.31%,5.76%,5.17%,Eastern Standard Time,N/A,N/A,N/A,N/A,131,46.8,8.1,77,841,3.2,15.66,MI-38780,42.6416206,-84.5307434,50%,66%,39%,62%,56%,33.6,38,58,N/A,N/A,N/A,N/A
Ingham,Michigan,2467,76,Lansing-East Lansing,548248,$69395,24.48%,N/A,N/A,N/A,N/A,40,91.40%,N/A,40.50%,N/A,N/A,N/A,4.90%,N/A,Ingham County,59.90%,33.20%,0.6%,0.0%,94.5%,2.2%,N/A,Eastern Standard Time,N/A,N/A,N/A,N/A,124,46.8,8.1,78,841,3.2,32.46,MI-40640,42.5565884,-84.311471,50%,66%,39%,62%,56%,33.6,38,58,N/A,N/A,N/A,N/A
