City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Ava,Illinois,557,525,Carbondale-Marion,134185,$57250,6.44%,35,N/A,N/A,N/A,47,75.79%,$658,43.38%,N/A,N/A,5.21%,2.67%,57.25%,Jackson County,47.30%,44.00%,0.0%,0.54%,98.2%,0.36%,0.36%,Central Standard Time,89,43,46,68,25,58%,55%,44,65,95,57%,67%,49%,48.99,12.04,9.97,27.59%,26.81%,25.78%,12.0,5,6.9,46.9,75,504,4.3,1.06,IL-03103,37.8885826,-89.4964498
Bradley township,Illinois,1688,244,Carbondale-Marion,134185,N/A,N/A,N/A,$165000,1154,$143,N/A,N/A,N/A,N/A,269,3288,N/A,N/A,N/A,Jackson County,47.30%,44.00%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,89,43,46,68,25,58%,55%,44,65,95,57%,67%,49%,47.12,11.75,9.22,27.59%,26.81%,25.78%,12.0,5,6.9,46.9,75,393,4.3,6.93,IL-07731,37.9082626,-89.5549904
Campbell Hill,Illinois,329,715,Carbondale-Marion,134185,$65667,27.92%,49,N/A,N/A,N/A,45,75.68%,$810,39.93%,N/A,N/A,3.66%,4.67%,55.97%,Jackson County,47.30%,44.00%,0.0%,0.3%,93.92%,1.22%,0.0%,Central Standard Time,89,43,46,68,25,58%,55%,44,65,95,57%,67%,49%,47.12,11.75,9.22,31.15%,30.11%,28.78%,12.0,5,6.9,46.9,75,393,4.3,0.46,IL-10773,37.9305307,-89.5514431
Carbondale,Illinois,21813,1254,Carbondale-Marion,134185,$29670,46.34%,25,$117000,1581,$74,44,32.47%,$750,78.09%,824,3692,36.87%,9.29%,54.49%,Jackson County,47.30%,44.00%,6.72%,27.78%,55.93%,5.43%,9.38%,Central Standard Time,88,42,46,68,23,58%,57%,44,65,94,64%,77%,54%,51.59,13.1,10.82,34.93%,36.48%,31.22%,12.0,5,6.9,46.9,65,357,4.3,17.4,IL-11163,37.7221368,-89.2236606
Carbondale township,Illinois,21813,1254,Carbondale-Marion,134185,$29670,46.34%,25,$117000,1581,$74,44,32.47%,$750,78.09%,824,3692,36.87%,9.29%,54.49%,Jackson County,47.30%,44.00%,6.72%,27.78%,55.93%,5.43%,9.38%,Central Standard Time,88,42,46,68,23,58%,57%,44,65,94,64%,77%,54%,51.59,13.1,10.82,34.93%,36.48%,31.22%,12.0,5,6.9,46.9,66,357,4.3,17.4,IL-11163,37.7221368,-89.2236606
De Soto,Illinois,1701,1869,Carbondale-Marion,134185,$52131,17.45%,36,N/A,N/A,N/A,42,51.38%,$749,61.65%,331,596,16.64%,7.31%,72.14%,Jackson County,47.30%,44.00%,0.41%,1.59%,91.71%,0.0%,0.82%,Central Standard Time,89,43,46,68,25,58%,57%,44,65,96,64%,77%,54%,48.6,11.78,9.83,34.93%,36.48%,31.22%,12.0,5,6.9,46.9,75,369,4.3,0.91,IL-19616,37.8162442,-89.226826
De Soto township,Illinois,1701,1869,Carbondale-Marion,134185,$52131,17.45%,36,N/A,N/A,N/A,42,51.38%,$749,61.65%,331,596,16.64%,7.31%,72.14%,Jackson County,47.30%,44.00%,0.41%,1.59%,91.71%,0.0%,0.82%,Central Standard Time,89,43,46,68,25,58%,57%,44,65,96,64%,77%,54%,48.6,11.78,9.83,34.93%,36.48%,31.22%,12.0,5,6.9,46.9,74,369,4.3,0.91,IL-19616,37.8162442,-89.226826
Degognia,Illinois,163,6,Carbondale-Marion,134185,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jackson County,47.30%,44.00%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,89,41,48,66,22,58%,55%,44,65,95,57%,67%,49%,45.1,11.29,8.93,31.15%,30.11%,28.78%,12.0,5,6.9,46.9,74,357,4.3,27.17,IL-19148,37.8060273,-89.6321331
Dowell,Illinois,287,736,Carbondale-Marion,134185,$51625,7.69%,39,N/A,N/A,N/A,54,71.91%,N/A,38.57%,N/A,N/A,15.68%,13.95%,58.37%,Jackson County,47.30%,44.00%,0.0%,0.7%,97.21%,1.05%,1.05%,Central Standard Time,88,42,46,68,24,58%,57%,44,65,94,64%,77%,54%,50.78,12.91,9.91,27.18%,25.49%,26.56%,12.0,5,6.9,46.9,75,384,4.3,0.39,IL-20565,37.9396202,-89.239046
Elk,Illinois,2021,56,Carbondale-Marion,134185,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jackson County,47.30%,44.00%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,88,42,46,68,24,58%,57%,44,65,94,64%,77%,54%,50.78,12.91,9.91,27.18%,25.49%,26.56%,12.0,5,6.9,46.9,75,384,4.3,36.09,IL-23217,37.9062427,-89.2068843
Elkville,Illinois,781,1014,Carbondale-Marion,134185,$46600,8.58%,45,N/A,N/A,N/A,54,64.95%,$729,41.96%,N/A,N/A,22.52%,4.05%,52.71%,Jackson County,47.30%,44.00%,0.0%,0.9%,77.72%,12.42%,5.25%,Central Standard Time,88,42,46,68,24,58%,57%,44,65,94,64%,77%,54%,50.78,12.91,9.91,27.18%,25.49%,26.56%,12.0,5,6.9,46.9,75,384,4.3,0.77,IL-23373,37.9099684,-89.2367047
Fountain Bluff,Illinois,188,6,Carbondale-Marion,134185,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jackson County,47.30%,44.00%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,89,43,46,68,25,58%,57%,44,65,96,64%,77%,54%,48.99,12.04,9.97,27.59%,26.81%,25.78%,12.0,5,6.9,46.9,74,504,4.3,31.33,IL-27260,37.7411832,-89.5413694
Gorham,Illinois,186,152,Carbondale-Marion,134185,$42083,7.41%,46,N/A,N/A,N/A,74,91.63%,$575,50.97%,N/A,N/A,27.42%,31.11%,58.06%,Jackson County,47.30%,44.00%,0.0%,0.0%,92.47%,6.45%,3.76%,Central Standard Time,89,43,46,68,25,58%,57%,44,65,96,64%,77%,54%,48.99,12.04,9.97,27.59%,26.81%,25.78%,12.0,5,6.9,46.9,74,504,4.3,1.22,IL-30588,37.715121,-89.4830875
Grand Tower,Illinois,551,441,Carbondale-Marion,134185,$59375,2.64%,24,N/A,N/A,N/A,60,80.14%,$700,70.78%,N/A,N/A,22.2%,10.57%,67.43%,Jackson County,47.30%,44.00%,0.0%,0.0%,86.21%,12.52%,4.72%,Central Standard Time,89,43,46,68,25,58%,57%,44,65,96,64%,77%,54%,48.99,12.04,9.97,27.59%,26.81%,25.78%,12.0,5,6.9,46.9,74,504,4.3,1.25,IL-30770,37.6390936,-89.506604
