City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Big Point,Mississippi,873,297,Gulfport-Biloxi-Pascagoula,414642,$91250,9.24%,49,$450000,3000,$150,29,93.87%,N/A,25.0%,N/A,N/A,0.0%,15.6%,85.14%,Jackson County,29.60%,67.80%,0.0%,0.0%,97.82%,0.0%,1.83%,Central Standard Time,91,63,28,74,41,57%,59%,56,71,103,60%,60%,52%,69.15,22.19,15.9,31.07%,44.95%,29.89%,0.2,0,7.4,75.5,64,78,5.8,2.94,MS-06180,30.5905619,-88.4845617
Escatawpa,Mississippi,2954,442,Gulfport-Biloxi-Pascagoula,414642,$29606,13.1%,55,$143000,1444,$99,46,78.84%,$1060,63.26%,N/A,N/A,20.42%,19.14%,37.67%,Jackson County,29.60%,67.80%,0.0%,22.48%,75.19%,0.0%,0.54%,Central Standard Time,91,63,28,74,41,57%,59%,56,71,103,60%,60%,52%,61.47,22.02,13.77,31.07%,44.95%,29.89%,0.2,0,7.4,75.5,60,18,5.8,6.68,MS-22900,30.4911566,-88.5494882
Gautier,Mississippi,18932,626,Gulfport-Biloxi-Pascagoula,414642,$49497,23.79%,39,$178000,1521,$117,29,65.08%,$939,46.43%,285,2628,17.93%,11.07%,65.16%,Jackson County,29.60%,67.80%,2.26%,32.28%,52.88%,11.51%,3.79%,Central Standard Time,91,63,28,74,41,57%,59%,56,71,103,60%,60%,52%,69.61,24.58,15.77,31.92%,42.75%,33.67%,0.2,0,7.4,75.5,69,12,5.8,30.26,MS-26860,30.4097632,-88.6564599
Gulf Hills,Mississippi,8825,1140,Gulfport-Biloxi-Pascagoula,414642,$52307,34.63%,33,$272000,1985,$137,32,78.41%,$882,50.14%,N/A,N/A,19.65%,4.03%,69.81%,Jackson County,29.60%,67.80%,10.23%,18.41%,60.06%,9.44%,5.38%,Central Standard Time,90,60,30,75,44,57%,59%,56,71,100,58%,62%,51%,67.23,24.26,15.46,31.92%,42.75%,33.67%,0.2,0,7.4,75.5,68,9,5.8,7.74,MS-29620,30.4366248,-88.8150007
Gulf Park Estates,Mississippi,6284,2362,Gulfport-Biloxi-Pascagoula,414642,$53879,29.34%,33,$232000,1693,$137,21,60.5%,$1203,51.87%,N/A,N/A,6.8%,1.18%,68.6%,Jackson County,29.60%,67.80%,1.93%,3.33%,90.71%,3.39%,4.63%,Central Standard Time,90,60,30,75,44,57%,59%,56,71,100,58%,62%,51%,66.76,23.04,15.91,31.92%,42.75%,33.67%,0.2,0,7.4,75.5,73,6,5.8,2.66,MS-29660,30.3800899,-88.7580952
Helena,Mississippi,834,199,Gulfport-Biloxi-Pascagoula,414642,N/A,3.85%,56,N/A,N/A,N/A,43,93.45%,N/A,9.85%,N/A,N/A,5.4%,0.0%,60.48%,Jackson County,29.60%,67.80%,0.0%,0.0%,100.0%,0.0%,0.0%,Central Standard Time,91,63,28,74,41,57%,59%,56,71,103,60%,60%,52%,61.47,22.02,13.77,31.07%,44.95%,29.89%,0.2,0,7.4,75.5,60,18,5.8,4.19,MS-31460,30.4880752,-88.5055682
Hurley,Mississippi,1386,270,Gulfport-Biloxi-Pascagoula,414642,$79598,23.79%,28,$284000,2202,$129,25,90.25%,$911,69.77%,N/A,N/A,28.28%,1.7%,64.98%,Jackson County,29.60%,67.80%,0.0%,0.43%,98.7%,0.0%,2.74%,Central Standard Time,91,63,28,74,41,57%,59%,56,71,103,60%,60%,52%,69.15,22.19,15.9,31.07%,44.95%,29.89%,0.2,0,7.4,75.5,64,78,5.8,5.14,MS-34340,30.6637906,-88.4994418
Latimer,Mississippi,6066,373,Gulfport-Biloxi-Pascagoula,414642,$67750,16.13%,39,$280000,2090,$134,20,82.5%,$1015,49.57%,N/A,N/A,12.36%,5.54%,68.82%,Jackson County,29.60%,67.80%,6.78%,6.46%,69.29%,7.19%,7.17%,Central Standard Time,90,60,30,75,44,57%,59%,56,71,100,58%,62%,51%,67.23,24.26,15.46,31.92%,42.75%,33.67%,0.2,0,7.4,75.5,67,9,5.8,16.28,MS-39520,30.4973751,-88.8606988
Moss Point,Mississippi,12282,509,Gulfport-Biloxi-Pascagoula,414642,$43471,15.84%,42,$198000,1886,$105,52,76.94%,$928,66.26%,N/A,N/A,21.11%,9.0%,55.74%,Jackson County,29.60%,67.80%,0.08%,75.57%,17.63%,3.36%,1.09%,Central Standard Time,91,63,28,74,41,57%,59%,56,71,103,60%,60%,52%,61.47,22.02,13.77,31.07%,44.95%,29.89%,0.2,0,7.4,75.5,57,18,5.8,24.11,MS-49240,30.4240566,-88.5288829
Ocean Springs,Mississippi,18275,1582,Gulfport-Biloxi-Pascagoula,414642,$63653,39.28%,42,$285000,1993,$143,41,75.17%,$1080,48.6%,128,2754,7.28%,5.97%,59.77%,Jackson County,29.60%,67.80%,4.26%,4.72%,78.97%,8.27%,4.48%,Central Standard Time,90,60,30,75,44,57%,59%,56,71,100,58%,62%,51%,67.23,24.26,15.46,31.92%,42.75%,33.67%,0.2,0,7.4,75.5,65,9,5.8,11.55,MS-53520,30.4064554,-88.7950175
