City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Elsah,Illinois,658,604,St. Louis,2815627,$81250,63.37%,21,N/A,N/A,N/A,N/A,81.2%,$1347,88.02%,N/A,N/A,7.45%,4.34%,63.75%,Jersey County,24.40%,70.50%,4.41%,5.78%,79.79%,8.05%,16.26%,Central Standard Time,89,41,48,68,22,58%,55%,44,65,95,57%,67%,49%,40.87,12.27,6.62,30.44%,30.77%,23.89%,17.2,11,N/A,46.9,67,399,4.1,1.09,IL-23776,38.9541219,-90.3552577
Elsah township,Illinois,658,604,St. Louis,2815627,$81250,63.37%,21,N/A,N/A,N/A,N/A,81.2%,$1347,88.02%,N/A,N/A,7.45%,4.34%,63.75%,Jersey County,24.40%,70.50%,4.41%,5.78%,79.79%,8.05%,16.26%,Central Standard Time,89,41,48,68,22,58%,55%,44,65,95,57%,67%,49%,40.87,12.27,6.62,30.44%,30.77%,23.89%,17.2,11,N/A,46.9,67,399,4.1,1.09,IL-23776,38.9541219,-90.3552577
English,Illinois,602,16,St. Louis,2815627,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jersey County,24.40%,70.50%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,87,37,50,66,20,58%,55%,44,65,91,57%,67%,49%,44.28,12.68,7.82,28.63%,27.36%,25.78%,17.2,11,N/A,46.9,71,576,4.1,37.63,IL-24231,39.1308452,-90.4272818
Fidelity,Illinois,123,1230,St. Louis,2815627,$38281,6.74%,52,N/A,N/A,N/A,43,47.67%,$970,58.65%,N/A,N/A,4.88%,24.0%,25.25%,Jersey County,24.40%,70.50%,9.76%,0.0%,90.24%,0.0%,9.76%,Central Standard Time,87,37,50,66,20,58%,55%,44,65,91,57%,67%,49%,44.49,12.85,7.77,28.63%,27.36%,25.78%,17.2,11,N/A,46.9,73,555,4.1,0.1,IL-25960,39.1546091,-90.1644573
Fidelity township,Illinois,123,1230,St. Louis,2815627,$38281,6.74%,52,N/A,N/A,N/A,43,47.67%,$970,58.65%,N/A,N/A,4.88%,24.0%,25.25%,Jersey County,24.40%,70.50%,9.76%,0.0%,90.24%,0.0%,9.76%,Central Standard Time,87,37,50,66,20,58%,55%,44,65,91,57%,67%,49%,44.49,12.85,7.77,28.63%,27.36%,25.78%,17.2,11,N/A,46.9,72,555,4.1,0.1,IL-25960,39.1546091,-90.1644573
Fieldon,Illinois,196,980,St. Louis,2815627,$60250,3.95%,48,N/A,N/A,N/A,67,96.08%,N/A,41.92%,N/A,N/A,4.08%,5.38%,56.36%,Jersey County,24.40%,70.50%,0.0%,0.0%,100.0%,0.0%,0.0%,Central Standard Time,87,37,50,66,20,58%,55%,44,65,91,57%,67%,49%,44.28,12.68,7.82,28.63%,27.36%,25.78%,17.2,11,N/A,46.9,71,576,4.1,0.2,IL-26012,39.1086743,-90.4995642
Grafton,Illinois,636,171,St. Louis,2815627,$81250,24.34%,59,N/A,N/A,N/A,25,81.1%,N/A,36.76%,474,2215,17.61%,10.92%,41.56%,Jersey County,24.40%,70.50%,0.0%,0.0%,93.08%,2.36%,1.42%,Central Standard Time,89,41,48,68,22,58%,55%,44,65,95,57%,67%,49%,40.87,12.27,6.62,30.44%,30.77%,23.89%,17.2,11,N/A,46.9,68,399,4.1,3.71,IL-30653,38.976453,-90.4256986
Jersey,Illinois,9989,213,St. Louis,2815627,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jersey County,24.40%,70.50%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,87,37,50,66,20,58%,55%,44,65,91,57%,67%,49%,44.28,12.68,7.82,28.63%,27.36%,25.78%,17.2,11,N/A,46.9,71,576,4.1,46.9,IL-38401,39.1461287,-90.3075817
Jerseyville,Illinois,7674,1465,St. Louis,2815627,$63178,21.86%,43,$120000,1333,$90,57,72.38%,$754,56.62%,402,1778,8.89%,3.53%,57.94%,Jersey County,24.40%,70.50%,0.81%,0.16%,95.71%,0.48%,0.36%,Central Standard Time,87,37,50,66,20,58%,55%,44,65,91,57%,67%,49%,44.28,12.68,7.82,28.63%,27.36%,25.78%,17.2,11,N/A,46.9,71,576,4.1,5.24,IL-38414,39.1174669,-90.3270679
Mississippi,Illinois,1973,54,St. Louis,2815627,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jersey County,24.40%,70.50%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,87,37,50,66,20,58%,55%,44,65,91,57%,67%,49%,44.28,12.68,7.82,28.63%,27.36%,25.78%,17.2,11,N/A,46.9,68,576,4.1,36.54,IL-49672,39.0432059,-90.3139609
