City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi)
Bennet,Nebraska,997,1917,Lincoln,337836,88,35,53,33,87,215,27,61.3,40.8,9,7,12,32,29.78%,$71250,0%,N/A,N/A,$213900,N/A,N/A,22,87.30%,5%,34%,44%,80,27 mins,3.00%,1.50%,43.50%,Lancaster County,45.40%,45.20%,0.0%,0.3%,95.3%,0.3%,0.9%,Central Standard Time,1189,4.1,29.80%,17,N/A,23,19.4%,0.00,1,2,0,N/A,N/A,NE-04300,0.52
Davey,Nebraska,137,913,Lincoln,337836,88,35,53,30,91,215,26,61,40.4,9,8,13,50,19.59%,$63750,8.76%,N/A,N/A,$136700,N/A,N/A,78,91.80%,7%,37%,43%,79,18 mins,3.00%,1.50%,31.80%,Lancaster County,45.40%,45.20%,0.0%,0.0%,94.89%,2.19%,2.19%,Central Standard Time,1189,4.1,40.30%,6,N/A,17,16.7%,0.00,1,2,0,N/A,N/A,NE-12280,0.15
Denton,Nebraska,153,1275,Lincoln,337836,88,35,53,29,90,216,24,61.1,40.6,9,11,18,48,14.04%,$59583,6.62%,N/A,N/A,$141800,N/A,N/A,47,71.70%,7%,35%,43%,82,18 mins,3.00%,1.50%,-4.90%,Lancaster County,45.40%,45.20%,3.92%,0.0%,90.85%,5.23%,2.61%,Central Standard Time,1189,4.1,54.90%,15,N/A,25,14.1%,0.00,1,2,0,N/A,N/A,NE-12770,0.12
Firth,Nebraska,424,1211,Lincoln,337836,88,35,53,32,80,217,25,61.2,40.8,9,10,16,37,25.71%,$76477,3.77%,N/A,N/A,$265700,N/A,N/A,58,73.80%,11%,42%,44%,80,24 mins,3.00%,1.50%,-19.10%,Lancaster County,45.40%,45.20%,1.89%,0.0%,82.31%,14.15%,8.96%,Central Standard Time,1189,4.1,40.40%,25,N/A,28,16.7%,0.00,1,2,1,N/A,N/A,NE-16935,0.35
Hallam,Nebraska,236,1073,Lincoln,337836,88,36,52,30,81,218,23,61,40.7,9,8,14,36,18.01%,$75938,8.9%,N/A,N/A,$197400,N/A,N/A,13,84.90%,6%,38%,43%,82,18 mins,3.00%,1.50%,93.10%,Lancaster County,45.40%,45.20%,0.0%,0.0%,95.34%,3.81%,0.42%,Central Standard Time,1189,4.1,39.00%,16,N/A,31,18.6%,0.00,1,2,0,N/A,N/A,NE-20610,0.22
Hickman,Nebraska,2432,2895,Lincoln,337836,88,35,53,33,87,213,27,61.3,40.7,9,7,12,32,40.92%,$100250,1.11%,N/A,N/A,$187400,N/A,N/A,19,86.60%,7%,37%,40%,80,27 mins,3.00%,1.50%,41.70%,Lancaster County,45.40%,45.20%,0.0%,0.41%,98.03%,0.78%,1.07%,Central Standard Time,1189,4.1,32.40%,29,N/A,55,17.9%,0.00,1,2,0,N/A,N/A,NE-22325,0.84
Lincoln,Nebraska,286388,2932,Lincoln,337836,89,35,54,31,86,214,26,61.1,40.5,9,17,47,33,39.89%,$60063,12.84%,$1052,944,$255500,1892,$135,40,53.90%,4%,29%,34%,64,18 mins,3.00%,1.50%,9.60%,Lancaster County,45.40%,45.20%,4.64%,4.27%,79.0%,7.79%,8.99%,Central Standard Time,1189,4.1,53.30%,43,24,61,17.3%,0.04,1,2,0,N/A,N/A,NE-28000,97.69
Malcolm,Nebraska,425,3036,Lincoln,337836,88,35,53,30,89,215,25,60.9,40.4,9,8,14,33,31.82%,$69000,6.35%,N/A,N/A,$170700,N/A,N/A,40,68.30%,6%,36%,43%,81,18 mins,3.00%,1.50%,5.00%,Lancaster County,45.40%,45.20%,0.0%,0.0%,97.65%,0.47%,0.24%,Central Standard Time,1189,4.1,39.20%,24,N/A,18,18.8%,0.00,1,2,0,N/A,N/A,NE-30345,0.14
Panama,Nebraska,248,886,Lincoln,337836,88,35,53,33,82,218,25,61.3,40.9,9,8,14,48,18.75%,$85625,4.44%,N/A,N/A,$161000,N/A,N/A,42,80.20%,7%,38%,43%,80,18 mins,3.00%,1.50%,20.90%,Lancaster County,45.40%,45.20%,0.0%,2.82%,91.13%,0.81%,0.0%,Central Standard Time,1189,4.1,40.70%,14,N/A,28,14.5%,0.00,1,2,0,N/A,N/A,NE-38225,0.28
Raymond,Nebraska,232,1785,Lincoln,337836,88,35,53,30,89,218,25,61,40.3,9,6,11,53,22.86%,$96500,6.9%,N/A,N/A,$165100,N/A,N/A,49,92.30%,6%,37%,42%,81,18 mins,3.00%,1.50%,17.10%,Lancaster County,45.40%,45.20%,0.0%,0.0%,99.57%,0.0%,0.0%,Central Standard Time,1189,4.1,35.50%,9,N/A,15,12.7%,0.00,1,3,1,N/A,N/A,NE-40780,0.13
Roca,Nebraska,130,929,Lincoln,337836,88,35,53,33,87,213,27,61.2,40.7,9,7,13,51,10.64%,$58750,20.77%,N/A,N/A,$349600,N/A,N/A,42,65.20%,6%,42%,49%,80,18 mins,3.00%,1.50%,-29.80%,Lancaster County,45.40%,45.20%,0.0%,0.0%,100.0%,0.0%,0.77%,Central Standard Time,1189,4.1,36.60%,7,N/A,19,17.0%,0.00,N/A,2,0,N/A,N/A,NE-41830,0.14
Sprague,Nebraska,73,730,Lincoln,337836,88,36,52,32,85,219,25,61.2,40.8,9,7,12,55,27.12%,$52500,8.22%,N/A,N/A,$139200,N/A,N/A,78,89.10%,6%,37%,42%,82,18 mins,3.00%,1.50%,-32.80%,Lancaster County,45.40%,45.20%,0.0%,0.0%,94.52%,4.11%,0.0%,Central Standard Time,1189,4.1,38.50%,13,N/A,24,13.6%,0.00,1,2,0,N/A,N/A,NE-46380,0.1
Walton,Nebraska,407,114,Lincoln,337836,88,35,53,33,85,216,27,61.3,40.8,9,5,9,61,18.92%,$41286,0.0%,N/A,N/A,$542200,N/A,N/A,26,88.10%,7%,37%,41%,78,18 mins,3.00%,1.50%,29.50%,Lancaster County,45.40%,45.20%,0.0%,1.97%,98.03%,0.0%,0.0%,Central Standard Time,1189,4.1,22.50%,5,N/A,30,9.0%,0.00,1,2,0,N/A,N/A,NE-51280,3.56
Waverly,Nebraska,3941,1656,Lincoln,337836,88,35,53,31,82,218,23,61,40.1,9,8,22,36,35.6%,$81818,5.57%,N/A,N/A,$210200,N/A,N/A,24,73.80%,7%,35%,40%,79,22 mins,3.00%,1.50%,19.60%,Lancaster County,45.40%,45.20%,0.0%,0.05%,91.4%,7.49%,0.3%,Central Standard Time,1189,4.1,40.40%,44,N/A,45,17.6%,0.00,1,2,0,N/A,N/A,NE-51770,2.38
Yankee Hill,Nebraska,217,54,Lincoln,337836,88,35,53,30,85,216,25,61.2,40.6,N/A,5,9,38,60.23%,$69167,0.0%,N/A,N/A,$419700,N/A,N/A,41,82.60%,7%,37%,43%,72,18 mins,3.00%,1.50%,65.50%,Lancaster County,45.40%,45.20%,0.0%,0.0%,100.0%,0.0%,0.0%,Central Standard Time,1189,4.1,26.40%,3,0,26,16.3%,0.00,1,2,0,N/A,N/A,NE-54020,4.04
