City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Almont,Michigan,2830,2112,Detroit-Warren-Dearborn,4382832,$81511,22.87%,44,$262000,1489,$176,32,90.01%,$889,41.52%,390,1030,8.0%,7.48%,66.9%,Lapeer County,28.20%,66.50%,0.28%,0.0%,87.6%,5.87%,6.22%,Eastern Standard Time,83,31,52,63,17,61%,55%,38,58,85,52%,67%,39%,36.47,11.03,6.84,36.16%,32.42%,39.89%,44.7,29,8.1,32.3,74,699,3.3,1.34,MI-01660,42.9207659,-83.0434728
Almont township,Michigan,2830,2112,Detroit-Warren-Dearborn,4382832,$81511,22.87%,44,$262000,1489,$176,32,90.01%,$889,41.52%,390,1030,8.0%,7.48%,66.9%,Lapeer County,28.20%,66.50%,0.28%,0.0%,87.6%,5.87%,6.22%,Eastern Standard Time,83,31,52,63,17,61%,55%,38,58,85,52%,67%,39%,36.47,11.03,6.84,36.16%,32.42%,39.89%,44.7,29,8.1,32.3,79,699,3.3,1.34,MI-01660,42.9207659,-83.0434728
Arcadia township (Lapeer Cnty),Michigan,3104,5173,Detroit-Warren-Dearborn,4382832,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lapeer County,28.20%,66.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,84,31,53,61,16,61%,55%,38,58,86,52%,67%,39%,35.31,10.6,6.32,44.27%,38.24%,54.67%,44.7,29,8.1,32.3,85,750,3.3,0.6,MI-03280,43.1064784,-83.1706809
Attica,Michigan,863,181,Detroit-Warren-Dearborn,4382832,$41981,12.21%,62,$286000,1368,$209,82,95.3%,N/A,26.95%,N/A,N/A,9.73%,2.84%,52.1%,Lapeer County,28.20%,66.50%,0.0%,0.46%,89.8%,5.68%,0.0%,Eastern Standard Time,84,31,53,61,16,61%,55%,38,58,86,52%,67%,39%,35.31,10.6,6.32,44.27%,38.24%,54.67%,44.7,29,8.1,32.3,82,750,3.3,4.78,MI-04020,43.0313551,-83.1607055
Attica township,Michigan,863,181,Detroit-Warren-Dearborn,4382832,$41981,12.21%,62,$286000,1368,$209,82,95.3%,N/A,26.95%,N/A,N/A,9.73%,2.84%,52.1%,Lapeer County,28.20%,66.50%,0.0%,0.46%,89.8%,5.68%,0.0%,Eastern Standard Time,84,31,53,61,16,61%,55%,38,58,86,52%,67%,39%,35.31,10.6,6.32,44.27%,38.24%,54.67%,44.7,29,8.1,32.3,82,750,3.3,4.78,MI-04020,43.0313551,-83.1607055
Barnes Lake-Millers Lake,Michigan,1005,330,Detroit-Warren-Dearborn,4382832,N/A,N/A,N/A,$195000,1455,$134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lapeer County,28.20%,66.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,84,31,53,61,16,61%,55%,38,58,86,52%,67%,39%,35.31,10.6,6.32,44.27%,38.24%,54.67%,57.1,46,8.1,32.3,84,750,3.3,3.05,MI-05470,43.1795601,-83.3122954
Burlington township (Lapeer Cnty),Michigan,1511,1988,Detroit-Warren-Dearborn,4382832,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lapeer County,28.20%,66.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,84,31,53,61,16,61%,55%,38,58,86,52%,67%,39%,34.88,10.56,6.38,32.44%,27.8%,40.78%,44.7,29,8.1,32.3,86,750,3.3,0.76,MI-11840,43.2823327,-83.1778285
Burnside,Michigan,1946,36,Detroit-Warren-Dearborn,4382832,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lapeer County,28.20%,66.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,82,30,52,57,13,61%,55%,38,58,83,52%,67%,39%,35.49,11.43,6.33,44.27%,38.24%,54.67%,44.7,29,8.1,32.3,85,750,3.3,54.06,MI-11900,43.2187819,-83.0578245
Clifford,Michigan,297,197,Detroit-Warren-Dearborn,4382832,$51875,4.67%,45,$560000,2267,$247,69,85.25%,$875,58.91%,N/A,N/A,14.53%,10.32%,60.08%,Lapeer County,28.20%,66.50%,0.0%,0.0%,99.33%,0.67%,0.67%,Eastern Standard Time,83,30,53,60,15,61%,55%,38,58,85,52%,67%,39%,34.88,10.56,6.38,32.44%,27.8%,40.78%,44.7,29,8.1,32.3,86,750,3.3,1.51,MI-16420,43.3148433,-83.1793137
Columbiaville,Michigan,734,834,Detroit-Warren-Dearborn,4382832,$58250,18.87%,38,$165000,1793,$92,68,85.29%,$779,46.03%,N/A,N/A,9.95%,12.99%,63.32%,Lapeer County,28.20%,66.50%,0.0%,0.0%,96.19%,1.23%,1.36%,Eastern Standard Time,82,32,50,61,17,61%,55%,38,58,83,52%,67%,39%,37.68,11.88,7.55,44.27%,38.24%,54.67%,57.1,46,8.1,32.3,83,765,3.3,0.88,MI-17460,43.1566894,-83.4069464
