City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Brookfield,New York,2387,31,Syracuse,765798,N/A,N/A,N/A,$118000,1168,$101,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Madison County,38.80%,53.00%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,81,32,49,58,13,60%,55%,38,58,82,44%,57%,32%,46.79,14.65,9.42,50.63%,47.69%,59.33%,78.7,41,8.3,26.8,91,987,3.1,77.0,NY-08587,42.8078573,-75.3435752
Canastota,New York,4572,1369,Syracuse,765798,$59472,17.4%,38,$172000,1323,$130,64,67.02%,$689,60.03%,155,731,7.81%,8.27%,70.03%,Madison County,38.80%,53.00%,0.0%,0.66%,86.61%,0.7%,1.25%,Eastern Standard Time,78,29,49,58,13,60%,55%,38,58,78,44%,57%,32%,47.71,14.83,10.06,50.88%,43.85%,61.33%,118.0,61,8.3,26.8,84,516,3.1,3.34,NY-12188,43.0836042,-75.7558501
Cazenovia,New York,2857,1512,Syracuse,765798,$56971,51.88%,22,$304000,1543,$197,70,68.72%,$1032,73.81%,70,633,6.9%,4.78%,49.69%,Madison County,38.80%,53.00%,1.58%,6.76%,84.07%,6.65%,4.27%,Eastern Standard Time,78,29,49,58,13,60%,55%,38,58,78,44%,57%,32%,47.39,14.56,10.07,47.73%,39.45%,59.78%,118.0,61,8.3,26.8,87,1338,3.1,1.89,NY-13145,42.9279161,-75.8513198
Chittenango,New York,4871,1964,Syracuse,765798,$71667,26.92%,38,$175000,1215,$144,47,68.89%,$537,47.29%,20,392,16.18%,2.43%,57.53%,Madison County,38.80%,53.00%,0.41%,0.99%,96.59%,1.48%,1.5%,Eastern Standard Time,83,33,50,63,17,60%,55%,38,58,85,44%,57%,32%,49.49,15.84,10.47,47.73%,39.45%,59.78%,118.0,61,8.3,26.8,84,624,3.1,2.48,NY-15561,43.0461416,-75.8747697
DeRuyter,New York,424,1146,Syracuse,765798,$42500,24.38%,32,$141000,934,$151,N/A,79.95%,$398,38.98%,N/A,N/A,11.79%,3.74%,62.54%,Madison County,38.80%,53.00%,0.71%,0.0%,98.58%,0.71%,2.12%,Eastern Standard Time,78,29,49,58,13,60%,55%,38,58,78,44%,57%,32%,50.21,14.72,11.09,51.37%,45.16%,62.22%,78.7,41,8.3,26.8,91,1536,3.1,0.37,NY-20390,42.758669,-75.8866889
Eaton,New York,4792,107,Syracuse,765798,N/A,N/A,N/A,$268000,820,$327,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Madison County,38.80%,53.00%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,78,29,49,58,13,60%,55%,38,58,78,44%,57%,32%,50.21,14.72,11.09,50.63%,47.69%,59.33%,78.7,41,8.3,26.8,91,1536,3.1,44.79,NY-23305,42.8813774,-75.628967
Fenner,New York,1620,52,Syracuse,765798,N/A,N/A,N/A,$120000,945,$127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Madison County,38.80%,53.00%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,78,29,49,58,13,60%,55%,38,58,78,44%,57%,32%,49.49,15.84,10.47,47.73%,39.45%,59.78%,118.0,61,8.3,26.8,90,624,3.1,31.15,NY-25593,42.9709463,-75.7774339
Georgetown,New York,531,13,Syracuse,765798,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Madison County,38.80%,53.00%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,78,29,49,58,13,60%,55%,38,58,78,44%,57%,32%,50.21,14.72,11.09,50.63%,47.69%,59.33%,78.7,41,8.3,26.8,91,1536,3.1,40.85,NY-28695,42.7791257,-75.7471821
Hamilton,New York,3649,1465,Syracuse,765798,$49848,51.97%,21,$198000,2302,$86,N/A,60.26%,$706,82.64%,0,73,12.83%,2.48%,40.53%,Madison County,38.80%,53.00%,9.21%,5.04%,75.36%,8.08%,12.2%,Eastern Standard Time,78,29,49,58,13,60%,55%,38,58,78,44%,57%,32%,46.79,14.65,9.42,50.63%,47.69%,59.33%,78.7,41,8.3,26.8,88,987,3.1,2.49,NY-31709,42.8290911,-75.5501672
Lebanon,New York,1539,36,Syracuse,765798,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Madison County,38.80%,53.00%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,78,29,49,58,13,60%,55%,38,58,78,44%,57%,32%,46.79,14.65,9.42,50.63%,47.69%,59.33%,78.7,41,8.3,26.8,91,987,3.1,42.75,NY-41674,42.784223,-75.621776
Lenox,New York,8918,246,Syracuse,765798,N/A,N/A,N/A,$166000,1328,$125,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Madison County,38.80%,53.00%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,81,30,51,57,13,60%,55%,38,58,82,44%,57%,32%,47.71,14.83,10.06,50.88%,43.85%,61.33%,118.0,61,8.3,26.8,84,516,3.1,36.25,NY-41905,43.1112812,-75.7581802
Lincoln,New York,1881,75,Syracuse,765798,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Madison County,38.80%,53.00%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,78,29,49,58,13,60%,55%,38,58,78,44%,57%,32%,47.71,14.83,10.06,50.88%,43.85%,61.33%,118.0,61,8.3,26.8,90,516,3.1,25.08,NY-42422,43.0324602,-75.7330654
Madison,New York,457,952,Syracuse,765798,$48542,19.03%,32,$245000,1678,$146,N/A,61.27%,$1071,50.14%,N/A,N/A,13.35%,1.67%,51.87%,Madison County,38.80%,53.00%,0.0%,0.0%,98.25%,1.31%,0.0%,Eastern Standard Time,78,29,49,58,13,60%,55%,38,58,78,44%,57%,32%,46.79,14.65,9.42,50.63%,47.69%,59.33%,78.7,41,8.3,26.8,90,987,3.1,0.48,NY-44424,42.8977413,-75.512291
Morrisville,New York,2081,2040,Syracuse,765798,$48100,22.38%,20,$225000,1585,$142,60,66.27%,$869,86.22%,N/A,N/A,21.41%,3.86%,38.65%,Madison County,38.80%,53.00%,4.52%,11.44%,77.03%,4.47%,5.72%,Eastern Standard Time,78,29,49,58,13,60%,55%,38,58,78,44%,57%,32%,50.21,14.72,11.09,50.63%,47.69%,59.33%,78.7,41,8.3,26.8,91,1536,3.1,1.02,NY-48593,42.8986988,-75.6447553
Munnsville,New York,421,478,Syracuse,765798,$63000,22.87%,32,$131000,1899,$69,N/A,72.68%,$821,49.68%,N/A,N/A,9.74%,2.62%,75.58%,Madison County,38.80%,53.00%,0.0%,0.0%,95.25%,0.0%,1.66%,Eastern Standard Time,78,29,49,58,13,60%,55%,38,58,78,44%,57%,32%,47.71,14.83,10.06,50.88%,43.85%,61.33%,78.7,41,8.3,26.8,90,516,3.1,0.88,NY-49220,42.9765494,-75.5865212
Nelson,New York,1924,45,Syracuse,765798,N/A,N/A,N/A,$268000,1241,$216,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Madison County,38.80%,53.00%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,78,29,49,58,13,60%,55%,38,58,78,44%,57%,32%,50.21,14.72,11.09,50.63%,47.69%,59.33%,78.7,41,8.3,26.8,91,1536,3.1,42.76,NY-49770,42.8791032,-75.754213
Oneida,New York,10918,495,Syracuse,765798,$49087,25.29%,44,$170000,2125,$80,76,67.93%,$760,54.27%,377,3424,10.45%,2.85%,61.35%,Madison County,38.80%,53.00%,0.51%,1.65%,92.45%,2.37%,2.42%,Eastern Standard Time,78,29,49,58,13,60%,55%,38,58,78,44%,57%,32%,47.71,14.83,10.06,50.88%,43.85%,61.33%,118.0,61,8.3,26.8,83,516,3.1,22.05,NY-54837,43.0769328,-75.6620988
Smithfield,New York,1513,62,Syracuse,765798,N/A,N/A,N/A,$325000,1300,$250,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Madison County,38.80%,53.00%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,78,29,49,58,13,60%,55%,38,58,78,44%,57%,32%,47.71,14.83,10.06,50.88%,43.85%,61.33%,78.7,41,8.3,26.8,90,516,3.1,24.4,NY-67785,42.9689329,-75.6726004
Stockbridge,New York,2230,71,Syracuse,765798,N/A,N/A,N/A,$131000,1899,$69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Madison County,38.80%,53.00%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,78,29,49,58,13,60%,55%,38,58,78,44%,57%,32%,47.71,14.83,10.06,50.88%,43.85%,61.33%,78.7,41,8.3,26.8,90,516,3.1,31.41,NY-71399,42.986067,-75.5913677
Sullivan,New York,15283,209,Syracuse,765798,N/A,N/A,N/A,$270000,1901,$142,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Madison County,38.80%,53.00%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,33,50,63,17,60%,55%,38,58,85,44%,57%,32%,49.49,15.84,10.47,47.73%,39.45%,59.78%,118.0,61,8.3,26.8,85,624,3.1,73.12,NY-71993,43.0922396,-75.8793962
Wampsville,New York,755,740,Syracuse,765798,$67500,17.05%,40,$159000,1383,$115,63,100.0%,N/A,54.78%,N/A,N/A,3.08%,3.12%,53.81%,Madison County,38.80%,53.00%,0.0%,4.9%,94.3%,1.59%,0.4%,Eastern Standard Time,78,29,49,58,13,60%,55%,38,58,78,44%,57%,32%,47.71,14.83,10.06,50.88%,43.85%,61.33%,118.0,61,8.3,26.8,84,516,3.1,1.02,NY-78113,43.0771751,-75.7096588
