City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code
Aguila,Arizona,1240,789,Phoenix-Mesa-Scottsdale,5059909,100,61,39,13,35,296,2,54.5,39.6,6,31,47,28,1.89%,$22361,42%,N/A,N/A,$150000,769,$195,23,53.80%,7%,45%,39%,77,25 mins,4.80%,3.30%,134.90%,Maricopa County,44.80%,47.70%,0.0%,0.0%,4.1%,95.0%,58.8%,Mountain Standard Time,1107,6.4,40.20%,12,N/A,N/A,9.0%,19.69,2,0,0,N/A,N/A,N/A
Anthem,Arizona,22980,2905,Phoenix-Mesa-Scottsdale,5059909,103,65,38,13,38,296,0,54.5,39.6,5,15,30,42,47.82%,$79351,3.5%,$1515,1018,$549900,2051,$268,13,68.90%,6%,34%,38%,65,29 mins,4.80%,3.30%,15.90%,Maricopa County,44.80%,47.70%,2.2%,1.0%,87.7%,7.1%,4.8%,Mountain Standard Time,1107,6.4,33.40%,18,N/A,42,18.1%,0.43,1,1,7,N/A,N/A,N/A
Arlington,Arizona,97,42,Phoenix-Mesa-Scottsdale,5059909,108,68,40,8,25,296,0,54.5,39.6,5,20,32,62,N/A,$33438,0%,N/A,N/A,$190400,N/A,N/A,31,68.90%,7%,43%,37%,55,25 mins,4.80%,3.30%,-61.70%,Maricopa County,44.80%,47.70%,0.0%,0.0%,57.7%,42.3%,10.7%,Mountain Standard Time,1107,6.4,26.10%,7,N/A,25,9.0%,0.00,1,0,0,N/A,N/A,N/A
Avondale,Arizona,81590,1803,Phoenix-Mesa-Scottsdale,5059909,106,65,41,9,32,291,0,54.5,39.6,5,21,55,31,18.59%,$57170,11.8%,$1493,917,$425000,1880,$226,15,51.70%,8%,48%,44%,45,28 mins,5.10%,3.30%,16.10%,Maricopa County,44.80%,47.70%,3.5%,10.1%,32.8%,50.2%,16%,Mountain Standard Time,1107,6.4,51.90%,28,N/A,52,18.6%,4.34,1,1,0,288,3552,N/A
Buckeye,Arizona,62090,158,Phoenix-Mesa-Scottsdale,5059909,107,66,41,9,29,295,0,54.5,39.6,5,8,29,33,19.99%,$58703,8%,$1539,1409,$439900,1879,$234,12,66.30%,7%,47%,40%,66,31 mins,6.10%,3.30%,41.40%,Maricopa County,44.80%,47.70%,1.6%,7.8%,51.2%,35.7%,11.3%,Mountain Standard Time,1107,6.4,48.20%,13,N/A,33,20.1%,12.52,1,0,0,137,1623,N/A
Carefree,Arizona,3657,415,Phoenix-Mesa-Scottsdale,5059909,102,64,38,13,40,290,0,54.5,39.6,5,25,48,66,55.63%,$93130,3.5%,N/A,N/A,$1500000,3703,$405,30,60.30%,4%,35%,27%,74,25 mins,4.80%,3.30%,9.50%,Maricopa County,44.80%,47.70%,0.0%,0.0%,97.3%,2.5%,3.7%,Mountain Standard Time,1107,6.4,28.00%,54,N/A,41,16.7%,2.95,2,1,8,N/A,N/A,N/A
Chandler,Arizona,245160,3773,Phoenix-Mesa-Scottsdale,5059909,105,66,39,9,35,297,0,54.5,39.6,5,13,34,35,44.71%,$72072,6.1%,$1739,940,$539900,1861,$290,22,60.60%,8%,38%,41%,56,24 mins,4.20%,3.30%,6.80%,Maricopa County,44.80%,47.70%,9.6%,5.0%,59.1%,21.8%,15.4%,Mountain Standard Time,1107,6.4,46.80%,35,24,57,17.1%,3.18,2,1,0,228,2070,N/A
El Mirage,Arizona,34400,3477,Phoenix-Mesa-Scottsdale,5059909,106,66,40,9,32,297,0,54.5,39.6,5,18,45,29,15.28%,$47564,13.3%,N/A,N/A,$389900,1645,$237,14,58.40%,9%,54%,53%,58,28 mins,5.20%,3.30%,23.20%,Maricopa County,44.80%,47.70%,1.5%,8.0%,40.1%,47.2%,13.2%,Mountain Standard Time,1107,6.4,52.30%,27,N/A,43,20.1%,9.02,1,1,1,232,2713,N/A
Fountain Hills,Arizona,24047,1186,Phoenix-Mesa-Scottsdale,5059909,104,65,39,13,40,300,0,54.5,39.6,5,16,33,57,48.61%,$72462,3.3%,$1700,1008,$679500,2040,$333,25,64.60%,5%,31%,29%,65,26 mins,4.20%,3.30%,6.90%,Maricopa County,44.80%,47.70%,2.4%,0.4%,92.0%,4.6%,8.9%,Mountain Standard Time,1107,6.4,36.40%,19,N/A,26,17.5%,1.32,N/A,1,3,N/A,N/A,N/A
Gila Bend,Arizona,1882,29,Phoenix-Mesa-Scottsdale,5059909,108,68,40,7,25,296,0,54.5,39.6,6,28,44,32,9.40%,$32708,31.4%,N/A,N/A,$175000,445,$393,33,41.70%,-3%,47%,40%,72,25 mins,4.80%,3.30%,14.30%,Maricopa County,44.80%,47.70%,0.3%,2.5%,25.5%,67.2%,21.5%,Mountain Standard Time,1107,6.4,44.10%,36,N/A,36,16.1%,5.53,N/A,0,0,N/A,N/A,N/A
