City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi)
Aumsville,Oregon,3974,3517,Salem,436948,81,46,35,47,160,159,3,51.9,44.3,4,8,23,31,6.73%,$50319,17.8%,N/A,N/A,$450000,1906,$236,24,64.00%,8%,64%,40%,72,23 mins,4.50%,-0.10%,14.30%,Marion County,42.20%,46.30%,0.6%,0.0%,85.0%,9.8%,2.3%,Pacific Standard Time,196,2.9,55.60%,44,N/A,50,14.6%,5.55,0,0,162,N/A,N/A,OR-03250,1.13
Aurora,Oregon,1261,2627,Salem,436948,82,46,36,43,141,157,1,52.6,44.5,5,11,22,39,42.72%,$72656,2.8%,N/A,N/A,$592500,1669,$355,23,82.80%,8%,58%,32%,57,31 mins,4.50%,-0.10%,79.60%,Marion County,42.20%,46.30%,0.3%,0.0%,85.8%,13.2%,4.9%,Pacific Standard Time,196,2.9,39.00%,31,N/A,24,23.6%,0.00,0,0,213,N/A,N/A,OR-03300,0.48
Brooks,Oregon,791,1551,Salem,436948,81,46,35,42,148,156,3,51.5,43.7,5,12,31,27,N/A,$49375,8%,$1075,857,$303200,N/A,N/A,33,89.40%,10%,64%,39%,64,23 mins,4.50%,-0.10%,130.60%,Marion County,42.20%,46.30%,0.0%,0.0%,61.8%,38.2%,11.8%,Pacific Standard Time,196,2.9,55.10%,32,16,35,17.6%,0.00,0,0,152,N/A,N/A,OR-08750,0.51
Butteville,Oregon,317,302,Salem,436948,82,46,36,43,141,156,1,51.5,43.7,4,10,26,47,61.0%,$130417,0.0%,N/A,N/A,$710400,N/A,N/A,36,76.80%,10%,63%,38%,62,23 mins,4.50%,-0.10%,16.50%,Marion County,42.20%,46.30%,0.0%,0.0%,97.48%,0.32%,2.84%,Pacific Standard Time,196,2.9,45.20%,10,N/A,N/A,12.1%,0.00,0,0,217,N/A,N/A,OR-10100,1.05
Detroit,Oregon,72,122,Salem,436948,79,37,42,59,168,156,146,46.7,38.9,5,9,24,64,40.28%,$51250,6.94%,N/A,N/A,$140000,965,$145,40,9.10%,10%,67%,38%,76,23 mins,4.50%,-0.10%,-55.40%,Marion County,42.20%,46.30%,0.0%,0.0%,94.44%,0.0%,0.0%,Pacific Standard Time,196,2.9,34.30%,28,N/A,27,12.5%,0.00,0,0,50,N/A,N/A,OR-19100,0.59
Donald,Oregon,1465,5232,Salem,436948,82,46,36,42,140,158,1,52.6,44.5,5,9,24,36,13.48%,$71875,12.76%,N/A,N/A,$410000,1814,$226,19,85.30%,10%,64%,40%,62,30 mins,4.50%,-0.10%,49.10%,Marion County,42.20%,46.30%,2.73%,2.59%,63.34%,30.17%,15.36%,Pacific Standard Time,196,2.9,41.60%,36,N/A,35,19.5%,0.00,0,0,207,N/A,N/A,OR-20100,0.28
Four Corners,Oregon,16491,6704,Salem,436948,81,46,35,45,155,155,4,51.7,44.1,N/A,16,51,34,9.97%,$55928,13.51%,$1196,929,$334900,1462,$229,41,53.40%,13%,70%,43%,39,21 mins,4.50%,-0.10%,5.40%,Marion County,42.20%,46.30%,3.71%,0.99%,48.49%,43.04%,18.06%,Pacific Standard Time,196,2.9,50.00%,74,N/A,80,20.6%,0.00,0,0,158,N/A,N/A,OR-26750,2.46
Gates,Oregon,611,940,Albany,131054,78,42,36,77,171,155,7,51,43.2,5,10,28,54,18.75%,$46250,17.02%,N/A,N/A,$179900,775,$232,40,66.80%,10%,67%,38%,76,23 mins,4.50%,-0.10%,-26.40%,Marion County,42.20%,46.30%,1.96%,2.78%,74.14%,2.13%,1.96%,Pacific Standard Time,213,2.9,40.40%,10,N/A,15,18.6%,0.00,N/A,0,133,N/A,N/A,OR-28200,0.65
Gervais,Oregon,2726,6649,Salem,436948,82,46,36,41,142,158,3,52.2,44.3,5,21,29,33,5.77%,$72411,10.99%,N/A,N/A,$383000,1702,$225,22,74.70%,11%,74%,43%,66,24 mins,4.50%,-0.10%,48.30%,Marion County,42.20%,46.30%,0.26%,0.0%,14.12%,84.19%,27.48%,Pacific Standard Time,196,2.9,52.00%,23,N/A,N/A,23.2%,4.04,N/A,0,155,71,467,OR-28650,0.41
Hayesville,Oregon,22189,7347,Salem,436948,81,46,35,42,148,156,3,51.9,44.2,N/A,17,56,30,13.53%,$57673,18.25%,$1075,857,$345000,1554,$222,38,47.20%,11%,70%,41%,32,25 mins,4.50%,-0.10%,9.90%,Marion County,42.20%,46.30%,2.14%,3.41%,40.75%,48.52%,22.11%,Pacific Standard Time,196,2.9,50.20%,36,35,61,20.0%,0.00,N/A,0,160,N/A,N/A,OR-32850,3.02
