City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code
Ajo,Arizona,3525,106,Tucson,1061175,104,67,37,8,30,286,0,54.6,37.2,6,43,72,48,13.83%,$28914,15.6%,N/A,N/A,$62800,N/A,N/A,54,41.80%,1%,21%,0%,81,24 mins,5.30%,2.00%,10.00%,Pima County,53.30%,39.70%,1.8%,0.0%,38.2%,43.6%,8%,Mountain Standard Time,2555,6.5,54.90%,36,N/A,35,12.3%,40.98,3,0,0,N/A,N/A,AZ-00870
Ak Chin,Arizona,33,63,Tucson,1061175,101,65,36,11,39,285,0,54.6,37.2,N/A,22,33,50,N/A,$0,N/A,N/A,N/A,$207100,N/A,N/A,33,0.56229,7%,31%,8%,80,24 mins,5.30%,2.00%,100.00%,Pima County,53.30%,39.70%,N/A,N/A,N/A,N/A,N/A,Mountain Standard Time,2555,6.5,48.50%,0,N/A,29,N/A,0.00,4,0,0,N/A,N/A,AZ-00940
Ali Chuk,Arizona,120,83,Tucson,1061175,104,67,37,8,30,285,0,54.6,37.2,N/A,34,53,36,N/A,$18846,52.6%,N/A,N/A,$207100,N/A,N/A,23,66.70%,7%,32%,8%,81,24 mins,5.30%,2.00%,160.90%,Pima County,53.30%,39.70%,0.0%,0.0%,0.0%,23.3%,0%,Mountain Standard Time,2555,6.5,100.00%,0,N/A,25,14.3%,0.00,6,0,0,N/A,N/A,AZ-01560
Ali Chukson,Arizona,107,52,Tucson,1061175,101,65,36,11,39,285,0,54.6,37.2,N/A,28,42,18,N/A,$17500,0%,N/A,N/A,$139000,N/A,N/A,76,10.60%,7%,32%,8%,83,24 mins,5.30%,2.00%,55.10%,Pima County,53.30%,39.70%,0.0%,0.0%,0.0%,0.0%,0%,Mountain Standard Time,2555,6.5,52.20%,0,N/A,25,N/A,0.00,6,0,0,N/A,N/A,AZ-01570
Ali Molina,Arizona,63,82,Tucson,1061175,101,65,36,11,39,285,0,54.6,37.2,N/A,20,31,15,N/A,$2499,100%,N/A,N/A,$85200,N/A,N/A,24,72.40%,7%,32%,8%,83,24 mins,5.30%,2.00%,293.80%,Pima County,53.30%,39.70%,0.0%,0.0%,0.0%,0.0%,0%,Mountain Standard Time,2555,6.5,60.50%,0,N/A,25,N/A,0.00,6,0,0,N/A,N/A,AZ-01620
Anegam,Arizona,86,37,Tucson,1061175,101,65,36,11,39,285,0,54.6,37.2,N/A,32,48,40,N/A,$13250,34.3%,N/A,N/A,$207100,N/A,N/A,35,72.40%,6%,30%,8%,80,24 mins,5.30%,2.00%,760.00%,Pima County,53.30%,39.70%,0.0%,0.0%,5.8%,0.0%,0%,Mountain Standard Time,2555,6.5,67.10%,0,N/A,N/A,25.0%,0.00,4,0,0,N/A,N/A,AZ-02270
Arivaca,Arizona,627,23,Tucson,1061175,96,65,31,18,48,285,2,54.6,37.2,7,23,36,65,N/A,$30781,0%,N/A,N/A,$96800,N/A,N/A,30,61.00%,6%,31%,8%,84,24 mins,5.30%,2.00%,-15.00%,Pima County,53.30%,39.70%,0.0%,0.0%,90.3%,5.7%,4%,Mountain Standard Time,2555,6.5,39.20%,17,N/A,31,9.0%,16.26,5,0,0,N/A,N/A,AZ-03320
Arivaca Junction,Arizona,1187,406,Tucson,1061175,97,65,32,16,58,285,0,54.6,37.2,N/A,25,38,33,N/A,$35048,10.8%,N/A,N/A,$158900,N/A,N/A,39,91.40%,6%,32%,8%,84,24 mins,5.30%,2.00%,3.70%,Pima County,53.30%,39.70%,0.0%,0.0%,32.9%,67.1%,58.5%,Mountain Standard Time,2555,6.5,48.70%,9,N/A,33,24.3%,0.00,5,0,0,N/A,N/A,AZ-03380
Avra Valley,Arizona,5227,236,Tucson,1061175,103,66,37,11,45,280,0,54.6,37.2,N/A,33,61,46,11.04%,$53651,13.5%,N/A,N/A,$101000,N/A,N/A,24,70.90%,7%,30%,8%,71,24 mins,5.30%,2.00%,-21.90%,Pima County,53.30%,39.70%,0.7%,2.0%,67.5%,26.5%,10.9%,Mountain Standard Time,2555,6.5,46.80%,11,N/A,27,16.2%,0.00,5,0,0,N/A,N/A,AZ-04880
Casas Adobes,Arizona,70516,2587,Tucson,1061175,101,66,35,12,48,285,0,54.6,37.2,N/A,17,44,40,37.01%,$67480,7.77%,N/A,N/A,$325000,1649,$197,31,59.60%,7%,32%,8%,60,23 mins,5.30%,2.00%,1.80%,Pima County,53.30%,39.70%,2.4%,1.7%,65.6%,26.2%,9.37%,Mountain Standard Time,2555,6.5,49.40%,24,N/A,46,17.8%,0.00,5,0,0,N/A,N/A,AZ-10670
Charco,Arizona,8,13,Tucson,1061175,104,67,37,8,30,285,0,54.6,37.2,N/A,34,53,7,0.0%,$0,0.0%,N/A,N/A,$207100,N/A,N/A,52,19.40%,7%,32%,9%,81,24 mins,5.30%,2.00%,-25.00%,Pima County,53.30%,39.70%,0.0%,0.0%,0.0%,0.0%,0.0%,Mountain Standard Time,2555,6.5,100.00%,0,N/A,N/A,N/A,0.00,5,0,0,N/A,N/A,AZ-12150
Cowlic,Arizona,98,236,Tucson,1061175,101,65,36,11,39,285,0,54.6,37.2,7,34,53,21,0.0%,$0,81.63%,N/A,N/A,$14700,N/A,N/A,29,63.00%,7%,31%,8%,83,24 mins,5.30%,2.00%,250.00%,Pima County,53.30%,39.70%,0.0%,0.0%,0.0%,0.0%,0.0%,Mountain Standard Time,2555,6.5,86.90%,0,N/A,N/A,13.5%,0.00,7,0,0,N/A,N/A,AZ-16830
Drexel Heights,Arizona,30780,1449,Tucson,1061175,100,65,35,12,50,285,0,54.6,37.2,N/A,14,39,35,14.56%,$57576,18.7%,$959,748,$249700,1531,$163,32,70.50%,7%,31%,8%,62,27 mins,5.30%,2.00%,-2.40%,Pima County,53.30%,39.70%,0.4%,2.2%,21.9%,72.3%,14.3%,Mountain Standard Time,2555,6.5,51.30%,15,N/A,32,19.2%,0.00,6,0,0,N/A,N/A,AZ-20540
