City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year,Hottest month's avg heat index high (F)
Bardmoor,Florida,9650,4406,Tampa-St. Petersburg-Clearwater,2519689,$76807,39.04%,50,$325000,1327,$245,45,85.13%,$1505,47.4%,N/A,N/A,5.78%,2.46%,64.3%,Pinellas County,47.00%,48.10%,2.12%,1.7%,87.72%,4.6%,10.04%,Eastern Standard Time,91,71,20,54.57,0.0,6.8,70,18,6.3,2.19,FL-03480,27.8573922,-82.7534314,69%,67%,65%,58%,62%,82.7,62,72,77,53,26.88,7.42,31.64%,55.71%,24.22%,0,105
Bay Pines,Florida,2755,2119,Tampa-St. Petersburg-Clearwater,2519689,$52750,28.1%,55,$428000,1523,$281,50,85.76%,$1029,48.32%,N/A,N/A,10.51%,0.8%,46.95%,Pinellas County,47.00%,48.10%,1.42%,5.7%,80.11%,5.55%,6.79%,Eastern Standard Time,91,71,20,54.57,0.0,6.8,73,18,6.3,1.3,FL-04200,27.8066029,-82.7748522,69%,67%,65%,58%,62%,82.7,62,72,77,53,26.88,7.42,30.99%,52.53%,23.22%,0,105
Bear Creek,Florida,2114,5421,Tampa-St. Petersburg-Clearwater,2519689,$54464,37.51%,53,$299000,912,$328,52,57.33%,$1556,43.52%,N/A,N/A,23.5%,3.35%,48.85%,Pinellas County,47.00%,48.10%,0.38%,0.85%,91.82%,6.95%,7.71%,Eastern Standard Time,90,69,21,56.5,0.0,6.8,78,3,6.3,0.39,FL-04735,27.7487658,-82.7287657,69%,67%,65%,58%,62%,82.7,62,72,78,55,27.69,7.19,30.99%,52.53%,23.22%,0,102
Belleair Beach,Florida,1472,3067,Tampa-St. Petersburg-Clearwater,2519689,$94688,59.16%,58,$660000,1272,$519,45,86.48%,$2288,33.89%,61,1112,6.93%,8.82%,45.63%,Pinellas County,47.00%,48.10%,1.63%,2.31%,88.65%,7.4%,10.8%,Eastern Standard Time,91,71,20,57.02,0.0,6.8,82,69,6.3,0.48,FL-05100,27.9244626,-82.8362498,69%,67%,65%,58%,62%,82.7,62,72,77,53,28.99,8.29,31.64%,55.71%,24.22%,0,105
Belleair Bluffs,Florida,2307,5015,Tampa-St. Petersburg-Clearwater,2519689,$48533,34.23%,61,$390000,1345,$290,49,75.47%,$1019,39.56%,90,1493,12.4%,3.36%,52.09%,Pinellas County,47.00%,48.10%,0.22%,2.21%,93.58%,2.6%,9.62%,Eastern Standard Time,91,71,20,57.02,0.0,6.8,70,69,6.3,0.46,FL-05125,27.919796,-82.8192297,69%,67%,65%,58%,62%,82.7,62,72,77,53,28.99,8.29,31.64%,55.71%,24.22%,0,105
Belleair Shore,Florida,96,1600,Tampa-St. Petersburg-Clearwater,2519689,N/A,44.44%,59,N/A,N/A,N/A,42,100.0%,N/A,26.97%,N/A,N/A,18.75%,0.0%,43.18%,Pinellas County,47.00%,48.10%,3.13%,0.0%,96.88%,0.0%,12.5%,Eastern Standard Time,91,71,20,57.02,0.0,6.8,82,69,6.3,0.06,FL-05150,27.9171582,-82.8466322,69%,67%,65%,58%,62%,82.7,62,72,77,53,28.99,8.29,31.64%,55.71%,24.22%,0,105
Clearwater,Florida,115975,4447,Tampa-St. Petersburg-Clearwater,2519689,$50335,30.21%,45,$385000,1421,$271,44,57.92%,$1167,54.15%,399,2392,15.26%,6.35%,59.0%,Pinellas County,47.00%,48.10%,2.97%,11.91%,65.73%,17.09%,17.18%,Eastern Standard Time,91,71,20,57.02,0.0,6.8,67,69,6.3,26.08,FL-12875,27.9788261,-82.76678,69%,67%,65%,58%,62%,82.7,62,72,77,53,28.99,8.29,31.64%,55.71%,24.22%,0,105
Dunedin,Florida,36480,3504,Tampa-St. Petersburg-Clearwater,2519689,$51730,33.8%,57,$435000,1500,$290,45,70.17%,$1127,50.06%,106,1284,10.9%,5.57%,52.51%,Pinellas County,47.00%,48.10%,2.21%,2.74%,87.69%,4.52%,9.7%,Eastern Standard Time,92,70,22,56.09,0.0,6.8,66,60,6.3,10.41,FL-18575,28.0375455,-82.797605,69%,67%,65%,58%,62%,82.7,62,72,77,51,28.35,7.64,30.03%,48.68%,23.78%,0,108
East Lake,Florida,32382,1128,Tampa-St. Petersburg-Clearwater,2519689,$79989,44.22%,53,$594000,2320,$256,30,81.71%,$1354,42.79%,N/A,N/A,9.24%,6.27%,51.39%,Pinellas County,47.00%,48.10%,4.36%,2.74%,82.73%,6.66%,14.17%,Eastern Standard Time,92,70,22,55.89,0.0,6.8,70,6,6.3,28.71,FL-19206,28.1205295,-82.6868594,69%,67%,65%,58%,62%,82.7,62,72,77,51,28.22,7.4,30.03%,48.68%,23.78%,0,108
Feather Sound,Florida,3466,1225,Tampa-St. Petersburg-Clearwater,2519689,$79457,57.14%,48,$285000,1040,$274,35,72.3%,$1423,51.95%,N/A,N/A,6.46%,5.98%,71.56%,Pinellas County,47.00%,48.10%,8.54%,5.25%,79.2%,6.41%,11.6%,Eastern Standard Time,91,71,20,52.53,0.0,6.8,66,9,6.3,2.83,FL-21945,27.9080461,-82.6820273,69%,67%,65%,58%,62%,82.7,62,72,77,53,27.87,7.13,31.64%,55.71%,24.22%,0,105
