City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Akron,Iowa,1527,1241,Sioux City,148442,$53750,20.54%,42,N/A,N/A,N/A,55,75.3%,$618,49.68%,N/A,N/A,7.64%,4.25%,63.58%,Plymouth County,21.90%,73.40%,0.0%,0.13%,90.9%,3.99%,0.39%,Central Standard Time,86,27,59,63,8,60%,59%,37,61,91,60%,71%,54%,30.96,11.44,2.97,23.32%,27.14%,18.44%,31.5,15,N/A,42.1,88,1095,3.6,1.23,IA-00775,42.8267687,-96.5570262
Brunsville,Iowa,179,778,Sioux City,148442,$61667,17.02%,27,N/A,N/A,N/A,42,79.29%,N/A,51.91%,N/A,N/A,0.0%,1.3%,63.64%,Plymouth County,21.90%,73.40%,0.56%,0.0%,77.65%,20.11%,6.15%,Central Standard Time,85,28,57,62,8,60%,59%,37,61,89,60%,71%,54%,32.4,12.75,3.48,22.3%,26.15%,16.0%,34.3,13,N/A,42.1,88,1092,3.6,0.23,IA-08875,42.8109762,-96.2663633
Craig,Iowa,49,544,Sioux City,148442,$55625,16.22%,52,N/A,N/A,N/A,N/A,71.43%,$738,27.91%,N/A,N/A,4.08%,0.0%,81.4%,Plymouth County,21.90%,73.40%,0.0%,0.0%,100.0%,0.0%,0.0%,Central Standard Time,85,28,57,62,8,60%,59%,37,61,89,60%,71%,54%,32.4,12.75,3.48,22.3%,26.15%,16.0%,34.3,13,N/A,42.1,88,1092,3.6,0.09,IA-16950,42.8955336,-96.3095661
Hinton,Iowa,932,1294,Sioux City,148442,$87188,31.05%,37,N/A,N/A,N/A,33,79.13%,$1006,41.44%,N/A,N/A,9.44%,0.36%,76.6%,Plymouth County,21.90%,73.40%,0.32%,0.54%,88.63%,8.05%,2.36%,Central Standard Time,85,28,57,62,8,60%,59%,37,61,89,60%,71%,54%,32.4,12.75,3.48,22.3%,26.15%,16.0%,34.3,13,N/A,42.1,86,1092,3.6,0.72,IA-36480,42.6212307,-96.2976494
Kingsley,Iowa,1433,890,Sioux City,148442,$64844,29.71%,43,N/A,N/A,N/A,48,82.23%,$631,34.79%,N/A,N/A,7.28%,0.52%,69.3%,Plymouth County,21.90%,73.40%,0.28%,3.42%,90.37%,5.16%,0.0%,Central Standard Time,85,28,57,62,8,60%,59%,37,61,89,60%,71%,54%,32.76,12.51,3.26,22.3%,26.15%,16.0%,34.3,13,N/A,42.1,89,1215,3.6,1.61,IA-41385,42.5864325,-95.9679483
Le Mars,Iowa,10462,1225,Sioux City,148442,$69476,25.92%,39,N/A,N/A,N/A,46,74.24%,$792,40.13%,239,1657,7.71%,2.57%,68.74%,Plymouth County,21.90%,73.40%,0.47%,3.39%,88.11%,7.03%,5.37%,Central Standard Time,85,28,57,62,8,60%,59%,37,61,89,60%,71%,54%,32.4,12.75,3.48,22.3%,26.15%,16.0%,34.3,13,N/A,42.1,85,1092,3.6,8.54,IA-44400,42.7810619,-96.1732658
Merrill,Iowa,1001,1925,Sioux City,148442,$67344,14.96%,36,N/A,N/A,N/A,59,80.61%,$538,40.54%,N/A,N/A,5.69%,4.05%,68.29%,Plymouth County,21.90%,73.40%,0.3%,1.2%,92.21%,4.5%,4.7%,Central Standard Time,85,28,57,62,8,60%,59%,37,61,89,60%,71%,54%,32.4,12.75,3.48,22.3%,26.15%,16.0%,34.3,13,N/A,42.1,86,1092,3.6,0.52,IA-51375,42.7204565,-96.2519429
Oyens,Iowa,94,855,Sioux City,148442,$101477,7.14%,33,N/A,N/A,N/A,54,100.0%,N/A,27.78%,N/A,N/A,0.0%,0.0%,86.11%,Plymouth County,21.90%,73.40%,0.0%,0.0%,100.0%,0.0%,0.0%,Central Standard Time,85,28,57,62,8,60%,59%,37,61,89,60%,71%,54%,32.76,12.51,3.26,22.3%,26.15%,16.0%,34.3,13,N/A,42.1,89,1215,3.6,0.11,IA-60780,42.8198163,-96.0580422
Remsen,Iowa,1857,1272,Sioux City,148442,$77083,14.42%,40,N/A,N/A,N/A,62,75.33%,$649,50.03%,N/A,N/A,7.82%,2.8%,70.78%,Plymouth County,21.90%,73.40%,0.0%,0.32%,90.31%,7.16%,5.12%,Central Standard Time,85,28,57,62,8,60%,59%,37,61,89,60%,71%,54%,32.76,12.51,3.26,22.3%,26.15%,16.0%,34.3,13,N/A,42.1,89,1215,3.6,1.46,IA-66405,42.8158331,-95.9726327
Struble,Iowa,97,606,Sioux City,148442,$88393,5.17%,32,N/A,N/A,N/A,N/A,95.79%,N/A,39.29%,N/A,N/A,5.21%,0.0%,73.81%,Plymouth County,21.90%,73.40%,0.0%,0.0%,96.91%,0.0%,0.0%,Central Standard Time,85,28,57,62,8,60%,59%,37,61,89,60%,71%,54%,32.4,12.75,3.48,22.3%,26.15%,16.0%,34.3,13,N/A,42.1,89,1092,3.6,0.16,IA-75945,42.894418,-96.1944531
Westfield,Iowa,120,923,Sioux City,148442,$51500,1.12%,47,N/A,N/A,N/A,77,70.83%,$635,68.38%,N/A,N/A,4.17%,0.0%,63.11%,Plymouth County,21.90%,73.40%,0.0%,0.0%,73.33%,25.83%,10.0%,Central Standard Time,86,31,55,64,11,60%,59%,37,61,91,60%,71%,54%,30.96,11.44,2.97,23.32%,27.14%,18.44%,31.5,15,N/A,42.1,86,1095,3.6,0.13,IA-84090,42.7562058,-96.6055274
