City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi),Labor Force Participation rate
Belvue,Kansas,124,1033,Manhattan,130142,90,40,50,36,88,213,15,62.3,42.6,N/A,11,22,31,8.75%,$58125,11.29%,$1036,N/A,N/A,N/A,N/A,47,75.0%,3%,20%,20%,74,21 mins,0.0%,0.80%,26.00%,Pottawatomie County,20.80%,71.20%,0.0%,0.0%,78.23%,21.77%,14.52%,Central Standard Time,1024,4.5,55.90%,15,N/A,35,22.1%,0.00,0,2,0,N/A,N/A,KS-05925,0.12,69.77%
Belvue township,Kansas,124,1033,Manhattan,130142,90,40,50,36,89,212,16,N/A,N/A,N/A,13,26,31,8.75%,$58125,11.29%,$1036,N/A,N/A,N/A,N/A,78,75.0%,3%,19%,20%,74,21 mins,0.0%,0.80%,34.70%,Pottawatomie County,20.80%,71.20%,0.0%,0.0%,78.23%,21.77%,14.52%,Central Standard Time,1024,4.5,50.70%,0,N/A,30,N/A,0.00,0,2,0,N/A,N/A,KS-05925,0.12,69.77%
Blue,Kansas,3504,80,Manhattan,130142,90,40,50,35,91,212,14,N/A,N/A,N/A,10,21,N/A,43.81%,$78917,N/A,N/A,N/A,N/A,N/A,N/A,21,84.30%,3%,19%,20%,73,21 mins,3.50%,0.80%,25.20%,Pottawatomie County,20.80%,71.20%,2.7%,2.1%,87.5%,5.0%,N/A,Central Standard Time,1024,4.5,25.80%,59,N/A,61,N/A,N/A,N/A,2,N/A,N/A,N/A,KS-07550,43.8,N/A
Blue Valley,Kansas,351,8,Manhattan,130142,90,40,50,33,77,212,17,N/A,N/A,N/A,8,15,N/A,21.38%,$62143,N/A,N/A,N/A,N/A,N/A,N/A,49,82.20%,3%,19%,20%,75,21 mins,3.50%,0.80%,5.10%,Pottawatomie County,20.80%,71.20%,0.0%,0.0%,92.9%,5.4%,N/A,Central Standard Time,1024,4.5,23.50%,0,N/A,15,N/A,N/A,N/A,2,N/A,N/A,N/A,KS-07725,43.88,N/A
Center township (Pottawatomie Cnty),Kansas,89,3,Manhattan,130142,89,39,50,35,86,212,17,N/A,N/A,N/A,9,18,N/A,N/A,$44256,N/A,N/A,N/A,N/A,N/A,N/A,77,51.20%,3%,19%,20%,73,21 mins,3.50%,0.80%,36.90%,Pottawatomie County,20.80%,71.20%,0.0%,0.0%,100.0%,0.0%,N/A,Central Standard Time,1024,4.5,38.70%,0,N/A,30,N/A,N/A,N/A,2,N/A,N/A,N/A,KS-12000,29.67,N/A
Clear Creek township (Pottawatomie Cnty),Kansas,195,5,Manhattan,130142,90,40,50,34,81,212,18,N/A,N/A,N/A,8,15,N/A,N/A,$86000,N/A,N/A,N/A,N/A,N/A,N/A,14,49.20%,3%,19%,20%,75,21 mins,3.50%,0.80%,58.50%,Pottawatomie County,20.80%,71.20%,0.0%,0.0%,100.0%,0.0%,N/A,Central Standard Time,1024,4.5,32.40%,0,N/A,20,N/A,N/A,N/A,2,N/A,N/A,N/A,KS-13800,39.0,N/A
Emmett,Kansas,172,860,Manhattan,130142,89,39,50,35,81,209,14,62.3,42.6,9,9,19,35,2.63%,$34500,15.7%,N/A,N/A,N/A,N/A,N/A,38,90.7%,3%,19%,21%,74,21 mins,1.16%,0.80%,-58.60%,Pottawatomie County,20.80%,71.20%,0.0%,0.0%,91.28%,0.0%,1.16%,Central Standard Time,1024,4.5,25.60%,4,N/A,37,13.3%,84.03,0,2,0,N/A,N/A,KS-21100,0.2,63.7%
Emmett township,Kansas,172,860,Manhattan,130142,89,39,50,36,82,212,15,N/A,N/A,N/A,8,16,35,2.63%,$34500,15.7%,N/A,N/A,N/A,N/A,N/A,40,90.7%,3%,19%,21%,74,21 mins,1.16%,0.80%,-45.80%,Pottawatomie County,20.80%,71.20%,0.0%,0.0%,91.28%,0.0%,1.16%,Central Standard Time,1024,4.5,23.80%,0,N/A,19,N/A,0.00,0,2,0,N/A,N/A,KS-21100,0.2,63.7%
Grant township (Pottawatomie Cnty),Kansas,253,9,Manhattan,130142,88,38,50,35,84,212,21,N/A,N/A,N/A,12,23,N/A,N/A,$50714,N/A,N/A,N/A,N/A,N/A,N/A,78,52.30%,3%,20%,20%,75,21 mins,3.50%,0.80%,-6.30%,Pottawatomie County,20.80%,71.20%,0.0%,0.0%,90.5%,5.9%,N/A,Central Standard Time,1024,4.5,48.50%,0,N/A,22,N/A,N/A,N/A,2,N/A,N/A,N/A,KS-27950,28.11,N/A
Green township,Kansas,155,775,Manhattan,130142,90,40,50,33,80,212,16,N/A,N/A,N/A,9,17,N/A,N/A,$42500,N/A,N/A,N/A,N/A,N/A,N/A,64,64.90%,3%,19%,20%,75,21 mins,3.50%,0.80%,42.20%,Pottawatomie County,20.80%,71.20%,0.0%,0.0%,100.0%,0.0%,N/A,Central Standard Time,1024,4.5,37.50%,0,N/A,N/A,N/A,0.00,1,2,0,N/A,N/A,KS-28450,0.2,N/A
