City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code
Beaver,West Virginia,958,220,Beckley,114982,79,39,40,40,150,155,49,59.7,42.1,6,16,21,47,13.57%,$49316,9.2%,N/A,N/A,$113600,N/A,N/A,38,61.30%,7%,10%,13%,79,24 mins,4.40%,-0.30%,-29.10%,Raleigh County,21.60%,73.80%,0.0%,0.0%,84.0%,0.0%,7%,Eastern Standard Time,2421,4.1,40.00%,37,N/A,N/A,11.5%,173.79,24,0,3,N/A,N/A,WV-05260
Beckley,West Virginia,16963,1786,Beckley,114982,79,39,40,42,150,155,52,59.6,42.1,6,54,95,40,22.82%,$33616,12.5%,N/A,N/A,$70300,N/A,N/A,57,53.30%,6%,5%,8%,67,16 mins,4.40%,-0.30%,-3.10%,Raleigh County,21.60%,73.80%,2.9%,22.1%,70.4%,1.3%,3.4%,Eastern Standard Time,2421,4.1,54.60%,34,N/A,27,14.9%,73.88,25,0,3,N/A,N/A,WV-05332
Bolt,West Virginia,637,117,Beckley,114982,80,39,41,44,150,156,50,60.4,43,6,19,25,37,N/A,$53277,19.4%,N/A,N/A,$83100,N/A,N/A,39,65.30%,7%,6%,10%,80,24 mins,4.40%,-0.30%,22.70%,Raleigh County,21.60%,73.80%,0.0%,0.0%,100.0%,0.0%,0%,Eastern Standard Time,2421,4.1,45.30%,6,N/A,23,11.6%,99.01,20,0,3,N/A,N/A,WV-08956
Bradley,West Virginia,1801,426,Beckley,114982,80,39,41,42,151,153,50,60,42.4,6,16,21,34,11.09%,$56019,14.9%,N/A,N/A,$78200,N/A,N/A,41,64.90%,8%,7%,12%,76,24 mins,4.40%,-0.30%,-15.10%,Raleigh County,21.60%,73.80%,0.0%,6.6%,86.5%,4.6%,1.1%,Eastern Standard Time,2421,4.1,56.40%,27,N/A,13,14.5%,0.00,24,0,2,N/A,N/A,WV-09676
Coal City,West Virginia,1942,289,Beckley,114982,79,39,40,40,149,157,48,59.4,42.2,6,17,23,54,1.96%,$23893,21.78%,N/A,N/A,$55100,N/A,N/A,36,66.70%,1%,-3%,1%,81,24 mins,4.40%,-0.30%,10.20%,Raleigh County,21.60%,73.80%,0.0%,3.3%,91.14%,0.0%,1.03%,Eastern Standard Time,2421,4.1,42.20%,3,N/A,12,13.8%,53.97,23,0,2,N/A,N/A,WV-16516
Crab Orchard,West Virginia,2483,935,Beckley,114982,79,39,40,41,150,158,49,59.5,42.2,N/A,19,25,42,19.05%,$42330,24.04%,N/A,N/A,$73900,N/A,N/A,56,74.40%,9%,5%,9%,78,24 mins,4.40%,-0.30%,-30.10%,Raleigh County,21.60%,73.80%,1.01%,1.09%,95.81%,0.0%,0.0%,Eastern Standard Time,2421,4.1,54.40%,39,N/A,18,15.7%,41.52,23,0,2,N/A,N/A,WV-18508
Daniels,West Virginia,1800,514,Beckley,114982,79,39,40,40,150,153,48,59.5,42,6,18,25,47,15.94%,$29545,20.44%,N/A,N/A,$175200,N/A,N/A,43,64.80%,6%,6%,10%,79,24 mins,4.40%,-0.30%,52.80%,Raleigh County,21.60%,73.80%,0.06%,0.72%,92.67%,0.56%,0.0%,Eastern Standard Time,2421,4.1,57.40%,31,N/A,26,14.1%,24.80,24,0,3,N/A,N/A,WV-20164
Eccles,West Virginia,76,111,Beckley,114982,79,39,40,42,150,156,51,59.9,42.5,6,20,28,6,N/A,$14215,0.0%,N/A,N/A,$83100,N/A,N/A,78,0.00%,7%,7%,10%,71,24 mins,4.40%,-0.30%,-84.10%,Raleigh County,21.60%,73.80%,0.0%,0.0%,0.0%,0.0%,0.0%,Eastern Standard Time,2421,4.1,100.00%,7,N/A,N/A,N/A,52.36,22,0,2,N/A,N/A,WV-23644
Ghent,West Virginia,589,402,Beckley,114982,80,39,41,42,153,156,42,60.4,42.4,6,10,14,52,32.09%,$135994,0.0%,N/A,N/A,$193800,N/A,N/A,26,55.10%,5%,5%,10%,81,24 mins,4.40%,-0.30%,-2.70%,Raleigh County,21.60%,73.80%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,2421,4.1,25.40%,21,N/A,24,15.9%,37.11,25,0,6,N/A,N/A,WV-30724
Glen White,West Virginia,648,561,Beckley,114982,79,39,40,40,149,156,48,59.8,42.5,5,16,21,28,0.0%,$42545,10.03%,N/A,N/A,$78800,N/A,N/A,71,72.70%,7%,7%,10%,80,24 mins,4.40%,-0.30%,446.20%,Raleigh County,21.60%,73.80%,0.0%,0.0%,70.06%,0.0%,0.0%,Eastern Standard Time,2421,4.1,48.20%,0,N/A,N/A,10.3%,61.98,23,0,2,N/A,N/A,WV-32068
