City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Antelope,California,49080,7175,Sacramento--Roseville--Arden-Arcade,2379368,$95102,24.25%,36,$460000,1559,$295,27,66.31%,$2063,49.58%,N/A,N/A,10.26%,8.3%,63.54%,Sacramento County,58.00%,33.80%,12.37%,11.08%,55.26%,14.12%,25.75%,Pacific Standard Time,95,57,38,62,40,45%,30%,46,52,94,77%,96%,51%,18.72,0.24,9.83,16.58%,1.65%,30.89%,0.0,0,6.3,4.5,26,87,5.2,6.84,CA-02210,38.7153282,-121.3609617
Arden-Arcade,California,96319,6058,Sacramento--Roseville--Arden-Arcade,2379368,$71767,36.41%,37,$435000,1399,$311,54,42.81%,$1476,54.13%,N/A,N/A,18.52%,7.81%,62.43%,Sacramento County,58.00%,33.80%,11.37%,8.61%,49.95%,20.61%,20.57%,Pacific Standard Time,95,57,38,62,40,45%,30%,46,52,94,77%,96%,51%,19.97,0.21,10.64,15.59%,1.21%,30.33%,0.0,0,6.3,4.5,23,87,5.2,15.9,CA-02553,38.6017222,-121.3844901
Carmichael,California,78070,5093,Sacramento--Roseville--Arden-Arcade,2379368,$84376,35.59%,41,$525000,1586,$331,47,55.13%,$1595,52.69%,N/A,N/A,11.2%,6.01%,61.3%,Sacramento County,58.00%,33.80%,8.03%,6.35%,63.84%,14.87%,16.78%,Pacific Standard Time,95,57,38,62,40,45%,30%,46,52,94,77%,96%,51%,19.6,0.17,10.17,16.58%,1.65%,30.89%,0.0,0,6.3,4.5,31,120,5.2,15.33,CA-11390,38.6318334,-121.3262882
Citrus Heights,California,87036,6121,Sacramento--Roseville--Arden-Arcade,2379368,$77167,22.21%,38,$475000,1557,$305,43,58.8%,$1764,54.4%,353,2540,9.78%,6.96%,63.68%,Sacramento County,58.00%,33.80%,4.36%,3.04%,66.85%,19.49%,14.92%,Pacific Standard Time,95,57,38,62,40,45%,30%,46,52,94,77%,96%,51%,22.49,0.24,11.48,16.58%,1.65%,30.89%,0.0,0,6.3,4.5,34,144,5.2,14.22,CA-13588,38.6948116,-121.2879514
Clay,California,1325,196,Sacramento--Roseville--Arden-Arcade,2379368,$115313,15.82%,41,N/A,N/A,N/A,33,86.73%,$1435,53.78%,N/A,N/A,6.36%,4.91%,51.5%,Sacramento County,58.00%,33.80%,1.36%,0.0%,69.36%,24.91%,6.19%,Pacific Standard Time,94,56,38,63,38,45%,30%,46,52,93,77%,96%,51%,15.97,0.12,8.38,13.62%,1.1%,26.78%,0.0,0,6.3,4.5,61,81,5.2,6.76,CA-13854,38.3140386,-121.1595888
Courtland,California,528,293,Sacramento--Roseville--Arden-Arcade,2379368,$71972,45.63%,55,N/A,N/A,N/A,44,64.69%,$1289,33.9%,N/A,N/A,7.2%,0.0%,56.89%,Sacramento County,58.00%,33.80%,1.7%,0.0%,39.2%,57.95%,31.82%,Pacific Standard Time,93,57,36,60,38,45%,30%,46,52,91,77%,96%,51%,16.94,0.17,9.17,14.85%,1.1%,28.11%,0.0,0,6.3,4.5,55,15,5.2,1.8,CA-16714,38.3329109,-121.5570253
Elk Grove,California,177221,4221,Sacramento--Roseville--Arden-Arcade,2379368,$122229,38.01%,39,$630000,2039,$309,20,74.02%,$2180,43.89%,211,1480,7.41%,6.69%,65.59%,Sacramento County,58.00%,33.80%,31.77%,10.87%,31.24%,18.02%,24.99%,Pacific Standard Time,93,57,36,60,38,45%,30%,46,52,91,77%,96%,51%,16.94,0.17,9.17,14.85%,1.1%,28.11%,0.0,0,6.3,4.5,38,15,5.2,41.99,CA-22020,38.4160498,-121.3841526
Elverta,California,4252,481,Sacramento--Roseville--Arden-Arcade,2379368,$91563,14.4%,48,$445000,1348,$330,38,80.91%,$1544,45.05%,N/A,N/A,10.05%,5.24%,55.56%,Sacramento County,58.00%,33.80%,2.75%,3.01%,70.23%,17.17%,8.84%,Pacific Standard Time,94,56,38,60,37,45%,30%,46,52,93,77%,96%,51%,18.72,0.24,9.83,17.37%,1.1%,33.33%,0.0,0,6.3,4.5,37,87,5.2,8.84,CA-22524,38.718462,-121.4454759
Fair Oaks,California,32030,2944,Sacramento--Roseville--Arden-Arcade,2379368,$111332,46.42%,47,$623000,1854,$336,43,71.45%,$1797,44.76%,N/A,N/A,8.34%,5.17%,60.95%,Sacramento County,58.00%,33.80%,4.42%,2.18%,71.92%,13.83%,10.07%,Pacific Standard Time,95,57,38,62,40,45%,30%,46,52,94,77%,96%,51%,19.6,0.17,10.17,16.58%,1.65%,30.89%,0.0,0,6.3,4.5,42,120,5.2,10.88,CA-23294,38.6504123,-121.2496598
Florin,California,49536,5687,Sacramento--Roseville--Arden-Arcade,2379368,$66323,13.69%,36,$415000,1412,$294,36,53.8%,$1503,58.55%,N/A,N/A,17.99%,8.19%,60.35%,Sacramento County,58.00%,33.80%,34.91%,10.81%,15.18%,29.78%,33.93%,Pacific Standard Time,95,57,38,62,40,45%,30%,46,52,94,77%,96%,51%,18.93,0.17,10.26,15.59%,1.21%,30.33%,0.0,0,6.3,4.5,35,30,5.2,8.71,CA-24498,38.4832107,-121.4042718
