City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi),Labor Force Participation rate
Altamont,Pennsylvania,517,562,Pottsville,140709,81,33,48,50,125,193,39,59,39.6,6,9,17,61,28.98%,$58750,2.76%,N/A,N/A,N/A,N/A,N/A,71,96.29%,3%,10%,11%,79,25 mins,5.21%,-1.10%,-13.50%,Schuylkill County,26.50%,69.40%,0.77%,0.0%,99.23%,0.0%,2.9%,N/A,N/A,3.7,46.70%,46,N/A,21,16.6%,0.00,18,1,2,N/A,N/A,PA-02144,0.92,43.6%
Ashland borough,Pennsylvania,2696,1624,Pottsville,140709,82,34,48,50,124,190,37,N/A,N/A,N/A,14,25,46,11.43%,$39680,17.26%,$705,N/A,$78000,1733,$45,78,59.83%,3%,10%,10%,74,30 mins,5.39%,-1.10%,-5.50%,Schuylkill County,26.50%,69.40%,0.0%,2.74%,94.29%,0.0%,0.0%,N/A,N/A,3.7,57.20%,55,N/A,22,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-03264,1.66,52.66%
Auburn borough,Pennsylvania,533,329,Pottsville,140709,85,37,48,49,123,193,32,N/A,N/A,N/A,10,19,49,8.63%,$46250,14.45%,$836,N/A,$214000,1712,$125,78,63.6%,3%,9%,11%,78,27 mins,4.73%,-1.10%,19.20%,Schuylkill County,26.50%,69.40%,0.0%,1.5%,98.31%,1.69%,0.0%,N/A,N/A,3.7,36.10%,19,N/A,26,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-03488,1.62,62.98%
Barry,Pennsylvania,778,46,Pottsville,140709,82,34,48,49,125,193,36,N/A,N/A,7,8,15,N/A,N/A,$52841,N/A,N/A,N/A,N/A,N/A,N/A,44,70.70%,3%,9%,10%,81,30 mins,5.40%,-1.10%,-27.00%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,N/A,N/A,N/A,3.7,32.70%,0,N/A,4,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-04352,16.91,N/A
Beurys Lake,Pennsylvania,56,144,Pottsville,140709,82,34,48,50,124,193,37,59,39.6,N/A,8,15,64,13.21%,$38125,23.21%,N/A,N/A,$79000,658,$120,63,83.93%,3%,10%,10%,81,25 mins,0.0%,-1.10%,-54.40%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,N/A,3.7,34.20%,0,N/A,21,12.3%,0.00,17,1,2,N/A,N/A,PA-06171,0.39,33.93%
Blythe,Pennsylvania,968,35,Pottsville,140709,84,36,48,51,127,193,34,N/A,N/A,N/A,5,7,N/A,10.31%,$51635,N/A,N/A,N/A,N/A,N/A,N/A,78,69.00%,3%,10%,10%,81,24 mins,5.40%,-1.10%,15.50%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,95.5%,3.1%,N/A,N/A,N/A,3.7,45.30%,0,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-07336,27.66,N/A
Branch,Pennsylvania,1778,155,Pottsville,140709,84,36,48,50,126,193,37,N/A,N/A,N/A,6,12,N/A,19.03%,$52337,N/A,N/A,N/A,N/A,N/A,N/A,60,86.30%,3%,11%,7%,76,25 mins,5.40%,-1.10%,-5.90%,Schuylkill County,26.50%,69.40%,0.0%,0.8%,98.0%,1.2%,N/A,N/A,N/A,3.7,43.50%,0,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-08200,11.47,N/A
Branchdale,Pennsylvania,248,349,Pottsville,140709,83,35,48,50,125,197,37,59,39.6,6,12,23,51,6.57%,$44423,5.24%,$507,N/A,$120000,1600,$75,78,78.23%,3%,9%,10%,78,25 mins,3.23%,-1.10%,88.90%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,N/A,3.7,55.80%,13,N/A,N/A,17.9%,0.00,17,1,15,N/A,N/A,PA-08208,0.71,56.62%
Brandonville,Pennsylvania,185,132,Pottsville,140709,82,34,48,50,124,193,37,59,39.6,6,11,20,44,2.26%,$37917,11.89%,$539,N/A,N/A,N/A,N/A,64,67.03%,3%,10%,10%,84,25 mins,19.74%,-1.10%,61.10%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,98.92%,1.08%,0.0%,N/A,N/A,3.7,47.10%,0,N/A,22,17.3%,0.00,18,1,1,N/A,N/A,PA-08240,1.4,53.52%
Buck Run,Pennsylvania,216,432,Pottsville,140709,84,36,48,50,125,193,37,59,39.6,7,10,18,41,10.81%,$49808,2.78%,$913,N/A,N/A,N/A,N/A,78,89.35%,3%,10%,10%,78,25 mins,16.67%,-1.10%,78.60%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,99.07%,0.93%,0.0%,N/A,N/A,3.7,43.90%,3,N/A,N/A,16.8%,0.00,17,1,9,N/A,N/A,PA-09896,0.5,47.56%
Butler township (Schuylkill Cnty),Pennsylvania,4947,1819,Pottsville,140709,82,34,48,50,124,193,37,N/A,N/A,N/A,8,11,N/A,N/A,$56378,N/A,N/A,N/A,$225000,1679,$134,58,85.30%,5%,11%,13%,83,26 mins,5.40%,-1.10%,-5.30%,Schuylkill County,26.50%,69.40%,0.0%,16.5%,75.9%,6.4%,N/A,N/A,N/A,3.7,51.30%,3,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-10488,2.72,N/A
Cass township (Schuylkill Cnty),Pennsylvania,1889,131,Pottsville,140709,84,36,48,50,125,193,37,N/A,N/A,N/A,10,15,N/A,N/A,$43480,N/A,N/A,N/A,N/A,N/A,N/A,78,77.70%,3%,10%,10%,81,23 mins,5.40%,-1.10%,-4.90%,Schuylkill County,26.50%,69.40%,1.1%,1.4%,95.6%,1.5%,N/A,N/A,N/A,3.7,44.10%,0,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-11608,14.42,N/A
Coaldale borough (Schuylkill Cnty),Pennsylvania,2164,997,Pottsville,140709,85,37,48,52,123,195,38,N/A,N/A,N/A,10,9,40,9.4%,$45769,11.01%,$780,N/A,$96000,1171,$82,78,80.95%,3%,9%,11%,78,27 mins,9.76%,-1.10%,-16.50%,Schuylkill County,26.50%,69.40%,0.0%,3.7%,90.53%,3.47%,0.65%,N/A,N/A,3.7,54.70%,35,N/A,25,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-14600,2.17,64.36%
Cressona,Pennsylvania,1350,1350,Pottsville,140709,85,37,48,49,123,191,30,60,40.7,6,12,22,40,14.18%,$55962,13.48%,$784,N/A,$175000,1434,$122,72,71.56%,1%,8%,10%,74,18 mins,3.6%,-1.10%,-4.90%,Schuylkill County,26.50%,69.40%,0.74%,1.33%,93.63%,2.37%,2.15%,N/A,N/A,3.7,50.80%,32,N/A,26,19.2%,0.00,19,1,19,N/A,N/A,PA-17152,1.0,68.46%
Cumbola,Pennsylvania,281,703,Pottsville,140709,84,36,48,51,127,193,33,59,39.6,6,11,20,47,8.61%,$36250,14.23%,$625,N/A,$100000,2564,$39,78,63.7%,3%,10%,10%,81,25 mins,1.65%,-1.10%,10.40%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,92.17%,7.83%,1.42%,N/A,N/A,3.7,48.70%,1,N/A,N/A,18.2%,0.00,19,1,16,N/A,N/A,PA-17680,0.4,50.21%
Deer Lake borough,Pennsylvania,599,1361,Pottsville,140709,85,37,48,49,122,189,30,N/A,N/A,N/A,8,14,46,30.35%,$77500,4.17%,$844,N/A,$327000,2287,$143,38,92.82%,3%,10%,10%,76,26 mins,2.89%,-1.10%,3.10%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,98.0%,1.67%,2.34%,N/A,N/A,3.7,34.00%,11,N/A,31,N/A,N/A,N/A,1,N/A,N/A,N/A,PA-18576,0.44,64.12%
Delano,Pennsylvania,221,670,Pottsville,140709,80,33,47,52,128,187,42,59,39.6,6,11,19,52,7.82%,$48636,4.07%,N/A,N/A,N/A,N/A,N/A,78,91.86%,3%,10%,10%,83,25 mins,12.62%,-1.10%,-11.50%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,99.1%,0.0%,0.0%,N/A,N/A,3.7,53.80%,7,N/A,28,16.4%,0.00,18,1,1,N/A,N/A,PA-18664,0.33,52.28%
Delano township,Pennsylvania,221,670,Pottsville,140709,81,33,48,52,128,193,42,N/A,N/A,N/A,5,6,52,7.82%,$48636,4.07%,N/A,N/A,N/A,N/A,N/A,78,91.86%,3%,10%,10%,83,25 mins,12.62%,-1.10%,-27.80%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,99.1%,0.0%,0.0%,N/A,N/A,3.7,53.50%,0,N/A,9,N/A,0.00,19,1,1,N/A,N/A,PA-18664,0.33,52.28%
Donaldson,Pennsylvania,313,1647,Pottsville,140709,83,35,48,47,126,193,32,59,39.6,7,11,20,40,2.28%,$43750,12.46%,$713,N/A,N/A,N/A,N/A,78,80.19%,3%,10%,11%,78,30 mins,6.29%,-1.10%,-30.40%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,N/A,3.7,47.00%,0,N/A,N/A,17.5%,0.00,17,1,13,N/A,N/A,PA-19432,0.19,69.44%
