City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Bettendorf,Iowa,36214,1700,Davenport-Moline-Rock Island,384055,$85404,51.18%,40,$279000,2007,$139,41,79.8%,$933,43.79%,124,1282,6.5%,2.79%,66.29%,Scott County,46.90%,45.40%,5.81%,2.5%,84.06%,4.44%,5.95%,Central Standard Time,85,31,54,66,14,59%,57%,39,62,88,53%,63%,46%,40.2,14.42,5.77,33.78%,34.29%,32.33%,39.5,20,8.1,46.7,68,549,3.7,21.3,IA-06355,41.5657106,-90.4764638
Buffalo,Iowa,1090,161,Davenport-Moline-Rock Island,384055,$69688,10.91%,44,$123000,1757,$70,65,82.84%,$625,56.89%,N/A,N/A,1.83%,0.48%,67.75%,Scott County,46.90%,45.40%,1.19%,0.46%,87.98%,2.84%,2.94%,Central Standard Time,84,32,52,65,14,59%,57%,39,62,87,53%,63%,46%,41.98,14.79,6.04,33.62%,33.74%,32.78%,39.5,20,8.1,46.7,80,660,3.7,6.77,IA-09235,41.4648017,-90.6982147
Davenport,Iowa,102199,1602,Davenport-Moline-Rock Island,384055,$53140,26.55%,37,$172000,1483,$116,56,65.37%,$786,54.88%,594,3826,15.88%,4.7%,63.62%,Scott County,46.90%,45.40%,2.52%,10.98%,73.2%,8.91%,4.89%,Central Standard Time,84,32,52,65,14,59%,57%,39,62,87,53%,63%,46%,42.02,15.23,5.61,33.62%,33.74%,32.78%,39.5,20,8.1,46.7,66,615,3.7,63.8,IA-19000,41.5565515,-90.6052639
Dixon,Iowa,191,1469,Davenport-Moline-Rock Island,384055,$62083,7.75%,46,N/A,N/A,N/A,71,79.06%,$870,48.26%,N/A,N/A,2.62%,5.3%,76.74%,Scott County,46.90%,45.40%,0.0%,0.0%,98.95%,0.0%,0.52%,Central Standard Time,86,30,56,63,12,59%,57%,39,62,90,53%,63%,46%,42.1,15.11,4.96,31.4%,32.86%,27.78%,40.8,26,8.1,46.7,82,657,3.7,0.13,IA-21540,41.742124,-90.7823709
Donahue,Iowa,381,1058,Davenport-Moline-Rock Island,384055,$93500,27.82%,38,N/A,N/A,N/A,48,100.0%,N/A,31.36%,N/A,N/A,4.74%,3.74%,75.09%,Scott County,46.90%,45.40%,0.0%,0.26%,99.21%,0.52%,0.0%,Central Standard Time,84,31,53,64,15,59%,57%,39,62,87,53%,63%,46%,41.53,14.69,5.67,34.05%,39.34%,28.67%,40.8,26,8.1,46.7,82,711,3.7,0.36,IA-21720,41.6915346,-90.6746301
Eldridge,Iowa,6678,684,Davenport-Moline-Rock Island,384055,$81150,35.18%,38,$290000,1559,$186,24,85.74%,$721,37.85%,28,602,3.89%,2.52%,70.49%,Scott County,46.90%,45.40%,0.36%,0.48%,86.21%,10.05%,1.53%,Central Standard Time,84,30,54,65,13,59%,57%,39,62,87,53%,63%,46%,41.53,14.69,5.67,34.05%,39.34%,28.67%,39.5,20,8.1,46.7,80,711,3.7,9.76,IA-24600,41.6390345,-90.5809165
Le Claire,Iowa,3969,854,Davenport-Moline-Rock Island,384055,$78534,36.59%,34,$400000,3150,$127,44,70.6%,$1125,36.59%,N/A,N/A,6.99%,4.45%,62.54%,Scott County,46.90%,45.40%,0.0%,0.28%,97.93%,0.0%,0.35%,Central Standard Time,85,31,54,66,14,59%,57%,39,62,88,53%,63%,46%,41.93,14.96,5.9,31.12%,31.21%,29.11%,39.5,20,8.1,46.7,76,630,3.7,4.65,IA-44085,41.5963258,-90.3686216
Long Grove,Iowa,893,777,Davenport-Moline-Rock Island,384055,$108281,42.86%,44,$434000,2284,$190,41,94.85%,$1375,25.93%,N/A,N/A,6.27%,3.38%,65.1%,Scott County,46.90%,45.40%,0.0%,0.0%,96.75%,2.91%,0.67%,Central Standard Time,84,30,54,65,13,59%,57%,39,62,87,53%,63%,46%,41.82,14.44,5.81,34.05%,39.34%,28.67%,39.5,20,8.1,46.7,81,723,3.7,1.15,IA-46425,41.6922364,-90.5802711
Maysville,Iowa,225,833,Davenport-Moline-Rock Island,384055,$64688,20.42%,34,N/A,N/A,N/A,78,74.67%,$479,47.37%,N/A,N/A,25.57%,16.33%,67.12%,Scott County,46.90%,45.40%,0.0%,0.0%,78.67%,0.0%,1.33%,Central Standard Time,84,31,53,64,15,59%,57%,39,62,87,53%,63%,46%,41.53,14.69,5.67,34.05%,39.34%,28.67%,39.5,20,8.1,46.7,82,711,3.7,0.27,IA-50655,41.649545,-90.7184875
McCausland,Iowa,379,689,Davenport-Moline-Rock Island,384055,$80313,22.53%,36,N/A,N/A,N/A,56,86.54%,$1125,38.87%,N/A,N/A,5.08%,5.83%,69.36%,Scott County,46.90%,45.40%,0.79%,0.0%,96.57%,0.26%,4.49%,Central Standard Time,84,30,54,65,14,59%,57%,39,62,87,53%,63%,46%,41.47,14.53,5.71,27.04%,29.01%,23.67%,32.3,20,8.1,46.7,81,567,3.7,0.55,IA-47820,41.7434854,-90.4460635
New Liberty,Iowa,108,1200,Davenport-Moline-Rock Island,384055,$56000,5.33%,45,N/A,N/A,N/A,58,84.26%,N/A,47.67%,N/A,N/A,12.96%,3.13%,74.42%,Scott County,46.90%,45.40%,1.85%,0.0%,94.44%,0.0%,1.85%,Central Standard Time,86,30,56,63,12,59%,57%,39,62,90,53%,63%,46%,42.22,14.67,5.93,34.55%,35.16%,33.56%,40.8,26,8.1,46.7,82,675,3.7,0.09,IA-56280,41.7159557,-90.8779765
Panorama Park,Iowa,212,3533,Davenport-Moline-Rock Island,384055,$58333,10.61%,65,N/A,N/A,N/A,64,100.0%,N/A,31.72%,N/A,N/A,44.81%,0.0%,38.04%,Scott County,46.90%,45.40%,0.94%,0.0%,56.13%,41.98%,0.47%,Central Standard Time,85,31,54,66,14,59%,57%,39,62,88,53%,63%,46%,40.2,14.42,5.77,33.78%,34.29%,32.33%,39.5,20,8.1,46.7,72,549,3.7,0.06,IA-61365,41.5557012,-90.4537688
Park View,Iowa,3444,2327,Davenport-Moline-Rock Island,384055,$81250,35.28%,34,$365000,2355,$155,44,74.88%,$958,38.01%,N/A,N/A,4.92%,2.85%,79.92%,Scott County,46.90%,45.40%,0.52%,10.34%,84.99%,3.72%,1.92%,Central Standard Time,84,30,54,65,13,59%,57%,39,62,87,53%,63%,46%,41.82,14.44,5.81,34.05%,39.34%,28.67%,32.3,20,8.1,46.7,81,723,3.7,1.48,IA-61725,41.6952778,-90.5393726
Princeton,Iowa,942,289,Davenport-Moline-Rock Island,384055,$77031,21.11%,45,N/A,N/A,N/A,45,83.76%,$742,51.32%,N/A,N/A,6.69%,7.67%,72.02%,Scott County,46.90%,45.40%,0.0%,0.0%,95.97%,1.7%,0.0%,Central Standard Time,85,31,54,66,14,59%,57%,39,62,88,53%,63%,46%,41.93,14.96,5.9,31.12%,31.21%,29.11%,32.3,20,8.1,46.7,81,630,3.7,3.26,IA-64740,41.6718635,-90.3568788
Riverdale,Iowa,441,240,Davenport-Moline-Rock Island,384055,$78438,31.66%,45,$152000,1134,$134,60,82.31%,$1313,41.88%,N/A,N/A,5.9%,7.05%,64.1%,Scott County,46.90%,45.40%,0.91%,0.68%,81.63%,8.84%,0.91%,Central Standard Time,85,31,54,66,14,59%,57%,39,62,88,53%,63%,46%,40.2,14.42,5.77,33.78%,34.29%,32.33%,39.5,20,8.1,46.7,72,549,3.7,1.84,IA-67350,41.5369554,-90.4639869
Walcott,Iowa,1802,579,Davenport-Moline-Rock Island,384055,$54279,18.06%,41,$190000,1496,$127,47,78.25%,$681,54.95%,N/A,N/A,10.48%,3.73%,58.76%,Scott County,46.90%,45.40%,0.0%,0.0%,92.12%,5.05%,0.33%,Central Standard Time,84,31,53,64,15,59%,57%,39,62,87,53%,63%,46%,42.02,15.23,5.61,34.05%,39.34%,28.67%,39.5,20,8.1,46.7,80,615,3.7,3.11,IA-81705,41.5865454,-90.7719305
