City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Airway Heights,Washington,10766,1791,Spokane-Spokane Valley,577534,$64659,20.23%,33,$387000,1423,$272,12,42.18%,$1313,63.11%,282,4274,21.87%,8.48%,51.27%,Spokane County,39.70%,48.10%,5.64%,7.54%,59.03%,10.53%,8.82%,Pacific Standard Time,85,34,51,59,24,52%,30%,34,43,82,52%,73%,28%,16.74,1.85,6.15,31.62%,14.84%,45.11%,49.5,33,8.7,10.3,68,2151,3.1,6.01,WA-00905,47.6459446,-117.5791961
Cheney,Washington,12830,2956,Spokane-Spokane Valley,577534,$47039,36.77%,24,$436000,1585,$275,31,37.92%,$1075,72.99%,308,1614,34.59%,12.71%,65.04%,Spokane County,39.70%,48.10%,2.1%,2.66%,74.49%,10.48%,4.49%,Pacific Standard Time,85,35,50,45,20,52%,30%,34,43,82,52%,73%,28%,18.89,1.95,6.96,31.45%,14.73%,44.89%,49.5,33,8.7,10.3,71,2073,3.1,4.34,WA-11825,47.4901232,-117.5789407
Country Homes,Washington,5979,3580,Spokane-Spokane Valley,577534,$78841,30.74%,31,$485000,2771,$175,49,56.48%,$1193,61.64%,N/A,N/A,14.84%,9.71%,53.35%,Spokane County,39.70%,48.10%,2.27%,2.66%,78.39%,8.8%,3.96%,Pacific Standard Time,88,37,51,57,26,52%,30%,34,43,85,52%,73%,28%,17.13,2.59,5.54,33.04%,16.81%,45.11%,49.5,33,8.7,10.3,40,1785,3.1,1.67,WA-15150,47.7478502,-117.4198696
Deer Park,Washington,4605,668,Spokane-Spokane Valley,577534,$57294,13.3%,35,$497000,2054,$242,34,77.26%,$890,49.49%,N/A,N/A,19.7%,17.16%,52.53%,Spokane County,39.70%,48.10%,0.0%,0.0%,85.49%,4.43%,3.06%,Pacific Standard Time,85,34,51,48,21,52%,30%,34,43,83,52%,73%,28%,22.48,3.15,7.57,33.89%,18.35%,45.67%,47.9,32,8.7,10.3,69,2004,3.1,6.89,WA-17320,47.9642042,-117.43978
Fairchild AFB,Washington,3016,456,Spokane-Spokane Valley,577534,$69825,40.17%,23,N/A,N/A,N/A,44,0.63%,$1681,34.45%,N/A,N/A,5.47%,9.57%,84.33%,Spokane County,39.70%,48.10%,2.92%,10.11%,62.86%,17.84%,6.73%,Pacific Standard Time,85,33,52,52,22,52%,30%,34,43,82,52%,73%,28%,17.76,2.44,6.03,31.86%,16.59%,42.78%,47.9,32,8.7,10.3,77,2187,3.1,6.62,WA-22955,47.6186492,-117.6484378
Fairfield,Washington,607,979,Spokane-Spokane Valley,577534,$75000,17.94%,40,N/A,N/A,N/A,69,77.32%,$1160,45.86%,N/A,N/A,12.19%,3.4%,49.89%,Spokane County,39.70%,48.10%,0.0%,1.65%,83.2%,2.97%,0.0%,Pacific Standard Time,84,35,49,52,23,52%,30%,34,43,82,52%,73%,28%,27.81,2.89,9.98,31.45%,14.73%,44.89%,49.5,33,8.7,10.3,88,2655,3.1,0.62,WA-22990,47.3847652,-117.1748467
Fairwood (Spokane Cnty),Washington,10439,2616,Spokane-Spokane Valley,577534,$84911,45.01%,42,$610000,2179,$280,33,73.68%,$1191,43.39%,N/A,N/A,8.44%,5.45%,51.61%,Spokane County,39.70%,48.10%,3.91%,0.8%,86.25%,4.31%,4.85%,Pacific Standard Time,88,37,51,57,26,52%,30%,34,43,85,52%,73%,28%,17.13,2.59,5.54,33.04%,16.81%,45.11%,49.5,33,8.7,10.3,47,1785,3.1,3.99,WA-23165,47.76709,-117.4185154
Four Lakes,Washington,489,158,Spokane-Spokane Valley,577534,$79913,44.23%,60,N/A,N/A,N/A,25,94.84%,N/A,54.55%,N/A,N/A,0.0%,9.42%,54.79%,Spokane County,39.70%,48.10%,7.16%,0.0%,88.75%,0.0%,7.16%,Pacific Standard Time,85,34,51,59,24,52%,30%,34,43,82,52%,73%,28%,16.74,1.85,6.15,31.62%,14.84%,45.11%,49.5,33,8.7,10.3,78,2151,3.1,3.09,WA-25300,47.5576162,-117.5818319
Green Bluff,Washington,238,34,Spokane-Spokane Valley,577534,$106058,66.51%,70,$380000,860,$442,43,98.36%,N/A,10.91%,N/A,N/A,0.0%,0.0%,39.09%,Spokane County,39.70%,48.10%,0.0%,0.0%,94.12%,0.0%,0.0%,Pacific Standard Time,88,37,51,57,26,52%,30%,34,43,85,52%,73%,28%,27.64,3.47,9.45,36.08%,17.36%,49.44%,49.5,33,8.7,10.3,70,2019,3.1,7.07,WA-28590,47.8184177,-117.2748196
Latah,Washington,222,694,Spokane-Spokane Valley,577534,$52250,25.93%,40,N/A,N/A,N/A,82,89.23%,N/A,73.51%,N/A,N/A,36.24%,2.63%,43.18%,Spokane County,39.70%,48.10%,0.0%,2.25%,86.49%,3.15%,0.0%,Pacific Standard Time,84,35,49,52,23,52%,30%,34,43,82,52%,73%,28%,27.81,2.89,9.98,31.45%,14.73%,44.89%,29.2,17,8.7,10.3,88,2655,3.1,0.32,WA-38495,47.2821116,-117.1557531
