City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F)
Americus,Indiana,234,186,Lafayette-West Lafayette,233278,$81103,28.88%,60,$240000,1237,$194,46,100.0%,$851,6.95%,N/A,N/A,2.99%,0.0%,57.22%,Tippecanoe County,43.10%,48.60%,0.0%,0.0%,93.59%,3.42%,6.41%,Eastern Standard Time,87,35,52,38,120,19,N/A,80,808,3.9,1.26,IN-01396,40.5253967,-86.7475401,51%,64%,41%,60%,57%,41.0,42,63
Battle Ground,Indiana,1796,1761,Lafayette-West Lafayette,233278,$84773,51.32%,31,N/A,N/A,N/A,41,89.03%,$659,38.33%,N/A,N/A,4.84%,2.0%,74.26%,Tippecanoe County,43.10%,48.60%,0.17%,0.17%,94.21%,4.68%,1.67%,Eastern Standard Time,87,35,52,38,118,19,N/A,80,808,3.9,1.02,IN-03718,40.507515,-86.8526732,51%,64%,41%,60%,57%,41.0,42,63
Buck Creek,Indiana,257,2142,Lafayette-West Lafayette,233278,$77073,6.45%,56,N/A,N/A,N/A,78,100.0%,N/A,51.36%,N/A,N/A,0.0%,0.0%,75.1%,Tippecanoe County,43.10%,48.60%,0.0%,0.0%,90.27%,0.0%,0.0%,Eastern Standard Time,87,35,52,38,117,19,N/A,80,808,3.9,0.12,IN-08812,40.4874504,-86.7621905,51%,64%,41%,60%,57%,41.0,42,63
Clarks Hill,Indiana,774,2867,Lafayette-West Lafayette,233278,$27482,4.4%,41,N/A,N/A,N/A,70,64.34%,$581,53.13%,N/A,N/A,15.28%,7.02%,60.0%,Tippecanoe County,43.10%,48.60%,0.0%,0.0%,94.96%,1.16%,0.9%,Eastern Standard Time,83,33,50,41,122,19,8.3,82,808,3.9,0.27,IN-12898,40.2472059,-86.7244123,51%,64%,41%,60%,57%,41.0,42,63
Colburn,Indiana,162,1620,Lafayette-West Lafayette,233278,$30495,11.81%,45,N/A,N/A,N/A,62,100.0%,$851,84.03%,N/A,N/A,0.0%,0.0%,50.69%,Tippecanoe County,43.10%,48.60%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,87,35,52,38,120,19,N/A,80,808,3.9,0.1,IN-14176,40.5187774,-86.7121918,51%,64%,41%,60%,57%,41.0,42,63
Dayton,Indiana,1359,1192,Lafayette-West Lafayette,233278,$61250,13.33%,38,$219000,1647,$133,38,80.25%,$787,40.9%,N/A,N/A,9.23%,2.73%,69.52%,Tippecanoe County,43.10%,48.60%,0.0%,1.55%,91.61%,6.4%,1.77%,Eastern Standard Time,86,35,51,38,120,19,8.3,80,808,3.9,1.14,IN-17002,40.3751247,-86.7738954,51%,64%,41%,60%,57%,41.0,42,63
Fairfield township (Tippecanoe Cnty),Indiana,53213,1930,Lafayette-West Lafayette,233278,$38591,N/A,N/A,N/A,N/A,N/A,55,43.20%,N/A,57.90%,N/A,N/A,N/A,3.40%,N/A,Tippecanoe County,43.10%,48.60%,1.6%,8.2%,77.9%,10.0%,N/A,Eastern Standard Time,86,35,51,38,120,19,N/A,65,808,3.9,27.57,IN-22342,40.4279618,-86.8558768,51%,64%,41%,60%,57%,41.0,42,63
Jackson township (Tippecanoe Cnty),Indiana,489,12,Lafayette-West Lafayette,233278,$54500,N/A,N/A,N/A,N/A,N/A,63,75.50%,N/A,45.90%,N/A,N/A,N/A,3.40%,N/A,Tippecanoe County,43.10%,48.60%,0.0%,0.0%,100.0%,0.0%,N/A,Eastern Standard Time,85,33,52,38,116,20,N/A,82,808,3.9,40.75,IN-37494,40.258042,-87.0269584,51%,64%,41%,60%,57%,41.0,42,63
Lafayette,Indiana,72556,2470,Lafayette-West Lafayette,233278,$46925,27.67%,33,$181000,1414,$128,49,52.03%,$853,57.08%,N/A,N/A,16.81%,5.01%,68.59%,Tippecanoe County,43.10%,48.60%,1.73%,9.35%,73.35%,13.07%,8.21%,Eastern Standard Time,87,35,52,38,120,19,N/A,67,808,3.9,29.38,IN-40788,40.39904,-86.859284,51%,64%,41%,60%,57%,41.0,42,63
Lauramie,Indiana,2914,54,Lafayette-West Lafayette,233278,$66330,29.60%,N/A,N/A,N/A,N/A,42,75.60%,N/A,38.70%,N/A,N/A,N/A,3.40%,N/A,Tippecanoe County,43.10%,48.60%,0.0%,0.0%,97.3%,1.8%,N/A,Eastern Standard Time,85,34,51,39,121,20,8.3,82,808,3.9,53.96,IN-42354,40.2580075,-86.7807236,51%,64%,41%,60%,57%,41.0,42,63
