City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Armstrong,Indiana,1802,61,Evansville,313673,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vanderburgh County,38.90%,55.20%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,89,42,47,69,26,58%,56%,45,65,96,58%,72%,46%,53.33,13.22,11.48,33.18%,30.11%,35.0%,9.2,4,6.9,42.8,74,534,4.2,29.54,IN-02188,38.1256797,-87.6471984
Center township (Vanderburgh Cnty),Indiana,40105,1193,Evansville,313673,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vanderburgh County,38.90%,55.20%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,89,42,47,69,26,58%,56%,45,65,96,58%,72%,46%,51.32,12.32,11.43,33.18%,30.11%,35.0%,9.2,4,6.9,42.8,66,366,4.2,33.62,IN-11674,38.0422651,-87.5397393
Darmstadt,Indiana,1428,316,Evansville,313673,$96458,43.89%,58,$540000,3600,$150,53,94.62%,N/A,34.82%,N/A,N/A,4.76%,1.58%,64.54%,Vanderburgh County,38.90%,55.20%,0.0%,0.0%,99.16%,0.21%,0.56%,Central Standard Time,89,42,47,69,26,58%,56%,45,65,96,58%,72%,46%,51.32,12.32,11.43,33.18%,30.11%,35.0%,9.2,4,6.9,42.8,71,366,4.2,4.52,IN-16858,38.0938059,-87.5792891
Evansville,Indiana,116441,2459,Evansville,313673,$52251,22.3%,38,$150000,1429,$105,60,57.36%,$949,59.09%,612,4177,18.61%,5.27%,63.4%,Vanderburgh County,38.90%,55.20%,1.15%,13.47%,75.54%,3.99%,3.92%,Central Standard Time,90,44,46,71,28,58%,56%,45,65,98,58%,72%,46%,52.05,12.26,11.43,33.18%,30.11%,35.0%,9.2,4,6.9,42.8,57,342,4.2,47.36,IN-22000,37.9880815,-87.5340969
German township (Vanderburgh Cnty),Indiana,7737,271,Evansville,313673,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vanderburgh County,38.90%,55.20%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,89,42,47,69,26,58%,56%,45,65,96,58%,72%,46%,53.33,13.22,11.48,33.18%,30.11%,35.0%,9.2,4,6.9,42.8,72,534,4.2,28.55,IN-27486,38.0473388,-87.6460874
Highland CDP,Indiana,5188,2285,Evansville,313673,$95696,30.95%,46,$264000,1784,$148,35,84.95%,$1694,28.34%,85,1768,4.2%,2.31%,61.91%,Vanderburgh County,38.90%,55.20%,0.29%,4.8%,90.73%,3.26%,2.39%,Central Standard Time,89,42,47,69,26,58%,56%,45,65,96,58%,72%,46%,51.32,12.32,11.43,33.18%,30.11%,35.0%,9.2,4,6.9,42.8,69,366,4.2,2.27,IN-33484,38.0473534,-87.561493
Knight,Indiana,67885,1986,Evansville,313673,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vanderburgh County,38.90%,55.20%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,90,44,46,71,28,58%,56%,45,65,98,58%,72%,46%,52.05,12.26,11.43,33.18%,30.11%,35.0%,9.2,4,6.9,42.8,59,342,4.2,34.18,IN-40212,37.9686282,-87.4963961
Melody Hill,Indiana,3435,2507,Evansville,313673,$90561,34.67%,39,$268000,1729,$155,47,94.98%,$1099,41.0%,N/A,N/A,3.27%,2.46%,68.98%,Vanderburgh County,38.90%,55.20%,2.56%,2.71%,89.11%,0.9%,2.47%,Central Standard Time,89,42,47,69,26,58%,56%,45,65,96,58%,72%,46%,51.32,12.32,11.43,33.18%,30.11%,35.0%,9.2,4,6.9,42.8,65,366,4.2,1.37,IN-48330,38.023947,-87.5120094
Perry township (Vanderburgh Cnty),Indiana,25537,919,Evansville,313673,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vanderburgh County,38.90%,55.20%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,90,44,46,71,28,58%,56%,45,65,98,58%,72%,46%,53.33,13.22,11.48,33.18%,30.11%,35.0%,9.2,4,6.9,42.8,62,534,4.2,27.79,IN-59166,37.9673842,-87.656781
Pigeon township (Vanderburgh Cnty),Indiana,29651,2730,Evansville,313673,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vanderburgh County,38.90%,55.20%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,90,44,46,71,28,58%,56%,45,65,98,58%,72%,46%,52.05,12.26,11.43,33.18%,30.11%,35.0%,9.2,4,6.9,42.8,52,342,4.2,10.86,IN-59670,37.9739475,-87.5692956
