City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Antietam,Maryland,51,340,Hagerstown-Martinsburg,291560,N/A,51.22%,60,N/A,N/A,N/A,16,100.0%,N/A,12.77%,N/A,N/A,0.0%,0.0%,29.79%,Washington County,32.00%,62.10%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,87,42,45,63,22,53%,53%,43,63,90,55%,61%,52%,44.86,12.33,9.28,33.84%,35.6%,31.67%,32.6,13,7.2,26.6,72,366,3.9,0.15,MD-01750,39.4150817,-77.7364839
Bagtown,Maryland,226,411,Hagerstown-Martinsburg,291560,$89688,0.0%,60,$350000,1733,$202,43,75.5%,N/A,44.61%,N/A,N/A,12.39%,1.8%,54.41%,Washington County,32.00%,62.10%,0.0%,0.0%,69.03%,22.12%,12.39%,Eastern Standard Time,85,39,46,63,22,53%,53%,43,63,87,55%,61%,52%,44.98,11.8,9.84,34.08%,36.15%,31.78%,35.0,10,7.2,26.6,70,612,3.9,0.55,MD-03514,39.5829818,-77.6138853
Beaver Creek,Maryland,521,453,Hagerstown-Martinsburg,291560,N/A,47.0%,45,N/A,N/A,N/A,21,93.88%,N/A,38.53%,N/A,N/A,5.57%,0.0%,72.17%,Washington County,32.00%,62.10%,0.0%,49.52%,42.99%,1.15%,24.76%,Eastern Standard Time,87,40,47,67,23,53%,53%,43,63,90,55%,61%,52%,44.98,11.8,9.84,34.08%,36.15%,31.78%,35.0,10,7.2,26.6,70,486,3.9,1.15,MD-05250,39.5815453,-77.6513386
Big Pool,Maryland,39,355,Hagerstown-Martinsburg,291560,N/A,100.0%,N/A,N/A,N/A,N/A,N/A,67.06%,N/A,0.0%,N/A,N/A,0.0%,0.0%,100.0%,Washington County,32.00%,62.10%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,88,42,46,64,23,53%,53%,41,62,92,55%,61%,52%,43.89,12.46,9.15,37.42%,39.01%,35.67%,25.4,9,7.2,30.2,74,447,3.9,0.11,MD-07375,39.6250938,-78.0161681
Big Spring,Maryland,23,164,Hagerstown-Martinsburg,291560,N/A,0.0%,N/A,N/A,N/A,N/A,N/A,100.0%,N/A,100.0%,N/A,N/A,0.0%,0.0%,100.0%,Washington County,32.00%,62.10%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,88,42,46,64,23,53%,53%,41,62,92,55%,61%,52%,43.89,12.46,9.15,37.42%,39.01%,35.67%,25.4,9,7.2,30.2,74,447,3.9,0.14,MD-07400,39.6259019,-77.9396325
Boonsboro,Maryland,3799,1246,Hagerstown-Martinsburg,291560,$93730,24.46%,39,$322000,1928,$167,52,73.5%,$1197,54.81%,27,444,5.19%,3.69%,65.2%,Washington County,32.00%,62.10%,0.92%,5.37%,91.05%,1.55%,2.05%,Eastern Standard Time,87,42,45,63,22,53%,53%,43,63,90,55%,61%,52%,47.02,12.5,9.75,34.08%,36.15%,31.78%,35.0,10,7.2,26.6,72,714,3.9,3.05,MD-08625,39.5079055,-77.6585842
Breathedsville,Maryland,346,935,Hagerstown-Martinsburg,291560,N/A,12.08%,33,N/A,N/A,N/A,31,32.03%,N/A,66.18%,N/A,N/A,69.08%,0.0%,28.5%,Washington County,32.00%,62.10%,0.0%,69.08%,30.92%,0.0%,0.0%,Eastern Standard Time,87,40,47,67,23,53%,53%,43,63,90,55%,61%,52%,44.98,11.8,9.84,37.42%,39.01%,35.67%,35.0,10,7.2,26.6,66,486,3.9,0.37,MD-09400,39.5460095,-77.7245479
Cavetown,Maryland,909,478,Hagerstown-Martinsburg,291560,$103866,25.27%,55,$330000,1803,$183,59,87.86%,$1102,26.61%,N/A,N/A,2.09%,2.12%,55.5%,Washington County,32.00%,62.10%,0.0%,2.64%,93.62%,1.65%,0.0%,Eastern Standard Time,85,39,46,63,22,53%,53%,43,63,87,55%,61%,52%,44.98,11.8,9.84,34.08%,36.15%,31.78%,35.0,10,7.2,26.6,73,612,3.9,1.9,MD-14225,39.6426573,-77.5932
Cearfoss,Maryland,141,705,Hagerstown-Martinsburg,291560,$2499,0.0%,24,N/A,N/A,N/A,7,47.83%,N/A,55.32%,N/A,N/A,55.32%,0.0%,23.4%,Washington County,32.00%,62.10%,55.32%,0.0%,44.68%,0.0%,55.32%,Eastern Standard Time,88,41,47,68,25,53%,53%,41,62,92,55%,61%,52%,35.87,10.21,7.3,34.08%,36.15%,31.78%,25.4,9,7.2,30.2,69,639,3.9,0.2,MD-14300,39.6991328,-77.7763398
Charlton,Maryland,187,1169,Hagerstown-Martinsburg,291560,N/A,0.0%,47,$445000,2633,$169,N/A,100.0%,N/A,45.45%,N/A,N/A,0.0%,0.0%,54.55%,Washington County,32.00%,62.10%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,88,41,47,68,25,53%,53%,41,62,92,55%,61%,52%,42.36,11.72,8.78,37.42%,39.01%,35.67%,25.4,9,7.2,30.2,65,330,3.9,0.16,MD-15500,39.634401,-77.8943637
