City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible
Bush,Illinois,303,659,Carbondale-Marion,135448,$67639,10.1%,45,N/A,N/A,N/A,49,90.1%,$475,53.36%,N/A,N/A,6.6%,7.34%,74.37%,Williamson County,26.90%,67.70%,0.0%,0.99%,96.04%,1.32%,0.33%,Central Standard Time,89,41,48,46,104,208,11,64.5,46.6,8,74,413,4.1,0.46,IL-10084,37.8427009,-89.1295401,64%,77%,54%
Cambria,Illinois,1071,754,Carbondale-Marion,135448,$44375,17.35%,35,$82000,1139,$72,40,62.46%,$689,58.46%,78,390,13.07%,10.42%,71.64%,Williamson County,26.90%,67.70%,3.27%,4.2%,83.94%,7.47%,3.73%,Central Standard Time,88,41,47,47,108,208,12,64.6,46.6,8,74,413,4.1,1.42,IL-10630,37.779344,-89.1188375,64%,77%,54%
Carterville,Illinois,5861,1112,Carbondale-Marion,135448,$58362,45.6%,36,$132000,1571,$84,35,76.81%,$924,43.9%,N/A,N/A,11.97%,2.82%,62.89%,Williamson County,26.90%,67.70%,2.13%,3.33%,84.1%,7.85%,2.05%,Central Standard Time,88,41,47,47,108,203,12,64.6,46.6,8,72,413,4.1,5.27,IL-11514,37.7629813,-89.0841253,64%,77%,54%
Colp,Illinois,234,1800,Carbondale-Marion,135448,$12344,7.74%,36,N/A,N/A,N/A,37,76.92%,N/A,54.17%,N/A,N/A,57.89%,5.13%,46.43%,Williamson County,26.90%,67.70%,0.0%,33.76%,55.13%,0.85%,0.0%,Central Standard Time,88,41,47,47,107,208,12,64.4,46.5,8,74,413,4.1,0.13,IL-15807,37.8073498,-89.0785313,64%,77%,54%
Crab Orchard,Illinois,222,159,Carbondale-Marion,135448,$40000,13.48%,48,$56000,1098,$51,46,88.29%,N/A,45.12%,N/A,N/A,12.61%,0.0%,74.64%,Williamson County,26.90%,67.70%,0.0%,0.0%,97.75%,0.0%,0.0%,Central Standard Time,88,40,48,47,104,207,12,64.5,46.6,N/A,75,413,4.1,1.4,IL-17094,37.7249893,-88.8058716,64%,77%,54%
Crainville,Illinois,1372,832,Carbondale-Marion,135448,$59643,31.66%,41,$239000,1882,$127,21,76.02%,$492,44.27%,N/A,N/A,13.45%,3.78%,71.68%,Williamson County,26.90%,67.70%,1.09%,6.71%,89.58%,2.33%,2.11%,Central Standard Time,88,41,47,47,108,203,12,64.5,46.6,8,72,413,4.1,1.65,IL-17185,37.7511303,-89.0601505,64%,77%,54%
Creal Springs,Illinois,473,459,Carbondale-Marion,135448,$34688,3.99%,35,N/A,N/A,N/A,47,84.99%,$550,50.7%,N/A,N/A,16.28%,13.15%,60.0%,Williamson County,26.90%,67.70%,0.0%,0.0%,97.04%,0.0%,0.0%,Central Standard Time,88,41,47,48,109,205,11,64.4,46.5,7,75,413,4.1,1.03,IL-17289,37.6198056,-88.8371361,64%,77%,54%
Energy,Illinois,1208,1015,Carbondale-Marion,135448,$50326,16.05%,45,N/A,N/A,N/A,41,76.55%,$671,44.19%,0,1953,12.02%,4.45%,60.43%,Williamson County,26.90%,67.70%,0.0%,1.32%,78.56%,3.23%,0.83%,Central Standard Time,88,41,47,47,107,210,12,64.5,46.6,8,71,413,4.1,1.19,IL-24166,37.7738953,-89.0244149,64%,77%,54%
Herrin,Illinois,12806,1324,Carbondale-Marion,135448,$45713,23.69%,41,$129000,1518,$85,47,69.17%,$694,56.33%,N/A,N/A,15.58%,5.56%,59.07%,Williamson County,26.90%,67.70%,2.87%,3.16%,89.01%,1.92%,4.07%,Central Standard Time,88,41,47,46,98,206,12,64.5,46.6,8,66,413,4.1,9.67,IL-34358,37.7982889,-89.0304929,64%,77%,54%
Hurst,Illinois,756,849,Carbondale-Marion,135448,$28929,10.09%,43,N/A,N/A,N/A,47,56.22%,$327,55.1%,N/A,N/A,20.08%,7.23%,51.46%,Williamson County,26.90%,67.70%,1.06%,0.0%,93.25%,0.53%,1.06%,Central Standard Time,89,41,48,45,104,205,11,64.6,46.6,8,74,413,4.1,0.89,IL-36815,37.8349338,-89.1443134,64%,77%,54%
Johnston City,Illinois,3414,1610,Carbondale-Marion,135448,$37500,18.07%,44,$103000,1717,$60,61,81.82%,$585,60.54%,N/A,N/A,12.41%,5.67%,54.41%,Williamson County,26.90%,67.70%,0.0%,0.0%,96.22%,2.37%,0.0%,Central Standard Time,88,40,48,46,98,204,12,64.5,46.6,8,70,413,4.1,2.12,IL-38544,37.8214039,-88.9290164,64%,77%,54%
Pittsburg,Illinois,842,407,Carbondale-Marion,135448,$50114,15.92%,33,N/A,N/A,N/A,44,69.12%,$936,42.3%,N/A,N/A,11.88%,6.34%,48.18%,Williamson County,26.90%,67.70%,0.0%,0.0%,97.27%,0.59%,0.95%,Central Standard Time,88,40,48,46,98,205,10,64.5,46.4,8,75,413,4.1,2.07,IL-60209,37.7770547,-88.8498601,64%,77%,54%
Whiteash,Illinois,83,95,Carbondale-Marion,135448,$48672,27.63%,67,N/A,N/A,N/A,48,86.75%,N/A,27.63%,N/A,N/A,0.0%,0.0%,31.58%,Williamson County,26.90%,67.70%,0.0%,0.0%,96.39%,0.0%,0.0%,Central Standard Time,88,40,48,47,104,203,12,64.5,46.6,N/A,72,413,4.1,0.87,IL-81165,37.7852861,-88.9293465,64%,77%,54%
