City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi),Labor Force Participation rate
Bartlett,Texas,1658,1809,Killeen-Temple,468453,96,60,36,35,81,225,0,66.7,54.2,8,28,39,40,6.36%,$44048,17.56%,$695,N/A,$207500,1869,$111,54,66.07%,8%,52%,60%,69,24 mins,2.5%,3.50%,69.00%,Williamson County,41.30%,50.90%,0.0%,14.48%,40.23%,45.48%,10.86%,Central Standard Time,833,6.1,59.70%,42,N/A,37,17.7%,61.77,N/A,2,0,N/A,N/A,TX-05732,1.24,41.75%
Brushy Creek,Texas,18593,2883,Austin-Round Rock,2295303,96,61,35,36,79,229,0,66.5,54.2,8,15,33,38,51.68%,$116621,2.72%,$1711,N/A,$575000,2478,$232,21,77.03%,8%,52%,61%,65,29 mins,5.29%,3.50%,-6.80%,Williamson County,41.30%,50.90%,12.11%,4.99%,60.74%,17.94%,15.27%,Central Standard Time,570,6.1,41.50%,15,N/A,32,17.9%,0.00,27,2,0,N/A,N/A,TX-10897,6.45,73.76%
Cedar Park,Texas,77181,3027,Austin-Round Rock,2295303,96,61,35,36,73,231,0,66.1,53.9,8,12,23,35,49.23%,$108194,5.21%,$1475,919,$499000,2123,$235,15,74.67%,5%,44%,58%,65,27 mins,3.96%,3.50%,56.00%,Williamson County,41.30%,50.90%,10.06%,2.59%,62.31%,21.76%,14.59%,Central Standard Time,570,6.1,41.30%,23,N/A,41,19.1%,N/A,N/A,2,N/A,71,840,TX-13552,25.5,71.25%
Florence,Texas,816,897,Austin-Round Rock,2295303,96,60,36,33,68,225,1,66.2,53.7,8,8,9,32,9.54%,$44167,17.66%,$829,N/A,$499900,2293,$218,39,60.17%,8%,51%,64%,69,28 mins,4.49%,3.50%,-16.90%,Williamson County,41.30%,50.90%,0.0%,0.0%,61.4%,37.25%,9.68%,Central Standard Time,570,6.1,55.30%,50,N/A,40,17.0%,76.50,23,2,0,N/A,N/A,TX-26136,0.91,65.99%
Georgetown,Texas,75470,1316,Austin-Round Rock,2295303,96,60,36,36,75,228,0,65.9,53.5,8,8,20,46,43.59%,$77188,6.95%,$1278,963,$450000,2054,$219,18,74.64%,6%,44%,60%,64,27 mins,7.07%,3.50%,43.00%,Williamson County,41.30%,50.90%,1.35%,4.76%,72.41%,19.08%,7.56%,Central Standard Time,570,6.1,40.50%,22,N/A,35,17.8%,15.95,25,2,0,103,931,TX-29336,57.33,51.55%
Granger,Texas,1146,1710,Austin-Round Rock,2295303,96,60,36,35,81,228,0,66.8,54.4,8,11,21,41,9.27%,$46250,21.61%,$769,N/A,$334500,2039,$164,56,67.45%,15%,69%,67%,73,26 mins,6.19%,3.50%,2.70%,Williamson County,41.30%,50.90%,0.0%,8.03%,52.18%,37.61%,16.58%,Central Standard Time,570,6.1,52.30%,45,N/A,37,15.3%,67.11,28,2,0,N/A,N/A,TX-30548,0.67,57.17%
Hutto,Texas,26778,2168,Austin-Round Rock,2295303,96,60,36,36,80,225,0,67,54.7,8,9,15,36,30.68%,$87333,8.82%,$1779,1038,$375000,1973,$190,12,74.16%,5%,44%,61%,70,32 mins,6.2%,3.50%,84.00%,Williamson County,41.30%,50.90%,1.29%,14.33%,52.55%,29.77%,9.13%,Central Standard Time,570,6.1,39.60%,57,N/A,48,23.3%,12.59,28,2,0,N/A,N/A,TX-35624,12.35,77.43%
Jarrell,Texas,1392,409,Austin-Round Rock,2295303,96,60,36,35,71,229,0,66.4,53.9,8,9,21,37,28.69%,$90469,2.95%,$1558,N/A,$286500,1725,$166,22,81.68%,8%,51%,60%,54,24 mins,4.88%,3.50%,-0.60%,Williamson County,41.30%,50.90%,0.14%,3.81%,64.66%,32.61%,10.99%,Central Standard Time,570,6.1,36.90%,N/A,N/A,N/A,20.6%,267.95,26,2,0,55,666,TX-37396,3.4,67.06%
Leander,Texas,60613,1616,Austin-Round Rock,2295303,96,60,36,36,72,229,0,65.8,53.6,8,8,21,35,40.97%,$106108,4.26%,$1516,931,$465000,2066,$225,13,75.24%,8%,51%,63%,68,30 mins,4.51%,3.50%,73.20%,Williamson County,41.30%,50.90%,4.73%,7.97%,59.09%,24.25%,12.55%,Central Standard Time,570,6.1,40.20%,24,N/A,41,20.5%,N/A,N/A,2,N/A,N/A,N/A,TX-42016,37.5,73.42%
Liberty Hill,Texas,4633,1001,Austin-Round Rock,2295303,95,60,35,33,67,228,1,66,53.5,8,17,32,31,20.25%,$57258,5.72%,$1060,1176,$538400,2351,$229,35,45.8%,9%,52%,68%,71,33 mins,8.06%,3.50%,-1.60%,Williamson County,41.30%,50.90%,0.6%,1.77%,51.07%,45.33%,10.68%,Central Standard Time,570,6.1,44.80%,40,N/A,46,17.8%,202.81,23,2,0,N/A,N/A,TX-42664,4.63,71.35%
