City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi)
Ash Fork,Arizona,824,357,Prescott,240226,91,51,40,14,57,264,8,46.8,31.1,7,32,48,26,N/A,$24063,32.9%,N/A,N/A,$94700,N/A,N/A,40,72.90%,9%,45%,14%,89,23 mins,5.10%,2.70%,81.10%,Yavapai County,31.10%,62.30%,0.0%,0.0%,48.5%,51.5%,7.1%,Mountain Standard Time,5354,6.4,51.40%,20,N/A,30,25.9%,110.89,0,0,9,N/A,N/A,AZ-04440,2.31
Bagdad,Arizona,1737,218,Prescott,240226,95,57,38,16,44,271,2,46.8,31.1,7,22,36,32,18.98%,$65885,0%,N/A,N/A,$461100,N/A,N/A,40,7.10%,10%,46%,15%,86,23 mins,5.10%,2.70%,-11.20%,Yavapai County,31.10%,62.30%,0.0%,0.0%,69.6%,30.2%,2.4%,Mountain Standard Time,5354,6.4,34.40%,21,N/A,27,13.3%,0.00,1,0,1,N/A,N/A,AZ-05140,7.98
Black Canyon City,Arizona,2892,119,Prescott,240226,103,65,38,14,37,276,0,46.8,31.1,5,26,40,56,17.39%,$35750,21.6%,N/A,N/A,$223800,N/A,N/A,32,65.70%,12%,68%,19%,81,23 mins,5.10%,2.70%,15.70%,Yavapai County,31.10%,62.30%,0.0%,0.0%,90.3%,8.4%,2%,Mountain Standard Time,5354,6.4,59.70%,33,N/A,31,15.2%,13.97,1,0,7,N/A,N/A,AZ-06610,24.26
Camp Verde,Arizona,11091,262,Prescott,240226,101,59,42,14,52,268,1,46.8,31.1,5,15,39,44,17.15%,$35809,19.5%,N/A,N/A,$295000,1411,$209,26,66.30%,9%,42%,11%,77,22 mins,5.10%,2.70%,1.60%,Yavapai County,31.10%,62.30%,0.1%,0.2%,69.8%,17.1%,3.2%,Mountain Standard Time,5354,6.4,53.80%,50,N/A,54,17.2%,21.07,0,0,6,407,2348,AZ-09690,42.35
Chino Valley,Arizona,11362,182,Prescott,240226,91,51,40,16,63,278,12,46.8,31.1,6,29,34,54,18.27%,$46857,5.97%,N/A,N/A,$339900,1545,$220,24,76.7%,9%,41%,15%,85,26 mins,4.42%,2.70%,4.60%,Yavapai County,31.10%,62.30%,1.22%,0.31%,77.81%,18.76%,5.33%,Mountain Standard Time,5354,6.4,42.80%,43,N/A,37,19.9%,25.00,0,0,15,304,1266,AZ-12840,62.42
Clarkdale,Arizona,4367,429,Prescott,240226,100,59,41,14,52,275,1,46.8,31.1,5,11,23,60,16.32%,$29343,9.11%,N/A,N/A,$266400,N/A,N/A,28,70.76%,8%,43%,11%,83,23 mins,0.76%,2.70%,2.40%,Yavapai County,31.10%,62.30%,0.55%,2.36%,81.84%,11.01%,6.3%,Mountain Standard Time,5354,6.4,41.10%,21,N/A,N/A,24.3%,14.63,0,0,13,67,992,AZ-13890,10.18
Congress,Arizona,1846,49,Prescott,240226,98,60,38,16,44,294,2,46.8,31.1,6,20,31,68,12.7%,$48080,9.8%,N/A,N/A,$205400,N/A,N/A,19,76.87%,9%,46%,14%,83,23 mins,12.93%,2.70%,-7.70%,Yavapai County,31.10%,62.30%,0.0%,0.0%,93.99%,1.03%,2.6%,Mountain Standard Time,5354,6.4,33.70%,27,N/A,31,22.4%,71.43,0,0,3,N/A,N/A,AZ-15220,37.66
Cordes Lakes,Arizona,2662,246,Prescott,240226,97,58,39,18,51,272,2,46.8,31.1,5,22,33,60,5.08%,$39750,13.71%,N/A,N/A,$23000,154,$149,25,77.46%,9%,47%,14%,84,23 mins,16.13%,2.70%,-8.00%,Yavapai County,31.10%,62.30%,1.31%,0.71%,70.21%,24.53%,6.42%,Mountain Standard Time,5354,6.4,47.90%,13,N/A,30,18.3%,3.46,0,0,7,N/A,N/A,AZ-15765,10.82
Cornville,Arizona,3247,247,Prescott,240226,100,59,41,14,52,274,2,46.8,31.1,5,26,48,54,24.19%,$68229,9.42%,N/A,N/A,$339000,1473,$230,31,78.08%,8%,34%,10%,79,23 mins,12.42%,2.70%,11.90%,Yavapai County,31.10%,62.30%,0.0%,3.94%,75.89%,13.55%,5.61%,Mountain Standard Time,5354,6.4,39.80%,22,N/A,26,19.5%,17.11,0,0,7,N/A,N/A,AZ-15920,13.16
Cottonwood,Arizona,12228,737,Prescott,240226,100,59,41,14,52,275,1,44.4,28.3,5,23,51,51,20.45%,$37146,16.5%,N/A,N/A,$303000,1409,$215,26,51.6%,8%,44%,11%,72,23 mins,3.56%,2.70%,3.10%,Yavapai County,31.10%,62.30%,0.16%,0.56%,76.95%,17.39%,7.92%,Mountain Standard Time,5354,6.4,58.30%,63,N/A,60,10.4%,31.87,0,0,9,364,3422,AZ-16410,16.6
Dewey-Humboldt,Arizona,4123,219,Prescott,240226,91,51,40,16,63,270,12,46.8,31.1,N/A,26,48,48,22.78%,$50878,15.97%,N/A,N/A,$302100,N/A,N/A,25,88.32%,7%,49%,18%,86,23 mins,6.05%,2.70%,1.50%,Yavapai County,31.10%,62.30%,0.41%,0.56%,86.76%,10.79%,4.56%,Mountain Standard Time,5354,6.4,36.10%,9,N/A,10,17.7%,35.81,0,0,17,N/A,N/A,AZ-19145,18.79
Jerome,Arizona,416,527,Prescott,240226,100,59,41,14,52,276,1,46.8,31.1,5,23,59,57,18.09%,$44904,12.5%,N/A,N/A,$381200,N/A,N/A,78,74.76%,10%,47%,14%,85,23 mins,7.91%,2.70%,4.10%,Yavapai County,31.10%,62.30%,0.0%,0.0%,68.99%,9.13%,6.73%,Mountain Standard Time,5354,6.4,58.20%,50,N/A,16,11.4%,0.00,0,0,13,N/A,N/A,AZ-36290,0.79
Lake Montezuma,Arizona,4707,393,Prescott,240226,100,59,41,14,51,270,2,46.8,31.1,5,36,64,59,13.66%,$41778,14.21%,N/A,N/A,$101300,494,$205,24,69.26%,9%,48%,14%,76,28 mins,16.2%,2.70%,21.90%,Yavapai County,31.10%,62.30%,0.0%,0.0%,82.49%,9.54%,1.25%,Mountain Standard Time,5354,6.4,47.80%,7,N/A,N/A,20.7%,15.86,0,0,6,N/A,N/A,AZ-39720,11.98
Mayer,Arizona,1847,92,Prescott,240226,97,58,39,18,51,284,2,46.8,31.1,5,22,34,45,2.48%,$46229,37.68%,N/A,N/A,$49900,317,$157,29,83.38%,14%,62%,21%,84,23 mins,10.07%,2.70%,106.40%,Yavapai County,31.10%,62.30%,0.0%,0.0%,98.05%,1.95%,1.3%,Mountain Standard Time,5354,6.4,46.70%,39,N/A,19,15.9%,296.30,0,0,17,N/A,N/A,AZ-45180,20.08
Paulden,Arizona,5003,87,Prescott,240226,91,51,40,15,61,264,9,46.8,31.1,6,33,62,42,15.45%,$51225,8.37%,N/A,N/A,$149900,738,$203,17,62.66%,10%,45%,17%,85,23 mins,7.11%,2.70%,16.90%,Yavapai County,31.10%,62.30%,0.24%,0.0%,71.72%,24.55%,6.82%,Mountain Standard Time,5354,6.4,35.80%,12,N/A,25,17.9%,19.25,0,0,16,N/A,N/A,AZ-53560,57.19
Peeples Valley,Arizona,566,37,Prescott,240226,94,55,39,17,45,272,2,46.8,31.1,N/A,23,35,66,24.86%,$50000,19.61%,N/A,N/A,$222100,N/A,N/A,29,85.87%,9%,44%,14%,84,23 mins,4.42%,2.70%,-6.10%,Yavapai County,31.10%,62.30%,0.0%,1.24%,95.41%,3.36%,0.0%,Mountain Standard Time,5354,6.4,39.70%,1,N/A,15,21.7%,0.00,0,0,5,N/A,N/A,AZ-53910,15.14
Prescott,Arizona,43463,966,Prescott,240226,89,51,38,16,63,277,13,46.8,31.1,6,20,37,59,37.68%,$58562,11.38%,N/A,N/A,$407500,1487,$274,26,69.93%,8%,38%,13%,83,18 mins,6.17%,2.70%,3.80%,Yavapai County,31.10%,62.30%,1.92%,0.55%,86.42%,7.96%,5.74%,Mountain Standard Time,5354,6.4,46.20%,25,N/A,27,16.1%,13.83,0,0,15,N/A,N/A,AZ-57380,44.97
Prescott Valley,Arizona,45592,1127,Prescott,240226,90,51,39,17,63,273,12,46.8,31.1,6,11,33,47,21.98%,$54315,11.01%,N/A,N/A,$389000,1662,$234,20,69.05%,8%,42%,19%,81,20 mins,5.23%,2.70%,12.70%,Yavapai County,31.10%,62.30%,1.35%,0.7%,75.22%,19.6%,7.7%,Mountain Standard Time,5354,6.4,45.20%,17,N/A,36,18.9%,11.82,0,0,14,N/A,N/A,AZ-57450,40.47
Sedona,Arizona,10341,566,Flagstaff,142481,92,53,39,23,59,278,11,46.8,31.1,6,13,27,60,49.82%,$57434,10.9%,N/A,N/A,$670000,1876,$357,32,77.58%,11%,38%,4%,84,16 mins,5.7%,2.70%,-0.60%,Yavapai County,31.10%,62.30%,2.41%,0.21%,80.0%,16.73%,15.46%,Mountain Standard Time,6993,6.4,41.40%,43,N/A,17,22.3%,7.90,0,0,8,N/A,N/A,AZ-65350,18.26
