City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Ada,5509,3,0,2,1,0,24,6,17,1,0
Akron,197882,1782,27,181,328,1246,6568,1686,4305,577,65
Alliance,21536,28,0,4,1,23,558,61,474,23,10
Amberley Village,3791,2,0,0,0,2,35,3,29,3,0
American Township,12050,0,0,0,0,0,97,5,88,4,0
Amherst,12166,4,0,0,3,1,147,20,123,4,1
Arcanum,2006,0,0,0,0,0,9,0,9,0,0
Archbold,4320,5,0,1,1,3,80,6,68,6,0
Ashland,20410,33,1,18,2,12,384,50,331,3,1
Ashville,4331,4,0,2,0,2,53,1,39,13,0
Athens,24745,16,0,0,5,11,398,30,349,19,3
Aurora,16319,1,0,0,0,1,128,5,120,3,1
Bainbridge Township,11493,4,0,2,1,1,241,34,203,4,0
Barberton,26015,69,2,15,10,42,689,111,546,32,4
Barnesville,4020,1,0,1,0,0,12,2,8,2,0
Batavia,1680,3,0,0,0,3,35,8,25,2,0
"Bath Township, Summit County",9659,5,0,1,1,3,145,13,130,2,0
Bay Village,15235,4,1,0,0,3,72,11,56,5,0
Bazetta Township,5530,7,0,1,0,6,210,4,204,2,0
Beachwood,11612,7,0,2,1,4,438,16,413,9,0
Beavercreek,47672,33,0,11,10,12,1193,78,1088,27,4
Beaver Township,6415,3,0,2,0,1,74,21,51,2,0
Bedford,12485,19,0,1,8,10,157,22,103,32,0
Bellaire,4039,12,0,4,0,8,30,4,25,1,1
Bellbrook,7326,0,0,0,0,0,36,3,33,0,0
Bellefontaine,13145,25,0,6,0,19,202,32,167,3,0
Bellville,1895,1,0,0,1,0,15,0,14,1,0
Belpre,6386,4,0,0,0,4,105,21,70,14,0
Berea,18573,9,0,0,3,6,79,16,59,4,1
Bethel,2809,8,0,1,0,7,77,14,60,3,1
Bexley,13956,12,0,4,3,5,300,63,229,8,0
Blanchester,4251,3,0,1,0,2,99,20,78,1,0
Blue Ash,12307,14,0,3,2,9,204,17,179,8,0
Bowling Green,31719,37,0,18,4,15,547,42,489,16,0
Brewster,2158,2,0,1,0,1,23,6,17,0,1
Bridgeport,1741,1,0,1,0,0,10,1,7,2,0
Brimfield Township,10388,7,1,1,2,3,204,16,185,3,0
Brunswick,34977,17,0,2,1,14,189,20,157,12,2
Bucyrus,11712,25,0,6,3,16,287,49,230,8,1
Burton2,1454,,0,,0,1,2,0,2,0,0
Butler Township,7819,23,0,9,5,9,386,30,345,11,2
Cambridge2,10318,,0,,3,6,349,36,302,11,0
Campbell,7815,9,0,1,2,6,53,25,21,7,0
Canal Fulton,5450,7,0,0,2,5,52,10,40,2,0
Canfield,7199,0,0,0,0,0,47,3,43,1,0
Canton,70139,981,6,135,188,652,3712,962,2429,321,24
Cardington,2056,2,0,0,0,2,15,5,9,1,0
Carroll Township,2096,1,0,0,0,1,15,2,11,2,0
Centerville,23744,15,0,5,1,9,285,37,242,6,0
Chagrin Falls,3941,1,0,0,1,0,41,16,25,0,0
Chardon,5183,9,0,0,1,8,94,3,91,0,0
Chester Township,10322,0,0,0,0,0,15,2,12,1,0
Cheviot,8269,23,0,5,7,11,221,55,143,23,0
Chillicothe,21670,103,0,23,17,63,1575,183,1337,55,5
Cincinnati3,303335,2562,64,280,872,1346,13051,2765,8935,1351,
Circleville,14025,47,1,13,13,20,609,81,493,35,3
Clayton,13221,2,0,0,1,1,83,8,70,5,0
Clearcreek Township,16070,2,0,1,0,1,37,11,26,0,0
Cleveland,381829,5791,92,479,1895,3325,17057,4311,9968,2778,157
Cleveland Heights4,44098,95,1,6,31,57,696,105,526,65,0
Cleves,3443,2,0,0,0,2,31,3,25,3,0
Clyde,6147,3,0,0,0,3,66,14,51,1,0
Coitsville Township,1324,3,1,0,0,2,21,4,14,3,0
Colerain Township,59479,67,1,4,40,22,1342,138,1157,47,5
Columbiana,6209,2,0,0,0,2,49,8,40,1,1
Columbus3,906120,4561,81,882,1810,1788,29974,5809,20606,3559,
