City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Charles Town,6171,9,1,1,4,3,75,30,43,2,0
Glen Dale,1375,1,0,1,0,0,16,6,9,1,0
Huntington,45675,330,4,56,59,211,1792,456,1147,189,21
Lewisburg,3830,3,0,0,0,3,81,1,79,1,1
Milton,2588,9,0,0,3,6,69,13,54,2,0
Moorefield,2418,24,1,1,1,21,153,5,145,3,0
Morgantown,31281,67,0,9,5,53,489,71,383,35,1
Moundsville,8323,29,0,8,0,21,103,0,103,0,0
New Martinsville,5114,2,0,0,0,2,14,5,7,2,0
Nitro,6406,15,0,0,1,14,220,20,187,13,0
Oak Hill,8140,5,2,1,0,2,14,0,14,0,0
Ranson,5288,8,0,1,1,6,76,11,64,1,1
Ronceverte,1674,2,0,0,0,2,13,2,9,2,0
St. Albans,9956,33,2,2,1,28,304,59,227,18,1
Summersville,3292,1,0,0,0,1,107,4,100,3,0
Weirton,18296,11,0,1,0,10,88,2,84,2,1
Wellsburg,2531,1,0,0,0,1,17,1,14,2,0
Weston,3887,4,0,0,0,4,2,0,1,1,0
White Sulphur Springs,2395,5,0,2,1,2,12,3,8,1,0
Williamson,2694,6,0,0,0,6,2,0,2,0,1
Winfield,2378,0,0,0,0,0,12,0,11,1,0
