City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F)
Bronwood,Georgia,319,404,Albany,145206,$34375,6.53%,51,N/A,N/A,N/A,45,37.62%,$673,59.23%,N/A,N/A,32.59%,3.25%,53.66%,Terrell County,54.10%,44.70%,0.0%,56.11%,31.35%,12.54%,12.54%,Eastern Standard Time,92,60,32,50,89,0,6.0,56,200,3.7,0.79,GA-10860,31.8305455,-84.3643323,63%,67%,56%,53%,54%,53.8,53,69,72,37
Dawson,Georgia,4182,1115,Albany,145206,$32113,10.1%,38,N/A,N/A,N/A,49,30.42%,$643,62.03%,N/A,N/A,39.61%,8.68%,53.63%,Terrell County,54.10%,44.70%,4.5%,80.77%,14.18%,0.07%,3.01%,Eastern Standard Time,92,60,32,50,84,0,6.0,42,200,3.7,3.75,GA-21912,31.7721431,-84.4436676,63%,67%,56%,53%,54%,53.8,53,69,72,37
Leesburg,Georgia,3035,618,Albany,145206,$60110,22.73%,33,$190000,1570,$121,25,65.57%,$924,54.74%,N/A,N/A,19.23%,9.48%,70.61%,Lee County,22.40%,75.30%,1.42%,29.88%,64.48%,1.65%,3.89%,Eastern Standard Time,92,60,32,50,93,0,6.0,46,200,3.4,4.91,GA-45768,31.7324005,-84.1688128,63%,67%,56%,53%,54%,53.8,53,69,72,37
Newton,Georgia,575,264,Albany,145206,$30192,20.14%,50,N/A,N/A,N/A,42,53.04%,$479,56.32%,N/A,N/A,22.43%,3.3%,45.4%,Baker County,45.10%,53.80%,1.39%,30.26%,54.43%,15.3%,6.61%,Eastern Standard Time,92,61,31,54,97,0,5.5,47,200,5.8,2.18,GA-55244,31.3166866,-84.3379227,63%,67%,56%,54%,59%,82.5,57,71,71,37
Parrott,Georgia,130,167,Albany,145206,$46250,26.32%,62,N/A,N/A,N/A,78,91.54%,N/A,29.91%,N/A,N/A,10.77%,0.0%,55.56%,Terrell County,54.10%,44.70%,0.0%,31.54%,66.15%,0.0%,0.0%,Eastern Standard Time,90,58,32,50,90,0,6.0,56,200,3.7,0.78,GA-59416,31.8943767,-84.5117453,63%,67%,56%,53%,54%,53.8,53,69,68,36
Poulan,Georgia,705,422,Albany,145206,$48854,3.33%,39,N/A,N/A,N/A,42,71.35%,$850,41.26%,N/A,N/A,22.13%,4.06%,54.79%,Worth County,24.40%,74.20%,0.0%,17.02%,82.98%,0.0%,0.0%,Eastern Standard Time,92,60,32,49,95,0,5.5,52,200,6,1.67,GA-62496,31.5145067,-83.7898195,63%,67%,56%,54%,59%,82.5,57,71,71,37
Putney,Georgia,2805,127,Albany,145206,$56339,19.27%,47,N/A,N/A,N/A,45,65.24%,$858,61.14%,N/A,N/A,20.25%,9.04%,55.39%,Dougherty County,68.40%,30.00%,0.0%,45.35%,46.27%,4.96%,2.71%,Eastern Standard Time,92,60,32,50,96,0,5.5,46,200,5.9,22.02,GA-63084,31.4755389,-84.1009787,63%,67%,56%,54%,59%,82.5,57,71,72,38
Sasser,Georgia,422,541,Albany,145206,$28750,8.33%,38,N/A,N/A,N/A,59,50.24%,N/A,47.46%,N/A,N/A,16.35%,11.52%,73.56%,Terrell County,54.10%,44.70%,0.0%,22.99%,59.24%,17.77%,13.74%,Eastern Standard Time,92,60,32,50,85,0,6.0,49,200,3.7,0.78,GA-68796,31.7199162,-84.3477647,63%,67%,56%,53%,54%,53.8,53,69,72,37
Smithville,Georgia,462,182,Albany,145206,$32554,4.19%,43,N/A,N/A,N/A,37,48.27%,$600,37.08%,N/A,N/A,46.32%,3.94%,33.16%,Lee County,22.40%,75.30%,0.0%,53.25%,46.75%,0.0%,0.43%,Eastern Standard Time,92,60,32,50,92,0,6.0,54,200,3.4,2.54,GA-71464,31.9010982,-84.2551743,63%,67%,56%,53%,54%,53.8,53,69,72,37
Sumner,Georgia,505,285,Albany,145206,$47446,8.44%,36,N/A,N/A,N/A,26,63.96%,$855,43.59%,N/A,N/A,19.41%,5.24%,54.55%,Worth County,24.40%,74.20%,0.0%,28.12%,69.9%,0.59%,0.0%,Eastern Standard Time,92,60,32,49,96,0,5.5,52,200,6,1.77,GA-74432,31.5103368,-83.7368388,63%,67%,56%,54%,59%,82.5,57,71,71,37
Sylvester,Georgia,5809,886,Albany,145206,$42857,16.48%,37,N/A,N/A,N/A,46,49.78%,$704,56.89%,N/A,N/A,28.01%,7.68%,56.05%,Worth County,24.40%,74.20%,0.28%,61.94%,34.33%,0.14%,1.27%,Eastern Standard Time,92,60,32,49,96,0,5.5,43,200,6,6.56,GA-75188,31.5299987,-83.8338379,63%,67%,56%,54%,59%,82.5,57,71,72,38
Warwick,Georgia,630,778,Albany,145206,$40536,2.36%,37,N/A,N/A,N/A,48,54.76%,$594,48.47%,N/A,N/A,22.86%,22.74%,66.32%,Worth County,24.40%,74.20%,0.63%,66.67%,31.27%,0.0%,0.63%,Eastern Standard Time,92,59,33,47,88,0,5.9,51,200,6,0.81,GA-80676,31.8297899,-83.9206247,63%,67%,56%,52%,54%,53.1,53,69,72,37
