City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931
Aberdeen,Maryland,15523,2396,Baltimore-Columbia-Towson,2414613,88,42,46,47,120,208,14,63.3,44.4,7,20,35,39,24.80%,$50327,12.9%,$1435,987,$209600,N/A,N/A,45,53.70%,2%,15%,-1%,58,27 mins,4.00%,0.60%,4.00%,Harford County,35.20%,58.20%,5.80%,24.63%,59.47%,6.00%,9.6%,Eastern Standard Time,32,3.9,56.40%,13,N/A,34,19.6%,42.12,28,1,9
Aberdeen Proving Ground,Maryland,2624,236,Baltimore-Columbia-Towson,2414613,87,41,46,46,120,213,14,63.7,44.8,7,19,36,24,43.09%,$78859,2%,N/A,N/A,$245200,N/A,N/A,34,0.00%,4%,17%,2%,70,32 mins,4.00%,0.60%,-26.30%,Harford County,35.20%,58.20%,3.48%,35.48%,52.12%,12.70%,12.4%,Eastern Standard Time,32,3.9,56.40%,7,N/A,27,N/A,0.00,27,2,2
Annapolis,Maryland,39151,5432,Baltimore-Columbia-Towson,2414613,87,43,44,45,110,208,12,64.8,46,8,25,36,37,47.24%,$75320,9.1%,$1960,877,$517000,1988,$260,44,47.20%,2%,13%,4%,58,26 mins,3.30%,0.70%,3.50%,Anne Arundel County,47.50%,45.30%,1.85%,21.77%,63.08%,20.40%,15.6%,Eastern Standard Time,32,4,56.30%,50,34,57,20.6%,0.26,31,1,12
Annapolis Neck,Maryland,10841,1564,Baltimore-Columbia-Towson,2414613,87,43,44,45,110,212,12,63.9,45.2,N/A,19,36,49,68.78%,$117111,0%,$1778,840,$560700,N/A,N/A,36,82.30%,3%,15%,4%,65,35 mins,3.50%,0.70%,-2.40%,Anne Arundel County,47.50%,45.30%,N/A,9.09%,85.00%,6.10%,5.9%,Eastern Standard Time,32,4,35.90%,57,27,N/A,19.1%,0.00,33,1,10
Arbutus,Maryland,21167,3243,Baltimore-Columbia-Towson,2414613,89,43,46,42,113,212,17,63.2,44.5,N/A,26,49,33,27.98%,$70221,6.5%,$1143,764,$262500,1483,$177,62,62.90%,4%,19%,2%,42,23 mins,4.10%,0.70%,3.70%,Baltimore County,55.90%,38.30%,9.66%,6.74%,78.65%,2.60%,12.6%,Eastern Standard Time,32,4.1,49.90%,43,37,35,18.3%,4.52,28,2,14
Arden on the Severn,Maryland,2301,1610,Baltimore-Columbia-Towson,2414613,88,43,45,45,113,209,14,63.9,45.2,N/A,14,25,48,N/A,$124453,10.9%,N/A,N/A,$366800,N/A,N/A,44,77.80%,3%,15%,4%,57,30 mins,3.50%,0.70%,19.80%,Anne Arundel County,47.50%,45.30%,N/A,10.16%,76.49%,12.10%,2.9%,Eastern Standard Time,32,4,35.90%,1,N/A,3,18.0%,0.00,27,2,13
Arnold,Maryland,23041,2130,Baltimore-Columbia-Towson,2414613,87,43,44,44,116,210,14,65,46.1,8,20,38,40,55.57%,$105250,2.1%,$1778,954,$422200,N/A,N/A,37,82.70%,3%,14%,7%,65,30 mins,3.50%,0.70%,2.50%,Anne Arundel County,47.50%,45.30%,3.09%,3.78%,89.56%,3.30%,4.8%,Eastern Standard Time,32,4,41.70%,15,9,21,19.0%,5.85,30,2,12
Baltimore,Maryland,619796,7657,Baltimore-Columbia-Towson,2414613,88,43,45,42,114,213,19,63,44.3,8,77,67,35,31.91%,$41819,16.6%,$1432,823,$229900,1455,$158,74,38.60%,11%,35%,-1%,42,30 mins,5.70%,0.60%,-0.10%,Baltimore city County,84.70%,10.50%,2.58%,62.35%,30.46%,5.00%,8.1%,Eastern Standard Time,32,4.1,69.60%,65,57,56,20.0%,31.50,26,2,14
Baltimore Highlands,Maryland,7565,4363,Baltimore-Columbia-Towson,2414613,89,43,46,42,113,213,17,62.9,44.1,N/A,25,48,31,16.08%,$49560,14.1%,$1143,764,$173500,N/A,N/A,58,41.00%,4%,18%,1%,44,24 mins,4.10%,0.70%,3.40%,Baltimore County,55.90%,38.30%,5.11%,24.92%,60.81%,31.20%,21.5%,Eastern Standard Time,32,4.1,55.50%,N/A,50,N/A,19.2%,0.00,28,2,14
Barclay,Maryland,225,862,Baltimore-Columbia-Towson,2414613,87,42,45,45,111,212,15,64.1,45.1,8,19,35,25,11.26%,$41250,15.9%,N/A,N/A,$232600,N/A,N/A,70,54.70%,2%,12%,1%,79,36 mins,3.50%,0.80%,33.90%,Queen Anne's County,30.10%,64.10%,N/A,26.91%,59.64%,46.20%,46.1%,Eastern Standard Time,32,4.1,54.70%,6,N/A,25,20.4%,0.00,31,1,2
