City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Addis,Louisiana,7052,1679,Baton Rouge,867628,$105635,31.76%,30,$254000,1801,$141,7,78.88%,$1451,54.08%,156,17,9.41%,1.09%,77.38%,West Baton Rouge County,42.30%,54.50%,0.47%,48.14%,47.29%,3.32%,0.47%,Central Standard Time,91,61,30,73,40,59%,61%,57,71,103,58%,62%,51%,61.3,19.23,15.29,30.47%,38.68%,33.33%,0.7,0,6.4,72.0,45,18,5.8,4.2,LA-00415,30.3651977,-91.2658692
Albany,Louisiana,969,723,Baton Rouge,867628,$55000,19.06%,33,$210000,1736,$121,31,73.54%,$756,45.08%,N/A,N/A,7.43%,2.32%,48.73%,Livingston County,12.00%,84.60%,0.0%,0.21%,99.69%,0.0%,0.0%,Central Standard Time,91,62,29,72,39,59%,61%,57,71,103,58%,62%,51%,66.45,21.17,16.66,24.99%,33.3%,26.78%,0.7,0,6.4,72.0,55,18,5.6,1.34,LA-00835,30.4991941,-90.583817
Baker,Louisiana,12322,1467,Baton Rouge,867628,$59451,20.2%,32,$200000,1493,$134,41,72.7%,$1031,64.03%,385,2462,22.2%,14.0%,70.31%,East Baton Rouge County,52.30%,43.10%,0.01%,86.69%,11.01%,1.98%,0.54%,Central Standard Time,93,63,30,74,41,59%,61%,57,71,108,58%,62%,51%,66.11,20.04,16.82,31.62%,39.89%,33.89%,0.7,0,6.4,72.0,40,63,5.9,8.4,LA-03985,30.583237,-91.1581804
Baton Rouge,Louisiana,223699,2592,Baton Rouge,867628,$49944,35.81%,32,$250000,1761,$142,45,51.5%,$1044,68.47%,936,5290,24.98%,9.05%,61.34%,East Baton Rouge County,52.30%,43.10%,3.63%,51.01%,34.88%,6.53%,7.39%,Central Standard Time,91,61,30,73,40,59%,61%,57,71,103,58%,62%,51%,69.37,21.89,17.92,32.44%,43.41%,35.0%,0.7,0,6.4,72.0,37,45,5.9,86.32,LA-05000,30.4419898,-91.1310733
Bayou Goula,Louisiana,342,140,Baton Rouge,867628,N/A,6.29%,25,N/A,N/A,N/A,50,33.78%,$1112,83.28%,N/A,N/A,20.76%,0.0%,63.98%,Iberville County,51.90%,45.60%,0.0%,81.87%,18.13%,0.0%,0.0%,Central Standard Time,90,62,28,75,43,59%,61%,57,71,101,58%,62%,51%,64.32,20.56,15.88,31.1%,38.68%,33.0%,0.7,0,6.4,72.0,53,24,5.7,2.44,LA-05350,30.2105028,-91.1766029
Brownfields,Louisiana,5263,1271,Baton Rouge,867628,$50809,18.98%,38,$107000,1486,$72,42,76.21%,$958,60.37%,N/A,N/A,27.85%,9.37%,61.68%,East Baton Rouge County,52.30%,43.10%,0.0%,80.07%,14.38%,0.95%,0.21%,Central Standard Time,93,63,30,74,41,59%,61%,57,71,108,58%,62%,51%,63.79,19.88,16.58,31.62%,39.89%,33.89%,0.7,0,6.4,72.0,43,60,5.9,4.14,LA-10145,30.5466996,-91.1224486
Brusly,Louisiana,2592,1173,Baton Rouge,867628,$89597,28.44%,36,N/A,N/A,N/A,31,82.57%,$972,47.75%,401,876,11.0%,19.25%,59.55%,West Baton Rouge County,42.30%,54.50%,0.0%,18.17%,77.16%,5.59%,0.93%,Central Standard Time,91,61,30,73,40,59%,61%,57,71,103,58%,62%,51%,64.73,19.58,16.88,30.47%,38.68%,33.33%,0.7,0,6.4,72.0,46,15,5.8,2.21,LA-10600,30.3942492,-91.2516096
Central,Louisiana,29603,475,Baton Rouge,867628,$90091,32.68%,40,$285000,1900,$150,32,87.88%,$1373,41.46%,N/A,N/A,5.72%,1.23%,62.23%,East Baton Rouge County,52.30%,43.10%,0.39%,11.6%,78.32%,4.76%,2.07%,Central Standard Time,93,63,30,74,41,59%,61%,57,71,108,58%,62%,51%,67.31,20.42,17.22,31.62%,39.89%,33.89%,0.7,0,6.4,72.0,52,66,5.9,62.26,LA-13960,30.5593014,-91.036908
Clinton,Louisiana,1100,401,Baton Rouge,867628,$55595,37.68%,46,N/A,N/A,N/A,43,67.65%,$1017,54.21%,N/A,N/A,14.91%,3.1%,47.29%,East Feliciana County,42.20%,55.50%,1.18%,37.0%,56.91%,0.0%,1.91%,Central Standard Time,91,62,29,72,39,59%,61%,57,71,103,58%,62%,51%,65.54,19.53,17.32,23.95%,31.32%,24.44%,0.7,0,6.4,72.0,59,183,5.7,2.74,LA-15990,30.8613534,-91.0149822
Crescent,Louisiana,1121,671,Baton Rouge,867628,$42371,12.27%,29,N/A,N/A,N/A,43,63.66%,N/A,51.37%,N/A,N/A,0.0%,0.0%,51.83%,Iberville County,51.90%,45.60%,0.0%,12.04%,51.65%,36.31%,0.0%,Central Standard Time,90,62,28,75,43,59%,61%,57,71,101,58%,62%,51%,61.3,19.23,15.29,30.47%,38.68%,33.33%,0.1,0,6.4,72.0,53,18,5.7,1.67,LA-18335,30.2406024,-91.2863494
Denham Springs,Louisiana,9362,1284,Baton Rouge,867628,$77418,22.72%,44,$234000,1648,$142,41,69.3%,$950,55.18%,N/A,N/A,5.75%,5.88%,57.65%,Livingston County,12.00%,84.60%,0.0%,12.35%,73.07%,11.97%,10.52%,Central Standard Time,93,63,30,74,41,59%,61%,57,71,108,58%,62%,51%,64.99,20.02,16.4,33.59%,45.16%,35.44%,0.7,0,6.4,72.0,43,66,5.6,7.29,LA-20435,30.4743624,-90.9593504
Donaldsonville,Louisiana,6792,1797,Baton Rouge,867628,$24160,11.39%,31,$30000,938,$32,38,58.61%,$838,67.05%,N/A,N/A,42.87%,12.63%,59.09%,Ascension County,30.10%,66.10%,0.44%,84.25%,13.75%,0.46%,0.44%,Central Standard Time,91,63,28,74,41,59%,61%,57,71,103,58%,62%,51%,62.93,20.1,15.46,31.97%,44.07%,33.78%,0.7,0,6.4,72.0,45,27,5.8,3.78,LA-21240,30.0953897,-90.9924956
Erwinville,Louisiana,2575,270,Baton Rouge,867628,N/A,12.68%,28,N/A,N/A,N/A,33,37.62%,N/A,62.85%,N/A,N/A,58.1%,35.33%,65.03%,West Baton Rouge County,42.30%,54.50%,0.0%,61.79%,36.97%,0.19%,0.19%,Central Standard Time,93,61,32,75,42,59%,61%,57,71,109,58%,62%,51%,64.73,19.58,16.88,31.62%,39.89%,33.89%,0.1,0,6.4,72.0,50,15,5.8,9.52,LA-24250,30.5410083,-91.3884782
Fordoche,Louisiana,1010,416,Baton Rouge,867628,$62788,8.82%,45,N/A,N/A,N/A,43,78.38%,$677,44.47%,N/A,N/A,15.35%,8.31%,55.59%,Pointe Coupee County,40.50%,57.70%,0.0%,23.96%,62.38%,1.58%,0.2%,Central Standard Time,93,61,32,75,42,59%,61%,57,71,109,67%,81%,48%,64.87,18.26,17.36,32.36%,39.45%,37.67%,0.1,0,6.4,72.0,56,42,6.1,2.43,LA-26280,30.5940281,-91.6179246
French Settlement,Louisiana,1099,403,Baton Rouge,867628,$71250,19.74%,34,$216000,1742,$124,19,82.92%,$1250,48.59%,84,930,19.47%,4.09%,57.97%,Livingston County,12.00%,84.60%,0.0%,1.27%,90.9%,2.18%,0.45%,Central Standard Time,90,62,28,75,43,59%,61%,57,71,101,58%,62%,51%,64.71,19.44,16.44,29.86%,40.11%,32.67%,0.7,0,6.4,72.0,53,9,5.6,2.73,LA-27435,30.3035191,-90.800193
Gardere,Louisiana,12130,3654,Baton Rouge,867628,$60694,33.61%,27,$248000,1653,$150,18,34.32%,$1135,68.79%,N/A,N/A,28.39%,5.95%,76.95%,East Baton Rouge County,52.30%,43.10%,2.54%,45.88%,24.44%,24.97%,16.76%,Central Standard Time,91,61,30,73,40,59%,61%,57,71,103,58%,62%,51%,60.37,17.68,16.23,35.21%,46.81%,37.22%,0.7,0,6.4,72.0,48,18,5.9,3.32,LA-28275,30.3582657,-91.1345539
Gonzales,Louisiana,12748,1395,Baton Rouge,867628,$66152,26.48%,41,$212000,1301,$163,21,69.2%,$1550,57.13%,557,8528,11.31%,9.0%,62.68%,Ascension County,30.10%,66.10%,0.0%,46.67%,42.27%,11.5%,6.53%,Central Standard Time,91,63,28,74,41,59%,61%,57,71,103,58%,62%,51%,64.71,19.44,16.44,29.86%,40.11%,32.67%,0.7,0,6.4,72.0,46,9,5.8,9.14,LA-29850,30.2131399,-90.923376
Greensburg,Louisiana,1050,417,Baton Rouge,867628,$45386,11.71%,50,$280000,1564,$179,46,34.52%,$218,56.9%,459,1837,42.76%,21.09%,49.72%,St. Helena County,56.20%,41.90%,0.0%,58.19%,36.0%,5.14%,4.67%,Central Standard Time,91,62,29,72,39,59%,61%,57,71,103,58%,62%,51%,66.29,19.39,17.93,24.99%,33.3%,26.78%,0.7,0,6.4,72.0,61,174,5.9,2.52,LA-31565,30.8300035,-90.6697596
Grosse Tete,Louisiana,294,200,Baton Rouge,867628,$54250,4.78%,52,N/A,N/A,N/A,30,66.34%,N/A,42.75%,N/A,N/A,13.61%,0.0%,45.82%,Iberville County,51.90%,45.60%,0.0%,29.93%,69.05%,0.0%,0.0%,Central Standard Time,91,61,30,73,40,59%,61%,57,71,103,58%,62%,51%,61.3,19.23,15.29,30.47%,38.68%,33.33%,0.1,0,6.4,72.0,47,18,5.7,1.47,LA-32020,30.4148078,-91.4394877
Inniswold,Louisiana,6061,2706,Baton Rouge,867628,$101149,56.68%,39,$375000,2119,$177,25,67.13%,$1402,50.66%,N/A,N/A,10.27%,8.42%,70.53%,East Baton Rouge County,52.30%,43.10%,0.78%,34.47%,55.62%,2.05%,0.97%,Central Standard Time,91,61,30,73,40,59%,61%,57,71,103,58%,62%,51%,67.28,21.26,17.18,33.59%,45.16%,35.44%,0.7,0,6.4,72.0,44,75,5.9,2.24,LA-37270,30.398224,-91.0709518
Jackson,Louisiana,3976,891,Baton Rouge,867628,$37981,4.45%,39,$130000,1646,$79,44,65.73%,$729,81.67%,N/A,N/A,39.06%,23.21%,14.48%,East Feliciana County,42.20%,55.50%,0.0%,57.57%,30.99%,3.32%,0.93%,Central Standard Time,93,60,33,72,36,59%,61%,57,71,108,58%,62%,51%,66.28,18.85,18.24,32.36%,39.45%,37.67%,0.7,0,6.4,72.0,58,117,5.7,4.46,LA-37830,30.8346548,-91.2080103
Killian,Louisiana,1313,121,Baton Rouge,867628,$51166,22.35%,48,$136000,1183,$115,31,65.66%,$1875,52.25%,N/A,N/A,16.06%,5.44%,45.97%,Livingston County,12.00%,84.60%,0.0%,9.75%,77.15%,5.86%,0.46%,Central Standard Time,92,63,29,77,46,59%,61%,57,71,106,58%,62%,51%,66.45,21.17,16.66,24.99%,33.3%,26.78%,0.7,0,6.4,72.0,53,18,5.6,10.88,LA-39685,30.3530178,-90.579533
Lemannville,Louisiana,680,673,Baton Rouge,867628,$16181,1.19%,34,N/A,N/A,N/A,43,62.57%,N/A,79.71%,N/A,N/A,86.09%,0.0%,6.44%,Ascension County,30.10%,66.10%,0.0%,55.15%,37.65%,2.21%,0.0%,Central Standard Time,91,63,28,74,41,59%,61%,57,71,103,58%,62%,51%,62.23,19.1,15.86,32.05%,42.75%,33.22%,0.7,0,6.4,72.0,45,15,5.8,1.01,LA-43255,30.1028579,-90.923916
Livingston,Louisiana,1860,578,Baton Rouge,867628,$78056,18.31%,39,$185000,1164,$159,31,71.06%,$806,44.52%,N/A,N/A,9.35%,2.21%,62.77%,Livingston County,12.00%,84.60%,1.61%,3.82%,86.29%,3.33%,0.0%,Central Standard Time,93,63,30,74,41,59%,61%,57,71,108,58%,62%,51%,69.94,22.7,17.69,24.99%,33.3%,26.78%,0.7,0,6.4,72.0,57,39,5.6,3.22,LA-44655,30.4952898,-90.7466979
Livonia,Louisiana,1161,614,Baton Rouge,867628,$58516,13.6%,45,$145000,1611,$90,34,81.44%,$758,35.32%,N/A,N/A,25.37%,2.24%,50.51%,Pointe Coupee County,40.50%,57.70%,0.0%,4.82%,93.71%,0.6%,0.0%,Central Standard Time,93,61,32,75,42,59%,61%,57,71,109,58%,62%,51%,64.87,18.26,17.36,32.36%,39.45%,37.67%,0.1,0,6.4,72.0,56,42,6.1,1.89,LA-44690,30.5622488,-91.5501116
Maringouin,Louisiana,737,996,Baton Rouge,867628,$37067,2.78%,56,$350000,1795,$195,47,86.38%,$740,55.08%,N/A,N/A,29.85%,7.56%,53.75%,Iberville County,51.90%,45.60%,0.81%,89.69%,7.6%,1.49%,0.41%,Central Standard Time,93,61,32,75,42,59%,61%,57,71,109,58%,62%,51%,64.73,19.58,16.88,30.47%,38.68%,33.33%,0.1,0,6.4,72.0,56,15,5.7,0.74,LA-48610,30.4907764,-91.5185625
Merrydale,Louisiana,9149,2158,Baton Rouge,867628,$41986,16.86%,36,$164000,1312,$125,45,67.5%,$1187,70.6%,N/A,N/A,29.87%,25.22%,56.22%,East Baton Rouge County,52.30%,43.10%,0.0%,98.42%,0.57%,1.75%,0.75%,Central Standard Time,93,63,30,74,41,59%,61%,57,71,108,58%,62%,51%,63.79,19.88,16.58,31.62%,39.89%,33.89%,0.7,0,6.4,72.0,41,60,5.9,4.24,LA-49940,30.4998075,-91.10813
Monticello,Louisiana,4677,1957,Baton Rouge,867628,$62106,22.89%,38,$230000,1769,$130,41,86.6%,$1178,54.58%,N/A,N/A,9.9%,5.37%,59.91%,East Baton Rouge County,52.30%,43.10%,0.0%,92.37%,3.51%,3.12%,1.86%,Central Standard Time,93,63,30,74,41,59%,61%,57,71,108,58%,62%,51%,69.17,22.75,17.1,33.59%,45.16%,35.44%,0.7,0,6.4,72.0,51,51,5.9,2.39,LA-51645,30.4880976,-91.0447337
Montpelier,Louisiana,289,155,Baton Rouge,867628,$33173,14.29%,41,N/A,N/A,N/A,37,60.06%,$925,61.94%,N/A,N/A,39.45%,31.55%,76.87%,St. Helena County,56.20%,41.90%,0.0%,28.37%,62.63%,9.0%,4.15%,Central Standard Time,91,62,29,72,39,59%,61%,57,71,103,58%,62%,51%,66.29,19.39,17.93,24.99%,33.3%,26.78%,0.7,0,6.4,72.0,60,174,5.9,1.87,LA-51690,30.6822423,-90.6545236
Morganza,Louisiana,601,497,Baton Rouge,867628,$42500,18.07%,38,N/A,N/A,N/A,48,75.4%,$917,47.67%,N/A,N/A,16.14%,0.0%,60.71%,Pointe Coupee County,40.50%,57.70%,0.0%,27.62%,57.74%,12.31%,5.82%,Central Standard Time,93,61,32,75,42,59%,61%,57,71,109,67%,81%,48%,63.8,15.55,17.65,32.36%,39.45%,37.67%,0.1,0,6.4,72.0,54,105,6.1,1.21,LA-52075,30.7383315,-91.5919543
New Roads,Louisiana,4457,973,Baton Rouge,867628,$48017,16.5%,42,$215000,1453,$148,40,59.35%,$451,64.35%,N/A,N/A,23.2%,7.73%,50.51%,Pointe Coupee County,40.50%,57.70%,1.08%,54.39%,38.57%,0.11%,1.59%,Central Standard Time,93,61,32,75,42,59%,61%,57,71,109,58%,62%,51%,64.87,18.26,17.36,32.36%,39.45%,37.67%,0.1,0,6.4,72.0,53,42,6.1,4.58,LA-55105,30.6959202,-91.4537935
Norwood,Louisiana,250,61,Baton Rouge,867628,$43370,14.36%,59,N/A,N/A,N/A,49,91.18%,$1098,53.3%,0,0,37.6%,0.0%,31.96%,East Feliciana County,42.20%,55.50%,0.0%,19.2%,78.4%,0.0%,0.0%,Central Standard Time,91,62,29,72,39,59%,61%,57,71,103,58%,62%,51%,64.5,17.89,17.01,23.95%,31.32%,24.44%,0.7,0,6.4,72.0,61,93,5.7,4.08,LA-56295,30.9681871,-91.1125367
Oak Hills Place,Louisiana,8380,2695,Baton Rouge,867628,$97466,69.72%,46,$449000,2566,$175,22,79.75%,$1444,38.72%,N/A,N/A,6.31%,1.57%,57.11%,East Baton Rouge County,52.30%,43.10%,3.45%,13.89%,75.32%,2.91%,6.81%,Central Standard Time,91,61,30,73,40,59%,61%,57,71,103,58%,62%,51%,69.37,21.89,17.92,32.44%,43.41%,35.0%,0.7,0,6.4,72.0,46,45,5.9,3.11,LA-56855,30.3689742,-91.0886713
Old Jefferson,Louisiana,7790,2213,Baton Rouge,867628,$85466,56.37%,37,$225000,1563,$144,31,73.79%,$1174,60.53%,N/A,N/A,8.93%,5.08%,67.06%,East Baton Rouge County,52.30%,43.10%,3.15%,19.88%,65.02%,6.06%,8.09%,Central Standard Time,91,61,30,73,40,59%,61%,57,71,103,58%,62%,51%,64.99,20.02,16.4,33.59%,45.16%,35.44%,0.7,0,6.4,72.0,48,66,5.9,3.52,LA-57705,30.3775481,-91.006001
Plaquemine,Louisiana,6136,2101,Baton Rouge,867628,$76857,15.63%,44,$59000,808,$73,55,59.97%,$860,45.26%,N/A,N/A,10.02%,4.59%,63.23%,Iberville County,51.90%,45.60%,0.0%,48.96%,42.14%,2.02%,1.35%,Central Standard Time,91,61,30,73,40,59%,61%,57,71,103,58%,62%,51%,61.3,19.23,15.29,30.47%,38.68%,33.33%,0.7,0,6.4,72.0,40,18,5.7,2.92,LA-60880,30.2833909,-91.2429938
Port Allen,Louisiana,4928,1735,Baton Rouge,867628,$59380,15.26%,45,$197000,1492,$132,58,60.54%,$1046,59.72%,668,2651,19.15%,4.63%,66.56%,West Baton Rouge County,42.30%,54.50%,1.87%,54.95%,42.45%,0.61%,1.99%,Central Standard Time,91,61,30,73,40,59%,61%,57,71,103,58%,62%,51%,64.73,19.58,16.88,32.44%,43.41%,35.0%,0.7,0,6.4,72.0,22,15,5.8,2.84,LA-61790,30.4455051,-91.2097788
Port Vincent,Louisiana,581,342,Baton Rouge,867628,$67538,9.91%,49,N/A,N/A,N/A,27,76.2%,$692,63.08%,266,1065,13.25%,1.6%,61.35%,Livingston County,12.00%,84.60%,0.0%,0.0%,95.52%,0.69%,0.52%,Central Standard Time,91,61,30,73,40,59%,61%,57,71,103,58%,62%,51%,64.99,20.02,16.4,29.86%,40.11%,32.67%,0.7,0,6.4,72.0,53,66,5.6,1.7,LA-62105,30.338365,-90.8422184
Prairieville,Louisiana,35010,1591,Baton Rouge,867628,$115610,37.44%,34,$315000,1864,$169,18,91.77%,$1225,39.23%,N/A,N/A,4.11%,2.31%,72.03%,Ascension County,30.10%,66.10%,1.79%,13.36%,75.18%,4.31%,5.0%,Central Standard Time,90,62,28,75,43,59%,61%,57,71,101,58%,62%,51%,67.06,21.0,16.88,36.79%,45.6%,41.56%,0.7,0,6.4,72.0,45,18,5.8,22.0,LA-62385,30.3150798,-90.9571508
Rosedale,Louisiana,1099,141,Baton Rouge,867628,$78226,25.06%,36,N/A,N/A,N/A,26,99.43%,N/A,51.75%,N/A,N/A,11.74%,0.0%,70.39%,Iberville County,51.90%,45.60%,0.0%,24.11%,75.89%,0.0%,0.0%,Central Standard Time,91,61,30,73,40,59%,61%,57,71,103,58%,62%,51%,64.73,19.58,16.88,30.47%,38.68%,33.33%,0.1,0,6.4,72.0,56,15,5.7,7.78,LA-66060,30.4428999,-91.4601145
Shenandoah,Louisiana,18259,2945,Baton Rouge,867628,$107544,50.73%,40,$285000,2021,$141,31,79.48%,$1216,35.77%,N/A,N/A,7.72%,5.49%,68.07%,East Baton Rouge County,52.30%,43.10%,2.53%,20.52%,63.51%,2.51%,4.34%,Central Standard Time,91,61,30,73,40,59%,61%,57,71,103,58%,62%,51%,64.99,20.02,16.4,33.59%,45.16%,35.44%,0.7,0,6.4,72.0,48,66,5.9,6.2,LA-69225,30.4019264,-91.0020514
Slaughter,Louisiana,1264,231,Baton Rouge,867628,$80417,21.2%,42,N/A,N/A,N/A,30,82.57%,$1254,45.98%,N/A,N/A,12.73%,1.91%,56.24%,East Feliciana County,42.20%,55.50%,0.0%,2.77%,82.67%,4.43%,0.47%,Central Standard Time,91,62,29,72,39,59%,61%,57,71,103,58%,62%,51%,66.11,20.04,16.82,31.62%,39.89%,33.89%,0.7,0,6.4,72.0,54,63,5.7,5.47,LA-70770,30.7219142,-91.1392868
Sorrento,Louisiana,2136,585,Baton Rouge,867628,$106250,11.5%,38,$250000,1667,$150,23,78.37%,$1260,46.66%,N/A,N/A,5.71%,4.1%,67.51%,Ascension County,30.10%,66.10%,0.33%,16.95%,78.32%,1.54%,1.5%,Central Standard Time,91,63,28,74,41,59%,61%,57,71,103,58%,62%,51%,64.71,19.44,16.44,29.86%,40.11%,32.67%,0.7,0,6.4,72.0,50,9,5.8,3.65,LA-71225,30.1827976,-90.8674288
