City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Beaumont,Texas,115013,1395,Beaumont-Port Arthur,397924,$49765,25.32%,35,$192000,1670,$115,44,57.25%,$906,55.33%,1046,3615,20.88%,5.39%,60.43%,Jefferson County,48.40%,48.90%,3.36%,46.03%,29.38%,19.5%,11.39%,Central Standard Time,93,63,30,76,43,63%,63%,60,73,110,57%,66%,47%,68.27,23.08,13.67,28.47%,34.73%,31.67%,0.3,0,7.6,67.1,32,18,5.9,82.47,TX-07000,30.0849481,-94.1451265
Bevil Oaks,Texas,1151,567,Beaumont-Port Arthur,397924,$68750,23.87%,43,$220000,1618,$136,44,90.19%,$2227,40.13%,N/A,N/A,5.76%,12.47%,51.6%,Jefferson County,48.40%,48.90%,1.56%,3.04%,77.32%,12.86%,6.52%,Central Standard Time,93,62,31,75,42,63%,63%,60,73,110,57%,66%,47%,63.0,20.58,12.56,30.3%,37.25%,32.33%,0.3,0,7.6,67.1,52,24,5.9,2.03,TX-08128,30.1517157,-94.2711191
Bridge City,Texas,9405,1460,Beaumont-Port Arthur,397924,$93867,25.31%,35,$196000,1568,$125,42,75.18%,$887,37.52%,N/A,N/A,7.15%,1.84%,70.0%,Orange County,17.90%,79.70%,1.64%,0.0%,86.45%,11.24%,2.49%,Central Standard Time,94,64,30,75,43,63%,63%,60,73,113,57%,66%,47%,71.28,25.17,14.6,21.37%,25.27%,23.67%,0.3,0,7.6,67.1,46,24,5.9,6.44,TX-10252,30.0298576,-93.8406199
China,Texas,1035,809,Beaumont-Port Arthur,397924,$63672,10.29%,48,N/A,N/A,N/A,37,74.86%,$964,37.18%,N/A,N/A,11.8%,7.06%,49.33%,Jefferson County,48.40%,48.90%,0.39%,24.15%,64.64%,8.5%,2.51%,Central Standard Time,93,62,31,75,42,63%,63%,60,73,110,57%,66%,47%,63.0,20.58,12.56,30.3%,37.25%,32.33%,0.3,0,7.5,67.1,52,24,5.9,1.28,TX-14704,30.0560836,-94.3377825
Deweyville,Texas,519,46,Beaumont-Port Arthur,397924,$25450,6.8%,58,N/A,N/A,N/A,36,85.33%,N/A,28.95%,N/A,N/A,9.63%,7.24%,49.55%,Newton County,20.90%,77.50%,0.0%,0.0%,97.11%,0.0%,0.0%,Central Standard Time,91,61,30,73,40,62%,62%,59,73,103,67%,81%,48%,63.22,20.5,13.87,37.45%,43.19%,40.89%,0.3,0,7.6,75.8,51,18,5.7,11.2,TX-20212,30.3033369,-93.758577
Fannett,Texas,2290,233,Beaumont-Port Arthur,397924,$87938,15.86%,46,$229000,2045,$112,22,91.91%,$622,38.62%,N/A,N/A,5.78%,5.48%,53.11%,Jefferson County,48.40%,48.90%,9.61%,3.19%,63.36%,23.62%,19.08%,Central Standard Time,93,62,31,75,42,63%,63%,60,73,110,57%,66%,47%,63.43,20.35,13.53,30.3%,37.25%,32.33%,0.3,0,7.6,67.1,49,21,5.9,9.81,TX-25404,29.9249428,-94.2389529
Groves,Texas,17078,3297,Beaumont-Port Arthur,397924,$60880,12.01%,40,$180000,1463,$123,55,72.79%,$1054,43.65%,544,1948,10.89%,4.96%,61.12%,Jefferson County,48.40%,48.90%,5.7%,7.31%,54.92%,31.27%,14.4%,Central Standard Time,94,64,30,75,43,63%,63%,60,73,113,57%,66%,47%,61.06,22.66,12.23,27.84%,34.95%,30.22%,0.3,0,7.6,67.1,48,6,5.9,5.18,TX-31328,29.9456834,-93.9164029
Kountze,Texas,1900,477,Beaumont-Port Arthur,397924,$58578,16.47%,37,$220000,1438,$153,29,69.18%,$774,62.53%,286,1337,15.16%,5.87%,43.66%,Hardin County,12.20%,86.10%,0.0%,17.42%,80.05%,2.21%,0.42%,Central Standard Time,93,62,31,73,39,63%,63%,60,73,110,57%,66%,47%,64.55,19.2,13.71,29.97%,30.99%,35.22%,0.3,0,7.6,67.1,56,81,5.9,3.98,TX-39868,30.3725928,-94.3160794
Lumberton,Texas,13447,1003,Beaumont-Port Arthur,397924,$88295,25.5%,41,$319000,2185,$146,22,83.42%,$938,39.06%,168,1154,5.2%,2.4%,61.36%,Hardin County,12.20%,86.10%,0.59%,0.0%,91.17%,6.51%,2.07%,Central Standard Time,93,62,31,73,39,63%,63%,60,73,110,57%,66%,47%,64.57,20.0,14.1,33.89%,39.12%,37.44%,0.3,0,7.6,67.1,51,36,5.9,13.41,TX-45120,30.2561973,-94.2070441
Mauriceville,Texas,2597,309,Beaumont-Port Arthur,397924,$63367,10.41%,41,$315000,2250,$140,30,83.33%,$716,42.42%,N/A,N/A,16.36%,6.27%,59.75%,Orange County,17.90%,79.70%,0.19%,0.0%,88.87%,6.08%,1.54%,Central Standard Time,91,61,30,73,40,63%,63%,60,73,104,57%,66%,47%,63.22,20.5,13.87,37.45%,43.19%,40.89%,0.3,0,7.6,67.1,47,18,5.9,8.41,TX-47100,30.2186373,-93.8758016
