City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Ballantine,Montana,293,322,Billings,182997,N/A,12.6%,59,N/A,N/A,N/A,82,71.88%,N/A,58.13%,N/A,N/A,3.75%,0.0%,44.31%,Yellowstone County,31.50%,58.10%,0.0%,0.0%,87.03%,10.24%,0.0%,Mountain Standard Time,89,36,53,55,13,45%,34%,29,45,87,58%,70%,45%,14.82,4.24,1.63,24.14%,25.71%,19.33%,40.3,25,7.2,26.4,89,2775,3.8,0.91,MT-03625,45.9510983,-108.1428461
Bearcreek,Montana,93,845,Billings,182997,$111500,45.21%,51,N/A,N/A,N/A,41,61.11%,$840,61.11%,N/A,N/A,4.3%,0.0%,86.67%,Carbon County,30.50%,62.60%,0.0%,0.0%,95.7%,2.15%,0.0%,Mountain Standard Time,82,34,48,51,14,45%,34%,29,45,81,58%,70%,45%,20.38,4.38,3.21,28.08%,25.38%,24.22%,25.3,16,7.2,26.4,95,5103,3.9,0.11,MT-04300,45.1605557,-109.1574208
Belfry,Montana,240,144,Billings,182997,$45625,18.23%,34,N/A,N/A,N/A,51,64.47%,N/A,52.91%,N/A,N/A,39.58%,14.58%,52.17%,Carbon County,30.50%,62.60%,0.0%,0.0%,64.58%,32.5%,0.0%,Mountain Standard Time,82,34,48,51,14,45%,34%,29,45,81,58%,70%,45%,20.38,4.38,3.21,17.81%,22.64%,12.89%,25.3,16,7.2,26.4,95,5103,3.9,1.67,MT-04900,45.137464,-108.9984926
Billings,Montana,118321,2642,Billings,182997,$71855,37.0%,38,$370000,2044,$181,41,68.08%,$1097,51.78%,N/A,4082,10.61%,3.48%,66.15%,Yellowstone County,31.50%,58.10%,0.86%,1.02%,83.22%,7.2%,1.98%,Mountain Standard Time,89,35,54,60,19,45%,34%,29,45,87,58%,70%,45%,15.18,3.86,2.06,27.01%,25.71%,23.89%,60.7,34,7.2,26.4,71,3276,3.8,44.78,MT-06550,45.7890615,-108.5525012
Boyd,Montana,26,93,Billings,182997,N/A,15.38%,56,N/A,N/A,N/A,18,57.81%,N/A,23.08%,N/A,N/A,50.0%,0.0%,50.0%,Carbon County,30.50%,62.60%,0.0%,0.0%,69.23%,0.0%,0.0%,Mountain Standard Time,87,35,52,50,11,45%,34%,29,45,85,58%,70%,45%,15.26,3.77,1.82,23.23%,24.73%,16.78%,54.7,28,7.2,26.4,93,3510,3.9,0.28,MT-08800,45.454067,-109.0696604
Bridger,Montana,850,1063,Billings,182997,$35893,10.62%,41,N/A,N/A,N/A,57,66.41%,$657,52.88%,0,789,16.59%,8.11%,62.98%,Carbon County,30.50%,62.60%,0.0%,0.0%,92.47%,2.71%,0.0%,Mountain Standard Time,89,35,54,53,14,45%,34%,29,45,87,58%,70%,45%,12.97,3.28,1.26,23.23%,24.73%,16.78%,54.7,28,7.2,26.4,94,3276,3.9,0.8,MT-09475,45.2945924,-108.9166657
Broadview,Montana,152,585,Billings,182997,$66250,28.97%,45,$207000,1125,$184,34,88.39%,N/A,54.74%,N/A,N/A,9.87%,7.45%,69.63%,Yellowstone County,31.50%,58.10%,0.0%,0.0%,86.84%,0.0%,0.66%,Mountain Standard Time,88,36,52,52,11,45%,34%,29,45,86,58%,70%,45%,15.85,5.36,1.55,23.29%,25.49%,18.78%,45.4,22,7.2,26.4,87,3096,3.8,0.26,MT-09775,46.0987888,-108.8788663
Custer,Montana,155,484,Billings,182997,$70000,23.2%,60,$75000,1667,$45,64,78.15%,$431,62.5%,N/A,N/A,18.06%,2.38%,61.76%,Yellowstone County,31.50%,58.10%,0.0%,0.0%,96.13%,0.0%,0.0%,Mountain Standard Time,88,35,53,58,14,45%,34%,29,45,86,58%,70%,45%,15.87,4.74,1.77,27.4%,29.23%,24.67%,47.4,35,7.2,26.4,89,2442,3.8,0.32,MT-18700,46.1292266,-107.5555489
Edgar,Montana,79,116,Billings,182997,$61591,4.35%,55,N/A,N/A,N/A,65,74.32%,N/A,77.63%,N/A,N/A,11.39%,45.76%,77.63%,Carbon County,30.50%,62.60%,0.0%,0.0%,96.2%,0.0%,0.0%,Mountain Standard Time,87,35,52,50,11,45%,34%,29,45,85,58%,70%,45%,13.9,3.86,1.37,23.23%,24.73%,16.78%,54.7,28,7.2,26.4,94,3219,3.9,0.68,MT-23500,45.4636495,-108.855259
Fromberg,Montana,452,1027,Billings,182997,$59028,20.12%,46,$150000,3488,$43,46,88.61%,$873,47.12%,N/A,N/A,15.91%,18.52%,61.99%,Carbon County,30.50%,62.60%,0.0%,0.0%,85.4%,6.86%,1.55%,Mountain Standard Time,89,35,54,53,14,45%,34%,29,45,87,58%,70%,45%,13.9,3.86,1.37,23.23%,24.73%,16.78%,54.7,28,7.2,26.4,94,3219,3.9,0.44,MT-29575,45.3920335,-108.9064799
Huntley,Montana,534,351,Billings,182997,$91667,11.97%,39,N/A,N/A,N/A,10,90.23%,$1119,48.63%,N/A,N/A,0.0%,0.0%,71.07%,Yellowstone County,31.50%,58.10%,0.0%,0.0%,100.0%,0.0%,2.43%,Mountain Standard Time,89,36,53,55,13,45%,34%,29,45,87,58%,70%,45%,14.82,4.24,1.63,24.14%,25.71%,19.33%,40.3,25,7.2,26.4,89,2775,3.8,1.52,MT-38200,45.8994725,-108.3054174
Joliet,Montana,614,2274,Billings,182997,$75469,19.46%,40,$283000,1726,$164,55,90.05%,N/A,26.6%,N/A,N/A,11.24%,0.0%,66.67%,Carbon County,30.50%,62.60%,0.33%,0.0%,95.11%,1.95%,0.0%,Mountain Standard Time,87,35,52,50,11,45%,34%,29,45,85,58%,70%,45%,15.26,3.77,1.82,23.23%,24.73%,16.78%,54.7,28,7.2,26.4,93,3510,3.9,0.27,MT-39700,45.4843669,-108.9721466
