City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year,Hottest month's avg heat index high (F)
Boise,Idaho,228057,2714,Boise City,544762,$63778,42.65%,38,$475000,1589,$299,35,65.05%,$1009,52.44%,280,1579,12.02%,4.74%,69.22%,Ada County,38.70%,47.90%,3.12%,1.62%,82.56%,9.0%,6.57%,Mountain Standard Time,94,38,56,11.84,19.1,7.6,32,2574,4.1,84.03,ID-08830,43.6004653,-116.2308633,63%,81%,38%,42%,23%,14.1,33,42,63,25,1.13,3.97,25.21%,10.66%,35.89%,16,91
Caldwell,Idaho,56734,2483,Boise City,544762,$55069,15.45%,30,$380000,1545,$246,21,67.81%,$910,49.13%,350,1720,13.72%,6.24%,64.23%,Canyon County,23.20%,64.90%,0.97%,0.35%,58.74%,35.93%,10.68%,Mountain Standard Time,93,38,55,12.11,18.3,7.6,24,2235,4,22.85,ID-12250,43.6454186,-116.6594833,63%,81%,38%,42%,23%,14.1,33,42,59,22,1.54,4.26,24.3%,10.77%,33.56%,14,90
Crouch,Idaho,145,330,Boise City,544762,$53125,11.19%,64,N/A,N/A,N/A,27,73.79%,N/A,22.76%,N/A,N/A,14.48%,0.0%,53.79%,Boise County,20.40%,70.10%,0.0%,0.0%,99.31%,0.69%,0.0%,Mountain Standard Time,90,33,57,27.19,18.3,7.6,91,2835,4.1,0.44,ID-19720,44.1160495,-115.9740198,63%,81%,38%,42%,23%,14.1,33,42,48,19,2.16,11.47,29.15%,10.99%,42.44%,14,87
Eagle,Idaho,28145,913,Boise City,544762,$91414,47.42%,46,$888000,2732,$325,17,86.58%,$1275,32.38%,N/A,N/A,6.71%,1.51%,57.19%,Ada County,38.70%,47.90%,1.77%,0.44%,86.77%,7.59%,5.37%,Mountain Standard Time,93,38,55,14.88,18.3,7.6,47,2397,4.1,30.82,ID-23410,43.7008779,-116.4241298,63%,81%,38%,42%,23%,14.1,33,42,59,22,1.66,5.29,27.62%,13.3%,38.33%,14,90
Emmett,Idaho,6942,2670,Boise City,544762,$39719,16.27%,35,$480000,1727,$278,44,69.5%,$665,55.77%,359,1050,21.14%,1.97%,63.66%,Gem County,15.50%,75.20%,0.0%,0.0%,77.54%,19.42%,8.33%,Mountain Standard Time,93,38,55,13.21,18.3,7.6,77,2187,4,2.6,ID-25570,43.8692708,-116.4916038,63%,81%,38%,42%,23%,14.1,33,42,59,22,1.11,5.05,24.3%,10.77%,33.56%,14,90
Garden City,Idaho,11873,2910,Boise City,544762,$50185,32.76%,48,$695000,2206,$315,29,61.33%,$849,48.57%,440,2227,12.61%,3.63%,56.21%,Ada County,38.70%,47.90%,1.53%,2.09%,83.66%,11.19%,7.5%,Mountain Standard Time,89,36,53,14.88,18.3,7.6,39,2397,4.1,4.08,ID-29620,43.6644704,-116.2934025,63%,81%,38%,42%,23%,14.1,33,42,59,22,1.66,5.29,27.62%,13.3%,38.33%,14,86
Garden Valley,Idaho,475,64,Boise City,544762,$12292,63.74%,37,$893000,2086,$428,30,61.72%,$725,45.89%,N/A,N/A,9.78%,0.0%,64.32%,Boise County,20.40%,70.10%,2.11%,4.21%,89.05%,2.53%,9.89%,Mountain Standard Time,90,33,57,27.19,18.3,7.6,91,2835,4.1,7.37,ID-29710,44.083018,-115.961204,63%,81%,38%,42%,23%,14.1,33,42,48,19,2.16,11.47,34.16%,13.85%,46.33%,14,87
Grand View,Idaho,351,616,Boise City,544762,$34615,6.87%,40,N/A,N/A,N/A,44,72.65%,$528,43.51%,N/A,N/A,18.23%,13.45%,47.41%,Owyhee County,15.10%,77.80%,0.0%,2.28%,66.95%,30.2%,12.25%,Mountain Standard Time,96,41,55,9.65,19.1,7.6,92,2127,4.1,0.57,ID-32770,42.9839354,-116.0916879,63%,81%,38%,42%,23%,14.1,33,42,66,25,1.48,2.83,22.99%,11.1%,32.67%,16,93
Greenleaf,Idaho,1123,1458,Boise City,544762,$51098,22.77%,45,$252000,947,$266,44,68.92%,$1031,39.19%,N/A,N/A,11.67%,4.46%,63.1%,Canyon County,23.20%,64.90%,1.78%,0.0%,74.18%,22.35%,5.25%,Mountain Standard Time,93,38,55,10.34,18.3,7.6,54,2040,4,0.77,ID-33490,43.6752753,-116.8211285,63%,81%,38%,42%,23%,14.1,33,42,59,22,1.56,3.47,19.51%,9.23%,28.22%,14,90
Hidden Spring,Idaho,2515,994,Boise City,544762,$113106,N/A,N/A,N/A,N/A,N/A,25,92.40%,$1462,33.00%,N/A,N/A,N/A,2.50%,N/A,Ada County,38.70%,47.90%,N/A,N/A,N/A,N/A,N/A,Mountain Standard Time,N/A,N/A,N/A,N/A,N/A,N/A,75,N/A,4.1,2.53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Homedale,Idaho,2688,1906,Boise City,544762,$32146,9.29%,29,$432000,1543,$280,48,66.39%,$728,54.38%,N/A,N/A,22.44%,0.78%,63.92%,Owyhee County,15.10%,77.80%,0.3%,0.0%,45.09%,51.75%,15.7%,Mountain Standard Time,93,38,55,10.34,18.3,7.6,85,2040,4.1,1.41,ID-38170,43.6154326,-116.9377012,63%,81%,38%,42%,23%,14.1,33,42,59,22,1.56,3.47,19.51%,9.23%,28.22%,14,90
Horseshoe Bend,Idaho,839,770,Boise City,544762,$44293,14.59%,44,N/A,N/A,N/A,42,64.72%,$829,53.92%,N/A,N/A,11.44%,5.01%,59.94%,Boise County,20.40%,70.10%,1.79%,0.0%,84.62%,10.85%,7.99%,Mountain Standard Time,89,36,53,33.31,18.3,7.6,91,5796,4.1,1.09,ID-38620,43.9164545,-116.1997108,63%,81%,38%,42%,23%,14.1,33,42,59,22,2.65,12.68,31.26%,10.22%,44.78%,14,86
Idaho City,Idaho,706,1054,Boise City,544762,$33214,8.26%,41,$160000,384,$417,43,66.91%,$666,32.08%,N/A,N/A,14.73%,3.19%,64.16%,Boise County,20.40%,70.10%,0.0%,0.57%,85.69%,7.79%,3.68%,Mountain Standard Time,89,36,53,46.21,18.3,7.6,91,5577,4.1,0.67,ID-39610,43.8280536,-115.8305728,63%,81%,38%,42%,23%,14.1,33,42,59,22,2.79,21.58,34.16%,13.85%,46.33%,14,86
Kuna,Idaho,20985,971,Boise City,544762,$69940,23.14%,28,$458000,1869,$245,16,77.61%,$1337,40.69%,N/A,N/A,5.85%,2.37%,76.3%,Ada County,38.70%,47.90%,1.15%,0.01%,86.04%,10.66%,9.12%,Mountain Standard Time,94,38,56,11.67,19.1,7.6,64,2508,4.1,21.62,ID-44290,43.4915316,-116.4066446,63%,81%,38%,42%,23%,14.1,33,42,63,25,1.66,3.61,25.21%,10.66%,35.89%,16,91
Marsing,Idaho,1379,2028,Boise City,544762,$39583,5.56%,41,$270000,1102,$245,44,56.35%,$524,53.77%,N/A,N/A,25.84%,5.52%,54.83%,Owyhee County,15.10%,77.80%,0.0%,0.0%,42.93%,54.68%,21.54%,Mountain Standard Time,93,38,55,10.34,18.3,7.6,79,2040,4.1,0.68,ID-50950,43.546651,-116.8094545,63%,81%,38%,42%,23%,14.1,33,42,59,22,1.56,3.47,24.68%,12.09%,33.11%,14,90
Melba,Idaho,658,1645,Boise City,544762,$40125,8.22%,28,N/A,N/A,N/A,40,69.15%,$905,51.99%,N/A,N/A,22.39%,0.69%,66.15%,Canyon County,23.20%,64.90%,0.0%,0.3%,70.52%,26.14%,8.97%,Mountain Standard Time,96,41,55,11.67,19.1,7.6,78,2508,4,0.4,ID-51850,43.3724918,-116.5322505,63%,81%,38%,42%,23%,14.1,33,42,66,25,1.66,3.61,24.41%,13.52%,33.44%,16,93
Meridian,Idaho,107787,3073,Boise City,544762,$76403,41.15%,36,$554000,2139,$259,17,78.62%,$1200,41.23%,159,1068,6.51%,3.0%,71.06%,Ada County,38.70%,47.90%,2.45%,0.99%,84.92%,8.03%,4.54%,Mountain Standard Time,94,38,56,12.98,18.3,7.6,38,2475,4.1,35.08,ID-52120,43.611632,-116.3977085,63%,81%,38%,42%,23%,14.1,33,42,63,25,1.5,4.06,27.62%,13.3%,38.33%,14,91
Middleton,Idaho,8005,1435,Boise City,544762,$56225,26.97%,30,$623000,2378,$262,19,90.73%,$747,44.74%,131,893,8.81%,3.8%,63.36%,Canyon County,23.20%,64.90%,0.95%,0.0%,82.81%,13.35%,2.2%,Mountain Standard Time,93,38,55,12.92,18.3,7.6,51,2202,4,5.58,ID-52660,43.7113547,-116.6156972,63%,81%,38%,42%,23%,14.1,33,42,59,22,1.46,4.29,24.3%,10.77%,33.56%,14,90
Murphy,Idaho,190,48,Boise City,544762,$31328,3.52%,53,N/A,N/A,N/A,27,100.0%,N/A,27.37%,N/A,N/A,0.0%,0.0%,77.37%,Owyhee County,15.10%,77.80%,0.0%,2.11%,40.53%,57.37%,0.0%,Mountain Standard Time,96,41,55,9.65,19.1,7.6,92,2127,4.1,4.0,ID-55720,43.2121387,-116.5485011,63%,81%,38%,42%,23%,14.1,33,42,66,25,1.48,2.83,24.41%,13.52%,33.44%,16,93
Nampa,Idaho,96825,2892,Boise City,544762,$53205,19.92%,33,$423000,1763,$240,25,66.76%,$972,49.03%,311,1799,13.87%,5.13%,63.62%,Canyon County,23.20%,64.90%,0.87%,0.58%,69.62%,24.8%,7.76%,Mountain Standard Time,94,38,56,12.11,18.3,7.6,35,2235,4,33.48,ID-56260,43.58444,-116.5636913,63%,81%,38%,42%,23%,14.1,33,42,63,25,1.54,4.26,27.62%,13.3%,38.33%,14,91
Notus,Idaho,594,1605,Boise City,544762,$51500,7.51%,31,N/A,N/A,N/A,58,83.0%,$893,47.05%,N/A,N/A,9.6%,4.69%,69.72%,Canyon County,23.20%,64.90%,0.0%,0.0%,46.46%,49.16%,12.12%,Mountain Standard Time,94,38,56,9.97,18.3,7.6,57,2094,4,0.37,ID-58060,43.7266543,-116.7999284,63%,81%,38%,42%,23%,14.1,33,42,59,22,1.4,3.02,24.3%,10.77%,33.56%,14,91
