City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi),Labor Force Participation rate
Bethel,Connecticut,10839,1760,Bridgeport-Stamford-Norwalk,942426,84,35,49,51,124,175,41,N/A,N/A,7,7,19,40,43.44%,$64800,5.88%,$1280,N/A,$519000,N/A,$229,47,69.98%,1%,8%,-7%,65,30 mins,3.64%,0.20%,6.30%,Fairfield County,57.90%,38.00%,5.91%,10.93%,70.17%,11.6%,21.39%,Eastern Standard Time,7,3.4,44.50%,74,N/A,45,22.2%,0.00,25,1,13,30,629,CT-04790,6.16,67.8%
Bridgeport,Connecticut,145014,9030,Bridgeport-Stamford-Norwalk,942426,83,38,45,47,116,175,30,60.5,40.9,N/A,42,38,35,19.69%,$47484,23.21%,$1171,721,$300000,2108,$173,70,44.34%,4%,20%,-8%,60,28 mins,11.46%,-0.30%,3.50%,Fairfield County,57.90%,38.00%,3.83%,34.36%,19.33%,42.0%,29.84%,Eastern Standard Time,7,3.4,63.20%,67,40,52,26.2%,0.20,27,1,10,581,1701,CT-08000,16.06,66.56%
Brookfield,Connecticut,17064,863,Bridgeport-Stamford-Norwalk,942426,84,35,49,50,129,206,41,N/A,N/A,7,7,15,N/A,50.00%,$106920,N/A,$1744,748,N/A,N/A,N/A,43,77.20%,1%,8%,-4%,69,32 mins,3.30%,0.20%,5.20%,Fairfield County,57.90%,38.00%,5.0%,1.3%,86.4%,5.7%,N/A,Eastern Standard Time,7,3.4,37.60%,14,N/A,20,N/A,0.00,25,1,12,23,837,CT-08980,19.77,N/A
Byram,Connecticut,4855,6146,Bridgeport-Stamford-Norwalk,942426,84,38,46,51,124,175,30,60.5,40.9,N/A,9,19,37,45.35%,$73125,13.14%,$2111,1260,N/A,N/A,N/A,78,32.3%,0%,7%,-6%,43,22 mins,10.77%,-0.20%,-0.30%,Fairfield County,57.90%,38.00%,2.51%,6.01%,53.72%,36.25%,34.67%,Eastern Standard Time,7,3.4,43.70%,3,N/A,N/A,21.5%,0.00,27,1,32,N/A,N/A,CT-10660,0.79,74.43%
Cannondale,Connecticut,440,1333,Bridgeport-Stamford-Norwalk,942426,84,37,47,52,123,175,35,60.5,40.9,N/A,6,13,49,70.47%,$94250,0.66%,$3769,1459,$642000,N/A,$412,78,85.27%,0%,7%,-7%,67,30 mins,0.0%,-0.20%,-50.50%,Fairfield County,57.90%,38.00%,7.95%,5.91%,34.32%,3.18%,38.41%,Eastern Standard Time,7,3.4,50.70%,25,N/A,27,N/A,0.00,25,1,21,N/A,N/A,CT-11990,0.33,38.7%
Cos Cob,Connecticut,7065,3286,Bridgeport-Stamford-Norwalk,942426,84,38,46,51,124,175,30,60.5,40.9,8,7,16,42,65.92%,$136642,6.68%,$1864,N/A,$1018000,N/A,$479,55,70.29%,0%,7%,-6%,58,33 mins,6.08%,-0.20%,11.70%,Fairfield County,57.90%,38.00%,6.55%,0.0%,76.07%,10.6%,21.73%,Eastern Standard Time,7,3.4,45.90%,65,N/A,N/A,22.7%,0.00,26,1,28,N/A,N/A,CT-17520,2.15,70.53%
Danbury,Connecticut,84650,2014,Bridgeport-Stamford-Norwalk,942426,82,35,47,51,123,174,42,60.5,40.9,7,12,24,39,33.53%,$73204,10.99%,$1475,1053,$455000,1793,$227,47,57.4%,2%,11%,-6%,58,27 mins,6.03%,0.20%,6.60%,Fairfield County,57.90%,38.00%,6.17%,9.67%,52.09%,29.01%,31.08%,Eastern Standard Time,7,3.4,52.80%,39,N/A,28,23.0%,0.12,25,1,14,113,1227,CT-18430,42.03,70.06%
Darien,Connecticut,21742,1717,Bridgeport-Stamford-Norwalk,942426,84,38,46,51,124,175,30,N/A,N/A,9,5,16,N/A,82.89%,$199444,1.5%,$3581,1334,$2300000,3143,$563,61,82.10%,0%,6%,-1%,47,36 mins,3.20%,-0.30%,6.50%,Fairfield County,57.90%,38.00%,6.2%,0.7%,88.3%,3.1%,11.3%,Eastern Standard Time,7,3.4,34.90%,28,37,34,19.2%,0.00,27,1,22,13,1220,CT-18920,12.66,N/A
Fairfield,Connecticut,61611,2060,Bridgeport-Stamford-Norwalk,942426,83,38,45,47,118,175,29,N/A,N/A,9,8,26,N/A,66.15%,$120082,N/A,$1837,708,N/A,2212,N/A,60,76.80%,0%,7%,-7%,60,34 mins,3.40%,-0.30%,4.90%,Fairfield County,57.90%,38.00%,4.5%,1.4%,85.0%,6.3%,N/A,Eastern Standard Time,7,3.4,42.70%,84,N/A,57,N/A,0.00,27,1,10,49,1511,CT-26620,29.91,N/A
Monroe,Connecticut,19766,758,Bridgeport-Stamford-Norwalk,942426,83,36,47,51,122,206,41,N/A,N/A,8,7,15,N/A,49.40%,$108688,N/A,N/A,N/A,N/A,N/A,N/A,43,86.30%,0%,8%,-6%,67,32 mins,3.60%,-0.30%,2.30%,Fairfield County,57.90%,38.00%,4.6%,0.2%,88.8%,4.2%,N/A,Eastern Standard Time,7,3.4,42.20%,28,N/A,30,N/A,0.00,N/A,1,11,15,431,CT-48620,26.08,N/A
