City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931
Arroyo Colorado Estates,Texas,486,450,Brownsville-Harlingen,350069,95,70,25,26,72,227,0,72.6,63.7,N/A,13,24,41,N/A,$16111,30.9%,$878,885,$61600,N/A,N/A,34,63.20%,7%,24%,20%,85,20 mins,5.80%,N/A,-44.90%,Cameron County,64.50%,32.00%,N/A,N/A,88.79%,100.00%,21.7%,Central Standard Time,20,6.5,35.20%,0,N/A,28,15.1%,0.00,37,1,0
Arroyo Gardens,Texas,275,70,Brownsville-Harlingen,350069,95,70,25,26,72,227,0,72.6,63.7,N/A,15,27,49,N/A,$65517,0%,N/A,N/A,$70600,N/A,N/A,23,63.50%,7%,22%,20%,87,20 mins,5.80%,N/A,36.10%,Cameron County,64.50%,32.00%,N/A,N/A,66.09%,91.30%,49.1%,Central Standard Time,20,6.5,41.30%,0,N/A,25,12.8%,0.00,38,1,0
Bayview,Texas,447,115,Brownsville-Harlingen,350069,93,70,23,28,73,230,0,72.6,63.7,N/A,12,22,47,N/A,$57250,0.9%,$948,1024,$265600,N/A,N/A,34,78.40%,7%,24%,19%,88,20 mins,5.80%,N/A,-37.70%,Cameron County,64.50%,32.00%,N/A,N/A,95.67%,34.90%,7.4%,Central Standard Time,20,6.5,34.70%,0,N/A,26,17.4%,0.00,N/A,1,0
Bixby,Texas,608,387,Brownsville-Harlingen,350069,96,70,26,25,65,227,0,72.6,63.7,N/A,21,39,30,5.20%,$43409,50%,N/A,N/A,$33400,N/A,N/A,39,61.00%,7%,23%,20%,83,20 mins,5.80%,N/A,69.40%,Cameron County,64.50%,32.00%,N/A,N/A,84.58%,97.70%,32.5%,Central Standard Time,20,6.5,37.00%,1,N/A,43,16.1%,0.00,37,2,0
Bluetown,Texas,428,146,Brownsville-Harlingen,350069,96,70,26,25,68,227,0,72.6,63.7,10,23,43,36,N/A,$20536,47.1%,$878,885,$37500,N/A,N/A,38,58.90%,8%,23%,20%,83,20 mins,5.80%,N/A,30.50%,Cameron County,64.50%,32.00%,N/A,N/A,97.40%,97.90%,32.8%,Central Standard Time,20,6.5,44.30%,4,N/A,25,19.8%,0.00,37,1,0
Brownsville,Texas,182083,1376,Brownsville-Harlingen,350069,93,70,23,28,73,223,0,72.7,63.9,11,20,52,30,18.88%,$32288,28%,$795,827,$88000,N/A,N/A,27,54.90%,7%,22%,18%,77,20 mins,6.10%,N/A,7.40%,Cameron County,64.50%,32.00%,N/A,N/A,95.54%,93.90%,29.5%,Central Standard Time,20,6.5,48.20%,39,N/A,46,17.6%,14.05,37,1,0
Cameron Park,Texas,6116,11263,Brownsville-Harlingen,350069,93,70,23,28,73,229,0,72.6,63.7,9,23,46,27,6.33%,$26307,40.3%,$795,827,$53800,N/A,N/A,26,59.70%,7%,24%,20%,76,20 mins,5.80%,N/A,-28.10%,Cameron County,64.50%,32.00%,N/A,N/A,98.80%,95.60%,32.7%,Central Standard Time,20,6.5,44.50%,14,N/A,31,14.2%,0.00,37,1,0
Chula Vista (Cameron Cnty),Texas,486,2656,Brownsville-Harlingen,350069,93,70,23,28,73,227,0,N/A,N/A,N/A,19,35,27,N/A,$13977,N/A,N/A,N/A,$93400,N/A,N/A,16,37.30%,8%,24%,21%,90,20 mins,5.80%,N/A,16.80%,Cameron County,64.50%,32.00%,N/A,N/A,N/A,100.00%,N/A,Central Standard Time,20,6.5,21.00%,6,N/A,27,N/A,N/A,N/A,1,N/A
Combes,Texas,3048,1005,Brownsville-Harlingen,350069,96,70,26,26,71,224,0,72.2,63.1,11,14,20,32,9.91%,$36855,17%,$773,833,$78800,N/A,N/A,30,63.80%,7%,23%,19%,81,20 mins,5.80%,N/A,5.00%,Cameron County,64.50%,32.00%,2.52%,1.31%,92.34%,88.70%,9.7%,Central Standard Time,20,6.5,44.80%,22,N/A,31,13.6%,10.21,36,1,0
Del Mar Heights,Texas,135,298,Brownsville-Harlingen,350069,93,70,23,28,73,227,0,72.6,63.7,N/A,24,43,19,N/A,$30513,35.3%,$948,1024,$92500,N/A,N/A,29,81.00%,8%,23%,19%,90,20 mins,5.80%,N/A,610.50%,Cameron County,64.50%,32.00%,N/A,N/A,100.00%,100.00%,38.7%,Central Standard Time,20,6.5,71.30%,0,N/A,25,N/A,0.00,N/A,1,0
Encantada-Ranchito-El Calaboz,Texas,1486,514,Brownsville-Harlingen,350069,95,70,25,26,72,230,0,72.6,63.7,N/A,18,32,45,N/A,$22344,29.5%,$878,885,$58800,N/A,N/A,27,81.40%,7%,24%,20%,84,20 mins,5.80%,N/A,-45.10%,Cameron County,64.50%,32.00%,N/A,N/A,100.00%,98.80%,43.1%,Central Standard Time,20,6.5,42.10%,25,N/A,30,13.5%,0.00,38,1,0
Green Valley Farms,Texas,471,122,Brownsville-Harlingen,350069,95,70,25,26,72,227,0,72.6,63.7,N/A,22,40,43,N/A,$40305,39.3%,$878,885,$66600,N/A,N/A,12,100.00%,7%,23%,20%,85,20 mins,5.80%,N/A,-61.00%,Cameron County,64.50%,32.00%,N/A,N/A,100.00%,100.00%,13.7%,Central Standard Time,20,6.5,33.00%,0,N/A,25,31.4%,0.00,37,1,0
Harlingen,Texas,65444,1633,Brownsville-Harlingen,350069,96,70,26,26,71,229,0,72.3,63.2,11,16,52,31,17.69%,$34868,25.4%,$773,833,$87600,N/A,N/A,35,47.20%,6%,18%,19%,78,16 mins,5.30%,N/A,2.00%,Cameron County,64.50%,32.00%,1.19%,1.24%,91.39%,80.50%,14.1%,Central Standard Time,20,6.5,49.50%,36,N/A,46,15.0%,30.90,37,1,0
Iglesia Antigua,Texas,290,138,Brownsville-Harlingen,350069,96,70,26,25,65,227,0,72.6,63.7,N/A,21,39,44,N/A,$31667,19%,N/A,N/A,$54300,N/A,N/A,31,56.20%,7%,24%,20%,83,20 mins,5.80%,N/A,12.00%,Cameron County,64.50%,32.00%,N/A,N/A,87.93%,100.00%,30.3%,Central Standard Time,20,6.5,50.20%,4,N/A,26,12.3%,0.00,37,1,0
Indian Lake,Texas,804,3740,Brownsville-Harlingen,350069,93,70,23,28,73,231,0,72.6,63.7,6,6,10,34,11.87%,$33750,27.5%,$948,1024,$51900,N/A,N/A,34,50.70%,8%,24%,20%,85,20 mins,5.80%,N/A,-17.20%,Cameron County,64.50%,32.00%,N/A,N/A,92.01%,77.50%,18.3%,Central Standard Time,20,6.5,39.30%,0,N/A,25,17.5%,0.00,38,1,0
