City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Arrington,Virginia,782,75,Charlottesville,220282,$83348,33.56%,37,$206000,1000,$206,29,100.0%,N/A,26.17%,N/A,N/A,4.22%,0.0%,76.83%,Nelson County,44.40%,50.00%,0.0%,47.83%,52.17%,0.0%,0.0%,Eastern Standard Time,84,41,43,60,19,52%,56%,43,62,86,59%,64%,54%,47.22,12.69,10.36,30.96%,34.18%,28.89%,15.7,5,5.7,33.8,77,690,4.2,10.41,VA-03208,37.6743921,-78.8927867
Buckingham Courthouse,Virginia,195,174,Charlottesville,220282,$91533,23.38%,39,N/A,N/A,N/A,29,32.82%,N/A,12.34%,N/A,N/A,9.74%,0.0%,86.36%,Buckingham County,42.90%,54.20%,0.0%,9.74%,85.13%,0.0%,0.0%,Eastern Standard Time,93,49,44,66,25,52%,56%,46,66,105,59%,64%,54%,46.94,12.21,9.78,32.9%,34.18%,32.78%,11.5,3,5.7,34.6,74,531,4.5,1.12,VA-10856,37.5541264,-78.5514282
Charlottesville,Virginia,47217,4607,Charlottesville,220282,$59598,55.75%,32,$393000,1617,$243,50,41.35%,$1188,64.7%,324,2319,23.1%,4.04%,63.83%,Charlottesville County,79.70%,13.20%,7.02%,18.55%,65.6%,5.56%,11.27%,Eastern Standard Time,88,45,43,68,28,52%,56%,46,66,93,59%,64%,54%,48.43,12.64,10.08,34.99%,39.23%,32.44%,17.0,6,5.7,34.6,36,792,4.5,10.25,VA-14968,38.0374915,-78.4854999
Columbia,Virginia,102,729,Charlottesville,220282,N/A,5.81%,47,N/A,N/A,N/A,45,65.69%,N/A,41.0%,N/A,N/A,0.0%,0.0%,52.69%,Fluvanna County,42.40%,51.70%,0.0%,37.25%,62.75%,0.0%,0.0%,Eastern Standard Time,87,46,41,66,24,53%,55%,46,66,91,62%,67%,56%,44.95,12.18,9.31,30.74%,31.76%,31.89%,11.5,3,7.7,34.6,71,375,4.4,0.14,VA-18624,37.7538433,-78.1633686
Crozet,Virginia,7191,1627,Charlottesville,220282,$99758,69.23%,42,$622000,2814,$221,17,81.74%,$1631,37.62%,N/A,N/A,0.79%,4.48%,68.06%,Albemarle County,58.80%,34.00%,2.99%,2.24%,91.84%,1.04%,5.91%,Eastern Standard Time,86,45,41,65,23,52%,56%,46,66,90,59%,64%,54%,45.45,12.64,9.27,34.99%,39.23%,32.44%,17.0,6,5.7,34.6,72,540,4.3,4.42,VA-20560,38.0645285,-78.6961462
Dillwyn,Virginia,592,925,Charlottesville,220282,$45744,19.33%,46,N/A,N/A,N/A,47,67.98%,$725,58.63%,N/A,N/A,23.73%,4.91%,55.44%,Buckingham County,42.90%,54.20%,0.0%,44.26%,53.72%,1.01%,3.21%,Eastern Standard Time,93,49,44,66,25,52%,56%,46,66,105,59%,64%,54%,46.94,12.21,9.78,32.9%,34.18%,32.78%,11.5,3,5.7,34.6,74,531,4.5,0.64,VA-22560,37.5411222,-78.4612919
Esmont,Virginia,733,201,Charlottesville,220282,$41500,11.83%,34,N/A,N/A,N/A,50,100.0%,N/A,43.93%,N/A,N/A,8.05%,0.0%,45.42%,Albemarle County,58.80%,34.00%,0.0%,64.53%,12.28%,23.19%,11.19%,Eastern Standard Time,84,44,40,68,28,52%,56%,46,66,86,59%,64%,54%,48.83,12.37,10.2,32.82%,34.73%,32.89%,17.0,6,5.7,34.6,74,1077,4.3,3.64,VA-25968,37.8283694,-78.5958439
Free Union,Virginia,86,43,Charlottesville,220282,N/A,100.0%,65,N/A,N/A,N/A,N/A,100.0%,N/A,0.0%,N/A,N/A,0.0%,0.0%,25.37%,Albemarle County,58.80%,34.00%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,86,45,41,65,23,52%,56%,46,66,90,59%,64%,54%,45.45,12.64,9.27,32.16%,36.15%,28.89%,17.0,6,5.7,34.6,80,540,4.3,2.0,VA-29840,38.1539132,-78.559521
Hollymead,Virginia,8500,1316,Charlottesville,220282,$102704,56.43%,39,$415000,2015,$206,27,78.74%,$1527,38.14%,N/A,N/A,6.8%,3.54%,70.85%,Albemarle County,58.80%,34.00%,6.2%,4.74%,78.62%,7.44%,10.09%,Eastern Standard Time,91,47,44,69,29,52%,56%,46,66,100,59%,64%,54%,41.04,11.65,7.61,32.16%,36.15%,28.89%,17.0,6,5.7,34.6,66,585,4.3,6.46,VA-38032,38.1265813,-78.4386033
Ivy,Virginia,736,312,Charlottesville,220282,$156161,83.28%,60,$942000,3413,$276,36,100.0%,N/A,62.09%,N/A,N/A,0.0%,35.38%,78.15%,Albemarle County,58.80%,34.00%,0.0%,0.0%,94.57%,0.0%,6.11%,Eastern Standard Time,86,45,41,65,23,52%,56%,46,66,90,59%,64%,54%,45.45,12.64,9.27,34.99%,39.23%,32.44%,17.0,6,5.7,34.6,71,540,4.3,2.36,VA-40248,38.0611326,-78.5987088
