City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931
Acworth,New Hampshire,1031,27,Claremont-Lebanon,217783,81,29,52,45,133,199,63,N/A,N/A,6,8,21,53,32.44%,$52589,N/A,N/A,N/A,$148200,N/A,N/A,43,57.90%,6%,22%,5%,87,32 mins,2.20%,0.50%,62.60%,Sullivan County,45.00%,47.60%,N/A,N/A,95.92%,1.60%,N/A,N/A,N/A,3.3,43.00%,10,N/A,11,N/A,0.00,20,0,8
Alexandria,New Hampshire,2051,48,Claremont-Lebanon,217783,80,29,51,46,135,194,76,N/A,N/A,6,9,20,45,19.86%,$57813,N/A,N/A,N/A,$203100,N/A,N/A,32,62.90%,10%,25%,8%,90,35 mins,2.10%,1.50%,18.40%,Grafton County,55.70%,37.10%,1.74%,N/A,95.71%,1.90%,N/A,N/A,N/A,3.1,40.20%,5,N/A,N/A,N/A,0.00,19,0,35
Ashland,New Hampshire,2242,204,Claremont-Lebanon,217783,81,29,52,46,133,199,73,N/A,N/A,N/A,13,33,36,29.10%,$41658,15.6%,N/A,N/A,$168700,N/A,N/A,44,35.00%,7%,21%,6%,89,23 mins,2.10%,1.50%,45.30%,Grafton County,55.70%,37.10%,N/A,N/A,92.66%,2.10%,1.2%,N/A,N/A,3.1,50.70%,46,N/A,N/A,22.3%,0.00,16,1,28
Bath,New Hampshire,910,24,Claremont-Lebanon,217783,80,26,54,39,143,184,71,N/A,N/A,5,8,22,52,31.61%,$47386,N/A,N/A,N/A,$163100,N/A,N/A,45,54.80%,8%,23%,7%,91,22 mins,2.10%,1.50%,9.00%,Grafton County,55.70%,37.10%,N/A,N/A,97.07%,1.00%,N/A,N/A,N/A,3.1,36.90%,1,N/A,N/A,N/A,0.00,12,0,6
Benton,New Hampshire,415,9,Claremont-Lebanon,217783,78,26,52,40,142,194,68,N/A,N/A,5,9,22,60,19.14%,$41250,N/A,N/A,N/A,$208100,N/A,N/A,37,64.70%,8%,22%,8%,94,22 mins,2.10%,1.50%,43.10%,Grafton County,55.70%,37.10%,N/A,2.41%,94.09%,1.20%,N/A,N/A,N/A,3.1,54.80%,0,N/A,N/A,N/A,0.00,14,0,11
Bethlehem,New Hampshire,2545,28,Claremont-Lebanon,217783,78,26,52,39,164,195,86,N/A,N/A,5,14,16,49,31.54%,$49671,2.2%,N/A,N/A,$172100,N/A,N/A,43,53.00%,8%,24%,7%,93,18 mins,2.10%,1.50%,2.10%,Grafton County,55.70%,37.10%,N/A,N/A,97.31%,N/A,2.5%,N/A,N/A,3.1,48.00%,40,N/A,N/A,19.6%,0.00,16,0,11
Bridgewater,New Hampshire,1027,48,Claremont-Lebanon,217783,80,29,51,46,138,194,75,N/A,N/A,N/A,8,21,58,41.51%,$55833,N/A,N/A,N/A,$274300,N/A,N/A,41,45.20%,11%,20%,9%,88,22 mins,2.10%,1.50%,-5.20%,Grafton County,55.70%,37.10%,N/A,N/A,98.40%,2.10%,N/A,N/A,N/A,3.1,36.30%,15,N/A,3,N/A,0.00,17,1,35
Bristol,New Hampshire,3048,178,Claremont-Lebanon,217783,80,29,51,46,135,194,76,N/A,N/A,6,15,31,40,22.56%,$46058,14.4%,N/A,N/A,$192600,N/A,N/A,45,36.00%,7%,19%,6%,88,23 mins,2.10%,1.50%,-0.70%,Grafton County,55.70%,37.10%,2.76%,N/A,88.99%,N/A,0.8%,N/A,N/A,3.1,57.40%,57,N/A,17,21.8%,0.00,18,1,38
Campton,New Hampshire,3295,64,Claremont-Lebanon,217783,80,29,51,45,143,199,73,N/A,N/A,6,17,24,54,41.20%,$54331,N/A,N/A,N/A,$186500,N/A,N/A,33,48.60%,10%,24%,7%,92,30 mins,2.10%,1.50%,1.50%,Grafton County,55.70%,37.10%,N/A,N/A,99.06%,N/A,N/A,N/A,N/A,3.1,43.60%,14,N/A,N/A,N/A,0.00,16,1,27
Canaan,New Hampshire,3898,73,Claremont-Lebanon,217783,78,28,50,46,135,199,72,N/A,N/A,N/A,9,20,44,28.00%,$58333,0%,N/A,N/A,$210400,N/A,N/A,37,61.50%,7%,19%,8%,88,27 mins,2.10%,1.50%,1.70%,Grafton County,55.70%,37.10%,3.44%,N/A,91.68%,1.10%,2%,N/A,N/A,3.1,34.10%,0,N/A,4,21.6%,0.00,16,0,21
